type,count,identity,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,title,content,equip_ids,prize_id
medal1-1-1-3,1,27,60,60,60,60,20,0,0,0,,完成行动：紧急1-3,首次通过紧急1-3，获得该关卡铜星勋章。,,0
medal1-1-1-4,1,28,60,60,60,60,20,0,0,0,,完成行动：紧急1-4,首次通过紧急1-4，获得该关卡铜星勋章。,,0
medal1-1-2-1,1,29,90,90,90,90,30,0,0,0,,完成行动：紧急2-1,首次通过紧急2-1，获得该关卡铜星勋章。,,0
medal1-1-2-2,1,30,90,90,90,90,30,0,0,0,,完成行动：紧急2-2,首次通过紧急2-2，获得该关卡铜星勋章。,,0
medal1-1-2-3,1,31,90,90,90,90,30,0,0,0,,完成行动：紧急2-3,首次通过紧急2-3，获得该关卡铜星勋章。,,0
medal1-1-2-4,1,32,90,90,90,90,30,0,0,0,,完成行动：紧急2-4,首次通过紧急2-4，获得该关卡铜星勋章。,,0
medal1-1-3-1,1,33,120,120,120,120,40,0,0,0,,完成行动：紧急3-1,首次通过紧急3-1，获得该关卡铜星勋章。,,0
medal1-1-3-2,1,34,120,120,120,120,40,0,0,0,,完成行动：紧急3-2,首次通过紧急3-2，获得该关卡铜星勋章。,,0
medal1-1-3-3,1,35,120,120,120,120,40,0,0,0,,完成行动：紧急3-3,首次通过紧急3-3，获得该关卡铜星勋章。,,0
medal1-1-3-4,1,36,120,120,120,120,40,0,0,0,,完成行动：紧急3-4,首次通过紧急3-4，获得该关卡铜星勋章。,,0
medal1-1-4-1,1,37,150,150,150,150,50,0,0,0,,完成行动：紧急4-1,首次通过紧急4-1，获得该关卡铜星勋章。,,0
medal1-1-4-2,1,38,150,150,150,150,50,0,0,0,,完成行动：紧急4-2,首次通过紧急4-2，获得该关卡铜星勋章。,,0
medal1-1-4-3,1,39,150,150,150,150,50,0,0,0,,完成行动：紧急4-3,首次通过紧急4-3，获得该关卡铜星勋章。,,0
medal1-1-4-4,1,40,150,150,150,150,50,0,0,0,,完成行动：紧急4-4,首次通过紧急4-4，获得该关卡铜星勋章。,,0
medal1-0-0-1,1,41,180,180,180,180,60,0,0,0,,隐秘任务：0-1,首次通过0-1，获得该关卡铜星勋章。,,0
medal1-0-0-2,1,42,180,180,180,180,60,0,0,0,,隐秘任务：0-2,首次通过0-2，获得该关卡铜星勋章。,,0
medal1-0-0-3,1,43,180,180,180,180,60,0,0,0,,隐秘任务：0-3,首次通过0-3，获得该关卡铜星勋章。,,0
medal1-0-0-4,1,44,180,180,180,180,60,0,0,0,,隐秘任务：0-4,首次通过0-4，获得该关卡铜星勋章。,,0
medal4-0-1-1,1,45,20,60,60,60,20,0,0,0,,全境封锁：普通1-1,普通1-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-1-2,1,46,60,60,60,60,20,0,0,0,,全境封锁：普通1-2,普通1-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-1-3,1,47,60,60,60,60,20,0,0,0,,全境封锁：普通1-3,普通1-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-1-4,1,48,60,60,60,60,20,0,0,0,,全境封锁：普通1-4,普通1-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-1-5,1,49,60,60,60,60,20,0,0,0,,全境封锁：普通1-5,普通1-5首次全占领，获得该关卡银星勋章。,,0
medal4-0-1-6,1,50,60,60,60,60,20,0,0,0,,全境封锁：普通1-6,普通1-6首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-1,1,51,90,90,90,90,30,0,0,0,,全境封锁：普通2-1,普通2-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-2,1,52,90,90,90,90,30,0,0,0,,全境封锁：普通2-2,普通2-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-3,1,53,90,90,90,90,30,0,0,0,1-1,全境封锁：普通2-3,普通2-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-4,1,54,90,90,90,90,30,0,0,0,1-1,全境封锁：普通2-4,普通2-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-5,1,55,90,90,90,90,30,0,0,0,"1-1,3-1,4-1",全境封锁：普通2-5,普通2-5首次全占领，获得该关卡银星勋章。,,0
medal4-0-2-6,1,56,90,90,90,90,30,0,0,0,"1-1,3-1,4-1",全境封锁：普通2-6,普通2-6首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-1,1,57,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-1,普通3-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-2,1,58,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-2,普通3-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-3,1,59,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-3,普通3-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-4,1,60,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-4,普通3-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-5,1,61,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-5,普通3-5首次全占领，获得该关卡银星勋章。,,0
medal4-0-3-6,1,62,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：普通3-6,普通3-6首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-1,1,63,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-1,普通4-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-2,1,64,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-2,普通4-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-3,1,65,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-3,普通4-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-4,1,66,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-4,普通4-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-5,1,67,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-5,普通4-5首次全占领，获得该关卡银星勋章。,,0
medal4-0-4-6,1,68,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：普通4-6,普通4-6首次全占领，获得该关卡银星勋章。,,0
medal4-1-1-1,1,69,90,90,90,90,30,0,0,0,,全境封锁：紧急1-1,紧急1-1首次全占领，获得该关卡银星勋章。,,0
medal4-1-1-2,1,70,90,90,90,90,30,0,0,0,,全境封锁：紧急1-2,紧急1-2首次全占领，获得该关卡银星勋章。,,0
medal4-1-1-3,1,71,90,90,90,90,30,0,0,0,1-1,全境封锁：紧急1-3,紧急1-3首次全占领，获得该关卡银星勋章。,,0
medal4-1-1-4,1,72,90,90,90,90,30,0,0,0,1-1,全境封锁：紧急1-4,紧急1-4首次全占领，获得该关卡银星勋章。,,0
medal4-1-2-1,1,73,120,120,120,120,40,0,0,0,1-1,全境封锁：紧急2-1,紧急2-1首次全占领，获得该关卡银星勋章。,,0
medal4-1-2-2,1,74,120,120,120,120,40,0,0,0,1-1,全境封锁：紧急2-2,紧急2-2首次全占领，获得该关卡银星勋章。,,0
medal4-1-2-3,1,75,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：紧急2-3,紧急2-3首次全占领，获得该关卡银星勋章。,,0
medal4-1-2-4,1,76,120,120,120,120,40,0,0,0,"1-1,3-1,4-1",全境封锁：紧急2-4,紧急2-4首次全占领，获得该关卡银星勋章。,,0
medal4-1-3-1,1,77,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：紧急3-1,紧急3-1首次全占领，获得该关卡银星勋章。,,0
medal4-1-3-2,1,78,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：紧急3-2,紧急3-2首次全占领，获得该关卡银星勋章。,,0
medal4-1-3-3,1,79,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：紧急3-3,紧急3-3首次全占领，获得该关卡银星勋章。,,0
medal4-1-3-4,1,80,150,150,150,150,50,0,0,0,"1-1,3-1,4-1",全境封锁：紧急3-4,紧急3-4首次全占领，获得该关卡银星勋章。,,0
medal4-1-4-1,1,81,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：紧急4-1,紧急4-1首次全占领，获得该关卡银星勋章。,,0
medal4-1-4-2,1,82,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：紧急4-2,紧急4-2首次全占领，获得该关卡银星勋章。,,0
medal4-1-4-3,1,83,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：紧急4-3,紧急4-3首次全占领，获得该关卡银星勋章。,,0
medal4-1-4-4,1,84,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：紧急4-4,紧急4-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-0-1,1,85,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：0-1,0-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-0-2,1,86,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：0-2,0-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-0-3,1,87,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：0-3,0-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-0-4,1,88,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：0-4,0-4首次全占领，获得该关卡银星勋章。,,0
bestrank5-0-1-1,1,89,30,90,90,90,30,1,10,0,,完美胜利：普通1-1,首次以S评价通过普通1-1，获得该关卡金星勋章。,,0
bestrank5-0-1-2,1,90,90,90,90,90,30,1,10,0,,完美胜利：普通1-2,首次以S评价通过普通1-2，获得该关卡金星勋章。,,0
bestrank5-0-1-3,1,91,90,90,90,90,30,1,10,0,,完美胜利：普通1-3,首次以S评价通过普通1-3，获得该关卡金星勋章。,,0
bestrank5-0-1-4,1,92,90,90,90,90,30,1,10,0,,完美胜利：普通1-4,首次以S评价通过普通1-4，获得该关卡金星勋章。,,0
bestrank5-0-1-5,1,93,90,90,90,90,30,1,10,0,,完美胜利：普通1-5,首次以S评价通过普通1-5，获得该关卡金星勋章。,,0
bestrank5-0-1-6,1,94,90,90,90,90,30,1,10,0,,完美胜利：普通1-6,首次以S评价通过普通1-6，获得该关卡金星勋章。,,0
bestrank5-0-2-1,1,95,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-1,首次以S评价通过普通2-1，获得该关卡金星勋章。,,0
bestrank5-0-2-2,1,96,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-2,首次以S评价通过普通2-2，获得该关卡金星勋章。,,0
bestrank5-0-2-3,1,97,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-3,首次以S评价通过普通2-3，获得该关卡金星勋章。,,0
bestrank5-0-2-4,1,98,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-4,首次以S评价通过普通2-4，获得该关卡金星勋章。,,0
bestrank5-0-2-5,1,99,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-5,首次以S评价通过普通2-5，获得该关卡金星勋章。,,0
bestrank5-0-2-6,1,100,120,120,120,120,40,1,10,0,4-1,完美胜利：普通2-6,首次以S评价通过普通2-6，获得该关卡金星勋章。,,0
bestrank5-0-3-1,1,101,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-1,首次以S评价通过普通3-1，获得该关卡金星勋章。,,0
bestrank5-0-3-2,1,102,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-2,首次以S评价通过普通3-2，获得该关卡金星勋章。,,0
bestrank5-0-3-3,1,103,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-3,首次以S评价通过普通3-3，获得该关卡金星勋章。,,0
bestrank5-0-3-4,1,104,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-4,首次以S评价通过普通3-4，获得该关卡金星勋章。,,0
bestrank5-0-3-5,1,105,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-5,首次以S评价通过普通3-5，获得该关卡金星勋章。,,0
bestrank5-0-3-6,1,106,150,150,150,150,50,1,10,0,"3-1,4-1",完美胜利：普通3-6,首次以S评价通过普通3-6，获得该关卡金星勋章。,,0
bestrank5-0-4-1,1,107,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-1,首次以S评价通过普通4-1，获得该关卡金星勋章。,,0
bestrank5-0-4-2,1,108,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-2,首次以S评价通过普通4-2，获得该关卡金星勋章。,,0
bestrank5-0-4-3,1,109,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-3,首次以S评价通过普通4-3，获得该关卡金星勋章。,,0
bestrank5-0-4-4,1,110,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-4,首次以S评价通过普通4-4，获得该关卡金星勋章。,,0
bestrank5-0-4-5,1,111,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-5,首次以S评价通过普通4-5，获得该关卡金星勋章。,,0
bestrank5-0-4-6,1,112,180,180,180,180,60,1,10,0,"3-1,4-1",完美胜利：普通4-6,首次以S评价通过普通4-6，获得该关卡金星勋章。,,0
bestrank5-1-1-1,1,113,120,120,120,120,40,2,30,0,,完美胜利：紧急1-1,首次以S评价通过紧急1-1，获得该关卡金星勋章。,,0
bestrank5-1-1-2,1,114,120,120,120,120,40,2,30,0,,完美胜利：紧急1-2,首次以S评价通过紧急1-2，获得该关卡金星勋章。,,0
bestrank5-1-1-3,1,115,120,120,120,120,40,2,30,0,,完美胜利：紧急1-3,首次以S评价通过紧急1-3，获得该关卡金星勋章。,,0
bestrank5-1-1-4,1,116,120,120,120,120,40,2,30,0,"3-1,4-1",完美胜利：紧急1-4,首次以S评价通过紧急1-4，获得该关卡金星勋章。,,0
bestrank5-1-2-1,1,117,150,150,150,150,50,2,30,0,"3-1,4-1",完美胜利：紧急2-1,首次以S评价通过紧急2-1，获得该关卡金星勋章。,,0
bestrank5-1-2-2,1,118,150,150,150,150,50,2,30,0,"3-1,4-1",完美胜利：紧急2-2,首次以S评价通过紧急2-2，获得该关卡金星勋章。,,0
bestrank5-1-2-3,1,119,150,150,150,150,50,2,30,0,"3-1,4-1",完美胜利：紧急2-3,首次以S评价通过紧急2-3，获得该关卡金星勋章。,,0
bestrank5-1-2-4,1,120,150,150,150,150,50,2,30,0,"3-1,4-1",完美胜利：紧急2-4,首次以S评价通过紧急2-4，获得该关卡金星勋章。,,0
bestrank5-1-3-1,1,121,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急3-1,首次以S评价通过紧急3-1，获得该关卡金星勋章。,,0
bestrank5-1-3-2,1,122,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急3-2,首次以S评价通过紧急3-2，获得该关卡金星勋章。,,0
bestrank5-1-3-3,1,123,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急3-3,首次以S评价通过紧急3-3，获得该关卡金星勋章。,,0
bestrank5-1-3-4,1,124,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急3-4,首次以S评价通过紧急3-4，获得该关卡金星勋章。,,0
bestrank5-1-4-1,1,125,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急4-1,首次以S评价通过紧急4-1，获得该关卡金星勋章。,,0
bestrank5-1-4-2,1,126,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急4-2,首次以S评价通过紧急4-2，获得该关卡金星勋章。,,0
bestrank5-1-4-3,1,127,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急4-3,首次以S评价通过紧急4-3，获得该关卡金星勋章。,,0
bestrank5-1-4-4,1,128,180,180,180,180,60,2,30,0,"3-1,4-1",完美胜利：紧急4-4,首次以S评价通过紧急4-4，获得该关卡金星勋章。,,0
bestrank5-0-0-1,1,129,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：0-1,首次以S评价通过0-1，获得该关卡金星勋章。,,0
bestrank5-0-0-2,1,130,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：0-2,首次以S评价通过0-2，获得该关卡金星勋章。,,0
bestrank5-0-0-3,1,131,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：0-3,首次以S评价通过0-3，获得该关卡金星勋章。,,0
bestrank5-0-0-4,1,132,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：0-4,首次以S评价通过0-4，获得该关卡金星勋章。,,0
user_exp,5,133,30,30,30,30,10,0,0,29,,评级晋升：5级,指挥官等级达到5级。,,0
user_exp,10,134,60,60,60,60,20,0,0,29,,评级晋升：10级,指挥官等级达到10级。,,0
user_exp,15,135,100,100,100,100,30,0,0,27,"1-1,3-1,4-1",评级晋升：15级,指挥官等级达到15级。,,0
user_exp,20,136,150,150,150,150,50,0,0,27,"1-1,3-1,4-1",评级晋升：20级,指挥官等级达到20级。,,0
user_exp,25,137,200,200,200,200,60,0,0,58,"1-1,3-1,4-1",评级晋升：25级,指挥官等级达到25级。,,0
user_exp,30,138,250,250,250,250,80,0,0,58,"1-1,3-1,4-1",评级晋升：30级,指挥官等级达到30级。,,0
user_exp,35,139,300,300,300,300,100,0,0,58,"1-2,3-2,4-2",评级晋升：35级,指挥官等级达到35级。,,0
user_exp,40,140,350,350,350,350,120,0,0,37,"1-2,3-2,4-2",评级晋升：40级,指挥官等级达到40级。,,0
user_exp,45,141,400,400,400,400,130,0,0,37,"1-2,3-2,4-2",评级晋升：45级,指挥官等级达到45级。,,0
user_exp,50,142,450,450,450,450,150,0,0,37,"1-2,3-2,4-2",评级晋升：50级,指挥官等级达到50级。,,0
user_exp,60,143,500,500,500,500,180,0,0,77,"1-3,3-3,4-3",评级晋升：60级,指挥官等级达到60级。,,0
user_exp,70,144,600,600,600,600,200,0,0,77,"1-3,3-3,4-3",评级晋升：70级,指挥官等级达到70级。,,0
user_exp,80,145,700,700,700,700,220,0,0,77,"1-3,3-3,4-3",评级晋升：80级,指挥官等级达到80级。,,0
user_exp,90,146,800,800,800,800,250,3,0,0,"1-3,3-3,4-3",评级晋升：90级,指挥官等级达到90级。,,0
user_exp,100,147,1000,1000,1000,1000,300,3,0,0,"1-5,3-5,4-5",评级晋升：100级,指挥官等级达到100级。,,0
user_exp,120,148,1200,1200,1200,1200,400,6,0,0,"1-5,3-5,4-5",评级晋升：120级,指挥官等级达到120级。,,0
user_exp,140,149,1400,1400,1400,1400,450,6,0,0,"1-5,3-5,4-5",评级晋升：140级,指挥官等级达到140级。,,0
user_exp,160,150,1600,1600,1600,1600,500,9,0,0,"1-5,3-5,4-5",评级晋升：160级,指挥官等级达到160级。,,0
user_exp,180,151,1800,1800,1800,1800,600,9,0,0,"1-5,3-5,4-5",评级晋升：180级,指挥官等级达到180级。,,0
user_exp,200,152,2000,2000,2000,2000,700,9,0,0,"1-5,3-5,4-5",评级晋升：200级,指挥官等级达到200级。,,0
medal1-0-5-1,1,153,150,150,150,150,50,0,0,0,,完成行动：普通5-1,首次通过普通5-1，获得该关卡铜星勋章。,,0
medal1-0-5-2,1,154,150,150,150,150,50,0,0,0,,完成行动：普通5-2,首次通过普通5-2，获得该关卡铜星勋章。,,0
medal1-0-5-3,1,155,150,150,150,150,50,0,0,0,,完成行动：普通5-3,首次通过普通5-3，获得该关卡铜星勋章。,,0
medal1-0-5-4,1,156,150,150,150,150,50,0,0,0,,完成行动：普通5-4,首次通过普通5-4，获得该关卡铜星勋章。,,0
medal1-0-5-5,1,157,150,150,150,150,50,0,0,0,,完成行动：普通5-5,首次通过普通5-5，获得该关卡铜星勋章。,,0
medal1-0-5-6,1,158,150,150,150,150,50,0,0,0,,完成行动：普通5-6,首次通过普通5-6，获得该关卡铜星勋章。,,0
medal1-1-5-1,1,159,180,180,180,180,60,0,0,0,,完成行动：紧急5-1,首次通过紧急5-1，获得该关卡铜星勋章。,,0
medal1-1-5-2,1,160,180,180,180,180,60,0,0,0,,完成行动：紧急5-2,首次通过紧急5-2，获得该关卡铜星勋章。,,0
medal1-1-5-3,1,161,180,180,180,180,60,0,0,0,,完成行动：紧急5-3,首次通过紧急5-3，获得该关卡铜星勋章。,,0
medal1-1-5-4,1,162,180,180,180,180,60,0,0,0,,完成行动：紧急5-4,首次通过紧急5-4，获得该关卡铜星勋章。,,0
medal4-0-5-1,1,163,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-1,普通5-1首次全占领，获得该关卡银星勋章。,,0
medal4-0-5-2,1,164,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-2,普通5-2首次全占领，获得该关卡银星勋章。,,0
medal4-0-5-3,1,165,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-3,普通5-3首次全占领，获得该关卡银星勋章。,,0
medal4-0-5-4,1,166,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-4,普通5-4首次全占领，获得该关卡银星勋章。,,0
medal4-0-5-5,1,167,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-5,普通5-5首次全占领，获得该关卡银星勋章。,,0
medal4-0-5-6,1,168,180,180,180,180,60,0,0,0,"1-1,3-1,4-1",全境封锁：普通5-6,普通5-6首次全占领，获得该关卡银星勋章。,,0
medal4-1-5-1,1,169,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：紧急5-1,紧急5-1首次全占领，获得该关卡银星勋章。,,0
medal4-1-5-2,1,170,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：紧急5-2,紧急5-2首次全占领，获得该关卡银星勋章。,,0
medal4-1-5-3,1,171,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：紧急5-3,紧急5-3首次全占领，获得该关卡银星勋章。,,0
medal4-1-5-4,1,172,210,210,210,210,70,0,0,0,"1-1,3-1,4-1",全境封锁：紧急5-4,紧急5-4首次全占领，获得该关卡银星勋章。,,0
bestrank5-0-5-1,1,173,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-1,首次以S评价通过普通5-1，获得该关卡金星勋章。,,0
bestrank5-0-5-2,1,174,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-2,首次以S评价通过普通5-2，获得该关卡金星勋章。,,0
bestrank5-0-5-3,1,175,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-3,首次以S评价通过普通5-3，获得该关卡金星勋章。,,0
bestrank5-0-5-4,1,176,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-4,首次以S评价通过普通5-4，获得该关卡金星勋章。,,0
bestrank5-0-5-5,1,177,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-5,首次以S评价通过普通5-5，获得该关卡金星勋章。,,0
bestrank5-0-5-6,1,178,210,210,210,210,70,1,10,0,"3-1,4-1",完美胜利：普通5-6,首次以S评价通过普通5-6，获得该关卡金星勋章。,,0
bestrank5-1-5-1,1,179,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：紧急5-1,首次以S评价通过紧急5-1，获得该关卡金星勋章。,,0
bestrank5-1-5-2,1,180,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：紧急5-2,首次以S评价通过紧急5-2，获得该关卡金星勋章。,,0
bestrank5-1-5-3,1,181,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：紧急5-3,首次以S评价通过紧急5-3，获得该关卡金星勋章。,,0
bestrank5-1-5-4,1,182,240,240,240,240,80,2,30,0,"3-1,4-1",完美胜利：紧急5-4,首次以S评价通过紧急5-4，获得该关卡金星勋章。,,0
user_exp,220,183,2200,2200,2200,2200,750,12,0,0,"1-6,3-6,4-6",评级晋升：220级,指挥官等级达到220级。,,0
user_exp,240,184,2400,2400,2400,2400,800,12,0,0,"1-7,3-7,4-7",评级晋升：240级,指挥官等级达到240级。,,0
