id,name,code,start_type,start_offset,destination_type,destination_offset,decision_offset,is_form_offset,is_form_offset_start,is_tracing,is_clone,random_number,random_offset,route_type,route_hight,speed,easing_type,spin_velocity,rotate,exist_duration,effect_type,effect_area,effect_param_1,effect_param_2,hurt_id,hurt_cd,buff_id,buff_type,buff_cd,is_single_hurt,is_form_play,creation_type,scale,trigger_creation_id,trigger_creation_delay,sound_order,sound_delay,summoner_order,summoner_delay,is_die_delete,edge_indicator
22,闪光弹炫目,闪光弹屏幕,7,0,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,"2,2",,,,0,,,0,0
23,火环,火环,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,"20,0,0",30,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
24,燃烧坑,燃烧坑,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,"20,0,0",90,0,1,0,0,0,0,0,0,0,0,1,1,"1.6,0.8",,,,0,,,0,0
25,手榴弹坑,手雷坑,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"-15,0,0",80,0,1,0,0,0,0,0,0,0,0,1,1,"1.5,1",,,,0,,,0,0
26,建筑师SP开炮,ARCHITECT/SPFire,Mis,0.2,Mis,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,1,1,,,MissileExplo,0,,,0,0
27,建筑师SP开炮爆炸,爆炸,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,1,1,1,,,BT_grenade_explode,0,,,0,0
28,建筑师爆炸烟雾,爆炸烟雾,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
29,信号弹枪口火光,Fire,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"0,0,45",1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
30,霰弹枪枪口火光,ShotGun/Fire,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
31,霰弹枪爆裂射击,bullet/bullet2,1,0,5,0,0,1,1,0,1,0,0,1,0,9000,0,0,0,30,0,1,0,0,9,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_Shot_1,0,,,0,0
32,霰弹枪终结者,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,9000,0,0,0,30,0,1,0,0,10,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_Shot_1,0,,,0,0
33,霰弹枪独头弹,,1,0,5,0,0,1,1,0,0,0,0,1,0,9000,0,0,0,30,0,1,0,0,11,0,0,0,0,0,1,0,1,,,BT_Shot_1,0,,,0,0
34,炮台开炮,ARCHITECT/SPFire,muzzle,"0.6,0.08",muzzle,"0.6,0.08",0,1,1,0,0,0,0,0,0,0,0,0,"20,0,12",45,0,0,0,0,0,0,0,0,0,0,1,1,"2,2",,,MissileExplo,0,,,0,0
35,敌方枪口火光,Fire,1,"0,-0.15",1,"0,-0.15",0,1,1,0,0,0,0,0,0,0,0,0,"0,0,180",1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
36,烟雾弹烟雾,Smoke,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,*102,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
37,狙击子弹尾迹,SniperSkillBullet,1,0,1,"20,0",0,1,1,0,0,0,0,4,0,3800,0,0,"0,90,0",30,0,1,0,0,0,0,0,0,0,0,1,0,1,,,BT_rifle_skill,0,,,0,0
38,狙击子弹尾迹,SniperSkillBullet,1,0,5,0,0,1,1,0,0,0,0,4,0,4200,0,0,"0,90,0",30,0,1,0,0,1,0,0,0,0,0,1,0,1,314,-1,,,,,0,0
39,CZ75飞斧,axe,2,0,5,1,0,1,1,0,0,0,0,2,100,2500,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,"0.4,0.4","40,41","-1,-1",BT_SAxe_throw,0,,,0,0
40,CZ75飞斧爆炸,编织者飞弹爆炸,5,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,1,"0.1,0.1",,,BT_SAxe_hit,0,,,0,0
41,CZ75飞斧回旋,axe,5,1,2,0,0,1,1,0,0,0,0,2,-100,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0.4,0.4",,,BT_SAxe_throw,0,,,0,0
42,CZ75落地扬尘,HitBack,3,-1,3,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
43,Saiga12伤害判定1,,1,0,5,0,0,1,1,0,1,0,0,1,0,9000,0,0,0,30,0,1,0,0,12,0,0,0,0,0,1,0,1,,,BT_Shot_1,0,,,0,0
44,Saiga12伤害判定2,,1,0,5,0,0,1,1,0,1,0,0,1,0,9000,0,0,0,30,0,1,0,0,13,0,0,0,0,0,1,0,1,,,BT_Shot_1,0,,,0,0
45,Saiga12伤害判定3,,1,0,5,0,0,1,1,0,1,0,0,1,0,9000,0,0,0,30,0,1,0,0,14,0,0,0,0,0,1,0,1,,,BT_Shot_1,0,,,0,0
46,刽子手枪口火光,Fire,1,"0.2,-0.2",1,"0.2,-0.2",0,1,1,0,0,0,0,0,0,0,0,0,"0,0,180",1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
47,利贝罗勒火力上,,1,"-1.2,0,4",1,"-1.2,0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"101:1,1201:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
48,利贝罗勒火力下,,1,"-1.2,0,-4",1,"-1.2,0,-4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"101:1,1201:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
49,利贝罗勒射速上,,1,"-1.2,0,4",1,"-1.2,0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"115:1,1204:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
50,利贝罗勒射速下,,1,"-1.2,0,-4",1,"-1.2,0,-4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"115:1,1204:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
51,利贝罗勒命中上,,1,"-1.2,0,4",1,"-1.2,0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"116:1,1203:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
52,利贝罗勒命中下,,1,"-1.2,0,-4",1,"-1.2,0,-4",0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1,*102,0,0,"116:1,1203:1",0,"0,0",0,1,0,"1,0,2",,,,0,,,0,0
53,暴动宣告普攻子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,3500,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_machine,"0,1,2,3,4",,,0,0
54,暴动宣告子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,3500,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,"0.7,0.7",,,BT_machine,"0,1,2,3,4",,,0,0
55,NER扫射,Noel/Noel SPattack,3,"-0.4,0.52",3,"-0.4,0.52",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"0.9,0.9,0",,,,0,,,0,0
56,NER冲撞,,3,1.5,3,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,10,2,2,*101,*102,17,0,224,0,0,0,1,0,"2.5,0,2",,,,0,,,0,0
57,NER扫射伤害判定,,3,1.5,3,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,35,2,2,*101,*102,18,5,0,0,0,0,1,0,"2.5,0,2",,,,0,,,0,0
58,MUT蓝星,myu/SPbluestar,3,"-2,0.5",3,"-2,0.5",0,1,1,0,0,0,0,0,0,0,0,0,"20,0,0",0,0,0,0,0,0,0,0,0,0,0,1,0,"0.9,0.9,0",,,,0,,,0,0
59,MUTSP攻击,myu/SPAttack,3,"-1.7,0.7",3,"-1.7,0.7",0,1,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,"0.9,0.9,0",,,,0,,,0,0
60,黑场淡入,CommonTrans/black block,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
61,白场淡入,CommonTrans/white block,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
62,MUT斩击,,3,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,8,2,2,*101,*102,18,1,0,0,0,0,1,0,"4,0,2",,,,0,,,0,0
63,黑场淡出,CommonTrans/black block out,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
64,白场淡出,CommonTrans/white block out,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
65,英梨梨SP攻击,Elfeldt/Elfeldt  SP Attack,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,"20,0,0",150,0,0,0,0,0,0,0,0,0,0,1,0,"1,1,0",,,,0,,,0,0
66,英梨梨火箭开火,Elfeldt/Elfeldt RocketFire,muzzle3,"1.4,-0.2",muzzle3,"1.4,-0.2",0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,"1,1,0",,,gg_elfeldt_fashehuojian,0,,,0,0
67,英梨梨火箭,Elfeldt/Elfeldt Rocket,muzzle3,"0.3,0",5,0,0,1,1,0,0,0,0,1,0,3500,0,0,"20,0,4",30,0,0,0,0,0,0,0,0,0,0,1,0,"0.7,0.7,0",68,-1,,0,,,0,0
68,英梨梨爆炸特效,Elfeldt/GGXRD Hit Controller,5,"1.5,1.5",5,"1.5,1.5",0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,"1,1,0",,,,0,,,0,0
69,英梨梨SP射线,Elfeldt/ShootLine Controller,muzzle2,"2,0.2",muzzle2,"2,0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,"1,0.5,0",,,gg_elfeldt_shexian,0,,,0,0
70,英梨梨伤害判定1,,5,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,19,0,0,0,0,0,1,0,0,,,gg_elfeldt_diyicibaozha,0,,,0,0
71,英梨梨伤害判定2,,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,1,*101,0,21,0,0,0,0,0,1,0,0,,,gg_elfeldt_diercibaozha,0,,,0,0
72,英梨梨霰弹枪枪口火光,Elfeldt/ELF Fire,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,0,,,0,0
73,英梨梨移动导弹伤害判定,,1,0,5,0,0,0,0,0,0,0,0,1,0,3000,0,0,0,0,2,1,1,0,20,1,0,0,0,1,1,0,1,,,,0,,,0,0
74,NER子弹,SubBulletB,1,"0.3,-0.26",5,0,0,1,1,0,0,0,0,1,0,4000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"1.8,1,1",,,,0,,,0,0
75,NER枪口火光1,Noel/sheji,1,"0.3,-0.26",1,"0.3,-0.26",0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
76,NER枪口火光2,Noel/sheji,muzzle2,"-0.1,-0.2",muzzle2,"-0.1,-0.2",0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
77,NER子弹2,SubBulletB,muzzle2,"-0.1,-0.2",5,0,0,1,1,0,0,0,0,1,0,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"1.8,1,1",,,,0,,,0,0
78,新爆破榴弹面片,爆破榴弹,1,0,6,0,0,1,1,1,0,0,0,2,120,2400,0,-300,"0,0,20",0,0,1,0,0,417,0,0,0,0,0,1,0,"0.45,0.45","118,25","-1,-1",,0,,,0,0
79,我方铁血ERR枪口火光,BossElfeldt/Elfeldt3 Skill Controller,muzzle3,0,muzzle3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,"0.8,0.8,0",,,,0,,,0,0
80,我方铁血ERR子弹,,1,0,5,0,0,1,1,0,0,0,0,1,0,3000,0,0,0,1,0,1,0,0,19,0,0,0,0,0,1,0,1,81,-1,,0,,,0,0
81,我方铁血ERRSP命中,BossElfeldt/ELF Skill Hit Controller,7,"0,-0.2",7,"0,-0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,"0.8,0.8,0",,,BOSS_elfeldt_baozha,0,,,0,0
82,我方铁血ULT炮口火花,Elfeldt/Elefeldt3 SKILL FIRE(wf),muzzle2,0.5,muzzle2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,"-0.8,0.8,0",,,,0,,,0,0
83,我方铁血ULT炮弹,BossElfeldtULT/Bullet Fly,muzzle2,"0.3,-0.3",5,"0,-0.3",1,0,0,0,0,0,0,1,0,3000,0,0,"0,0,0",0,0,0,0,0,0,0,0,0,0,0,1,0,"-0.6,1,0",84,-1,,0,,,0,0
84,我方铁血ULT命中特效,BossElfeldtULT/Elefeldt3 BOSS SKILL Controller,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,0,0",35,0,0,0,0,0,0,0,0,0,0,1,0,"1,1,0","85,87","11,-1",BT_MissileLaunch,0,,,0,0
85,我方铁血ULT命中爆炸,BossElfeldtULT/Elefeldt3 BOSS SKILL BOOM Controller,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0,3",35,0,0,0,0,0,0,0,0,0,0,1,0,"1,1,1",71,-1,BT_boss9_skill_2,0,,,0,0
86,NER减速场,,1,0,5,0,0,1,1,0,0,0,0,1,0,3000,0,0,0,30,0,1,0,0,25,0,0,0,0,0,1,0,1,,,,0,,,0,0
87,黑场淡入,CommonTrans/black block,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
88,黑场淡出,CommonTrans/black block out,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,"5000,5000,0",,,,0,,,0,0
89,加兰德漏夹,m1 garand/en bloc clip,2,"-0.8,0.03",2,"-0.8,0.03",0,1,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,"0.5,0.5",,,,0,,,0,0
90,贯通射击移动伤害判定圈,,1,0,5,0,0,0,0,0,0,0,0,6,0,12000,0,0,0,90,2,1,*101,0,25,1,0,0,0,1,1,0,1,,,,0,,,0,0
91,贯通射击追伤判定,SniperSkillBullet,1,0,5,0,0,1,1,0,0,0,0,4,0,3000,0,0,0,0,0,1,0,0,26,0,0,0,0,0,1,0,1,93,-1,,0,,,0,0
92,狙击子弹尾迹,,1,0,5,0,0,1,1,0,0,0,0,1,0,30000,0,0,"0,90,0",30,0,1,0,0,0,0,0,0,0,0,1,0,1,,,BT_rifle_skill,0,,,0,0
93,狙击子弹爆炸,编织者飞弹爆炸,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
94,HNB燃烧弹面片,firework/yanhua,2,"0.6,-0.44",6,"0,1",0,0,1,1,0,0,0,2,100,2500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"0.5,0.5","97,98,96,99","-1,-1,-1,-1",,0,,,0,0
95,HNB子弹面片,firework/yanhua2,1,0,5,0,0,1,1,0,0,0,0,1,0,3500,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,,,BT_pistol,0,,,0,0
96,HNB,firework/yanhua_bao,7,"0,-1",7,"0,-1",0,1,1,0,0,0,0,0,0,0,0,0,"20,0,0",30,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
97,HNB燃烧弹瞬时结算,,7,"0,-1",7,"0,-1",0,1,1,0,0,0,0,0,0,0,0,0,0,30,2,1,*101,0,4,0,0,0,0,0,1,0,1,,,BT_KLIN_HANABI_BOOM,0,,,0,0
98,HNB燃烧弹DOT结算,火苗,7,"0,-1",7,"0,-1",0,1,1,0,0,0,0,0,0,0,0,0,0,*102,2,1,*101,0,5,10,3159,0,10,0,1,1,"3,0.1,3",,,BT_firebomb_fireloop,0,,,0,0
99,HNB燃烧坑,燃烧坑,7,"0,-1",7,"0,-1",0,1,1,0,0,0,0,0,0,0,0,0,"20,0,0",90,0,1,0,0,0,0,0,0,0,0,1,1,"1.6,0.8",,,,0,,,0,0
100,起源弹,SniperSkillBullet,hip,"0.55,0.45",5,0,0,1,1,0,0,0,0,4,0,5000,0,0,0,0,0,0,0,0,330,0,0,0,0,0,1,0,1,,,BT_rifle_skill,0,,,0,0
101,竞争者子弹,bullet/bullet2,hip,"0.55,0.45",5,0,0,1,1,0,0,0,0,1,0,3500,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.7,0.7",,,BT_rifle,0,,,0,0
102,竞争者火光,Fire,hip,"0.55,0.45",hip,"0.55,0.45",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
111,烟雾弹结算范围,,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,*102,2,1,*101,0,0,0,209,0,30,0,1,0,1,,,BT_gasbomb_explode,0,,,0,0
112,闪光弹结算范围,闪光弹爆炸,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,2,1,*101,0,0,0,221,0,0,0,1,0,1,,,BT_flashbomb_explode,0,,,0,0
113,燃烧弹DOT结算,火苗,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,*102,2,1,*101,0,5,10,3159,0,10,0,1,0,"3,0.1,3",,,BT_firebomb_fireloop,0,,,0,0
114,榴弹结算范围,爆炸,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,1,*101,0,2,0,0,0,0,0,1,0,1,,,BT_grenade_explode,0,,,0,0
115,燃烧弹瞬时结算,,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,2,1,*101,0,4,0,0,0,0,0,1,0,1,,,BT_firebomb_explode,0,,,0,0
116,信号弹地面,照明弹,8,"3,7,0",8,"8,-3,5",0,1,1,0,0,0,0,1,0,110,0,0,"0,0,90",180,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
117,烟雾弹结算范围2,,7,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,*102,2,2,*101,*101,0,0,210,0,30,0,1,0,1,,,,0,,,0,0
118,榴弹结算范围内,爆炸,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,22,0,0,0,0,0,1,0,"1,1,0","119,120,121,122","2,2,2,2",BT_firebomb_explode,0,,,0,0
119,榴弹结算范围中上,,7,"0,0,1.6",7,"0,0,1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,23,0,0,0,0,0,1,0,"1.6,1,1.6","123,127","2,2",,0,,,0,0
120,榴弹结算范围中下,,7,"0,0,-1.6",7,"0,0,-1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,23,0,0,0,0,0,1,0,"1.6,1,1.6","124,130","2,2",,0,,,0,0
121,榴弹结算范围中左,,7,"-1.6,0,0",7,"-1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,23,0,0,0,0,0,1,0,"1.6,1,1.6","125,128","2,2",,0,,,0,0
122,榴弹结算范围中右,,7,"1.6,0,0",7,"1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,23,0,0,0,0,0,1,0,"1.6,1,1.6","126,129","2,2",,0,,,0,0
123,榴弹结算范围外上,,7,"0,0,1.6",7,"0,0,1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
124,榴弹结算范围外下,,7,"0,0,-1.6",7,"0,0,-1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
125,榴弹结算范围外左,,7,"-1.6,0,0",7,"-1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
126,榴弹结算范围外右,,7,"1.6,0,0",7,"1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
127,榴弹结算范围外左上,,7,"-1.6,0,0",7,"-1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
128,榴弹结算范围外左下,,7,"0,0,-1.6",7,"0,0,-1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
129,榴弹结算范围外右上,,7,"0,0,1.6",7,"0,0,1.6",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
130,榴弹结算范围外右下,,7,"1.6,0,0",7,"1.6,0,0",0,1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,*101,*101,24,0,0,0,0,0,1,0,"1.6,0.1,1.6",,,,0,,,0,0
132,手雷爆炸,burakuhoru/heidong1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
133,性能测试光球,seinoutest/test 1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,1,2,1,,,,0,,,0,0
