id,target,offset,distance,duration,cd,is_character,easing_type
717,1,"0.4,0,0",0,25,0,1,0
718,1,"12,0,0",0,60,0,1,0
719,1,"3,0,0",0,60,0,1,0
720,1,"-0.05,0,0",0,25,0,1,0
721,1,"0.1,0,0",0,25,0,1,0
722,1,"0.1,0,0",0,10,0,1,0
723,1,"-0.1,0,0",0,10,0,1,0
724,1,"0.2,0,0",0,10,0,1,0
725,1,"-0.2,0,0",0,10,0,1,0
726,1,"0.5,0,0",0,90,0,1,0
727,1,"-0.5,0,0",0,60,0,1,0
728,1,"20,0,0",0,60,0,1,0
729,1,"5,0,0",0,60,0,1,0
730,1,"1,0,0",0,10,10,1,0
731,1,"-7,0,0",0,11,11,1,0
732,1,"6,0,0",0,17,17,1,0
733,1,"0.5,0,0",0,20,0,1,0
734,1,"-0.5,0,0",0,8,0,1,0
735,2,"-0.5,0,0",0,15,15,0,0
736,0,"0,0,0",0,11,11,0,0
737,1,"0,0,0",0,17,17,0,0
738,2,"0.5,0,0",0,15,15,0,0
739,3,"2,0,0",0,90,3,1,0
740,2,"6,0,0",0,30,30,1,5
741,1,"-2,0,0",0,45,45,1,5
742,2,"6.5,0,0",0,26,26,1,5
743,3,"6.235,-0.65,0",0,26,26,1,5
744,3,"6.235,-4.85,0",0,26,26,1,5
745,3,"6.235,3.55,0",0,20,20,1,5
746,3,"6.235,-2.75,0",0,20,20,1,5
747,3,"6.235,-6.95,0",0,20,20,1,5
748,3,"6.235,1.45,0",0,20,20,1,5
749,3,"29.235,-0.65,0",0,20,20,1,5
750,1,"-5,0,0",0,40,40,1,11
751,2,"-2,0,0",0,12,12,0,0
752,2,"-2,0,0",0,36,36,0,0
753,7,"0,0,0",0,15,15,0,0
754,1,"0,-12,0",0,29,29,1,0
755,1,"0,12,0",0,30,30,1,0
756,1,"0,-12,0",0,29,29,1,6
757,1,"0,12,0",0,30,30,1,6
758,1,"0,-6,0",0,14,14,1,23
759,1,"0,-6,0",0,15,15,1,22
760,1,"0,6,0",0,15,15,1,23
761,1,"0,6,0",0,15,15,1,22
762,1,"0,3,0",0,2,60,1,0
763,1,"0,-3,0",0,2,60,1,0
764,1,"0,-3,0",0,2,60,1,0
765,1,"0,3,0",0,2,60,1,0
766,1,"0,-12,0",0,59,59,1,0
767,1,"0,12,0",0,60,60,1,0
768,1,"0,-12,0",0,44,44,1,0
769,1,"0,12,0",0,45,45,1,0
770,1,"0,-12,0",0,14,14,1,0
771,1,"0,12,0",0,15,15,1,0
772,1,"0,-12,0",0,14,14,1,6
773,1,"0,12,0",0,15,15,1,6
774,1,"0,-12,0",0,14,14,1,4
775,1,"0,12,0",0,15,15,1,4
776,3,"5,-0.65,0",0,19,20,1,0
777,2,"2.4,0,0",0,2,18,1,0
778,3,"16,-0.65,0",0,6,6,1,0
779,2,"2.4,0,0",0,6,18,1,0
780,2,"1,0,-1",0,1,1,1,0
801,1,"-8,0,0",8,30,0,1,0
802,1,"8,0,0",8,30,0,1,0
803,1,"2,0,0",2,30,30,1,0
804,1,"2,0,0",2,18,15,1,0
805,1,"1,0,0",1,15,15,1,0
806,1,"8,0,0",0,90,90,1,0
807,1,"-8,0,0",0,90,90,1,0
808,2,"5,0,0",0,30,29,0,0
809,1,"0,0,0",0,1,1,0,0
810,2,"0,0,0",0,18,17,1,0
811,0,"0,0,0",0,3,0,1,0
812,2,"-2,0,0",0,12,12,0,0
813,2,"-2,0,0",-1,60,60,0,0
814,1,"0,0,0",0,12,12,0,0
815,1,"-2.8,0,0",0,28,28,1,0
816,1,"5,0,0",0,1,1,1,0
817,1,"1,0,0",0,1,1,1,0
818,2,"3,0,0",0,36,36,1,0
819,2,"2,0,0",0,1,1,1,0
820,2,"-2,-1.6,0",0,8,8,0,0
821,1,"-2,0,0",0,30,30,1,0
822,1,"2,0,0",0,1,1,1,0
823,1,"1,0,0",0,1,1,1,0
824,2,"2,0,0",0,20,20,1,0
825,2,"2,0,0",0,15,15,1,0
826,2,"6,0,0",0,40,40,1,0
827,3,"4,0,0",0,30,30,1,0
828,0,"0,0,0",0,10,10,0,0
829,2,"2,0,0",0,9,9,0,0
830,2,"2,0,0",0,10,10,0,0
831,2,"0,0,0",0,10,10,0,0
832,1,"0,0,0",0,40,40,0,0
833,1,"6,0,0",0,40,40,1,0
834,1,"10,0,0",0,1,1,1,0
835,1,"20,0,0",0,20,0,1,0
836,1,"5,0,0",0,12,0,0,0
837,1,"10,0,0",0,150,150,1,0
838,1,"1.2,0,0",0,17,17,0,0
839,1,"1.4,0,0",0,6,6,0,0
840,1,"0,0,0",0,18,18,0,0
841,0,"0,0,0",0,10,10,0,0
842,1,"1.2,0,0",0,5,5,0,0
843,1,"0,0,0",0,8,8,0,0
844,2,"0,0,0",0,2,2,0,0
845,1,"0,0,0",0,8,8,0,0
846,0,"0,0,0",0,12,12,0,2
847,2,"-1,0,0",0,5,5,0,0
848,1,"0,0,0",0,8,8,0,0
849,0,"0,0,0",0,10,10,0,2
850,1,"1.2,0,0",0,13,13,0,0
851,1,"0,0,0",0,13,13,0,0
852,1,"1.5,0,0",0,120,120,1,0
853,1,"0,0,0",0,25,25,1,0
854,1,"0,12,0",0,89,0,1,0
855,1,"0,-12,0",0,90,0,1,0
856,1,"0.4,0,0",0,30,0,1,0
857,1,"0.2,0,0",0,14,0,1,0
858,1,"7,0,0",0,120,0,1,0
859,1,"0,0,0",0,60,0,1,0
860,1,"3.5,0,0",0,60,0,1,0
861,1,"0,0,0",0,10,0,1,0
862,1,"0,0,0",0,73,0,1,0
863,1,"0,0,0",0,65,0,1,0
864,1,"2,0,0",0,5,5,1,0
1001,2,"1,0,0",0,45,45,1,3
1002,1,"5,0,0",0,15,15,1,0
1003,1,"18,0,0",0,90,90,1,0
1004,1,"-18,0,0",0,90,90,1,0
1005,2,"-1,0,0",0,12,12,1,0
1006,2,"-0.7,0,0",0,50,50,0,23
1007,2,"2.8,0,0",0,3,3,1,0
1008,0,"0,0,0",0,3,3,1,0
1009,2,"2.8,0,0",0,3,3,1,0
1015,2,"0,0,0",0,25,2,1,0
1016,1,"10,0,0",0,5,5,1,0
1017,1,"30,0,0",0,1,1,1,0
1018,2,"2,0,0",0,15,15,1,0
1019,2,"0,0,0",0,60,60,1,0
1020,2,"0,0,0",0,60,60,1,0
1021,3,"-20,0,0",0,1,1,1,0
1022,2,"3,0,0",0,90,90,1,0
999011,1,"3,0,0",0,90,90,1,1
999012,1,"3,0,0",0,30,30,1,0
999013,1,"3,0,0",0,30,30,1,0
