parameter_name,parameter_type,parameter_value,client_require
sangvis_hiringteam_battle_moretime_awardradio,int,0,1
sangvis_hiringteam_extra_ratio,int,300,1
sangvis_hiringteam_extra_time,string,"1:1,4,0|2:2,5,0|3:3,6,0",1
sangvis_is_nonboss_adjutant,int,1,1
sangvis_lv_max,int,100,1
sangvis_mall_limit,int,10,1
sangvis_max_teamlot,string,9,1
sangvis_mission_attack_cost,string,"2,1",1
sangvis_mission_standby_cost,string,"0,1",1
sangvis_rate_limit,int,150,1
sangvis_shape_val,string,"1:100,2:102,3:105,4:108,5:110,0:100",1
sangvis_skill1_effect,string,"35,5",1
sangvis_skill2_effect,string,"15,2",1
sangvis_strategy_unlocklv,string,"3,4",1
sangvis_talent_skill_effect,string,"15,2",1
sangvis_teammember_location_type,string,"2,3",1
sangvis_team_cost,int,36,1
server_time_switch,int,0,1
seven_attendance_duration,int,14,1
seven_spendpoint_duration,int,14,1
sg_reload_time,string,"0.5,1.5",1
sg_target_num,int,3,1
share_global_switch,int,1,1
share_qrcode_switch ,int,1,1
show_additional_index,int,1,1
show_fairy_additional_index,int,1,1
simple_battle_switch,string,1,1
sim_energy_recover_max,int,12,1
skill2_effect,string,"15,2",1
skill_cd_reduction_limit,int,30,1
skill_effect,string,"35,5",1
skill_efficien1,int,120,1
skill_efficien2,int,120,1
skill_lv_efficien1,int,30,1
skill_lv_efficien2,int,30,1
skin_type_txt,string,"1:31899,LUNAR NEW YEAR;2:31900,NEW YEAR;3:31901,WHITEDAY;4:31902,ANNVERSARY;5:31903,CHILDREN'S DAY;6:31904,SWIMSUIT;7:31905,HALLOWEEN;8:31906,CHRISTMAS;9:31907,OTHERS;10:31915,NPC;11:31916,Collaboration",1
soulbind_global_switch,int,1,1
soul_bond_time_range,string,"2016-09-23 00:00:00,2018-05-03 23:59:59",1
spare_dorm_decoration,string,"207:0|0,204:0|0",1
special_develop_guarantee,string,"10000,3",1
special_develop_gun,string,"100,1",1
special_develop_input,string,"1:3,20:5,50:10",1
special_develop_quickInput,int,10,1
special_develop_switch,int,1,1
special_equip_build,int,60,1
special_equip_develop_switch,int,1,1
special_equip_input,string,"1:2,20:4,50:6",1
special_equip_quickinput,int,10,1
special_equip_resource_range,string,"500,5000",1
speed_basic,string,"10,100",1
speed_teleport_mission,string,10823,1
spendpoint_max,string,"1,5000;2,20000;3,-1",1
squad_advanced_data_cell,int,20,1
squad_ap,string,"1,2,1",1
squad_atk_speed_coef,int,50,1
squad_basic_lv,int,50,1
squad_battle_attack_cost,string,"2,1",1
squad_battle_exp_damping,string,"10,5",1
squad_battle_exp_M1,int,10,1
squad_battle_exp_M2,string,"10,3",1
squad_battle_grade,string,"1,0.8",1
squad_chip_abandon_resource,string,"2:2,2,2,2|3:3,3,3,3|4:4,4,4,4|5:5,5,5,5",1
squad_chip_exp_basic_ratio,string,"2:50,3:100,4:200,5:300",1
squad_chip_exp_change_ratio,float,0.8,1
squad_chip_exp_indeed_ratio,string,"2:1,3:1,4:2,5:3",1
squad_chip_level_limit,string,"2:0,3:20,4:40,5:60",1
squad_chip_max_lv,int,30,1
squad_chip_rotate_cost,string,"2:20,3:30,4:40,5:50",1
squad_chip_same_color_bonus,int,120,1
squad_chip_strengthen_cost,string,"0.2,0.2,0.2,0.07",1
squad_dodge_coef,int,23,1
squad_general_data_item,int,519,1
squad_hit_coef,int,35,1
squad_lv_max,int,100,1
squad_mission_attack_cost,string,"2,2",1
squad_mission_standby_cost,string,"0,1",1
squad_population,int,3,1
squad_primary_data_cell,int,20,1
squad_rate_max,int,50,1
squad_rate_min,int,5,1
squad_repair_cost,string,"10,50,50",1
squad_repair_lv_coef,int,50,1
squad_repair_resource_coef,string,"100,50",1
squad_repair_time_coef,int,1728,1
squad_skill_training_battery,string,"1:50,2:80,3:100",1
squad_spreport_battery,int,3,1
squad_spreport_exp,int,3000,1
squad_strengthen_number,string,"1,3,3,2,1,10,5,1",1
squad_training_battery,int,5,1
squad_training_time_limit,int,24,1
squad_type_classify,string,"1:1,2,3|2:4,5|3:102",1
ssoc_change_unit_time,int,21600,1
stamina_recover_max,int,6,1
storage_limit,int,4000,1
support_daily_limit,int,20,1
support_limit,int,100,1
support_reward_limit,int,10,1
targettrain_battle_timelimit,int,300,1
targettrain_logmail_num,int,20,1
theater_adaptive_coef,string,"0,0",1
theater_adaptive_limit,int,0,1
theater_advantage_gun_score,int,120,1
theater_advantage_sangvis_score,int,120,1
theater_boss_pt_rank_coef,string,"0.4,0.3,0.2,0.1",1
theater_defeated_coef,int,60,1
theater_fairy_lv_coef,string,"50,150",1
theater_fairy_quality_coef,string,"5,10,15,20,25",1
theater_free_retry,int,5,1
theater_limittimetotip,int,1800,1
theater_rankfreshtime,int,3600,1
theater_sangvis_switch,int,1,1
theater_scout_limit_coef,int,3,1
trail_switch,int,1,1
translate_lv,int,10,1
translate_switch,int,0,1
translate_time_config,string,"1504800000,1506787199",1
trial_stamina_cost,int,3,1
trial_unlock_mission,int,90008,1
tutorial_guide_switch,string,1,1
tw_reset_first_pay_time,int,1531449000,1
use_friend_team_cd,int,21600,1
visit_period,int,8,1
wish_gun_special_rank_type,int,1,1
wish_gun_unique,int,1,1
