id,actions,up_rate,min_time,time_weight,move_speed,interact_point,interact_point_offset
13,"101301,101301,101301,101302,101303,101304,3,43508,18,43104,41919,43105,42023,459044,42032,101300,420472,472182,42070,47225","33,33,33,50,30,20,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
14,"101401,101401,101401,101402,101403,101404,3,43508,18,43104,41919,43105,42023,459044,42032,101400,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
15,"101501,101501,101501,101502,101503,101504,3,43508,18,43104,41919,43105,42023,459044,42032,101500,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
16,"101601,101601,101602,101602,101603,101604,101605,3,18,43104,41919,43105,42023,459044,101606,42032,101600,420472,472182,42070,47225","12,12,12,12,35,60,25,50,0,101,102,100,30,30,99,30,30,30,20,10,10","5,5,5,5,10,30,45,10,11,9,45,10,10,30,5,30,10,10,10,5,5","0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
17,"101701,101701,101701,101702,101703,101704,3,43508,18,43104,41919,43105,42023,459044,42032,101700,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
18,"101801,101801,101801,101802,101803,101804,3,18,43104,41919,43105,42023,459044,42032,101800,420472,472182,42070,47225","12,12,12,30,30,20,20,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
19,"101901,101901,101901,101902,101903,101904,3,18,43104,41919,43105,42023,459044,42032,101900,420472,472182,42070,47225","17,17,17,5,30,30,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
20,"102001,102001,102001,102002,102003,102004,3,43508,18,43104,41919,43105,42023,459044,42032,102000,420472,472182,42070,47225","13,13,13,10,40,20,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
21,"102101,102101,102101,102102,102103,102104,3,43508,18,450102,43104,41919,102105,43105,420231,459044,42032,102100,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,100,101,102,50,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,18,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
22,"102201,102201,102201,102202,102203,102204,3,43508,18,450102,43104,41919,43105,42023,459044,42032,102200,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
23,"102301,102301,102301,102302,102303,102304,3,18,450102,43104,41919,43105,42023,459044,42032,102300,420472,472182,42070,47225","13,13,13,25,45,30,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
24,"102401,102401,102401,102402,102403,102404,3,43508,18,450102,43104,41919,43105,42023,459044,42032,102400,420472,472182,42070,47225","25,25,25,100,12,8,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","2,2,2,15,30,30,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
25,"102501,102501,102501,102502,102503,102504,3,43508,18,43104,41919,43105,42023,459044,42032,102500,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
26,"102601,102601,102601,102602,102603,102604,3,43508,18,43104,41919,43105,42023,459044,42032,102600,472023,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,3,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
27,"102701,102701,102701,102702,102703,102704,3,43508,18,43104,41919,43105,42023,459044,42032,102700,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
28,"102801,102801,102801,102802,102803,102804,3,43508,18,450102,43104,41919,43105,42023,459044,42032,102800,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
29,"102901,102901,102901,102902,102903,102904,3,18,43104,41919,43105,42023,459044,42032,102900,420472,472182,42070,47225","12,12,12,30,30,20,20,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
31,"103101,103101,103101,103102,103103,103104,3,43508,18,43104,41919,43105,42023,459044,42032,103100,420472,472182,42070,47225","25,25,25,100,12,8,50,100,0,101,102,100,30,30,30,30,30,20,10,10","2,2,2,15,30,30,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
32,"103201,103201,103201,103202,103203,103204,3,43508,18,43104,41919,43105,42023,459044,42032,103200,420472,472182,42070,47225","17,17,17,5,30,30,50,0,101,100,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,10,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0",0.0,,
33,"103301,103301,103301,103302,103303,103304,3,43508,18,43104,41919,43105,42023,459044,42032,103300,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
34,"103401,103401,103401,103402,103403,103404,3,43508,18,43104,41919,43105,42023,459044,42032,103400,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
35,"103501,103501,103501,103502,103503,103504,3,18,43104,41919,43105,42023,459044,42032,103500,420472,472182,42070,47225","13,13,13,25,45,30,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
36,"103601,103601,103601,103602,103603,103604,3,43508,18,43104,41919,43105,42023,459044,42032,103600,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
37,"103701,103701,103701,103702,103703,103704,3,18,43104,41919,43105,42023,459044,42032,103700,420472,472182,42070,47225","12,12,12,30,30,20,20,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
38,"103801,103801,103801,103802,103803,103804,3,43508,18,43104,41919,43105,42023,459044,42032,103800,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
39,"103901,103901,103901,103902,103903,103904,3,43508,18,450102,43104,41919,43105,42023,459044,42032,103900,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
40,"104001,104001,104001,104002,104003,104004,3,43508,18,450102,43104,41919,43105,42023,459044,42032,104000,420472,472182,42070,47225","25,25,25,100,12,8,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","2,2,2,15,30,30,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
41,"104101,104101,104101,104102,104103,104104,3,43508,18,450102,43104,41919,43105,42023,459044,42032,104100,420472,472182,42070,47225","25,25,25,100,40,10,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
42,"104201,104201,104201,104202,104203,104204,3,18,450102,43104,41919,43105,42023,459044,42032,104200,420472,472182,42070,47225","12,12,12,30,30,20,20,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
43,"104301,104301,104301,104302,104303,104304,3,18,450102,43104,41919,43105,42023,459044,42032,104300,420472,472182,42070,47225","25,25,25,100,40,10,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
44,"104401,104401,104401,104402,104403,104404,3,43508,18,450102,43104,41919,43105,42023,459044,42032,104400,420472,472182,42070,47225","25,25,25,100,40,20,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
46,"104601,104601,104601,104602,104603,104604,3,18,43104,41919,43105,42023,459044,42032,104600,420472,472182,42070,47225","12,12,12,35,60,25,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
47,"104701,104701,104701,104702,104703,104704,3,43508,18,43104,41919,43105,42023,459044,42032,104700,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
48,"104801,104801,104801,104802,104803,104804,3,43508,18,43104,41919,43105,42023,459044,42032,104800,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
49,"104901,104901,104901,104902,104903,104904,3,43508,18,43104,41919,43105,42023,459044,42032,104900,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
50,"105001,105001,105001,105002,105003,105004,3,43508,18,43104,41919,43105,42023,459044,42032,105000,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
51,"105101,105101,105101,105102,105103,105104,3,43508,18,43104,41919,43105,42023,459044,42032,105100,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
52,"105201,105201,105201,105202,105203,105204,3,43508,18,43104,41919,43105,42023,459044,42032,105200,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
53,"105301,105301,105301,105302,105303,105304,3,43508,18,43104,41919,43105,42023,459044,42032,105300,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
54,"105401,105401,105401,105402,105403,105404,105405,3,43508,18,43104,41919,43105,42023,459044,105406,105407,42032,105400,420472,43115,472104,472182,42070,47225","12,12,12,35,60,25,99,50,50,0,101,102,100,30,30,99,99,30,30,30,30,30,20,10,10","5,5,5,10,30,45,5,10,10,11,9,45,10,10,30,5,5,30,10,10,10,10,10,5,5","0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,,
55,"105501,105501,105501,105502,105503,105504,105505,105506,3,43508,18,43104,41919,43105,42023,459044,42032,105500,420472,43115,472102,472182,42070,47225","12,12,12,20,20,20,60,25,50,100,0,101,102,100,30,30,30,30,30,30,30,20,10,10","5,5,5,20,20,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,10,10,5,5","0,0,0,1,1,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0",0.0,,
56,"105601,105601,105601,105602,105603,105604,105605,105606,105607,3,43508,18,43104,41919,43105,42023,459044,105608,42032,105600,420472,43115,472103,472182,42070,47225","12,12,12,20,20,20,30,20,20,50,100,0,101,102,100,30,30,20,30,30,30,30,30,20,10,10","5,5,5,10,20,20,30,45,30,10,10,11,9,45,10,10,30,10,30,10,10,10,10,10,5,5","0,0,0,1,1,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0",0.0,,
57,"105701,105701,105701,105702,105703,105704,105705,105706,3,43508,18,43104,41919,43105,42023,459044,42032,105700,420472,42043,43115,472101,472182,42070,47225","12,12,12,20,20,60,25,25,50,100,0,101,102,100,30,30,30,30,30,30,30,30,20,10,10","5,5,5,15,10,30,45,30,10,10,11,9,45,10,10,30,30,10,10,10,10,10,10,5,5","0,0,0,1,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0",0.0,,
58,"105801,105801,105801,105802,105803,105804,105805,3,43508,18,450102,43104,41919,43105,420231,459044,105806,42032,105800,472012,472013,420472,472182,42070,47225","12,12,12,15,50,30,20,50,100,0,100,101,102,100,30,30,99,30,30,30,30,30,20,10,10","5,5,5,8,10,30,45,10,10,11,10,9,45,10,10,30,5,30,10,10,10,10,10,5,5","0,0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0",0.0,,
59,"105901,105901,105901,105902,105903,105904,3,43508,18,450102,43104,41919,43105,42023,459044,42032,105900,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
60,"106001,106001,106001,106002,106003,106004,3,18,450102,43104,41919,43105,42023,459044,42032,106000,420472,472182,42070,47225","12,12,12,30,30,20,20,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,20,45,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,20,0,0,3,1,1,0,0,0,0,0,0,0,0,0",0.0,,
61,"106101,106101,106101,106102,106103,106104,3,43508,18,43104,41919,43105,42023,459044,42032,106100,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
62,"106201,106201,106201,106202,106203,106204,3,43508,18,43104,41919,43105,42023,459044,42032,106200,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
63,"106301,106301,106301,106302,106303,106304,3,18,43104,41919,43105,42023,459044,42032,106300,420472,472182,42070,47225","13,13,13,25,45,30,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
64,"106401,106401,106401,106402,106403,106004,3,43508,18,43104,41919,43105,42023,459044,42032,106400,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
65,"106501,106501,106501,106502,106503,106504,106505,106506,106507,3,43508,18,43104,41919,106508,43105,42023,106509,459044,42032,106500,420472,472182,42070,47225","12,12,12,35,60,25,99,99,99,50,50,0,101,102,103,100,30,50,30,30,30,30,20,10,10","5,5,5,10,30,45,5,10,5,5,10,11,9,45,32,10,10,30,30,30,10,10,10,5,5","0,0,0,0,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
66,"106601,106601,106601,106602,106603,106604,3,43508,18,43104,41919,43105,42023,459044,42032,106600,420472,472182,42070,47225","25,25,25,100,12,8,50,100,0,101,102,100,30,30,30,30,30,20,10,10","2,2,2,15,30,30,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
68,"106801,106801,106801,106802,106803,106804,3,43508,18,43104,41919,43105,42023,459044,42032,106800,472022,420472,472182,42070,47225","13,13,13,25,45,30,50,100,0,101,102,100,30,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,3,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
69,"106901,106901,106901,106902,106903,106904,3,43508,18,43104,41919,43105,42023,459044,42032,106900,420472,472182,42070,47225","17,17,17,5,30,30,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
70,"107001,107001,107001,107002,107003,107004,3,43508,18,43104,41919,43105,420231,459044,42032,46603,107000,420472,472182,42070,47225","12,12,12,12,50,50,50,50,0,101,102,100,30,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0",0.0,,
71,"107101,107101,107101,107102,107103,107104,3,18,43104,41919,43105,42023,459044,42032,107100,420472,472182,42070,47225","13,13,13,25,45,30,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
72,"107201,107201,107201,107202,107203,107204,3,43508,18,43104,41919,43105,42023,459044,42032,107200,472012,472013,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0",0.0,,
73,"107301,107301,107301,107302,107303,107304,3,43508,18,43104,41919,43105,42023,459044,42032,107300,420472,472182,42070,47225","13,13,13,10,40,20,50,0,100,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,11,10,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
74,"107401,107401,107401,107402,107403,107404,3,43508,18,43104,41919,43105,42023,459044,42032,107400,420472,472182,42070,47225","12,12,12,35,60,25,50,100,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,45,10,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
75,"107501,107501,107501,107502,107503,107504,3,18,43104,41919,43105,42023,459044,42032,107500,420472,472182,42070,47225","10,10,10,20,40,40,50,0,101,102,100,30,30,30,30,30,20,10,10","5,5,5,10,30,60,10,11,9,45,10,10,30,30,10,10,10,5,5","0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.0,,
