id,name,des,power,recommend_power,enemy_team_id,log_fitter_id,log_fitter_name,code,fight_type,type_coef,fight_environment_group
2402,02：悖论·潜蝎,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,237147,237147,44400003,0,02：悖论·潜蝎,Targettrain_SingleTarget,0,,
2403,03：悖论·戾蜂,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,418751,418751,6441801,0,03：悖论·戾蜂,Targettrain_SingleTarget,0,,
2404,01：裂变·暴君,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,77122,77122,334701,0,01：裂变,Targettrain_SingleTarget,0,,
2405,02：裂变·猎手,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,73455,73455,336807,0,02：裂变,Targettrain_SingleTarget,0,,
2406,03：裂变·血疫,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,251937,251937,336901,0,03：裂变,Targettrain_SingleTarget,0,,
2407,爆裂·魔女,是【靶机专训】使用从【小邪神前线】中获取的讯模拟出的强大单位，能够让指挥官安全无忧地派遣人形与其进行训练。开放期间会记录大家的挑战时间和对应的挑战数据，以便于指挥官们互相学习。,272650,272650,461008,0,爆裂·魔女,Targettrain_SingleTarget,0,,
2408,大地·赴罪之人,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,219183,219183,363099,0,大地·赴罪之人,Targettrain_SingleTarget,0,,
2409,铁血·厄勒克特拉,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,149503,149503,362921,0,铁血·厄勒克特拉,Targettrain_SingleTarget,0,,
2410,铁血·无归者,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,34544,34544,362801,0,铁血·无归者,Targettrain_SingleTarget,0,,
2411,01焓变·刺霜,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,360000,360000,480142,0,01焓变·刺霜,Targettrain_SingleTarget,0,,
2412,02焓变·夜霭,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,480000,480000,480143,0,02焓变·夜霭,Targettrain_SingleTarget,0,,
2413,03焓变·冥雾,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,184845,184845,6486203,0,03焓变·冥雾,Targettrain_SingleTarget,0,,
2414,I 飓风：蜕骨,【靶机专训】通过【静风点】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,800000,800000,6519904,0,I 飓风：蜕骨,Targettrain_SingleTarget,0,,
2415,II 飓风：枯蛱,【靶机专训】通过【静风点】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,800000,800000,6519906,0,II 飓风：枯蛱,Targettrain_SingleTarget,0,,
20101,散兵游勇,作战能力达到了就可以轻松应对。,3000,3000,950001,201,普通低甲中等血量怪组,Targettrain_950001,0,,
20102,密集梦魇,梦魇必然是各种恐怖元素的集成体，击破它们当然也要一鼓作气全部毁灭。(推荐使用拥有范围伤害能力的队伍进行对抗。),3000,3000,950006,202,中高血量密集怪组,Targettrain_950006,0,,
20103,盾后冷枪,盾是很麻烦的存在，但失去后面的剑，盾也就失去了意义。(推荐使用优先攻击后排的队伍进行对抗。),3000,3000,950011,203,盾狙怪组,Targettrain_950011,0,,
20104,扭曲信仰,你无法打败拥有坚定信仰的敌人，先破坏它们的信仰的根基吧——从破坏力场盾开始。(推荐使用有能力应对单个高位血量单位且拥有一定的破坏力场能力的队伍。),3000,3000,950016,204,白色怪组,Targettrain_950016,0,,
20105,游走爆弹,破解噩梦最好的办法是立刻醒来，或者直接将它们掐死在发生之前。(推荐使用开场拥有爆发能力的队伍。),3000,3000,950021,205,快速爆发,Targettrain_950021,0,,
20106,坚墙铁壁,当正面难以突破时//c打破这些烦人的甲壳也许可行！(推荐使用有应对高位血量单位能力或前排较强生存能力且有破坏力场能力的部队进行对抗。),3000,3000,950026,206,精英肉盾,Targettrain_950026,0,,
20107,毁灭风暴,与成群的蝎甲兽对上是不智的，除非你久经战阵，或者知晓它们的弱点。,3000,3000,950031,207,无敌组合,Targettrain_950031,0,,
20108,锐眼猎手,被废弃的侦察士们想要用你来证明它们还有被重新利用的价值。如果你还是新手，就躲着它们走吧。,3000,3000,950036,208,巨像来了,Targettrain_950036,0,,
20109,奎乌！,不要想用计谋去压制它，它本身就是战术压制的具现化。,3000,3000,950041,209,奎乌！,Targettrain_950041,0,,
20201,散兵游勇,作战能力达到了就可以轻松应对。,3000,3000,950002,201,普通低甲中等血量怪组,Targettrain_950002,0,,
20202,密集梦魇,梦魇必然是各种恐怖元素的集成体，击破它们当然也要一鼓作气全部毁灭。(推荐使用拥有范围伤害能力的队伍进行对抗。),3000,3000,950007,202,中高血量密集怪组,Targettrain_950007,0,,
20203,盾后冷枪,盾是很麻烦的存在，但失去后面的剑，盾也就失去了意义。(推荐使用优先攻击后排的队伍进行对抗。),3000,3000,950012,203,盾狙怪组,Targettrain_950012,0,,
20204,扭曲信仰,你无法打败拥有坚定信仰的敌人，先破坏它们的信仰的根基吧——从破坏力场盾开始。(推荐使用有能力应对单个高位血量单位且拥有一定的破坏力场能力的队伍。),3000,3000,950017,204,白色怪组,Targettrain_950017,0,,
20205,游走爆弹,破解噩梦最好的办法是立刻醒来，或者直接将它们掐死在发生之前。(推荐使用开场拥有爆发能力的队伍。),3000,3000,950022,205,快速爆发,Targettrain_950022,0,,
20206,坚墙铁壁,当正面难以突破时//c打破这些烦人的甲壳也许可行！(推荐使用有应对高位血量单位能力或前排较强生存能力且有破坏力场能力的部队进行对抗。),3000,3000,950027,206,精英肉盾,Targettrain_950027,0,,
20207,毁灭风暴,与成群的蝎甲兽对上是不智的，除非你久经战阵，或者知晓它们的弱点。,3000,3000,950032,207,无敌组合,Targettrain_950032,0,,
20208,锐眼猎手,被废弃的侦察士们想要用你来证明它们还有被重新利用的价值。如果你还是新手，就躲着它们走吧。,3000,3000,950037,208,巨像来了,Targettrain_950037,0,,
20209,奎乌！,不要想用计谋去压制它，它本身就是战术压制的具现化。,3000,3000,950042,209,奎乌！,Targettrain_950042,0,,
20301,散兵游勇,作战能力达到了就可以轻松应对。,3000,3000,950003,201,普通低甲中等血量怪组,Targettrain_950003,0,,
20302,密集梦魇,梦魇必然是各种恐怖元素的集成体，击破它们当然也要一鼓作气全部毁灭。(推荐使用拥有范围伤害能力的队伍进行对抗。),3000,3000,950008,202,中高血量密集怪组,Targettrain_950008,0,,
20303,盾后冷枪,盾是很麻烦的存在，但失去后面的剑，盾也就失去了意义。(推荐使用优先攻击后排的队伍进行对抗。),3000,3000,950013,203,盾狙怪组,Targettrain_950013,0,,
20304,扭曲信仰,你无法打败拥有坚定信仰的敌人，先破坏它们的信仰的根基吧——从破坏力场盾开始。(推荐使用有能力应对单个高位血量单位且拥有一定的破坏力场能力的队伍。),3000,3000,950018,204,白色怪组,Targettrain_950018,0,,
20305,游走爆弹,破解噩梦最好的办法是立刻醒来，或者直接将它们掐死在发生之前。(推荐使用开场拥有爆发能力的队伍。),3000,3000,950023,205,快速爆发,Targettrain_950023,0,,
20306,坚墙铁壁,当正面难以突破时//c打破这些烦人的甲壳也许可行！(推荐使用有应对高位血量单位能力或前排较强生存能力且有破坏力场能力的部队进行对抗。),3000,3000,950028,206,精英肉盾,Targettrain_950028,0,,
20307,毁灭风暴,与成群的蝎甲兽对上是不智的，除非你久经战阵，或者知晓它们的弱点。,3000,3000,950033,207,无敌组合,Targettrain_950033,0,,
20308,锐眼猎手,被废弃的侦察士们想要用你来证明它们还有被重新利用的价值。如果你还是新手，就躲着它们走吧。,3000,3000,950038,208,巨像来了,Targettrain_950038,0,,
20309,奎乌！,不要想用计谋去压制它，它本身就是战术压制的具现化。,3000,3000,950043,209,奎乌！,Targettrain_950043,0,,
20401,散兵游勇,戏弄蠢货和懦弱者需要的不仅仅是灵活的战略，还要有同样灵活的人形。,3000,3000,950004,201,普通低甲中等血量怪组,Targettrain_950004,0,,
20402,密集梦魇,梦魇必然是各种恐怖元素的集成体，击破它们当然也要一鼓作气全部毁灭。(推荐使用拥有范围伤害能力的队伍进行对抗。),3000,3000,950009,202,中高血量密集怪组,Targettrain_950009,0,,
20403,重装行军,如果不能穿透它们的甲胄，倾注多少兵力都是徒劳。(推荐使用优先攻击后排且拥有一定穿甲能力的队伍进行对抗。),3000,3000,950014,203,盾狙怪组,Targettrain_950014,0,,
20404,扭曲信仰,你无法打败拥有坚定信仰的敌人，先破坏它们的信仰的根基吧——从破坏力场盾开始。(推荐使用有能力应对单个高位血量单位且拥有一定的破坏力场能力的队伍。),3000,3000,950019,204,白色怪组,Targettrain_950019,0,,
20405,游走爆弹,破解噩梦最好的办法是立刻醒来，或者直接将它们掐死在发生之前。(推荐使用开场拥有爆发能力的队伍。),3000,3000,950024,205,快速爆发,Targettrain_950024,0,,
20406,坚墙铁壁,当正面难以突破时//c打破这些烦人的甲壳也许可行！(推荐使用有应对高位血量单位能力或前排较强生存能力且有穿甲能力的部队进行对抗。),3000,3000,950029,206,精英肉盾,Targettrain_950029,0,,
20407,毁灭风暴,与成群的九头蛇对上是不智的，除非你久经战阵，或者知晓它们的弱点。,3000,3000,950034,207,无敌组合,Targettrain_950034,0,,
20408,锐眼猎手,被废弃的侦察士们想要用你来证明它们还有被重新利用的价值。如果你还是新手，就躲着它们走吧。,3000,3000,950039,208,巨像来了,Targettrain_950039,0,,
20409,奎乌！,不要想用计谋去压制它，它本身就是战术压制的具现化。,3000,3000,950044,209,奎乌！,Targettrain_950044,0,,
20501,散兵游勇,戏弄蠢货和懦弱者需要的不仅仅是灵活的战略，还要有同样灵活的人形。,3000,3000,950005,201,普通低甲中等血量怪组,Targettrain_950005,0,,
20502,密集梦魇,梦魇必然是各种恐怖元素的集成体，击破它们当然也要一鼓作气全部毁灭。(推荐使用拥有范围伤害能力的队伍进行对抗。),3000,3000,950010,202,中高血量密集怪组,Targettrain_950010,0,,
20503,圣盾与鹿,如果不能穿透它们的甲胄，倾注多少兵力都是徒劳。(推荐使用优先攻击后排且拥有一定穿甲能力的队伍进行对抗。),3000,3000,950015,203,盾狙怪组,Targettrain_950015,0,,
20504,扭曲信仰,你无法打败拥有坚定信仰的敌人，先破坏它们的信仰的根基吧——从破坏力场盾开始。(推荐使用有能力应对单个高位血量单位且拥有一定的破坏力场能力的队伍。),3000,3000,950020,204,白色怪组,Targettrain_950020,0,,
20505,游走爆弹,破解噩梦最好的办法是立刻醒来，或者直接将它们掐死在发生之前。(推荐使用开场拥有爆发能力的队伍。),3000,3000,950025,205,快速爆发,Targettrain_950025,0,,
20506,坚墙铁壁,当正面难以突破时//c打破这些烦人的甲壳也许可行！(推荐使用有应对高位血量单位能力或前排较强生存能力且有穿甲能力的部队进行对抗。),3000,3000,950030,206,精英肉盾,Targettrain_950030,0,,
20507,毁灭风暴,与成群的九头蛇对上是不智的，除非你久经战阵，或者知晓它们的弱点。,3000,3000,950035,207,无敌组合,Targettrain_950035,0,,
20508,锐眼猎手,被废弃的侦察士们想要用你来证明它们还有被重新利用的价值。如果你还是新手，就躲着它们走吧。,3000,3000,950040,208,巨像来了,Targettrain_950040,0,,
20509,恐怖战阵,军方的坦克正向你的方向而来。是被毁灭还是在这之前毁灭对方，这个选择由新人来做恐怕太难了。,3000,3000,950045,209,奎乌！,Targettrain_950045,0,,
