id,motions,code,fit_gun,skin,mail_offset_x,mail_offset_y,mail_scale,skinType,skinLogo,fit_sangvis,is_show
101,"330401,330402,330403,330404,330405,330406,330407,330408,330409,330410,330411,330412",M99_3304,128,3304,,,,2,2,0,1
102,"450101,450102,450103,450104,450105,450106,450107,450108,450109,450110,450111,450112,450113,450114,450115,450116,450117,450118,450119,450120,450121",OTs14_4501,119,4501,"-30,-60","-210,-170","80,61",1,1,0,1
103,"450401,450402,450403,450404,450405,450406,450407,450408,450409,450410,450411,450412",RO635_4504,143,4504,,,,2,2,0,1
104,"450501,450502,450503,450504,450505,450506,450507,450508,450509,450510,450511,450512",M4A1_4505,55,4505,,,,2,2,0,1
105,"450501,450502,450503,450504,450505,450506,450507,450508,450509,450510,450511,450512",M4A1Mod_4505,20055,4505,,,,2,2,0,1
107,"450701,450702,450703,450704,450705,450706,450707,450708,450709,450710,450711,450712",M4 SOPMOD II_4507,56,4507,,,,2,2,0,1
108,"450701,450702,450703,450704,450705,450706,450707,450708,450709,450710,450711,450712",M4 SOPMOD IIMod_4507,20056,4507,,,,2,2,0,1
109,"450601,450602,450603,450604,450605,450606,450607,450608,450609,450610,450611,450612",M16A1_4506,54,4506,,,,2,2,0,1
110,"450801,450802,450803,450804,450805,450806,450807,450808,450809,450810,450811,450812",AR15_4508,57,4508,,,,2,2,0,1
111,"450801,450802,450803,450804,450805,450806,450807,450808,450809,450810,450811,450812",AR15Mod,20057,4508,,,,2,2,0,1
112,"220501,220502,220503,220504,220505,220506,220507,220508,220509,220510,220511,220512",CBJMS_2205,213,2205,,,,2,2,0,1
113,"451001,451002,451003,451004,451005,451006,451007,451008,451009,451010,451011,451012,451013,451014,451015,451016,451017,451018,451019,451020",Saiga12_4510,160,4510,,,,1,1,0,1
114,"460101,460102,460103,460104,460105,460106,460107,460108,460109,460110,460111,460112,460113,460114,460115,460116,460117,460118,460119,460120",AKAlfa_4601,306,4601,,,,1,1,0,1
115,"460201,460202,460203,460204,460205,460206,460207,460208,460209,460210,460211,460212",BrowningHP_4602,303,4602,,,,2,2,0,1
116,"110701,110702,110703,110704,110705,110706,110707,110708,110709,110710,110711,110712",M1903_1107,36,1107,,,,2,2,0,1
117,"110601,110602,110603,110604,110605,110606,110607,110608,110609,110610,110611,110612",WA2000_1108,48,1108,,,,2,2,0,1
118,"240201,240202,240203,240204,240205,240206,240207,240208,240209,240210,240211,240212,240213",AK12_2402,206,2402,,,,2,2,0,1
119,"240501,240502,240503,240504,240505,240506,240507,240508,240509,240510,240511,240512",MP7_2405,28,2405,,,,2,2,0,1
120,"240401,240402,240403,240404,240405,240406,240407,240408,240409,240410,240411,240412",AN94_2404,205,2404,,,,2,2,0,1
121,"470201,470202,470203,470204,470205,470206,470207,470208,470209,470210,470211,470212,470213,470214,470215",JS9mm_4702,234,4702,,,,2,2,0,1
122,"470401,470402,470403,470404,470405,470406,470407,470408,470409,470410,470411,470412",SL8_4704,296,4704,,,,2,2,0,1
123,"470301,470302,470303,470304,470305,470306,470307,470308,470309,470310,470311,470312,470313,470314,470315,470316,470317,470318,470319",ZB26_4703,307,4703,,,,1,1,0,1
124,"480201,480202,480203,480204,480205,480206,480207,480208,480209,480210,480211,480212,480213,480214,480215,480216,480217,480218,480219,480220,480221",AUG_4802,73,4802,,,,1,1,0,1
125,"480101,480102,480103,480104,480105,480106,480107,480108,480109,480110,480111,480112",NTW20_4801,53,4801,,,,2,2,0,1
126,"480101,480102,480103,480104,480105,480106,480107,480108,480109,480110,480111,480112",NTW20Mod_4801,20053,4801,,,,2,2,0,1
127,"480401,480402,480403,480404,480405,480406,480407,480408,480409,480410,480411,480412",Mk48_4804,121,4804,,,,2,2,0,1
128,"490201,490202,490203,490204,490205,490206,490207,490208,490209,490210,490211,490212",MG5_4902,109,4902,,,,2,2,0,1
129,"490301,490302,490303,490304,490305,490306,490307,490308,490309,490310,490311,490312",MG36_4903,263,4903,,,,2,2,0,1
130,"490501,490502,490503,490504,490505,490506,490507,490508,490509,490510,490511,490512",Type100_4905,228,4905,,,,2,2,0,1
131,"490601,490602,490603,490604,490605,490606,490607,490608,490609,490610,490611,490612",Tabuk_4906,305,4906,,,,2,2,0,1
132,"490401,490402,490403,490404,490405,490406,490407,490408,490409,490410,490411,490412,490413,490414,490415,490416,490417,490418,490419,490420",R93_4904,266,4904,"-144,-144","84,84","50,50",1,1,0,1
133,"490101,490102,490103,490104,490105,490106,490107,490108,490109,490110,490111,490112",DP12_4901,282,4901,,,,2,2,0,1
134,"801,802,803,804,805,806,807,808,809,810,811,812,813,814",Mk23_8,99,8,,,,2,2,0,1
135,"901,902,903,904,905,906,907,908,909,910,911,912,913,914",G11_9,122,9,,,,2,2,0,1
136,"901,902,903,904,905,906,907,908,909,910,911,912,913,914",G11Mod_9,20122,9,,,,2,2,0,1
137,"160201,160202,160203,160204,160205,160206,160207,160208,160209,160210,160211,160212,160213,160214",G11Mod_1602,20122,1602,,,,2,2,0,1
138,"410201,410202,410203,410204,410205,410206,410207,410208,410209,410210,410211,410212,410213,410214",G11Mod_4102,20122,4102,,,,2,2,0,1
139,"140301,140302,140303,140304,140305,140306,140307,140308,140309,140310,140311,140312,140313,140314",IWS2000_1403,148,1403,,,,2,2,0,1
140,"140501,140502,140503,140504,140505,140506,140507,140508,140509,140510,140511,140512,140513,140514",Spitfire_1405,168,1405,,,,2,2,0,1
141,"510101,510102,510103,510104,510105,510106,510107,510108,510109,510110,510111,510112,510113,510114,510115,510116,510117,510118,510119,510120",GeneralLiu_5101,316,5101,,,,1,1,0,1
142,"510201,510202,510203,510204,510205,510206,510207,510208,510209,510210,510211,510212,510213,510214",Kord_5102,276,5102,,,,2,2,0,1
143,"520101,520102,520103,520104,520105,520106,520107,520108,520109,520110,520111,520112,520113,520114,520115,520116,520117,520118,520119,520120",G36C_5201,104,5201,,,,1,1,0,1
144,"520301,520302,520303,520304,520305,520306,520307,520308,520309,520310,520311,520312",VHS_5203,318,5203,,,,2,2,0,1
145,"520501,520502,520503,520504,520505,520506,520507,520508,520509,520510,520511,520512",SAF_5205,304,5205,,,,2,2,0,1
146,"530201,530202,530203,530204,530205,530206,530207,530208,530209,530210,530211,530212,530213,530214,530215,530216,530217,530218,530219,530220",R5RGP_5302,289,5302,,,,1,1,0,1
147,"530801,530802,530803,530804,530805,530806,530807,530808,530809,530810,530811,530812,530813,530814,530815,530816,530817,530818,530819,530820,530821,530822",88type_5308,95,5308,,,,1,1,0,1
148,"530501,530502,530503,530504,530505,530506,530507,530508,530509,530510,530511,530512,530513,530514",4type_5305,270,5305,,,,2,2,0,1
149,"530801,530802,530803,530804,530805,530806,530807,530808,530809,530810,530811,530812,530813,530814,530815,530816,530817,530818,530819,530820,530821,530822",88typeMod_5308,20095,5308,,,,1,1,0,1
150,"540201,540202,540203,540204,540205,540206,540207,540208,540209,540210,540211,540212,540213,540214,540215,540216,540217,540218,540219,540220,540221",Saiga12_5402,160,5402,,,,1,1,0,1
151,"540501,540502,540503,540504,540505,540506,540507,540508,540509,540510,540511,540512,540513,540514",UMP45_5405,103,5405,,,,2,2,0,1
152,"540501,540502,540503,540504,540505,540506,540507,540508,540509,540510,540511,540512,540513,540514",UMP45Mod_5405,20103,5405,,,,2,2,0,1
153,"550201,550202,550203,550204,550205,550206,550207,550208,550209,550210,550211,550212,550213,550214",QBU88_5502,261,5502,,,,2,2,0,1
154,"550101,550102,550103,550104,550105,550106,550107,550108,550109,550110,550111,550112,550113,550114,550115,550116,550117,550118,550119,550120,550121",Lewis_5501,253,5501,,,,1,1,0,1
155,"560201,560202,560203,560204,560205,560206,560207,560208,560209,560210,560211,560212,560213,560214,560215,560216,560217,560218,560219,560220,560221,560222",OTs14_5602,119,5602,,,,1,1,0,1
156,"560301,560302,560303,560304,560305,560306,560307,560308,560309,560310,560311,560312,560313,560314,560315,560316,560317,560318,560319,560320",ZB26_5603,307,5603,,,,1,1,0,1
157,"560401,560402,560403,560404,560405,560406,560407,560408,560409,560410,560411,560412,560413,560414",95type_5604,129,5604,,,,2,2,0,1
158,"570201,570202,570203,570204,570205,570206,570207,570208,570209,570210,570211,570212,570213,570214,570215,570216,570217,570218,570219,570220",Type64-AR_5702,243,5702,,,,1,1,0,1
159,"570301,570302,570303,570304,570305,570306,570307,570308,570309,570310,570311,570312",M1928A1_5703,16,5703,,,,2,2,0,1
160,"55101,55102,55103,55104,55105,55106,55107,55108,55109,55110,55111,55112,55113,55114,55115,55116,55117,55118,55119,55120",M4 SOPMOD II_551,56,551,,,,1,1,0,1
161,"55101,55102,55103,55104,55105,55106,55107,55108,55109,55110,55111,55112,55113,55114,55115,55116,55117,55118,55119,55120",M4 SOPMOD IIMod_551,20056,551,,,,1,1,0,1
162,"56301,56302,56303,56304,56305,56306,56307,56308,56309,56310,56311,56312,56313,56314,56315,56316,56317,56318,56319,56320",GeneralLiu_563,316,563,,,,1,1,0,1
163,"580501,580502,580503,580504,580505,580506,580507,580508,580509,580510,580511,580512,580513,580514,580515,580516,580517,580518,580519,580520",97typeS_5805,161,5805,,,,1,1,0,1
164,"580501,580502,580503,580504,580505,580506,580507,580508,580509,580510,580511,580512,580513,580514,580515,580516,580517,580518,580519,580520",97typeSMod_5805,20161,5805,,,,1,1,0,1
165,"580201,580202,580203,580204,580205,580206,580207,580208,580209,580210,580211,580212,580213,580214,580215,580216,580217,580218,580219,580220",PA15_5802,260,5802,,,,1,1,0,1
166,"450401,450402,450403,450404,450405,450406,450407,450408,450409,450410,450411,450412",RO635Mod_4504,20143,4504,,,,2,2,0,1
167,"590101,590102,590103,590104,590105,590106,590107,590108,590109,590110,590111,590112,590113,590114,590115,590116,590117,590118,590119,590120",RPK203_5901,339,5901,,,,1,1,0,1
168,308,cg_2021Anniversary_kr,0,0,,,,1,1,0,1
169,"610201,610202,610203,610204,610205,610206,610207,610208,610209,610210,610211,610212,610213,610214,610215,610216,610217,610218,610219,610220",DP12_6102,282,6102,,,,1,1,0,1
170,"55601,55602,55603,55604,55605,55606,55607,55608,55609,55610,55611,55612,55613,55614,55615,55616,55617,55618,55619,55620",UMP9_556,101,556,,,,1,1,0,1
171,"55601,55602,55603,55604,55605,55606,55607,55608,55609,55610,55611,55612,55613,55614,55615,55616,55617,55618,55619,55620",UMP9Mod_556,20101,556,,,,1,1,0,1
172,"101001,101002,101003,101004,101005,101006,101007,101008,101009,101010,101011,101012,101013,101014,101015,101016,101017,101018,101019,101020",UMP9Mod,20101,0,,,,1,1,0,1
173,"143001,143002,143003,143004,143005,143006,143007,143008,143009,143010,143011,143012,143013,143014,143015,143016,143017,143018,143019,143020,143021",RO635Mod,20143,0,,,,1,1,0,1
174,"122001,122002,122003,122004,122005,122006,122007,122008,122009,122010,122011,122012,122013,122014,122015,122016,122017,122018,122019,122020,122021",G11Mod,20122,0,,,,1,1,0,1
175,"65001,65002,65003,65004,65005,65006,65007,65008,65009,65010,65011,65012,65013,65014,65015,65016,65017,65018,65019,65020,65021",HK416Mod,20065,0,,,,1,1,0,1
176,"620201,620202,620203,620204,620205,620206,620207,620208,620209,620210,620211,620212,620213,620214,620215,620216,620217,620218,620219,620220",Delisle_6202,337,6202,,,,1,1,0,1
177,"630201,630202,630203,630204,630205,630206,630207,630208,630209,630210,630211,630212,630213,630214,630215,630216,630217,630218,630219,630220",SL8_6302,296,6302,,,,1,1,0,1
178,"640101,640102,640103,640104,640105,640106,640107,640108,640109,640110,640111,640112,640113,640114,640115,640116,640117,640118,640119,640120",95type_6401,129,6401,,,,1,1,0,1
179,"120201,120202,120203,120204,120205,120206,120207,120211,120212,120213,120214,120215,120216,120217,120218,120219,120220,120221,120222,120223",G36CMod_1202,20104,1202,,,,1,1,0,1
180,"380201,380202,380203,380204,380205,380206,380207,380208,380209,380210,380211,380212,380213,380214,380215,380216,380217,380218,380219,380220,380221",G36CMod_3802,20104,3802,,,,1,1,0,1
181,"310301,310302,310303,310304,310305,310306,310307,310308,310309,310310,310311,310312,310313,310314",G36CMod_3103,20104,3103,,,,2,2,0,1
182,"520101,520102,520103,520104,520105,520106,520107,520108,520109,520110,520111,520112,520113,520114,520115,520116,520117,520118,520119,520120",G36CMod_5201,20104,5201,,,,1,1,0,1
