id,atk_rate,def_rate,armor_rate,armor_piercing_rate,dodge_rate,night_view_rate
82,80,80,77,33,44,34
83,80,80,77,33,44,34
84,81,81,78,33,44,34
85,81,81,78,34,45,35
86,81,81,78,34,45,35
87,81,81,79,34,45,35
88,82,82,79,34,45,36
89,82,82,79,34,45,36
90,82,82,80,35,46,36
91,82,82,80,35,46,37
92,83,83,80,35,46,37
93,83,83,80,35,46,37
94,83,83,81,35,46,38
95,83,83,81,36,47,38
96,84,84,81,36,47,38
97,84,84,81,36,47,39
98,84,84,81,36,47,39
99,84,84,82,36,47,39
100,85,85,82,37,48,40
101,85,85,82,37,48,40
102,85,85,82,38,48,40
103,85,85,83,38,48,40
104,86,86,83,39,48,41
105,86,86,83,39,49,41
106,86,86,83,40,49,41
107,86,86,83,40,49,41
108,87,87,84,41,49,42
109,87,87,84,41,49,42
110,87,87,84,43,50,42
111,87,87,84,43,50,42
112,88,88,85,43,50,43
113,88,88,85,44,50,43
114,88,88,85,44,50,43
115,88,88,85,44,51,43
116,89,89,85,45,51,44
117,89,89,86,45,51,44
118,89,89,86,45,51,44
119,89,89,86,46,51,44
120,90,90,86,46,52,45
121,90,90,87,46,52,45
122,90,90,87,47,52,45
123,90,90,87,47,52,45
124,90,90,87,47,52,46
125,90,90,87,48,53,46
126,90,90,88,48,53,46
127,90,90,88,48,53,46
128,91,91,88,49,53,47
129,91,91,88,49,53,47
130,91,91,89,49,54,47
131,91,91,89,50,54,47
132,91,91,89,50,54,48
133,91,91,89,50,54,48
134,91,91,89,51,54,48
135,91,91,90,51,55,48
136,92,92,90,51,55,49
137,92,92,90,52,55,49
138,92,92,90,52,55,49
139,92,92,90,52,55,49
140,92,92,90,53,56,50
141,92,92,90,53,56,50
142,92,92,90,53,56,50
143,92,92,90,54,56,50
144,93,93,91,54,56,51
145,93,93,91,54,57,51
146,93,93,91,55,57,51
147,93,93,91,55,57,51
148,93,93,91,55,57,52
149,93,93,91,56,57,52
150,93,93,91,56,58,52
151,93,93,91,56,58,52
152,94,94,91,57,58,53
153,94,94,92,57,58,53
154,94,94,92,57,58,53
155,94,94,92,59,59,53
156,94,94,92,59,59,54
157,94,94,92,59,59,54
158,94,94,92,60,59,54
159,94,94,92,60,59,54
160,95,95,92,60,60,55
161,95,95,92,61,60,55
162,95,95,93,61,60,55
163,95,95,93,61,60,55
164,95,95,93,62,60,56
165,95,95,93,62,61,56
166,95,95,93,62,61,56
167,95,95,93,63,61,56
168,96,96,93,63,61,57
169,96,96,93,63,61,57
170,96,96,93,64,62,57
171,96,96,94,64,62,57
172,96,96,94,64,62,58
173,96,96,94,65,62,58
174,96,96,94,65,62,58
175,96,96,94,65,63,58
176,97,97,94,66,63,59
177,97,97,94,66,63,59
178,97,97,94,66,63,59
179,97,97,94,67,63,59
180,97,97,95,67,64,60
181,97,97,95,67,64,60
182,97,97,95,68,64,60
183,97,97,95,68,64,60
184,98,98,95,68,64,61
185,98,98,95,69,65,61
186,98,98,95,69,65,61
187,98,98,95,69,65,61
188,98,98,95,70,65,62
189,98,98,96,70,65,62
190,98,98,96,70,66,62
191,98,98,96,71,66,62
192,99,99,96,71,66,63
193,99,99,96,71,66,63
194,99,99,96,72,66,63
195,99,99,96,72,67,63
196,99,99,96,72,67,64
197,99,99,96,73,67,64
198,99,99,97,73,67,64
199,99,99,97,73,67,64
200,100,100,97,74,68,65
201,100,100,97,74,68,65
202,100,100,97,74,68,65
203,100,100,97,76,68,65
204,100,100,97,76,68,66
205,100,100,97,76,69,66
206,100,100,97,77,69,66
207,100,100,98,77,69,66
208,100,100,98,77,69,67
209,100,100,98,78,69,67
210,100,100,98,78,70,67
211,100,100,98,78,70,67
212,100,100,98,79,70,68
213,100,100,98,79,70,68
214,100,100,98,79,70,68
215,100,100,98,80,70,68
216,100,100,99,80,71,69
217,100,100,99,80,71,69
218,100,100,99,81,71,69
219,100,100,99,81,71,69
220,100,100,99,81,71,70
221,100,100,99,82,71,70
222,100,100,99,82,72,70
223,100,100,99,82,72,70
224,100,100,99,83,72,71
225,100,100,100,83,72,71
226,100,100,100,83,72,71
227,100,100,100,84,72,71
228,100,100,100,84,73,72
229,100,100,100,84,73,72
230,100,100,100,85,73,72
231,100,100,100,85,73,72
232,100,100,100,85,73,73
233,100,100,100,85,73,73
234,100,100,100,85,74,73
235,100,100,100,85,74,73
236,100,100,100,85,74,74
237,100,100,100,85,74,74
238,100,100,100,85,74,74
239,100,100,100,86,74,74
240,100,100,100,86,75,75
241,100,100,100,86,75,75
242,100,100,100,86,75,75
243,100,100,100,86,75,75
244,100,100,100,86,75,76
245,100,100,100,86,75,76
246,100,100,100,86,76,76
247,100,100,100,86,76,76
248,100,100,100,87,76,77
249,100,100,100,87,76,77
250,100,100,100,87,76,77
251,100,100,100,87,76,77
252,100,100,100,87,77,78
253,100,100,100,87,77,78
254,100,100,100,87,77,78
255,100,100,100,87,77,78
256,100,100,100,87,77,79
257,100,100,100,88,77,79
258,100,100,100,88,78,79
259,100,100,100,88,78,79
260,100,100,100,88,78,80
261,100,100,100,88,78,80
262,100,100,100,88,78,80
263,100,100,100,88,78,80
264,100,100,100,88,79,80
265,100,100,100,88,79,80
266,100,100,100,89,79,80
267,100,100,100,89,79,80
268,100,100,100,89,79,80
269,100,100,100,89,79,81
270,100,100,100,89,80,81
271,100,100,100,89,80,81
272,100,100,100,89,80,81
273,100,100,100,89,80,81
274,100,100,100,89,80,81
275,100,100,100,90,81,81
276,100,100,100,90,81,81
277,100,100,100,90,81,81
278,100,100,100,90,81,82
279,100,100,100,90,81,82
280,100,100,100,90,82,82
281,100,100,100,90,82,82
282,100,100,100,90,82,82
283,100,100,100,90,82,82
284,100,100,100,91,82,82
285,100,100,100,91,83,82
286,100,100,100,91,83,82
287,100,100,100,91,83,83
288,100,100,100,91,83,83
289,100,100,100,91,83,83
290,100,100,100,91,84,83
291,100,100,100,91,84,83
292,100,100,100,91,84,83
293,100,100,100,93,84,83
294,100,100,100,93,84,83
295,100,100,100,93,85,83
296,100,100,100,93,85,84
297,100,100,100,93,85,84
298,100,100,100,93,85,84
299,100,100,100,93,85,84
300,100,100,100,93,86,84
301,100,100,100,93,86,84
302,100,100,100,94,86,84
303,100,100,100,94,86,84
304,100,100,100,94,86,84
305,100,100,100,94,87,85
306,100,100,100,94,87,85
307,100,100,100,94,87,85
308,100,100,100,94,87,85
309,100,100,100,94,87,85
310,100,100,100,94,88,85
311,100,100,100,95,88,85
312,100,100,100,95,88,85
313,100,100,100,95,88,85
314,100,100,100,95,88,86
315,100,100,100,95,89,86
316,100,100,100,95,89,86
317,100,100,100,95,89,86
318,100,100,100,95,89,86
319,100,100,100,95,89,86
320,100,100,100,96,90,86
321,100,100,100,96,90,86
322,100,100,100,96,90,86
323,100,100,100,96,90,87
324,100,100,100,96,90,87
325,100,100,100,96,90,87
326,100,100,100,96,90,87
327,100,100,100,96,90,87
328,100,100,100,96,90,87
329,100,100,100,96,90,87
330,100,100,100,96,90,87
331,100,100,100,96,90,87
332,100,100,100,96,90,88
333,100,100,100,96,90,88
334,100,100,100,96,90,88
335,100,100,100,96,90,88
336,100,100,100,96,90,88
337,100,100,100,96,90,88
338,100,100,100,97,91,88
339,100,100,100,97,91,88
340,100,100,100,97,91,88
341,100,100,100,97,91,89
342,100,100,100,97,91,89
343,100,100,100,97,91,89
344,100,100,100,97,91,89
345,100,100,100,97,91,89
346,100,100,100,97,91,89
347,100,100,100,97,91,89
348,100,100,100,97,91,89
349,100,100,100,97,91,89
350,100,100,100,97,91,90
351,100,100,100,97,91,90
352,100,100,100,97,91,90
353,100,100,100,97,91,90
354,100,100,100,97,91,90
355,100,100,100,97,91,90
356,100,100,100,98,92,90
357,100,100,100,98,92,90
358,100,100,100,98,92,90
359,100,100,100,98,92,90
360,100,100,100,98,92,91
361,100,100,100,98,92,91
362,100,100,100,98,92,91
363,100,100,100,98,92,91
364,100,100,100,98,92,91
365,100,100,100,98,92,91
366,100,100,100,98,92,91
367,100,100,100,98,92,91
368,100,100,100,98,92,91
369,100,100,100,98,92,91
370,100,100,100,98,92,92
371,100,100,100,98,92,92
372,100,100,100,98,92,92
373,100,100,100,98,92,92
374,100,100,100,99,93,92
375,100,100,100,99,93,92
376,100,100,100,99,93,92
377,100,100,100,99,93,92
378,100,100,100,99,93,92
379,100,100,100,99,93,92
380,100,100,100,99,93,93
381,100,100,100,99,93,93
382,100,100,100,99,93,93
383,100,100,100,99,93,93
384,100,100,100,99,93,93
385,100,100,100,99,93,93
386,100,100,100,99,93,93
387,100,100,100,99,93,93
388,100,100,100,99,93,93
389,100,100,100,99,93,93
390,100,100,100,99,93,94
391,100,100,100,99,93,94
392,100,100,100,100,94,94
393,100,100,100,100,94,94
394,100,100,100,100,94,94
395,100,100,100,100,94,94
396,100,100,100,100,94,94
397,100,100,100,100,94,94
398,100,100,100,100,94,94
399,100,100,100,100,94,94
400,100,100,100,100,94,95
401,100,100,100,100,94,95
402,100,100,100,100,94,95
403,100,100,100,100,94,95
404,100,100,100,100,94,95
405,100,100,100,100,94,95
406,100,100,100,100,94,95
407,100,100,100,100,94,95
408,100,100,100,100,94,95
409,100,100,100,100,94,95
410,100,100,100,100,95,96
411,100,100,100,100,95,96
412,100,100,100,100,95,96
413,100,100,100,100,95,96
414,100,100,100,100,95,96
415,100,100,100,100,95,96
416,100,100,100,100,95,96
417,100,100,100,100,95,96
418,100,100,100,100,95,96
419,100,100,100,100,95,96
420,100,100,100,100,95,97
421,100,100,100,100,95,97
422,100,100,100,100,95,97
423,100,100,100,100,95,97
424,100,100,100,100,95,97
425,100,100,100,100,95,97
426,100,100,100,100,95,97
427,100,100,100,100,95,97
428,100,100,100,100,96,97
429,100,100,100,100,96,97
430,100,100,100,100,96,98
431,100,100,100,100,96,98
432,100,100,100,100,96,98
433,100,100,100,100,96,98
434,100,100,100,100,96,98
435,100,100,100,100,96,98
436,100,100,100,100,96,98
437,100,100,100,100,96,98
438,100,100,100,100,96,98
439,100,100,100,100,96,98
440,100,100,100,100,96,99
441,100,100,100,100,96,99
442,100,100,100,100,96,99
443,100,100,100,100,96,99
444,100,100,100,100,96,99
445,100,100,100,100,96,99
446,100,100,100,100,97,99
447,100,100,100,100,97,99
448,100,100,100,100,97,99
449,100,100,100,100,97,99
450,100,100,100,100,97,100
451,100,100,100,100,97,100
452,100,100,100,100,97,100
453,100,100,100,100,97,100
454,100,100,100,100,97,100
455,100,100,100,100,97,100
456,100,100,100,100,97,100
457,100,100,100,100,97,100
458,100,100,100,100,97,100
459,100,100,100,100,97,100
460,100,100,100,100,97,100
461,100,100,100,100,97,100
462,100,100,100,100,97,100
463,100,100,100,100,97,100
464,100,100,100,100,98,100
465,100,100,100,100,98,100
466,100,100,100,100,98,100
467,100,100,100,100,98,100
468,100,100,100,100,98,100
469,100,100,100,100,98,100
470,100,100,100,100,98,100
471,100,100,100,100,98,100
472,100,100,100,100,98,100
473,100,100,100,100,98,100
474,100,100,100,100,98,100
475,100,100,100,100,98,100
476,100,100,100,100,98,100
477,100,100,100,100,98,100
478,100,100,100,100,98,100
479,100,100,100,100,98,100
480,100,100,100,100,98,100
481,100,100,100,100,98,100
482,100,100,100,100,99,100
483,100,100,100,100,99,100
484,100,100,100,100,99,100
485,100,100,100,100,99,100
486,100,100,100,100,99,100
487,100,100,100,100,99,100
488,100,100,100,100,99,100
489,100,100,100,100,99,100
490,100,100,100,100,99,100
491,100,100,100,100,99,100
492,100,100,100,100,99,100
493,100,100,100,100,99,100
494,100,100,100,100,99,100
495,100,100,100,100,99,100
496,100,100,100,100,99,100
497,100,100,100,100,99,100
498,100,100,100,100,99,100
499,100,100,100,100,99,100
500,100,100,100,100,100,100
501,100,100,100,100,100,100
502,100,100,100,100,100,100
503,100,100,100,100,100,100
504,100,100,100,100,100,100
505,100,100,100,100,100,100
506,100,100,100,100,100,100
507,100,100,100,100,100,100
508,100,100,100,100,100,100
509,100,100,100,100,100,100
510,100,100,100,100,100,100
511,100,100,100,100,100,100
512,100,100,100,100,100,100
513,100,100,100,100,100,100
514,100,100,100,100,100,100
515,100,100,100,100,100,100
516,100,100,100,100,100,100
517,100,100,100,100,100,100
518,100,100,100,100,100,100
519,100,100,100,100,100,100
520,100,100,100,100,100,100
521,100,100,100,100,100,100
522,100,100,100,100,100,100
523,100,100,100,100,100,100
524,100,100,100,100,100,100
525,100,100,100,100,100,100
526,100,100,100,100,100,100
527,100,100,100,100,100,100
528,100,100,100,100,100,100
529,100,100,100,100,100,100
530,100,100,100,100,100,100
531,100,100,100,100,100,100
532,100,100,100,100,100,100
533,100,100,100,100,100,100
534,100,100,100,100,100,100
535,100,100,100,100,100,100
536,100,100,100,100,100,100
537,100,100,100,100,100,100
538,100,100,100,100,100,100
539,100,100,100,100,100,100
540,100,100,100,100,100,100
541,100,100,100,100,100,100
542,100,100,100,100,100,100
543,100,100,100,100,100,100
544,100,100,100,100,100,100
545,100,100,100,100,100,100
546,100,100,100,100,100,100
547,100,100,100,100,100,100
548,100,100,100,100,100,100
549,100,100,100,100,100,100
550,100,100,100,100,100,100
551,100,100,100,100,100,100
552,100,100,100,100,100,100
553,100,100,100,100,100,100
554,100,100,100,100,100,100
555,100,100,100,100,100,100
556,100,100,100,100,100,100
557,100,100,100,100,100,100
558,100,100,100,100,100,100
559,100,100,100,100,100,100
560,100,100,100,100,100,100
561,100,100,100,100,100,100
562,100,100,100,100,100,100
563,100,100,100,100,100,100
564,100,100,100,100,100,100
565,100,100,100,100,100,100
566,100,100,100,100,100,100
567,100,100,100,100,100,100
568,100,100,100,100,100,100
569,100,100,100,100,100,100
570,100,100,100,100,100,100
571,100,100,100,100,100,100
572,100,100,100,100,100,100
573,100,100,100,100,100,100
574,100,100,100,100,100,100
575,100,100,100,100,100,100
576,100,100,100,100,100,100
577,100,100,100,100,100,100
578,100,100,100,100,100,100
579,100,100,100,100,100,100
580,100,100,100,100,100,100
581,100,100,100,100,100,100
582,100,100,100,100,100,100
583,100,100,100,100,100,100
584,100,100,100,100,100,100
585,100,100,100,100,100,100
586,100,100,100,100,100,100
587,100,100,100,100,100,100
588,100,100,100,100,100,100
589,100,100,100,100,100,100
590,100,100,100,100,100,100
591,100,100,100,100,100,100
592,100,100,100,100,100,100
593,100,100,100,100,100,100
594,100,100,100,100,100,100
595,100,100,100,100,100,100
596,100,100,100,100,100,100
597,100,100,100,100,100,100
598,100,100,100,100,100,100
599,100,100,100,100,100,100
600,100,100,100,100,100,100
601,100,100,100,100,100,100
602,100,100,100,100,100,100
603,100,100,100,100,100,100
604,100,100,100,100,100,100
605,100,100,100,100,100,100
606,100,100,100,100,100,100
607,100,100,100,100,100,100
608,100,100,100,100,100,100
609,100,100,100,100,100,100
610,100,100,100,100,100,100
611,100,100,100,100,100,100
612,100,100,100,100,100,100
613,100,100,100,100,100,100
614,100,100,100,100,100,100
615,100,100,100,100,100,100
616,100,100,100,100,100,100
617,100,100,100,100,100,100
618,100,100,100,100,100,100
619,100,100,100,100,100,100
620,100,100,100,100,100,100
621,100,100,100,100,100,100
622,100,100,100,100,100,100
623,100,100,100,100,100,100
624,100,100,100,100,100,100
625,100,100,100,100,100,100
626,100,100,100,100,100,100
627,100,100,100,100,100,100
628,100,100,100,100,100,100
629,100,100,100,100,100,100
630,100,100,100,100,100,100
631,100,100,100,100,100,100
632,100,100,100,100,100,100
633,100,100,100,100,100,100
634,100,100,100,100,100,100
635,100,100,100,100,100,100
636,100,100,100,100,100,100
637,100,100,100,100,100,100
638,100,100,100,100,100,100
639,100,100,100,100,100,100
640,100,100,100,100,100,100
641,100,100,100,100,100,100
642,100,100,100,100,100,100
643,100,100,100,100,100,100
644,100,100,100,100,100,100
645,100,100,100,100,100,100
646,100,100,100,100,100,100
647,100,100,100,100,100,100
648,100,100,100,100,100,100
649,100,100,100,100,100,100
650,100,100,100,100,100,100
651,100,100,100,100,100,100
652,100,100,100,100,100,100
653,100,100,100,100,100,100
654,100,100,100,100,100,100
655,100,100,100,100,100,100
656,100,100,100,100,100,100
657,100,100,100,100,100,100
658,100,100,100,100,100,100
659,100,100,100,100,100,100
660,100,100,100,100,100,100
661,100,100,100,100,100,100
662,100,100,100,100,100,100
663,100,100,100,100,100,100
664,100,100,100,100,100,100
665,100,100,100,100,100,100
666,100,100,100,100,100,100
667,100,100,100,100,100,100
668,100,100,100,100,100,100
669,100,100,100,100,100,100
670,100,100,100,100,100,100
671,100,100,100,100,100,100
672,100,100,100,100,100,100
673,100,100,100,100,100,100
674,100,100,100,100,100,100
675,100,100,100,100,100,100
676,100,100,100,100,100,100
677,100,100,100,100,100,100
678,100,100,100,100,100,100
679,100,100,100,100,100,100
680,100,100,100,100,100,100
681,100,100,100,100,100,100
682,100,100,100,100,100,100
683,100,100,100,100,100,100
684,100,100,100,100,100,100
685,100,100,100,100,100,100
686,100,100,100,100,100,100
687,100,100,100,100,100,100
688,100,100,100,100,100,100
689,100,100,100,100,100,100
690,100,100,100,100,100,100
691,100,100,100,100,100,100
692,100,100,100,100,100,100
693,100,100,100,100,100,100
694,100,100,100,100,100,100
695,100,100,100,100,100,100
696,100,100,100,100,100,100
697,100,100,100,100,100,100
698,100,100,100,100,100,100
699,100,100,100,100,100,100
700,100,100,100,100,100,100
