identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,title,content,type_sort,sort,icon_code,prize_id,mission_id,condition,commander_title,unlock_function
15,different_type3_gun,3,100,30,30,30,30,0,0,0,,,,,入门级收藏:步枪,图鉴解锁3位不同的步枪型战术少女。,2,25,获得N把不同步枪,0,,,,0
16,different_type3_gun,10,200,100,100,100,100,1,10,0,1-1,,,,见习级收藏:步枪,图鉴解锁10位不同的步枪型战术少女。,2,25,获得N把不同步枪,0,,,,0
17,different_type3_gun,20,500,300,300,300,300,2,30,0,1-2,,,,进阶级收藏:步枪,图鉴解锁20位不同的步枪型战术少女。,2,25,获得N把不同步枪,0,,,,0
18,different_type3_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,专家级收藏:步枪,图鉴解锁30位不同的步枪型战术少女。,2,25,获得N把不同步枪,0,,,,0
19,different_type4_gun,3,100,30,30,30,30,0,0,0,,,,,入门级收藏:突击步枪,图鉴解锁3位不同的突击步枪型战术少女。,2,26,获得N把不同突击步枪,0,,,,0
20,different_type4_gun,10,200,100,100,100,100,1,10,0,1-1,,,,见习级收藏:突击步枪,图鉴解锁10位不同的突击步枪型战术少女。,2,26,获得N把不同突击步枪,0,,,,0
21,different_type4_gun,20,500,300,300,300,300,2,30,0,1-2,,,,进阶级收藏:突击步枪,图鉴解锁20位不同的突击步枪型战术少女。,2,26,获得N把不同突击步枪,0,,,,0
22,different_type4_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,专家级收藏:突击步枪,图鉴解锁30位不同的突击步枪型战术少女。,2,26,获得N把不同突击步枪,0,,,,0
23,different_type5_gun,3,100,30,30,30,30,0,0,0,,,,,入门级收藏:机枪,图鉴解锁3位不同的机枪型战术少女。,2,27,获得N把不同机枪,0,,,,0
24,different_type5_gun,10,200,100,100,100,100,1,10,0,1-1,,,,见习级收藏:机枪,图鉴解锁10位不同的机枪型战术少女。,2,27,获得N把不同机枪,0,,,,0
25,different_type5_gun,20,500,300,300,300,300,2,30,0,1-2,,,,进阶级收藏:机枪,图鉴解锁20位不同的机枪型战术少女。,2,27,获得N把不同机枪,0,,,,0
26,different_type5_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,专家级收藏:机枪,图鉴解锁30位不同的机枪型战术少女。,2,27,获得N把不同机枪,0,,,,0
27,if_rank3_gun,1,100,100,100,100,100,3,10,0,,,,,荣誉的赠礼,首次获得三星战术少女。,2,21,首次获得N星人形,0,,,,0
28,if_rank4_gun,1,300,200,200,200,200,9,30,0,"3-2,4-2",,,,奇迹的奖券,首次获得四星战术少女。,2,21,首次获得N星人形,0,,,,0
29,if_rank5_gun,1,500,300,300,300,300,15,50,0,"3-3,4-3",,,,命运的邂逅,首次获得五星战术少女。,2,21,首次获得N星人形,0,,,,0
30,mission_medal1,5,30,30,30,30,30,0,0,0,,,,,新人指挥员,累计获得5枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
31,mission_medal1,10,60,60,60,60,60,0,0,0,,,,,实习指挥员,累计获得10枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
32,mission_medal1,20,90,90,90,90,90,0,0,0,,,,,指挥员,累计获得20枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
33,mission_medal1,30,120,120,120,120,120,0,0,0,,,,,进阶指挥员,累计获得30枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
34,mission_medal1,40,150,150,150,150,150,0,0,0,,,,,精英指挥员,累计获得40枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
35,mission_medal1,50,180,180,180,180,180,0,0,0,,,,,资深指挥员,累计获得50枚铜星勋章。,5,61,获得N枚铜章,0,,,,0
36,mission_medal4,5,60,60,60,60,60,0,0,0,,,,,新人战术家,累计获得5枚银星勋章。,5,62,获得N枚银章,0,,,,0
37,mission_medal4,10,90,90,90,90,90,0,0,0,"3-1,4-1",,,,实习战术家,累计获得10枚银星勋章。,5,62,获得N枚银章,0,,,,0
38,mission_medal4,20,120,120,120,120,120,0,0,0,"3-2,4-2",,,,战术家,累计获得20枚银星勋章。,5,62,获得N枚银章,0,,,,0
39,mission_medal4,30,150,150,150,150,150,0,0,0,"3-2,4-2",,,,进阶战术家,累计获得30枚银星勋章。,5,62,获得N枚银章,0,,,,0
40,mission_medal4,40,200,200,200,200,200,0,0,0,"3-3,4-3",,,,精英战术家,累计获得40枚银星勋章。,5,62,获得N枚银章,0,,,,0
41,mission_medal4,50,250,250,250,250,250,0,0,0,"3-3,4-3",,,,资深战术家,累计获得50枚银星勋章。,5,62,获得N枚银章,0,,,,0
42,mission_bestrank5,5,90,90,90,90,90,0,10,0,1-1,,,,新人士官,累计获得5枚金星勋章。,5,63,获得N枚金章,0,,,,0
43,mission_bestrank5,10,120,120,120,120,120,0,20,0,1-1,,,,实习士官,累计获得10枚金星勋章。,5,63,获得N枚金章,0,,,,0
44,mission_bestrank5,20,150,150,150,150,150,0,30,0,1-3,,,,士官长,累计获得20枚金星勋章。,5,63,获得N枚金章,0,,,,0
45,mission_bestrank5,30,200,200,200,200,200,0,40,0,1-3,,,,进阶士官长,累计获得30枚金星勋章。,5,63,获得N枚金章,0,,,,0
46,mission_bestrank5,40,250,250,250,250,250,0,50,0,1-5,,,,精英士官长,累计获得40枚金星勋章。,5,63,获得N枚金章,0,,,,0
47,mission_bestrank5,50,300,300,300,300,300,0,60,0,1-5,,,,资深士官长,累计获得50枚金星勋章。,5,63,获得N枚金章,0,,,,0
48,teammove_random,1,90,30,30,30,10,1,0,90,4-1,,,,嘿，惊喜！,累计踏上任意随机点1次。,1,1,踩随机点,0,,,,0
49,teammove_random,10,60,60,60,60,20,1,0,0,4-1,,,,万一赢了呢？,累计踏上任意随机点10次。,1,1,踩随机点,0,,,,0
50,teammove_random,100,100,100,100,100,30,2,0,0,4-2,,,,新闻爱好者,累计踏上任意随机点100次。,1,1,踩随机点,0,,,,0
51,teammove_random,500,200,200,200,200,60,3,0,0,8-2,,,,神奇遥控器,累计踏上任意随机点500次。,1,1,踩随机点,0,,,,0
52,teammove_random,1000,500,500,500,500,200,4,0,0,8-3,,,,虚拟人生,累计踏上任意随机点1000次。,1,1,踩随机点,0,,,,0
53,teammove_random,5000,1000,1000,1000,1000,300,6,0,0,8-3,,,,薛定谔之猫,累计踏上任意随机点5000次。,1,1,踩随机点,0,,,,0
54,teammove_random,10000,2000,2000,2000,2000,600,10,0,0,8-5,,,,只有神才不掷骰子,累计踏上任意随机点10000次。,1,1,踩随机点,0,,,,0
55,enemy_die,1,90,30,30,30,10,0,0,10,1-1,,,,第一滴泪,战斗胜利情况下累计消灭1个敌人。,1,2,消灭N个敌人,0,,,,0
56,enemy_die,100,60,60,60,60,20,0,0,0,1-1,,,,战争机器,战斗胜利情况下累计消灭100个敌人。,1,2,消灭N个敌人,0,,,,0
57,enemy_die,1000,100,100,100,100,30,0,0,0,1-3,,,,无双,战斗胜利情况下累计消灭1000个敌人。,1,2,消灭N个敌人,0,,,,0
58,enemy_die,5000,200,200,200,200,60,0,0,0,1-3,,,,战场的女武神,战斗胜利情况下累计消灭5000个敌人。,1,2,消灭N个敌人,0,,,,0
59,enemy_die,10000,500,500,500,500,200,0,0,0,1-5,,,,神怒之日,战斗胜利情况下累计消灭10000个敌人。,1,2,消灭N个敌人,0,,,,0
60,enemy_die,50000,1000,1000,1000,1000,300,0,0,0,1-5,,,,无命之王,战斗胜利情况下累计消灭50000个敌人。,1,2,消灭N个敌人,0,,,,0
61,enemy_die,100000,2000,2000,2000,2000,600,0,0,0,1-10,,,,十万甚至九万个,战斗胜利情况下累计消灭100000个敌人。,1,2,消灭N个敌人,0,,,,0
62,team_die,1,30,30,30,30,10,0,0,0,1-1,,,,结束也是新的开始,我方梯队累计战斗失败1次。,1,3,失败,0,,,,0
63,team_die,10,60,60,60,60,20,0,0,0,1-1,,,,幻痛,我方梯队累计战斗失败10次。,1,3,失败,0,,,,0
64,team_die,100,100,100,100,100,30,0,0,0,1-3,,,,游戏结束,我方梯队累计战斗失败100次。,1,3,失败,0,,,,0
65,team_die,500,200,200,200,200,60,0,0,0,1-3,,,,……只是凋零,我方梯队累计战斗失败500次。,1,3,失败,0,,,,0
66,team_die,1000,500,500,500,500,200,0,0,0,1-5,,,,致命魔术,我方梯队累计战斗失败1000次。,1,3,失败,0,,,,0
67,team_die,5000,1000,1000,1000,1000,300,0,0,0,1-5,,,,老猎人,我方梯队累计战斗失败5000次。,1,3,失败,0,,,,0
68,team_die,10000,2000,2000,2000,2000,600,0,0,0,1-10,,,,永生小姐,我方梯队累计战斗失败10000次。,1,3,失败,0,,,,0
69,mission_win,1,90,30,30,30,10,0,0,71,"3-1,4-1",,,,值得纪念的一刻,任意关卡累计获胜1次。,1,4,胜利,0,,,,0
70,mission_win,10,60,60,60,60,20,0,0,0,"3-1,4-1",,,,战地摇滚,任意关卡累计获胜10次。,1,4,胜利,0,,,,0
71,mission_win,100,100,100,100,100,30,0,0,0,"3-2,4-2",,,,荣誉勋章,任意关卡累计获胜100次。,1,4,胜利,0,,,,0
72,mission_win,500,200,200,200,200,60,0,0,0,"3-2,4-2",,,,大冒险家,任意关卡累计获胜500次。,1,4,胜利,0,,,,0
73,mission_win,1000,500,500,500,500,200,0,0,0,"3-3,4-3",,,,最光荣的时刻,任意关卡累计获胜1000次。,1,4,胜利,0,,,,0
74,mission_win,5000,1000,1000,1000,1000,300,0,0,0,"3-3,4-3",,,,深渊漫步,任意关卡累计获胜5000次。,1,4,胜利,0,,,,0
75,mission_win,10000,2000,2000,2000,2000,600,0,0,0,"3-5,4-5",,,,胜利咆哮,任意关卡累计获胜10000次。,1,4,胜利,0,,,,0
76,mission_lose,1,30,30,30,30,10,0,0,0,"3-1,4-1",,,,初次反省,任意关卡累计作战失败1次。,1,5,失败,0,,,,0
77,mission_lose,10,60,60,60,60,20,0,0,0,"3-1,4-1",,,,踢猫效应,任意关卡累计作战失败10次。,1,5,失败,0,,,,0
78,mission_lose,50,100,100,100,100,30,0,0,0,"3-2,4-2",,,,不要怕//c是技术性调整,任意关卡累计作战失败50次。,1,5,失败,0,,,,0
79,mission_lose,100,200,200,200,200,60,0,0,0,"3-2,4-2",,,,狼之口,任意关卡累计作战失败100次。,1,5,失败,0,,,,0
80,mission_lose,500,500,500,500,500,200,0,0,0,"3-3,4-3",,,,孤独的观测者,任意关卡累计作战失败500次。,1,5,失败,0,,,,0
81,mission_lose,1000,1000,1000,1000,1000,300,0,0,0,"3-3,4-3",,,,战争，战争从未改变,任意关卡累计作战失败1000次。,1,5,失败,0,,,,0
82,mission_lose,2000,2000,2000,2000,2000,600,0,0,0,"3-5,4-5",,,,耶利哥,任意关卡累计作战失败2000次。,1,5,失败,0,,,,0
83,fix_gun,1,30,30,30,30,10,0,0,0,4-1,,,,感谢照料,累计进行1次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
84,fix_gun,10,60,60,60,60,20,0,0,0,4-2,,,,好//c下一位……,累计进行10次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
85,fix_gun,100,100,100,100,100,30,0,0,0,4-3,,,,人形修补匠,累计进行100次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
86,fix_gun,500,200,200,200,200,60,0,0,0,4-3,,,,外科模拟2056,累计进行500次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
87,fix_gun,1000,500,500,500,500,200,0,0,0,4-5,,,,超执刀,累计进行1000次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
88,fix_gun,5000,1000,1000,1000,1000,300,0,0,0,4-5,,,,主题医院,累计进行5000次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
89,fix_gun,10000,2000,2000,2000,2000,600,0,0,0,4-10,,,,黑杰克,累计进行10000次战术少女或融合势力单位修复。,8,123,人形修复,0,,,,0
90,operation,1,30,30,30,30,10,0,0,0,,,,,第一桶金,累计完成1次后勤支援。,11,161,后勤支援,0,,,,0
91,operation,10,60,60,60,60,20,0,0,0,"1-1,3-1,4-1",,,,出个远门,累计完成10次后勤支援。,11,161,后勤支援,0,,,,0
92,operation,100,100,100,100,100,30,0,0,0,"1-3,3-3,4-3",,,,勤工俭学,累计完成100次后勤支援。,11,161,后勤支援,0,,,,0
93,operation,500,200,200,200,200,60,0,0,0,"1-3,3-3,4-3",,,,拾荒成瘾,累计完成500次后勤支援。,11,161,后勤支援,0,,,,0
94,operation,1000,500,500,500,500,200,0,0,0,"1-5,3-5,4-5",,,,垃圾星人,累计完成1000次后勤支援。,11,161,后勤支援,0,,,,0
95,operation,5000,1000,1000,1000,1000,300,0,0,0,"1-5,3-5,4-5",,,,黑旗,累计完成5000次后勤支援。,11,161,后勤支援,0,,,,0
96,operation,10000,2000,2000,2000,2000,600,0,0,0,"1-10,3-10,4-10",,,,泰拉瑞亚,累计完成10000次后勤支援。,11,161,后勤支援,0,,,,0
97,develop_gun,1,30,30,30,30,10,0,0,25,,,,,初次见面,累计进行1次战术少女制造。,8,121,建造,0,,,,0
98,develop_gun,10,60,60,60,60,20,0,0,0,3-1,,,,小小工程,累计进行10次战术少女制造。,8,121,建造,0,,,,0
99,develop_gun,100,100,100,100,100,30,0,0,0,3-3,,,,手办工厂,累计进行100次战术少女制造。,8,121,建造,0,,,,0
100,develop_gun,200,200,200,200,200,60,0,0,0,3-3,,,,梯队收藏,累计进行200次战术少女制造。,8,121,建造,0,,,,0
101,develop_gun,500,500,500,500,500,200,0,0,0,3-5,,,,初恋500次,累计进行500次战术少女制造。,8,121,建造,0,,,,0
102,develop_gun,1000,1000,1000,1000,1000,300,0,0,0,3-5,,,,傀儡大师,累计进行1000次战术少女制造。,8,121,建造,0,,,,0
103,develop_gun,2000,2000,2000,2000,2000,600,0,0,0,3-10,,,,人偶镇,累计进行2000次战术少女制造。,8,121,建造,0,,,,0
104,combine_gun,1,30,30,30,30,10,1,0,0,,,,,我不是一个人,累计进行1次战术少女扩编。,8,125,人形扩编,0,,,,0
105,combine_gun,10,60,60,60,60,20,3,0,0,,,,,假面舞厅,累计进行10次战术少女扩编。,8,125,人形扩编,0,,,,0
106,combine_gun,100,100,100,100,100,30,5,0,0,,,,,魔女茶会,累计进行100次战术少女扩编。,8,125,人形扩编,0,,,,0
107,combine_gun,200,200,200,200,200,60,10,0,0,,,,,除我以外//c众人皆是傀儡,累计进行200次战术少女扩编。,8,125,人形扩编,0,,,,0
108,combine_gun,500,500,500,500,500,200,15,0,0,,,,,虚拟女友,累计进行500次战术少女扩编。,8,125,人形扩编,0,,,,0
109,combine_gun,1000,1000,1000,1000,1000,300,20,0,0,,,,,妄想幻象,累计进行1000次战术少女扩编。,8,125,人形扩编,0,,,,0
110,combine_gun,2000,2000,2000,2000,2000,600,25,0,0,,,,,王之军势,累计进行2000次战术少女扩编。,8,125,人形扩编,0,,,,0
111,eat_gun,1,30,30,30,30,10,0,0,0,1-1,,,,改造手术,累计进行1次战术少女强化。,8,124,强化,0,,,,0
112,eat_gun,10,60,60,60,60,20,0,0,0,1-1,,,,变废为宝,累计进行10次战术少女强化。,8,124,强化,0,,,,0
113,eat_gun,100,100,100,100,100,30,0,0,0,1-3,,,,圣诞树,累计进行100次战术少女强化。,8,124,强化,0,,,,0
114,eat_gun,500,200,200,200,200,60,0,0,0,1-3,,,,人形拼图,累计进行500次战术少女强化。,8,124,强化,0,,,,0
115,eat_gun,1000,500,500,500,500,200,0,0,0,1-5,,,,自我改造,累计进行1000次战术少女强化。,8,124,强化,0,,,,0
116,eat_gun,5000,1000,1000,1000,1000,300,0,0,0,1-5,,,,异人馆,累计进行5000次战术少女强化。,8,124,强化,0,,,,0
117,eat_gun,10000,2000,2000,2000,2000,600,0,0,0,1-10,,,,疯狂芙兰,累计进行10000次战术少女强化。,8,124,强化,0,,,,0
118,retire_gun,1,30,30,30,30,10,1,0,0,,,,,下次再见,累计进行1次战术少女回收。,8,126,人形拆解,0,,,,0
119,retire_gun,10,60,60,60,60,20,1,0,0,,,,,下车//c人满了！,累计进行10次战术少女回收。,8,126,人形拆解,0,,,,0
120,retire_gun,100,100,100,100,100,30,3,0,0,,,,,勿忘我,累计进行100次战术少女回收。,8,126,人形拆解,0,,,,0
121,retire_gun,500,200,200,200,200,60,3,0,0,,,,,再见//c不要真的再见……,累计进行500次战术少女回收。,8,126,人形拆解,0,,,,0
122,retire_gun,1000,500,500,500,500,200,5,0,0,,,,,我还会回来的！,累计进行1000次战术少女回收。,8,126,人形拆解,0,,,,0
123,retire_gun,5000,1000,1000,1000,1000,300,5,0,0,,,,,枪械拆卸大师,累计进行5000次战术少女回收。,8,126,人形拆解,0,,,,0
124,retire_gun,10000,2000,2000,2000,2000,600,10,0,0,,,,,爱情是狗粮,累计进行10000次战术少女回收。,8,126,人形拆解,0,,,,0
125,max_mp,5000,50,200,0,0,0,0,0,0,4-1,,,,人力工房,人力总数首次达到5000。,11,162,人力,0,,,,0
126,max_mp,10000,100,400,0,0,0,0,0,0,4-1,,,,人力仓库,人力总数首次达到10000。,11,162,人力,0,,,,0
127,max_mp,20000,200,1000,0,0,0,0,0,0,4-2,,,,人力财团,人力总数首次达到20000。,11,162,人力,0,,,,0
128,max_mp,50000,500,2000,0,0,0,0,0,0,4-2,,,,人力大亨,人力总数首次达到50000。,11,162,人力,0,,,,0
129,max_mp,100000,1000,5000,0,0,0,0,0,0,4-3,,,,怪物电力公司,人力总数首次达到100000。,11,162,人力,0,,,,0
130,max_ammo,5000,50,0,200,0,0,0,0,0,3-1,,,,弹药工房,弹药总数首次达到5000。,11,163,弹药,0,,,,0
131,max_ammo,10000,100,0,400,0,0,0,0,0,3-1,,,,弹药仓库,弹药总数首次达到10000。,11,163,弹药,0,,,,0
132,max_ammo,20000,200,0,1000,0,0,0,0,0,3-2,,,,弹药财团,弹药总数首次达到20000。,11,163,弹药,0,,,,0
133,max_ammo,50000,500,0,2000,0,0,0,0,0,3-2,,,,弹药大亨,弹药总数首次达到50000。,11,163,弹药,0,,,,0
134,max_ammo,100000,1000,0,5000,0,0,0,0,0,3-3,,,,战争之王,弹药总数首次达到100000。,11,163,弹药,0,,,,0
135,max_mre,5000,50,0,0,200,0,0,0,0,1-1,,,,口粮工房,口粮总数首次达到5000。,11,164,口粮,0,,,,0
136,max_mre,10000,100,0,0,400,0,0,0,0,1-1,,,,口粮仓库,口粮总数首次达到10000。,11,164,口粮,0,,,,0
137,max_mre,20000,200,0,0,1000,0,0,0,0,1-2,,,,口粮财团,口粮总数首次达到20000。,11,164,口粮,0,,,,0
138,max_mre,50000,500,0,0,2000,0,0,0,0,1-2,,,,口粮大亨,口粮总数首次达到50000。,11,164,口粮,0,,,,0
139,max_mre,100000,1000,0,0,5000,0,0,0,0,1-3,,,,人形与巧克力工厂,口粮总数首次达到100000。,11,164,口粮,0,,,,0
140,max_part,5000,50,0,0,0,200,0,0,0,4-1,,,,零件工房,零件总数首次达到5000。,11,165,零件,0,,,,0
141,max_part,10000,100,0,0,0,400,0,0,0,4-1,,,,零件仓库,零件总数首次达到10000。,11,165,零件,0,,,,0
142,max_part,20000,200,0,0,0,1000,0,0,0,4-2,,,,零件财团,零件总数首次达到20000。,11,165,零件,0,,,,0
143,max_part,50000,500,0,0,0,2000,0,0,0,4-2,,,,零件大亨,零件总数首次达到50000。,11,165,零件,0,,,,0
144,max_part,100000,1000,0,0,0,5000,0,0,0,4-3,,,,折越开始！,零件总数首次达到100000。,11,165,零件,0,,,,0
145,upgrade,1,30,30,30,30,10,0,0,0,8-1,,,,训练开始,累计进行1次技能训练。,8,127,技能训练,0,,,,4
146,upgrade,10,60,60,60,60,20,0,0,0,8-1,,,,起步上手,累计进行10次技能训练。,8,127,技能训练,0,,,,4
147,upgrade,50,100,100,100,100,30,0,0,0,8-2,,,,熟能生巧,累计进行50次技能训练。,8,127,技能训练,0,,,,4
148,upgrade,100,200,200,200,200,60,0,0,0,8-2,,,,千锤百炼,累计进行100次技能训练。,8,127,技能训练,0,,,,4
149,upgrade,500,500,500,500,500,200,0,0,0,8-3,,,,轻车熟路,累计进行500次技能训练。,8,127,技能训练,0,,,,4
150,upgrade,1000,1000,1000,1000,1000,300,0,0,0,8-3,,,,最后一课,累计进行1000次技能训练。,8,127,技能训练,0,,,,4
151,upgrade,2000,2000,2000,2000,2000,600,0,0,0,8-5,,,,钢铁是这样炼成的,累计进行2000次技能训练。,8,127,技能训练,0,,,,4
152,coin_mission,1,30,30,30,30,10,0,0,0,8-1,,,,模拟作战,累计完成1次模拟作战。,1,6,模拟作战,0,,,,0
153,coin_mission,10,60,60,60,60,20,0,0,0,4-1,,,,电子特警,累计完成10次模拟作战。,1,6,模拟作战,0,,,,0
154,coin_mission,50,100,100,100,100,30,0,0,0,4-3,,,,夏日课堂,累计完成50次模拟作战。,1,6,模拟作战,0,,,,0
155,coin_mission,100,200,200,200,200,60,0,0,0,4-3,,,,学园孤岛,累计完成100次模拟作战。,1,6,模拟作战,0,,,,0
156,coin_mission,500,500,500,500,500,200,0,0,0,4-5,,,,量子战役,累计完成500次模拟作战。,1,6,模拟作战,0,,,,0
157,coin_mission,1000,1000,1000,1000,1000,300,0,0,0,4-5,,,,调色板,累计完成1000次模拟作战。,1,6,模拟作战,0,,,,0
158,coin_mission,2000,2000,2000,2000,2000,600,0,0,0,4-10,,,,游荡者茶会,累计完成2000次模拟作战。,1,6,模拟作战,0,,,,0
159,auto_mission,1,30,30,30,30,10,0,0,0,,,,,自律作战,累计完成1次自律作战。,1,7,自律作战,0,,,,0
160,auto_mission,10,60,60,60,60,20,0,0,0,3-1,,,,小鬼当家,累计完成10次自律作战。,1,7,自律作战,0,,,,0
161,auto_mission,100,100,100,100,100,30,0,0,0,3-3,,,,玩具总动员,累计完成100次自律作战。,1,7,自律作战,0,,,,0
162,auto_mission,500,200,200,200,200,60,0,0,0,3-3,,,,拜托了，老师,累计完成500次自律作战。,1,7,自律作战,0,,,,0
163,auto_mission,1000,500,500,500,500,200,0,0,0,3-5,,,,魔力管家,累计完成1000次自律作战。,1,7,自律作战,0,,,,0
164,auto_mission,5000,1000,1000,1000,1000,300,0,0,0,3-5,,,,天网计划,累计完成5000次自律作战。,1,7,自律作战,0,,,,0
165,auto_mission,10000,2000,2000,2000,2000,600,0,0,0,3-10,,,,矩阵革命,累计完成10000次自律作战。,1,7,自律作战,0,,,,0
166,get_equip_category1,10,30,50,50,50,20,0,0,0,2-1,,,,配件入门,累计获得10个配件类装备。,4,42,获得N个配件,0,,,,2
167,get_equip_category1,50,50,100,100,100,30,0,0,0,2-1,,,,配件学徒,累计获得50个配件类装备。,4,42,获得N个配件,0,,,,2
168,get_equip_category1,100,100,200,200,200,60,0,0,0,2-2,,,,配件工匠,累计获得100个配件类装备。,4,42,获得N个配件,0,,,,2
169,get_equip_category1,200,200,300,300,300,100,0,0,0,2-2,,,,配件精英,累计获得200个配件类装备。,4,42,获得N个配件,0,,,,2
170,get_equip_category1,500,500,400,400,400,150,0,0,0,2-3,,,,配件专家,累计获得500个配件类装备。,4,42,获得N个配件,0,,,,2
171,get_equip_category1,1000,1000,500,500,500,200,0,0,0,2-5,,,,配件大师,累计获得1000个配件类装备。,4,42,获得N个配件,0,,,,2
172,get_equip_category2,10,30,50,50,50,20,0,0,0,2-1,,,,弹匣入门,累计获得10个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
173,get_equip_category2,50,50,100,100,100,30,0,0,0,2-1,,,,弹匣学徒,累计获得50个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
174,get_equip_category2,100,100,200,200,200,60,0,0,0,2-2,,,,弹匣工匠,累计获得100个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
175,get_equip_category2,200,200,300,300,300,100,0,0,0,2-2,,,,弹匣精英,累计获得200个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
176,get_equip_category2,500,500,400,400,400,150,0,0,0,2-3,,,,弹匣专家,累计获得500个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
177,get_equip_category2,1000,1000,500,500,500,200,0,0,0,2-5,,,,弹匣大师,累计获得1000个弹匣类装备。,4,43,获得N个弹匣,0,,,,2
178,get_equip_category3,10,30,50,50,50,20,0,0,0,2-1,,,,人形入门,累计获得10个人形类装备。,4,44,获得N个人形装备,0,,,,2
179,get_equip_category3,50,50,100,100,100,30,0,0,0,2-1,,,,人形学徒,累计获得50个人形类装备。,4,44,获得N个人形装备,0,,,,2
180,get_equip_category3,100,100,200,200,200,60,0,0,0,2-2,,,,人形工匠,累计获得100个人形类装备。,4,44,获得N个人形装备,0,,,,2
181,get_equip_category3,200,200,300,300,300,100,0,0,0,2-2,,,,人形精英,累计获得200个人形类装备。,4,44,获得N个人形装备,0,,,,2
182,get_equip_category3,500,500,400,400,400,150,0,0,0,2-3,,,,人形专家,累计获得500个人形类装备。,4,44,获得N个人形装备,0,,,,2
183,get_equip_category3,1000,1000,500,500,500,200,0,0,0,2-5,,,,人形大师,累计获得1000个人形类装备。,4,44,获得N个人形装备,0,,,,2
184,get_equip_rank3,1,100,100,100,100,100,0,0,0,,,,,小发明,首次获得蓝色装备。,4,41,首次获得N星装备,0,,,,2
