id,description,damage_ratio,extra_damage,buff_id,harm_delay,target_move,is_critical_hit,critical_hit_rate,float_wide,trigger_creation_id,trigger_creation_delay,is_form_hurt,is_miss,is_armor,beat_back_percent,buff_id_target,buff_id_self,hurt_buff_trigger_type,buff_rate,target_move_percent,target_skill,trigger_summoner,defbreak_rate,extra_defbreak,hit_type,is_ricochet,is_shield,fix_damage,ui_control
302,刽子手顺劈斩,400,0,0,0,0,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
303,建筑师核爆中心,1000,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
304,计量官刀光,100,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305,炮台扫射,*201,0,0,0,0,1,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
306,计量官普攻,25,0,0,0,0,1,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,建筑师核爆边缘,50,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
308,巨鹰攻势,100,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
309,恶毒绽放,*201,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
310,衔尾蛇SP攻击,*201,0,0,0,0,1,100,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
311,衔尾蛇普攻,50,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,刽子手落地,150,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
313,刽子手剑气,200,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
314,刽子手子弹,150,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
315,刽子手剑气后,50,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
316,梦想家激光,*201,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
317,ERR核爆,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
318,ERR三连,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
319,自爆自伤,99999,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
320,自爆爆炸,0,*102,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
321,狙击妖精,0,*101,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
322,迫击妖精,0,*102,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
323,空袭妖精,0,*101,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324,精英破坏者导弹,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
325,精英破坏者光束,*202,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
326,护盾触发,0,*103,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
327,铁血狗SP导弹,*201,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
328,铁血狗激光,60,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
329,破坏者SP导弹,100,0,0,0,0,1,100,15,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
330,起源弹,*202,0,432,0,0,0,100,15,0,0,0,0,0,0,432:1,0,0,100,0,0,0,0,0,1,0,0,0,0
331,瘟疫立场爆炸,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
332,瘟疫立场DOT,*202,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
333,法官扫射,50,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
334,火柱妖精,0,*101,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
335,人形妖精,0,*101,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
336,次元斩,0,99999,0,0,0,0,100,0,0,0,0,0,0,0,120:-1,0,0,100,0,0,0,0,0,1,0,0,0,0
337,三连斩,90,0,0,0,0,0,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
338,希儿普攻,100,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
339,希儿普攻溅射,50,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
340,德莉莎SP溅射,150,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
341,德莉莎冲刺,120,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
342,长矛,0,7,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
343,强无敌扫射,*201,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
344,掷弹兵燃烧初始,240,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
345,掷弹兵燃烧持续,40,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
346,榴弹,700,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
347,空袭,0,1000,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348,信标计时器,0,1,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
349,掷弹兵普攻,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350,心智冲击,0,9999,0,0,0,0,100,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
351,电磁炮1,0,20,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
352,地雷,0,130,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
353,地雷死线,0,9999,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
354,电磁炮2,70,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
355,电磁炮3,40,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
356,电磁炮4,20,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357,代理人镜像子弹标记,0,1,0,0,0,0,100,15,0,0,0,1,0,0,169:1,0,0,100,0,0,0,0,0,1,0,0,0,0
358,代理人子弹,100,0,0,0,0,0,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
359,代理人子弹分身,0,1,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
360,代理人子弹标记,100,0,0,0,0,1,100,15,0,0,0,1,1,0,169:1,0,0,100,0,0,0,0,0,1,0,0,0,0
361,掷弹兵闪光弹,360,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
362,掷弹兵烟雾弹,320,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
368,tac狙击,*201,0,0,0,0,1,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
369,aa12霰弹枪普通攻击,100,0,0,0,2,1,100,15,0,0,0,1,1,*201,0,0,0,0,0,500104,0,0,0,1,0,0,0,0
370,FP6爆炸伤害,*201,0,0,0,0,0,100,15,0,0,1,0,0,100,0,0,0,0,0,500104,0,0,0,1,0,0,0,0
371,支援test普闪,0,50,0,0,0,1,100,15,0,0,1,1,0,0,0,0,0,0,0,0,0,*201,0,1,100,0,0,0
372,支援test支闪,0,50,0,0,0,1,100,15,0,0,1,1,0,0,0,0,0,0,0,0,0,*201,0,2,100,0,0,0
373,支援test支必中,0,50,0,0,0,1,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,*202,0,2,100,0,0,0
374,支援test支绝对值,0,50,0,0,0,1,100,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1000,2,100,0,0,0
375,AKS-74U技能开启子弹,100,0,0,0,0,1,100,15,0,0,0,1,1,0,"500:1,501:1",0,0,100,0,0,0,0,0,1,0,0,0,0
376,ITOW普通攻击,100,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
377,ITOW主技能攻击,*201,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
378,ITOW主技能追加攻击,*202,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,0,0,2,100,0,0,0
379,2B14主技能攻击,*201,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
380,2B14追加伤害,*201,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,0,0,2,100,0,0,0
381,2B14普通攻击,100,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
382,SOP2额外伤害,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
385,AGS-30榴弹,*201,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,0,0,0,0,33,0,2,100,0,0,0
386,破防值dot初始伤害,0,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,*201,0,2,100,0,0,0
387,破防值dot持续伤害,0,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,*201,0,2,100,0,0,0
388,45敌方自损伤害,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,100,0,0,0
389,sv98狙击,*201,0,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
390,AGS-30概率判定,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,987:1,0,*202,0,0,0,0,0,1,100,0,0,0
391,2B14概率判定,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,961:1,0,40,0,0,0,0,0,1,100,0,0,0
392,2B14触发辅助技能,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,960:1,0,100,0,0,0,0,0,1,100,0,0,0
393,蟒蛇攻击1,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
394,蟒蛇攻击2,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
395,蟒蛇攻击3,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
396,蟒蛇攻击4,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
397,蟒蛇攻击5,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
398,蟒蛇攻击6,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
399,M870P防护值衰减,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,100,0,0,0
400,僵尸boss践踏aoe,*202,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
401,僵尸瘟疫光环1,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
402,僵尸瘟疫光环2,*202,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
403,僵尸瘟疫光环3,*203,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
404,僵尸普攻,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
405,坦克多发,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
406,坦克技能,*201,0,0,0,0,1,100,15,0,0,1,0,1,0,0,0,0,100,0,0,0,0,0,1,100,0,0,0
407,吃小僵尸,0,*103,0,0,0,0,100,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,100,0,0,0
408,SOP2触发技能,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"971:1,576:1",0,100,0,0,0,0,0,1,100,0,0,0
409,45触发技能,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,100,0,0,0
410,黑色boss普攻,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
411,黑白boss大招,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0
412,真boss扣血,0,*101,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,100,0,0,0
413,45敌方自损伤害,0,*101,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0
414,巴雷特狙击,*201,0,0,0,0,1000004561,100,15,0,0,0,0,0,0,120112:1,1000:1,0,*204,0,0,0,0,0,1,0,0,0,0
415,白色boss判定,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,567:1,0,35,0,0,0,0,0,1,0,0,0,0
416,白色boss判定2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,568:1,0,10,0,0,0,0,0,1,0,0,0,0
417,烟花妖精触发,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,576:1,0,100,0,0,0,0,0,1,0,0,0,0
418,K11榴弹判定,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"596:1,576:1",0,100,0,0,0,0,0,1,0,0,0,0
419,ITOW中心伤害,150,0,0,0,0,0,100,15,0,0,0,0,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
420,LWMMG判定,0,0,0,0,0,0,100,15,0,0,0,0,0,0,0,868:1,0,*201,0,0,0,0,0,1,0,0,0,0
421,技能效果2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1000:1,0,100,0,0,0,0,0,1,0,0,0,0
422,P90伤害,100,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
423,技能效果,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"576:1,1001:1",0,100,0,0,0,0,0,1,0,0,0,0
424,x95伤害,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
425,ksvk范围伤害,*203,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
426,m16无视防护值,100,0,0,0,0,1,100,15,0,0,0,1,1,0,0,1340:1,0,70,0,0,0,0,100,1,100,0,0,0
427,qte人偶扳机激活,0,3000,0,0,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
428,涅托随机判定,0,0,0,0,0,0,100,15,0,0,0,0,0,0,0,1339:1,0,50,0,0,0,0,0,1,0,0,0,0
429,年兽伤害,0,*101,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,M200,*201,0,0,0,0,1,100,15,0,0,0,0,1,0,1363:1,0,0,100,0,0,0,0,0,1,0,0,0,0
431,年兽眩晕,0,0,0,0,0,0,100,0,0,0,0,0,0,0,221:1,0,0,100,0,0,0,0,0,1,0,0,0,0
432,M200普攻,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
434,M2主技能攻击,*201,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,0,0,2,100,0,0,0
435,M2普通攻击,100,0,0,0,0,0,100,15,0,0,1,1,1,0,0,0,0,100,0,0,0,100,0,2,100,0,0,0
436,M2触发,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"1373:1,960:1",0,100,0,0,0,0,0,1,0,0,0,0
437,AT4随机,0,0,0,0,0,0,100,15,0,0,0,0,0,0,0,1383:1,0,*201,0,0,0,0,0,1,0,0,0,0
438,AT4随机伤害,*203,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0
439,AT4触发,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1373:1,0,100,0,0,0,0,0,1,0,0,0,0
440,小熊必中普攻,100,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
441,88式爆,*202,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
442,88式爆额外,*201,0,0,0,0,0,100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
443,PA15额外,*201,0,0,0,0,1,100,15,0,0,0,0,1,0,"1446:1,1425:1,1447:1",0,0,100,0,0,0,0,0,1,0,0,0,0
444,PA15额外2,*201,0,0,0,0,1,100,15,0,0,0,0,1,0,1446:1,0,0,100,0,0,0,0,0,1,0,0,0,0
445,EM2狙击,*201,0,0,0,0,1,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
446,Boss普通攻击,*202,0,0,0,2,1,100,15,0,0,0,1,1,*201,0,0,0,0,0,500104,0,0,0,1,0,0,0,0
447,Stella普通攻击,50,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
448,alms普通攻击,*201,0,0,0,0,1,100,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
449,Dana爆炸伤害,*201,0,0,0,0,0,100,15,0,0,1,0,0,*202,0,0,0,0,0,500104,0,0,0,1,0,0,0,0
451,4式穿透,100,0,0,0,0,0,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
