id,name,code,description,lvup_description,skill_group_id,level,train_coin_type,train_coin_number,skill_up_time,spot_type,spot_belong,spot_echelon,cd_time,cd_time_type,consumption,start_range,is_night,data_pool,is_airborne,airborne_mission_buff_config_id,effect_cast,effect_self,effect_target,trigger_id,target_id,special_spot_add,special_spot_minus,mission_buff_add,mission_buff_minus,subsidiary_mission_skill,is_manual,allyteam_summoner,ap_cost,consumption_item,drop_item,fun_game_type,fun_game_name,fun_game_result_sub
201,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:13秒,2,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
202,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:14秒,2,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
203,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:15秒,2,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
204,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:16秒,2,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
205,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:17秒,2,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
206,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:18秒,2,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
207,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:19秒,2,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
208,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:20秒,2,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
209,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:21秒,2,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
210,战斗效率,fighting,提升我方攻击力和攻速,冷却时间:10秒//c火力提升:32%//c持续时间:22秒,2,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,2:1,,,,,0,,0,,,0,,
301,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:23秒,3,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
302,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:24秒,3,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
303,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:25秒,3,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
304,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:26秒,3,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
305,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:27秒,3,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
306,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:28秒,3,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
307,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:29秒,3,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
308,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:30秒,3,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
309,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:31秒,3,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
310,怒无限强,crit,提升我方暴击和暴击伤害,冷却时间:10秒//c火力提升:32%//c持续时间:32秒,3,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,3:1,,,,,0,,0,,,0,,
401,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:33秒,4,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
402,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:34秒,4,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
403,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:35秒,4,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
404,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:36秒,4,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
405,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:37秒,4,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
406,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:38秒,4,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
407,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:39秒,4,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
408,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:40秒,4,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
409,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:41秒,4,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
410,防暴强化,armor,提升我方霰弹枪护甲,冷却时间:10秒//c火力提升:32%//c持续时间:42秒,4,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,4:1,,,,,0,,0,,,0,,
501,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:43秒,5,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
502,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:44秒,5,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
503,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:45秒,5,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
504,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:46秒,5,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
505,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:47秒,5,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
506,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:48秒,5,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
507,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:49秒,5,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
508,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:50秒,5,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
509,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:51秒,5,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
510,能量护盾,shield,我方冲锋枪获得额外护盾,冷却时间:10秒//c火力提升:32%//c持续时间:52秒,5,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,5:1,,,,,0,,0,,,0,,
601,临时装甲,defense,一回合内每场战斗中本梯队全体减伤10%，持续20秒。,全体减伤:10%,6,1,0,0,0,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
602,临时装甲,defense,一回合内每场战斗中本梯队全体减伤12%，持续20秒。,全体减伤:12%,6,2,1,200,7200,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
603,临时装甲,defense,一回合内每场战斗中本梯队全体减伤14%，持续20秒。,全体减伤:14%,6,3,1,400,21600,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
604,临时装甲,defense,一回合内每场战斗中本梯队全体减伤17%，持续20秒。,全体减伤:17%,6,4,1,600,36000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
605,临时装甲,defense,一回合内每场战斗中本梯队全体减伤19%，持续20秒。,全体减伤:19%,6,5,2,240,50400,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
606,临时装甲,defense,一回合内每场战斗中本梯队全体减伤21%，持续20秒。,全体减伤:21%,6,6,2,400,72000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
607,临时装甲,defense,一回合内每场战斗中本梯队全体减伤23%，持续20秒。,全体减伤:23%,6,7,2,600,93600,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
608,临时装甲,defense,一回合内每场战斗中本梯队全体减伤26%，持续20秒。,全体减伤:26%,6,8,2,800,115200,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
609,临时装甲,defense,一回合内每场战斗中本梯队全体减伤28%，持续20秒。,全体减伤:28%,6,9,3,400,144000,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
610,临时装甲,defense,一回合内每场战斗中本梯队全体减伤30%，持续20秒。,全体减伤:30%,6,10,3,600,172800,-1,-1,-1,1,0,5,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
701,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:63秒,7,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
702,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:64秒,7,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
703,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:65秒,7,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
704,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:66秒,7,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
705,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:67秒,7,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
706,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:68秒,7,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
707,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:69秒,7,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
708,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:70秒,7,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
709,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:71秒,7,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
710,投放靶机,target,召唤嘲讽靶机,冷却时间:10秒//c火力提升:32%//c持续时间:72秒,7,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
801,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升3%，持续20秒。,回避提升:3%,8,1,0,0,0,-1,-1,1,1,0,2,0,0,3,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
802,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升3.5%，持续20秒,回避提升:3.5%,8,2,1,200,7200,-1,-1,1,1,0,2,0,0,3.5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
803,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升4%，持续20秒。,回避提升:4%,8,3,1,400,21600,-1,-1,1,1,0,2,0,0,4,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
804,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升4.5%，持续20秒。,回避提升:4.5%,8,4,1,600,36000,-1,-1,1,1,0,2,0,0,4.5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
805,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升5%，持续20秒。,回避提升:5%,8,5,2,240,50400,-1,-1,1,1,0,2,0,0,5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
806,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升6%，持续20秒。,回避提升:6%,8,6,2,400,72000,-1,-1,1,1,0,2,0,0,6,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
807,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升7%，持续20秒。,回避提升:7%,8,7,2,600,93600,-1,-1,1,1,0,2,0,0,7,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
808,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升8%，持续20秒。,回避提升:8%,8,8,2,800,115200,-1,-1,1,1,0,2,0,0,8,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
809,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升9%，持续20秒。,回避提升:9%,8,9,3,400,144000,-1,-1,1,1,0,2,0,0,9,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
810,增援人形,reinforce,本梯队中血量百分比最少的战术人形获得一个编制的增援，同时一回合内每场战斗中全队回避提升10%，持续20秒。,回避提升:10%,8,10,3,600,172800,-1,-1,1,1,0,2,0,0,10,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
901,机场解放,airborne,本梯队可空降至范围3以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低90%。,伤害下降:90%//c命中下降:90%//c回避下降:90%//c护甲下降:90%//c暴击率下降:90%//c空降范围:3,9,1,0,0,0,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
902,机场解放,airborne,本梯队可空降至范围3以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低85%。,伤害下降:85%//c命中下降:85%//c回避下降:85%//c护甲下降:85%//c暴击率下降:85%//c空降范围:3,9,2,1,200,7200,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
903,机场解放,airborne,本梯队可空降至范围3以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低80%。,伤害下降:80%//c命中下降:80%//c回避下降:80%//c护甲下降:80%//c暴击率下降:80%//c空降范围:3,9,3,1,400,21600,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
904,机场解放,airborne,本梯队可空降至范围4以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低75%。,伤害下降:75%//c命中下降:75%//c回避下降:75%//c护甲下降:75%//c暴击率下降:75%//c空降范围:4,9,4,1,600,36000,"3,-3,7,-7","0,1,2,3",0,5,0,5,4,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
905,机场解放,airborne,本梯队可空降至范围4以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低70%。,伤害下降:70%//c命中下降:70%//c回避下降:70%//c护甲下降:70%//c暴击率下降:70%//c空降范围:4,9,5,2,240,50400,"3,-3,7,-7","0,1,2,3",0,5,0,5,4,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
906,机场解放,airborne,本梯队可空降至范围5以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低65%。,伤害下降:65%//c命中下降:65%//c回避下降:65%//c护甲下降:65%//c暴击率下降:65%//c空降范围:5,9,6,2,400,72000,"3,-3,7,-7","0,1,2,3",0,5,0,5,5,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
907,机场解放,airborne,本梯队可空降至范围5以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低60%。,伤害下降:60%//c命中下降:60%//c回避下降:60%//c护甲下降:60%//c暴击率下降:60%//c空降范围:5,9,7,2,600,93600,"3,-3,7,-7","0,1,2,3",0,5,0,5,5,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
908,机场解放,airborne,本梯队可空降至范围6以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低55%。,伤害下降:55%//c命中下降:55%//c回避下降:55%//c护甲下降:55%//c暴击率下降:55%//c空降范围:6,9,8,2,800,115200,"3,-3,7,-7","0,1,2,3",0,5,0,5,6,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
909,机场解放,airborne,本梯队可空降至范围6以内的任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低50%。,伤害下降:50%//c命中下降:50%//c回避下降:50%//c护甲下降:50%//c暴击率下降:50%//c空降范围:6,9,9,3,400,144000,"3,-3,7,-7","0,1,2,3",0,5,0,5,6,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
910,机场解放,airborne,本梯队可空降至图中任意机场，同时两回合内全队伤害、命中、回避、护甲和暴击率降低40%。,伤害下降:40%//c命中下降:40%//c回避下降:40%//c护甲下降:40%//c暴击率下降:40%//c空降范围:MAX,9,10,3,600,172800,"3,-3,7,-7","0,1,2,3",0,5,0,5,99,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
1001,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量20%的伤害，该伤害对boss无效。,伤害:20%,10,1,0,0,0,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,20,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1002,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量23%的伤害，该伤害对boss无效。,伤害:23%,10,2,1,200,7200,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,23,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1003,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量26%的伤害，该伤害对boss无效。,伤害:26%,10,3,1,400,21600,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,26,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1004,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量30%的伤害，该伤害对boss无效。,伤害:30%,10,4,1,600,36000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,30,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1005,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量33%的伤害，该伤害对boss无效。,伤害:33%,10,5,2,240,50400,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,33,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1006,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量36%的伤害，该伤害对boss无效。,伤害:36%,10,6,2,400,72000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,36,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1007,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量40%的伤害，该伤害对boss无效。,伤害:40%,10,7,2,600,93600,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,40,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1008,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量43%的伤害，该伤害对boss无效。,伤害:43%,10,8,2,800,115200,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,43,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1009,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量46%的伤害，该伤害对boss无效。,伤害:46%,10,9,3,400,144000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,46,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1010,地雷阵线,Landmines,相邻无人的点上埋藏一枚存在两回合的地雷，当敌人触碰后会受到当前血量50%的伤害，该伤害对boss无效。,伤害:50%,10,10,3,600,172800,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,50,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1101,阵地死神,position,在指定范围内部署一个火箭发射器，下回合对范围2内的随机4队敌人造成当前血量10%的伤害，该伤害对boss无效。,伤害:10%//c范围内敌人:4,11,1,0,0,0,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,10,0,0,0,0,0,,100001590&&100001890,1101:1,,,,,0,,0,,,0,,
1102,阵地死神,position,在指定范围内部署一个火箭发射器，下回合对范围2内的随机4队敌人造成当前血量11%的伤害，该伤害对boss无效。,伤害:11%//c范围内敌人:4,11,2,1,200,7200,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,11,0,0,0,0,0,,100001590&&100001890,1102:1,,,,,0,,0,,,0,,
1103,阵地死神,position,在指定范围内部署一个火箭发射器，下回合对范围2内的随机4队敌人造成当前血量12%的伤害，该伤害对boss无效。,伤害:12%//c范围内敌人:4,11,3,1,400,21600,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,12,0,0,0,0,0,,100001590&&100001890,1103:1,,,,,0,,0,,,0,,
