id,task_type,title,content,function_control_id
71,develop_gun_93,IDW哒喵,获得战术人形“IDW”*{0},0
72,develop_gun_rank4,血统验证_人形,制造出4星人形*{0},0
73,develop_equip_rank4,血统验证_装备,制造出4星装备*{0},0
74,mission_emergency_0_3_6,S胜（普通3-6）,第三战役普通3-6结算获取S胜{0}次,0
75,mission_emergency_1_4_4,S胜（紧急4-4）,第四战役紧急4-4结算获取S胜{0}次,0
76,mission_emergency_3_3_4,S胜（夜战3-4）,第三战役夜战3-4结算获取S胜{0}次,0
77,be_borrowed_friend_team,好友使用梯队,好友使用我方梯队{0}次,0
78,consume_bp,体力消耗,累计消耗体力*{0},0
79,consume_gem,钻石消耗,累计消耗钻石*{0},0
80,buy_bp_count,采购币购买,在商城“道具”界面购买采购币*{0},0
81,buy_quick_reinforce,购买快速修复契约,在商城“契约”界面购买“快速修复契约”{0}次,0
82,buy_iop_contract,购买人形制造契约,在商城“契约”界面购买“人形制造契约”{0}次,0
83,buy_quick_develop,购买快速制造契约,在商城“契约”界面购买“快速制造契约”{0}次,0
84,buy_equip_contract,购买装备制造契约,在商城“契约”界面购买“装备制造契约”{0}次,0
85,squad_base_data_analyse,原始样本解析,使用原始数据样本进行{0}次情报解析,0
86,squad_senior_data_analyse,纯净样本解析,使用纯净数据样本进行{0}次情报解析,0
87,squad_data_analyse,数据分析,累计进行{0}次情报解析（原始/高级皆可）,0
88,squad_data_by_analyse,中枢数据,通过情报解析获得中枢数据*{0},0
89,squad_chip_rank4_by_analyse,血统验证,通过情报解析获得4星芯片*{0},0
90,squad_chip_rank5_by_analyse,血统验证,通过情报解析获得5星芯片*{0},0
91,squad_level_up_times,重装等级提升,重装部队累计提升{0}级,0
92,squad_strengthen_times,重装部队强化,使用{0}个增幅胶囊强化重装部队,0
93,squad_train_and_skill_times,重装部队训练,重装部队完成{0}次训练（经验/技能皆可）,0
94,squad_up_rank,重装部队晋升,重装部队晋升{0}次,0
95,squad_up_advanced_times,重装部队迭代,累计进行{0}次迭代,0
96,squad_eat_chip_num,芯片强化,将{0}个芯片用于芯片强化,0
97,buy_bp_count,体力购买,累计购买体力{0}次,0
98,buy_furniture_coin,采购币购买,累计购买采购币*{0},0
99,buy_quick_training,购买快速训练契约,购买快速训练契约*{0},0
100,adopt_pet,宠物收养,收养任意宠物*{0},0
101,develop_gun_2,M1911,通过人形制造获得战术人形“M1911”*{0},0
102,develop_gun_25,MP40,通过人形制造获得战术人形“MP40”*{0},0
103,develop_gun_10,PPK,通过人形制造获得战术人形“PPK”*{0},0
104,develop_gun_93,IDW哒喵,通过人形制造获得战术人形“IDW”*{0},0
105,get_trial_voucher,校准点券获取,通过防御演习获得校准点券*{0},0
106,consume_furniture_coin,采购币消耗,累计消耗采购币*{0},0
107,develop_gun_rank5,血统验证_人形,制造出5星人形*{0},0
108,develop_equip_rank5,血统验证_装备,制造出5星装备*{0},0
109,retire_equip,装备拆解,拆解装备数量*{0},0
110,friends_battery,获得好友电池,累计从好友处获得{0}次共享电池,0
111,adjust_fairy,妖精校准,进行{0}次妖精校准,0
112,eat_fairy,妖精强化,进行{0}次妖精强化,0
113,get_gem,获得钻石,累计获得钻石*{0},0
114,finish_squad_daily_task,完成情报任务,完成{0}次情报任务,0
115,consume_quick_analyse,消耗快速解析契约,累计消耗快速解析契约*{0},0
116,get_squad_fragment_type1,血统验证_BGM-71,累计获得{0}个反坦克武器中枢碎片,0
117,get_squad_fragment_type2,血统验证_2B14,累计获得{0}个迫击炮中枢碎片,0
118,get_squad_fragment_type3,血统验证_AGS-30,累计获得{0}个榴弹发射器中枢碎片,0
119,get_base_data,获取原始数据样本,累计获得{0}个原始数据样本,0
120,get_senior_data,获取纯净数据样本,累计获得{0}个纯净数据样本,0
121,get_fight_report,生产任意作战报告书,累计生产任意作战报告书*{0}（包括作战报告书和特种作战报告书）,0
122,explore_start,出发进行探索,进行{0}次探索,0
123,sangvis_daily_retrieval,日常捕获,完成日常捕获{0}次,0
124,sangvis_aided_retrieval,委托捕获,完成委托捕获{0}次,0
125,sangvis_exercise,融合演习,完成融合演习{0}次,0
126,sangvis_exercise_exp,防卫构思集训,完成防卫构思集训{0}次,0
127,sangvis_exercise_star,开发调节操练,完成开发调节操练{0}次,0
128,sangvis_exercise_analysis,解密算法练习,完成解密算法练习{0}次,0
