id,grid,grid_number,rank_weight,code
105,"2,2|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,2|7,3|7,4|7,5|7,6|7,7",36,0,
111,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
112,"2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5",24,0,
113,"2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5",30,0,
114,"1,5|1,6|2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5|8,3|8,4",34,0,
115,"1,5|1,6|2,4|2,5|2,6|2,7|3,3|3,4|3,5|3,6|3,7|3,8|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,1|5,2|5,3|5,4|5,5|5,6|5,7|6,1|6,2|6,3|6,4|6,5|6,6|7,2|7,3|7,4|7,5|8,3|8,4",38,0,
121,"3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",16,0,
122,"2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6",24,0,
123,"2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6",30,0,
124,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|8,4|8,5",34,0,
125,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,3|4,4|4,5|4,6|5,3|5,4|5,5|5,6|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",38,0,
131,"3,4|3,5|3,6|3,7|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5",16,0,
132,"2,2|2,3|2,4|3,3|3,4|3,5|3,6|3,7|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,5|7,6|7,7",24,0,
133,"2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7",30,0,
134,"1,2|1,3|2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7|8,6|8,7",34,0,
135,"1,1|1,2|1,3|1,8|2,2|2,3|2,4|2,7|2,8|3,3|3,4|3,5|3,6|3,7|3,8|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|6,1|6,2|6,3|6,4|6,5|6,6|7,1|7,2|7,5|7,6|7,7|8,1|8,6|8,7|8,8",38,0,
141,"2,5|2,6|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,5|6,6|6,7|7,5|7,6",16,0,
142,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,5|6,6|6,7|7,5|7,6",22,0,
143,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,6|4,7|4,8|5,6|5,7|5,8|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",28,0,
144,"1,4|1,5|2,3|2,4|2,5|2,6|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|4,8|5,2|5,3|5,6|5,7|5,8|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",32,0,
145,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,1|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|5,8|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",36,0,
151,"2,3|2,4|2,5|3,3|3,4|3,5|4,4|4,5|5,4|5,5|6,3|6,4|6,5|7,3|7,4|7,5",16,0,
152,"2,3|2,4|2,5|3,2|3,3|3,4|3,5|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|7,3|7,4|7,5",24,0,
153,"2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7",30,0,
154,"1,4|1,5|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7|8,4|8,5",34,0,
155,"1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,2|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|5,1|5,2|5,3|5,4|5,5|6,2|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|7,7|8,4|8,5|8,6|8,7",38,0,
161,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|4,1|4,2|4,3|4,4|5,3|5,4|6,3|6,4",16,0,
162,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|6,3|6,4",24,0,
163,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|6,3|6,4|6,5|7,3|7,4|8,3|8,4",30,0,
164,"1,3|1,4|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|5,6|6,3|6,4|6,5|6,6|7,3|7,4|7,5|7,6|8,3|8,4",34,0,
165,"1,3|1,4|2,2|2,3|2,4|3,1|3,2|3,3|3,4|3,5|3,6|3,7|3,8|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|7,7|8,3|8,4",38,0,
171,"3,4|3,5|4,3|4,4|4,5|4,6|4,7|5,3|5,4|5,5|5,6|5,7|6,4|6,5|7,4|7,5",16,0,
172,"2,4|2,5|3,4|3,5|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,4|6,5|7,4|7,5",20,0,
173,"2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5",24,0,
174,"1,4|1,5|2,4|2,5|3,3|3,4|3,5|3,6|4,2|4,3|4,4|4,5|4,6|4,7|5,2|5,3|5,4|5,5|5,6|5,7|6,3|6,4|6,5|6,6|7,4|7,5|8,4|8,5",28,0,
175,"1,4|1,5|2,4|2,5|3,3|3,4|3,5|3,6|4,1|4,2|4,3|4,4|4,5|4,6|4,7|4,8|5,1|5,2|5,3|5,4|5,5|5,6|5,7|5,8|6,3|6,4|6,5|6,6|7,4|7,5|8,4|8,5",32,0,
901,"3,3|3,4|3,5|3,6|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,3|6,4|6,5|6,6",16,0,
902,"2,4|2,5|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|7,4|7,5",22,0,
903,"2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6",28,0,
904,"1,4|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,5",32,0,
905,"1,4|1,5|2,3|2,4|2,5|2,6|3,2|3,3|3,4|3,5|3,6|3,7|4,1|4,2|4,3|4,6|4,7|4,8|5,1|5,2|5,3|5,6|5,7|5,8|6,2|6,3|6,4|6,5|6,6|6,7|7,3|7,4|7,5|7,6|8,4|8,5",36,0,
