id,name,classes,type,position,space,deco_rate,decompose_gift,description,code,texture_type,sorting,offset,rotate,interact_point,interact_point_offset,furniture_bgm,touch_area,bonus_id,ai
112,万圣节-神秘书架,1,302,"23,9","3,3,1,1,1,0",850,100003,在万圣夜不要打开卷轴，不要拉开抽屉，更不要诵读书上任何一段奇怪的文字，如果恐怖电影教会了我们任何事的话。,ws2016_walldeco_02,1,0,"0,0,0",3,104,"*0.259,0.65,0.000",0,0,0,0
113,万圣节-古怪挂画,1,302,"14,8","3,6,1,1,1,0",900,100003,挂画的选择决定一个房间的成败，颜色和谐是最重要的一环。,ws2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
114,万圣节-蜘蛛,1,302,"29,2","3,3,1,1,1,0",850,100003,没有毛绒绒的蜘蛛的万圣节是不完整的，只是要注意被吓到的是战术少女而非普通人类女孩，所以最好提前给自己买份意外保险。,ws2016_walldeco_04,1,0,"0,-0.2,0",3,0,0,0,0,0,0
115,万圣节-黑猫和窗,1,302,"17,6","6,8,1,1,1,0",1000,100003,虽然格里芬的窗户都是超高清显示屏，但虚幻的灯火夜色带来的却是切实的温暖，更不用提还附赠了可爱的喵星人。,ws2016_window,1,0,"0,0.1,0",3,"104,104","*0.104,4.194,0.000|0.4,-0.29,0",0,0,0,0
201,初始-床,2,203,0,"5,3,1,1,1,0",100,100001,IOP配发的箱子拼成的床，拆开可以用来取暖。,cs2016_bed,1,0,"0,-0.15,0",2,6,"0.48,0.20,1",0,0,0,0
202,初始-纸箱,2,202,0,"2,2,1,1,1,0",100,100001,IOP发来的箱子，不知道里面是什么不过拿来当凳子刚刚好。,cs2016_chair_a,1,0,"0,-0.15,0",2,3,"0.5,0.33,1",0,0,0,0
203,初始-纸箱,2,202,0,"2,2,1,1,1,0",100,100001,IOP发来的箱子，不知道里面是什么不过拿来当凳子刚刚好。,cs2016_chair_b,1,0,"0,-0.15,0",2,2,"0.5,0.33,0",0,0,0,0
204,初始-地板,2,101,0,"1,1,1,1,1,0",100,100001,格里芬地板本来的样子: 钢筋加固的混凝土，这种最粗犷的建筑材质在上个世纪意外的又作为一种无修饰的设计哲学流行起来。,cs2016_floor,1,0,"0,-0.15,0",1,0,0,0,0,0,0
205,初始-弹药箱,2,201,0,"5,3,1,1,1,0",100,100001,总部最常见的配发弹药箱，使用机枪的战术少女们最好的朋友。,cs2016_sofa,1,0,"0,-0.15,0",2,104,"*0,0.9,0.000",0,0,0,0
206,初始-桌子,2,201,0,"3,3,1,1,1,0",100,100001,IOP发来的箱子，不知道里面是什么不过拿来当桌子刚刚好。,cs2016_table,1,0,"0,-0.15,0",2,104,"*0.101,1.409,0.000",0,0,0,0
207,初始-墙纸,2,301,0,"1,1,1,1,1,0",100,100001,格里芬墙壁本来的样子: 钢筋加固的混凝土，这种最粗犷的建筑材质在上个世纪意外的又作为一种无修饰的设计哲学流行起来。,cs2016_wall,1,0,"0,-0.15,0",3,0,0,0,0,0,0
301,新世界(I)-格子地砖,3,101,0,"3,1,1,1,1,0",460,100001,两色交错的地砖是最经典的设计，但需要经常清理。,ft2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
302,新世界(I)-褪色墙纸,3,301,0,"3,1,1,1,1,0",460,100001,稍微褪色的墙纸，让人回忆起上世纪60年代的黄金岁月。,ft2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
303,新世界(I)-折叠床,3,203,"26,2","6,6,1,1,1,0",380,100001,前线医院偷回来的配发折叠床，比纸箱舒服很多，还有配套的军绿毛毯帮助取暖。,ft2016_bed,1,0,"-0.05,-0.05,0",2,"6,104","0.5,0.31,1|*-2.4,2.3,0.000",0,0,0,0
304,新世界(I)-旋转圆凳,3,202,"20,10","2,2,1,1,1,0",100,100001,曾经是某个连锁快餐店的凳子，设计重点在于刻意的不舒服，好让顾客吃完东西就赶紧走人。,ft2016_chair,1,0,"0,-0.05,0",2,1,"0.5,0.29,0",0,0,0,0
305,新世界(I)-衣帽架,3,201,"7,3","2,3,1,1,1,0",180,100001,即使是荒废破败的战后世界，着装考究也是绅士和淑女们生活的重要一环，特别是天气预报明天有辐射雨的时候。,ft2016_deco_big,1,0,"-0.1,-0.05,0",2,104,"*0,5.5,0.000",0,0,0,0
306,新世界(I)-瓶装水,3,201,"9,6","3,4,1,1,1,0",400,100001,没有什么比干净的饮用水更重要了，第一次拧开瓶盖时令人安心的封口破裂的声音像是天籁。,ft2016_deco_small_01,1,0,"0,-0.2,0",2,104,"*-0.151,1.417,0.000",0,0,0,0
307,新世界(I)-打包纸箱,3,201,"24,8","3,4,1,1,1,0",220,100001,经常搬家的前线基地里，打包好的纸箱是你最好的朋友。,ft2016_deco_small_02,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
308,新世界(I)-暖气,3,201,"20,2","2,1,1,1,1,0",100,100001,虽然基地里已经普及了余热供暖，但这片精巧的铸造金属构件被当成一件装饰品保留下来。,ft2016_deco_small_03,1,0,"0,-0.05,0",2,104,"*0.957,1.826,0.000",0,0,0,0
309,新世界(I)-密码箱,3,202,"11,2","6,4,1,1,1,0",480,100001,因为谁也不知道密码所以无法打开的大箱子，只好当成椅子用了，希望里面不是核弹头。,ft2016_sofa,1,0,"0,-0.05,0",2,"3,2,104","0.4,0.20,1|0.72,0.20,0|*-2.6,2.6,0.000",0,0,0,0
310,新世界(I)-快餐桌,3,201,"15,9","4,3,1,1,1,0",400,100001,连锁快餐店的桌子，摆放着各种调味酱和12年前的旧杂志，硬核怀旧主义。,ft2016_table,1,0,"0,-0.05,0",2,104,"*0,2.2,0",0,0,0,0
311,新世界(I)-海报,3,302,"11,7","6,8,1,1,1,0",420,100001,大战后就没再出过新版的日历，和已经无法买到的可口热狗。,ft2016_walldeco_01,1,0,"0,0,0",3,0,0,0,0,0,0
312,新世界(I)-挂钟,3,302,"20,6","2,3,1,1,1,0",100,100001,不，这并不是萨尔瓦多达利的作品，只是被人恶作剧掰弯了指针而已。,ft2016_walldeco_02,1,0,"0,0,0",3,104,"*0.052,1.319,0.000",0,0,0,0
313,新世界(I)-排气扇,3,302,"2,2","2,4,1,1,1,0",180,100001,排气扇能保证空气的流通，还能在特别安静的时候提供有气氛的背景音。,ft2016_walldeco_03,1,0,"0,0,0",3,104,"*0.052,1.670,0.000",0,0,0,0
314,新世界(I)-壁灯,3,302,"31,6","1,10,1,1,1,0",160,100001,拉一下点亮，再拉一下更亮，用力拉断绳子，然后你就再也关不上它了。,ft2016_walldeco_04,1,0,"0,0,0",3,0,0,0,0,0,0
315,新世界(I)-窗户,3,302,"24,11","3,7,1,1,1,0",460,100001,虽然总部里不太用担心入侵者，但木板封窗还是一个末世环境下必须进行的传统仪式。,ft2016_window,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
401,秋季-少女小床,4,203,"23,2","6,4,1,1,1,0",600,100002,布置得充满温馨气息的秋季小床，还附赠一只大号毛绒兔，深受战术少女们喜爱。,qj2016_bed,1,0,"0,-0.05,0",2,"6,104","0.49,0.28,1|*-2,2.3,0",0,0,0,0
402,秋季-羊毛厚毯,4,102,"24,5","5,5,1,1,1,0",500,100002,白色的厚厚的羊毛地毯，赤脚踩上去会充满幸福感。,qj2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
403,秋季-红色沙发(左),4,202,"8,8","3,3,1,1,1,0",400,100002,小号的红色沙发，看上去略有一点磨损，不过非常松软。,qj2016_chair_a,1,0,"0,-0.1,0",2,3,"0.46,0.21,1",0,0,0,0
404,秋季-红色沙发(右),4,202,"16,8","3,3,1,1,1,0",400,100002,小号的红色沙发，看上去略有一点磨损，不过非常松软。,qj2016_chair_b,1,0,"0,-0.1,0",2,2,"0.46,0.21,0",0,0,0,0
405,秋季-优雅橱柜,4,201,"5,2","4,3,1,1,1,0",600,100002,样式俭约优雅的橱柜，里面放满了用来制作或盛放甜点的工具。,qj2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,5,0.000",0,0,0,0
406,秋季-浆果篮,4,201,"4,5","2,2,1,1,1,0",500,100002,刚摘回来的秋季浆果和草帽放在一起，帽子是谁放在这里的呢？上面还有花朵的气息。,qj2016_deco_small,1,0,"-0.01,-0.05,0",2,104,"*0.022,1.156,0.000",0,0,0,0
407,秋季-可可地板,4,101,0,"1,1,1,1,1,0",500,100002,“闻上去真的有巧克力的味道！”来自FNC的强烈推荐。,qj2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
408,秋季-松软沙发,4,202,"11,2","5,4,1,1,1,0",550,100002,大号的红色沙发，比小沙发更让人不想起身，如果可以整天瘫在上面就好了。,qj2016_sofa,1,0,"0,-0.05,0",2,"3,2","0.32,0.13,1|0.68,0.13,0",0,0,0,0
409,秋季-午后茶桌,4,201,"11,10","5,3,1,1,1,0",500,100002,摆满了甜点的茶桌，美好的下午茶时间总是从春田和m45制作的点心开始的，但是吃多不好，蛀牙不算工伤。,qj2016_table,1,0,"0,-0.05,0",2,104,"*-1.108,2.257,0.000",0,0,0,0
410,秋季-向日葵花瓶,4,201,"18,2","2,2,1,1,1,0",500,100002,绢布制作的向日葵与陶瓷落地花瓶，有着不输于真花的灿烂，而且很好打理。,qj2016_vase,1,0,"-0.07,-0.05,0",2,0,0,0,0,0,0
411,秋季-红叶墙纸,4,301,0,"3,3,1,1,1,0",500,100002,格里芬总部为秋天特意定制的红叶墙纸，颇受好评，可能会考虑涨价贩售了。,qj2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
412,秋季-墨迹挂画,4,302,"15,12","2,5,1,1,1,0",500,100002,根本看不懂画了什么的涂鸦挂画，空投人员特意强调这是后现代艺术。,qj2016_walldeco_01,1,0,"0,0,0",3,0,0,0,0,0,0
413,秋季-褐色毛绒兔,4,201,"22,2","1,2,1,1,1,0",450,100002,又软又可爱的毛绒布偶兔，褐色的外表仿佛初秋的小野兔一般。红围巾与FAL的貂是同款。,qj2016_floordeco,1,0,"0,-0.05,0",2,0,0,0,0,0,0
414,秋季-置物书架,4,302,"8,9","3,3,1,1,1,0",400,100002,摆了成套的书，小雕塑，还有一个神秘小盒子的墙挂书架。,qj2016_walldeco_02,1,0,"0,0,0",3,104,"*-0.570,1.143,0.000",0,0,0,0
415,秋季-零散书架,4,302,"10,13","3,3,1,1,1,0",450,100002,随便摆了些书，显得主人好像有些学识的墙挂书架。,qj2016_walldeco_03,1,0,"0,0,0",3,104,"*0.052,0.967,0.000",0,0,0,0
416,秋季-秋日暖景窗,4,302,"21,10","6,8,1,1,1,0",650,100002,超高清的实拍秋日景色视频，可以二十四小时播放，蜜柑是对指挥官表示嘉奖的特殊补给。,qj2016_window,1,0,"0,-0.05,0",3,104,"*0.8,-1,0.000",0,0,0,0
501,新世界(II)-格子地砖,5,101,0,"3,1,1,1,1,0",460,100001,两色交错的地砖是最经典的设计，但需要经常清理。,ft2016_floor_bs,1,0,"0,0,0",2,0,0,0,0,0,0
502,新世界(II)-褪色墙纸,5,301,0,"3,1,1,1,1,0",460,100001,稍微褪色的墙纸，让人回忆起上世纪60年代的黄金岁月。,ft2016_wall_bs,1,0,"0,0,0",2,0,0,0,0,0,0
503,新世界(II)-折叠床,5,203,"26,2","6,6,1,1,1,0",380,100001,前线医院偷回来的配发折叠床，比纸箱舒服很多，还有配套的赭红色毛毯帮助取暖。,ft2016_bed_bs,1,0,"-0.05,-0.05,0",2,"6,104","0.5,0.31,1|*-2.4,2.3,0.000",0,0,0,0
504,新世界(II)-旋转圆凳,5,202,"20,10","2,2,1,1,1,0",100,100001,曾经是某个连锁快餐店的凳子，设计重点在于刻意的不舒服，好让顾客吃完东西就赶紧走人。,ft2016_chair_bs,1,0,"0,-0.05,0",2,1,"0.5,0.29,0",0,0,0,0
505,新世界(II)-衣帽架,5,201,"7,3","2,3,1,1,1,0",180,100001,即使是荒废破败的战后世界，着装考究也是绅士和淑女们生活的重要一环，特别是天气预报明天有辐射雨的时候。,ft2016_deco_big_bs,1,0,"-0.1,-0.12,0",2,104,"*0,5.5,0.000",0,0,0,0
506,新世界(II)-瓶装水,5,201,"9,6","3,4,1,1,1,0",400,100001,没有什么比干净的饮用水更重要了，第一次拧开瓶盖时令人安心的封口破裂的声音像是天籁。,ft2016_deco_small_01,1,0,"0,-0.2,0",2,104,"*-0.151,1.417,0.000",0,0,0,0
507,新世界(II)-打包纸箱,5,201,"24,8","3,4,1,1,1,0",220,100001,经常搬家的前线基地里，打包好的纸箱是你最好的朋友。,ft2016_deco_small_02_bs,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
508,新世界(II)-暖气,5,201,"20,2","2,1,1,1,1,0",100,100001,虽然基地里已经普及了余热供暖，但这片精巧的铸造金属构件被当成一件装饰品保留下来。,ft2016_deco_small_03_bs,1,0,"0,-0.05,0",2,104,"*0.957,1.826,0.000",0,0,0,0
509,新世界(II)-密码箱,5,202,"11,2","6,4,1,1,1,0",480,100001,因为谁也不知道密码所以无法打开的大箱子，只好当成椅子用了，希望里面不是核弹头。,ft2016_sofa_bs,1,0,"0,-0.05,0",2,"3,2,104","0.4,0.20,1|0.72,0.20,0|*-2.6,2.6,0.000",0,0,0,0
510,新世界(II)-快餐桌,5,201,"15,9","4,3,1,1,1,0",400,100001,连锁快餐店的桌子，摆放着各种调味酱和12年前的旧杂志，硬核怀旧主义。,ft2016_table_bs,1,0,"0,-0.05,0",2,104,"*0,2.2,0",0,0,0,0
511,新世界(II)-海报,5,302,"11,7","6,8,1,1,1,0",420,100001,大战后就没再出过新版的日历，和已经无法买到的可口热狗。,ft2016_walldeco_01_bs,1,0,"0,0,0",3,0,0,0,0,0,0
512,新世界(II)-挂钟,5,302,"20,6","2,3,1,1,1,0",100,100001,不，这并不是萨尔瓦多达利的作品，只是被人恶作剧掰弯了指针而已。,ft2016_walldeco_02_bs,1,0,"0,0,0",3,104,"*0.052,1.319,0.000",0,0,0,0
513,新世界(II)-排气扇,5,302,"2,2","2,4,1,1,1,0",180,100001,排气扇能保证空气的流通，还能在特别安静的时候提供有气氛的背景音。,ft2016_walldeco_03_bs,1,0,"0,0,0",3,104,"*0.052,1.670,0.000",0,0,0,0
514,新世界(II)-壁灯,5,302,"31,6","1,10,1,1,1,0",160,100001,拉一下点亮，再拉一下更亮，用力拉断绳子，然后你就再也关不上它了。,ft2016_walldeco_04_bs,1,0,"0,0,0",3,0,0,0,0,0,0
515,新世界(II)-窗户,5,302,"24,11","3,7,1,1,1,0",460,100001,虽然总部里不太用担心入侵者，但木板封窗还是一个末世环境下必须进行的传统仪式。,ft2016_window_bs,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
601,LOFT-原木地板,6,101,0,"1,1,1,1,1,0",500,100002,没上漆的原木地板，虽然质地温和有质感，但是需要经常打理。,loft2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
602,LOFT-白色墙砖,6,301,0,"1,1,1,1,1,0",500,100002,很多LOFT原本是工厂车间，得以直接保留的白瓷墙砖别有一番韵味。,loft2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
603,LOFT-慵懒软床,6,203,"24,2","6,4,1,1,1,0",600,100002,任何时代的艺术家们都很懒，一张柔软的床是他们最好的朋友。,loft2016_bed,1,0,"0,-0.05,0",2,"6,104","0.48,0.29,1|*2.5,3.4,0.000",0,0,0,0
604,LOFT-埃姆斯椅(左),6,202,"8,11","2,2,1,1,1,0",400,100002,世界上第一款大量生产的椅子，精巧的结构可以承受哪怕是机枪战术少女们的重量。,loft2016_chair_a,1,0,"0,-0.05,0",2,3,"0.5,0.33,1",0,0,0,0
605,LOFT-埃姆斯椅(右),6,202,"17,10","2,2,1,1,1,0",400,100002,世界上第一款大量生产的椅子，精巧的结构可以承受哪怕是机枪战术少女们的重量。,loft2016_chair_b,1,0,"0,-0.05,0",2,2,"0.5,0.33,0",0,0,0,0
606,LOFT-古旧单车,6,201,"16,2","3,1,1,1,1,0",550,100002,一战时侦察兵们把步枪放在车架上的卡槽里，就像后世的主妇们往里放法棍一样。,loft2016_bicycle,1,0,"0,-0.05,0",2,104,"*0.2,1.9,0.000",0,0,0,0
607,LOFT-台灯柜,6,201,"17,8","1,1,1,1,1,0",450,100002,屋外战火纷飞，屋内台灯温暖的灯光，柜子下塞满了过期的设计杂志，多么幸福。,loft2016_bedstand,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
608,LOFT-奶牛地毯,6,102,"23,6","4,6,1,1,1,0",500,100002,豪华的精髓在于浪费，而没什么比把奶牛做成地毯更浪费的事了。,loft2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
609,LOFT-现代书架,6,201,"19,2","5,2,1,1,1,0",500,100002,书架上放什么书不重要，只要标题不是本国语言就可以。,loft2016_deco_big,1,0,"0,-0.05,0",2,104,"*-0.5,4,0.000",0,0,0,0
610,LOFT-埃姆斯沙发,6,202,"10,7","6,2,1,1,1,0",550,100002,纯白色的沙发简直是家政行业的灾难，但艺术家们不听。,loft2016_sofa,1,0,"0,-0.05,0",2,"3,2","0.31,0.14,1|0.72,0.14,0",0,0,0,0
611,LOFT-金属楼梯,6,201,"1,1","2,2,1,1,1,0",650,100002,没有楼梯就不是真的LOFT风格，但爬上去你会发现这其实是件巨大的装饰品。,loft2016_stair,1,0,"1.6,-0.05,0",2,0,0,0,"10,10,10",0,0
612,LOFT-铁箱茶几,6,201,"11,10","5,3,1,1,1,0",550,100002,继承了格里芬喜欢用箱子当茶几的光荣传统，而且有艺术家最喜欢的Espresso。,loft2016_table,1,0,"0,-0.05,0",2,104,"*-0.6,1.4,0.000",0,0,0,0
613,LOFT-原木墙灯,6,302,"19,7","6,3,1,1,1,0",500,100002,“为什么你要把一块原木挂在墙上？”当你问出心中的疑惑，你就不是艺术家了。,loft2016_walldeco_01,1,0,"0,0,0",3,104,"*0.104,1.231,0.000",0,0,0,0
614,LOFT-地图挂饰,6,302,"18,11","3,5,1,1,1,0",450,100002,没有什么比把0-4的地图挂在家里更酷的了，反正也打不过。,loft2016_walldeco_02,1,0,"0,0,0",3,0,0,0,0,0,0
615,LOFT-海报挂饰,6,302,"22,11","3,5,1,1,1,0",500,100002,“5英里外吃着甜甜圈的警察，和身边的AR15，你更相信哪个？”,loft2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
616,LOFT-秋日落地窗,6,302,"6,8","11,12,1,1,1,0",600,100002,目前格里芬提供的最大的窗户，点亮非常耗电。,loft2016_window,1,0,"0,0,0",3,0,0,0,0,0,0
701,宁静日常-舒适单人床,7,203,"21,2","6,3,1,1,1,0",440,100001,你需要一个家，需要一段生活，还需要一份梦想，所以你需要一张床。,sn2016_bed,1,0,"0,-0.05,0",2,4,"0.46,0.26,1",0,0,0,0
702,宁静日常-斑点圆毯,7,102,"21,3","6,6,1,1,1,0",420,100001,原本的颜色会让人形以为自己踩扁了向日葵，于是换成了现在的样子。,sn2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
703,宁静日常-家用冰箱,7,201,"6,2","3,2,1,1,1,0",220,100001,一扇邪恶的魔窟之门，人形将因沉迷于其中而背上名为体重的枷锁。,sn2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,4,0.000",0,0,0,0
704,宁静日常-小梳妆台,7,201,"16,2","4,3,1,1,1,0",400,100001,这通常是一天的开始或结束，由眼睫毛的长度来决定是哪种。,sn2016_dresser,1,0,"0,-0.05,0",2,104,"*0.101,4.8,0.000",0,0,0,0
705,宁静日常-布艺沙发,7,202,"10,2","5,3,1,1,1,0",460,100001,有关家具的一个有趣现象就是，沙发往往是用来躺的，而床才是用来坐的。,sn2016_sofa,1,0,"0,-0.05,0",2,"3,2",".34,0.09,1|0.71,0.09,0",0,0,0,0
706,宁静日常-方形茶几,7,201,"13,9","5,3,1,1,1,0",180,100001,正方形意味着简洁、正直、稳定，以及打牌时不容易被偷看。,sn2016_table,1,0,"0,-0.05,0",2,104,"*-1,1.1,0.000",0,0,0,0
707,宁静日常-白帘格子窗,7,302,"21,11","4,7,1,1,1,0",460,100001,说晚安是必备的睡前仪式，如果朋友不在身边，至少月亮还能帮上忙。,sn2016_window,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
708,宁静日常-床头灯,7,201,"28,2","2,2,1,1,1,0",160,100001,结实的拉绳开关表明这曾是为人类订做的，为了给这个糟糕时代下的焦虑症患者缓解压力。,sn2016_bedstand,1,0,"0.01,-0.05,0",2,104,"*0.4,1.8,0",0,0,0,0
709,宁静日常-小短椅（左）,7,202,"11,11","2,2,1,1,1,0",100,100001,人形会坐在上面聊天、换鞋子、玩大冒险，如果身材娇小，还可以玩骑马打架！,sn2016_chair_a,1,0,"0.01,-0.05,0",2,3,"0.50,0.27,1",0,0,0,0
710,宁静日常-小短椅（右）,7,202,"18,11","2,2,1,1,1,0",100,100001,人形会坐在上面聊天、换鞋子、玩大冒险，如果身材娇小，还可以玩骑马打架！,sn2016_chair_b,1,0,"0.03,-0.05,0",2,2,"0.51,0.27,0",0,0,0,0
711,宁静日常-旅行箱,7,201,"26,10","2,2,1,1,1,0",120,100001,小小的记忆寄存处，承载着户外空气、堵车、满是星星的天空、和天价的矿泉水……,sn2016_deco_small,1,0,"-0.01,-0.05,0",2,104,"*0.123,2.304,0.000",0,0,0,0
712,宁静日常-居家日历,7,302,"11,11","3,4,1,1,1,0",180,100001,你会在上面画圈圈，然后开始生命中又一段自我欺骗，这是世上最小最可爱的悲剧。,sn2016_walldeco_01,1,0,"0,0,0",3,104,"*-0.052,1.846,0.000",0,0,0,0
713,宁静日常-置物架,7,302,"26,14","2,2,1,1,1,0",200,100001,为了防止调皮的人形拿来爬，通常要把它放在高一点的位置……大概不用那么高。,sn2016_walldeco_02,1,0,"0,0,0",3,104,"*0.363,0.791,0.000",0,0,0,0
714,宁静日常-经典挂钟,7,302,"7,7","2,6,1,1,1,0",400,100001,曾经每个家庭都会装一个挂钟，直到岁月老去，对于命运的期待变成了不安与恐慌。,sn2016_walldeco_03,1,0,"0,0,0",3,104,"*-0.052,2.726,0.000",0,0,0,0
715,宁静日常-糖纸墙,7,301,0,"3,6,1,1,1,0",460,100001,这个款式的墙纸会让你感到十分放松，但前提是你在幼儿园没被欺负过。,sn2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
716,宁静日常-实木地板,7,101,0,"3,6,1,1,1,0",460,100001,进入室内必须换鞋！谁也不想在上面打滚时沾上别人的鞋印和口香糖！,sn2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
801,可爱日常-舒适单人床,8,203,"21,2","6,3,1,1,1,0",440,100001,你需要一个家，需要一段生活，还需要一份梦想，所以你需要一张床。,sn2016_bed_bs,1,0,"0,-0.05,0",2,4,"0.46,0.26,1",0,0,0,0
802,可爱日常-斑点圆毯,8,102,"21,3","6,6,1,1,1,0",420,100001,原本的颜色会让人形以为自己踩扁了向日葵，于是换成了现在的样子。,sn2016_carpet_bs,1,0,"0,0,0",1,0,0,0,0,0,0
803,可爱日常-家用冰箱,8,201,"6,2","3,2,1,1,1,0",220,100001,一扇邪恶的魔窟之门，人形将因沉迷于其中而背上名为体重的枷锁。,sn2016_deco_big_bs,1,0,"0,-0.05,0",2,104,"*0.101,4,0.000",0,0,0,0
804,可爱日常-小梳妆台,8,201,"16,2","4,3,1,1,1,0",400,100001,这通常是一天的开始或结束，由眼睫毛的长度来决定是哪种。,sn2016_dresser_bs,1,0,"0,-0.05,0",2,104,"*0.101,4.8,0.000",0,0,0,0
805,可爱日常-布艺沙发,8,202,"10,2","5,3,1,1,1,0",460,100001,有关家具的一个有趣现象就是，沙发往往是用来躺的，而床才是用来坐的。,sn2016_sofa_bs,1,0,"0,-0.05,0",2,"3,2",".34,0.09,1|0.71,0.09,0",0,0,0,0
806,可爱日常-方形茶几,8,201,"13,9","5,3,1,1,1,0",180,100001,正方形意味着简洁、正直、稳定，以及打牌时不容易被偷看。,sn2016_table_bs,1,0,"0,-0.05,0",2,104,"*-1,1.1,0.000",0,0,0,0
807,可爱日常-白帘格子窗,8,302,"21,11","4,7,1,1,1,0",460,100001,说晚安是必备的睡前仪式，如果朋友不在身边，至少月亮还能帮上忙。,sn2016_window_bs,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
808,可爱日常-床头灯,8,201,"28,2","2,2,1,1,1,0",160,100001,结实的拉绳开关表明这曾是为人类订做的，为了给这个糟糕时代下的焦虑症患者缓解压力。,sn2016_bedstand_bs,1,0,"0.01,-0.05,0",2,104,"*0.4,1.8,0",0,0,0,0
