id,spine_name,interact_type,interact_point_type,emoji,min_decorate,max_decorate,min_favor,max_favor,action_voice,action_sound,action_bgm,shadow_exist,move_speed,next_action,no_vertical_motion,is_married,furiniture_action_interact,default_action
61902,wait,-1,wedding_talk,"|4,*2190201|4,*2190202|4,*2190203|4,*2190204|4,*2190205",0,0,0,0,,,,1,0.0,,0,0,,
61903,wait,-1,wedding_talk,"|5,*2190301|5,*2190302|5,*2190303|5,*2190304",0,0,0,0,,,,1,0.0,,0,0,,
61904,wait,-1,wedding_talk,"|4,*2190401|4,*2190402|4,*2190403|4,*2190404|4,*2190405",0,0,0,0,,,,1,0.0,,0,0,,
61905,wait,-1,wedding_talk,"|5,*2190501|5,*2190502|5,*2190503|5,*2190504",0,0,0,0,,,,1,0.0,,0,0,,
61906,wait,-1,wedding_talk,"|5,*2190601|5,*2190602|5,*2190603|5,*2190604",0,0,0,0,,,,1,0.0,,0,0,,
63101,wait,-1,wedding_talk,"|5,*2310101|5,*2310102|5,*2310103|5,*2310104",0,0,0,0,,,,1,0.0,,0,0,,
63102,wait,-1,wedding_talk,"|5,*2310201|5,*2310202|5,*2310203|5,*2310204",0,0,0,0,,,,1,0.0,,0,0,,
63103,wait,-1,wedding_talk,"|5,*2310301|5,*2310302|5,*2310303|5,*2310304",0,0,0,0,,,,1,0.0,,0,0,,
63105,wait,-1,wedding_talk,"|4,*2310501|4,*2310502|4,*2310503|4,*2310504|4,*2310505",0,0,0,0,,,,1,0.0,,0,0,,
63106,wait,-1,wedding_talk,"|5,*2310601|5,*2310602|5,*2310603|5,*2310604",0,0,0,0,,,,1,0.0,,0,0,,
63107,wait,-1,wedding_talk,"|4,*2310701|4,*2310702|4,*2310703|4,*2310704|4,*2310705",0,0,0,0,,,,1,0.0,,0,0,,
64301,wait,-1,wedding_talk,"|5,*2430101|5,*2430102|5,*2430103|5,*2430104",0,0,0,0,,,,1,0.0,,0,0,,
64302,wait,-1,wedding_talk,"|5,*2430201|5,*2430202|5,*2430203|4,*2430204",0,0,0,0,,,,1,0.0,,0,0,,
64303,wait,-1,wedding_talk,"|5,*2430301|5,*2430302|5,*2430303|5,*2430304",0,0,0,0,,,,1,0.0,,0,0,,
64304,wait,-1,wedding_talk,"|5,*2430401|5,*2430402|5,*2430403|5,*2430404",0,0,0,0,,,,1,0.0,,0,0,,
64305,wait,-1,wedding_talk,"|4,*2430501|4,*2430502|4,*2430503|4,*2430504|4,*2430505",0,0,0,0,,,,1,0.0,,0,0,,
64306,wait,-1,wedding_talk,"|5,*2430601|5,*2430602|5,*2430603|5,*2430604",0,0,0,0,,,,1,0.0,,0,0,,
64308,wait,-1,wedding_talk,"|5,*2430801|5,*2430802|5,*2430803|5,*2430804",0,0,0,0,,,,1,0.0,,0,0,,
64309,wait,-1,wedding_talk,"|5,*2430901|5,*2430902|5,*2430903|5,*2430904",0,0,0,0,,,,1,0.0,,0,0,,
64310,wait,-1,wedding_talk,"|5,*2431001|5,*2431002|5,*2431003|5,*2431004",0,0,0,0,,,,1,0.0,,0,0,,
88000,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,-1,,
88001,wait,0,0,"Emoji_9001,commander_emoji,commander_emoji,Emoji_1707,,,,",0,0,0,0,,,,1,0.0,,0,0,,
88002,wait,1,0,"commander_emoji,commander_emoji,Emoji_1710,Emoji_1740,Emoji__1101,,,,",0,0,0,0,,,,1,0.0,,0,0,,
88003,sit,-1,sit,"commander_emoji,commander_emoji,Emoji_1710,Emoji_1740,Emoji__1502,,,,",0,0,0,0,,,,1,0.0,,0,0,,
88004,wait,-1,wait,"Emoji_9001,commander_emoji,commander_emoji,Emoji_1707,,,,",0,0,0,0,,,,1,0.0,,0,0,,
99001,wait,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
99002,wait,1,0,,0,0,0,0,,,,1,0.0,,0,0,,
99003,sit,-1,sit,"Emoji_90082,Emoji_90081,Emoji__0504,Emoji_90082,Emoji_90082,,,,,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
99004,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100100,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100101,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100102,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100103,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100104,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100200,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100201,wait,0,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100202,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
100203,sit,-1,sit,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100204,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100300,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100301,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100302,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100303,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100304,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100400,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100401,wait,0,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100402,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
100403,sit,-1,sit,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100404,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100500,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100501,wait,0,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100502,wait,1,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205",0,0,0,0,,,,1,0.0,,0,0,,
100503,sit,-1,sit,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100504,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100600,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100601,wait,0,0,"Emoji_0301,Emoji_0302,Emoji_0303,,,",0,0,0,0,,,,1,0.0,,0,0,,
100602,wait,1,0,"Emoji_0301,Emoji_0302,Emoji_0303",0,0,0,0,,,,1,0.0,,0,0,,
100603,sit,-1,sit,"Emoji_0301,Emoji_0302,Emoji_0303,,,",0,0,0,0,,,,1,0.0,,0,0,,
100604,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100700,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100701,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100702,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100703,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100704,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100800,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100801,wait,0,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100802,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
100803,sit,-1,sit,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100804,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
100900,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
100901,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100902,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
100903,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
100904,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101000,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101001,wait,0,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101002,wait,1,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205",0,0,0,0,,,,1,0.0,,0,0,,
101003,sit,-1,sit,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101004,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101100,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101101,wait,0,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101102,wait,1,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205",0,0,0,0,,,,1,0.0,,0,0,,
101103,sit,-1,sit,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101104,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101200,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101201,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
101202,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
101203,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101204,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101300,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101301,wait,0,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101302,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
101303,sit,-1,sit,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101304,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101400,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101401,wait,0,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
101402,wait,1,0,"Emoji_0101,Emoji_0102",0,0,0,0,,,,1,0.0,,0,0,,
101403,sit,-1,sit,"Emoji_0101,Emoji_0102,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101404,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101500,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101501,wait,0,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101502,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
101503,sit,-1,sit,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101504,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101600,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
101601,wait,0,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101602,wait,0,0,"Emoji__0503,Emoji__0502,Emoji__0501,Emoji_0403,,",0,0,0,0,,,,1,0.0,,0,0,,
101603,wait,1,0,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205",0,0,0,0,,,,1,0.0,,0,0,,
101604,sit,-1,sit,"Emoji_0201,Emoji_0202,Emoji_0203,Emoji_0204,Emoji_0205,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
101605,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
101606,wait,16054,0,"Emoji_0202,Emoji__1204,Emoji__1304,Emoji_1745,Emoji_1712,,,",0,0,0,0,,,,1,0.0,,0,0,,
101700,wait,8800,0,"Emoji__1005,Emoji__1209,,,,",0,0,0,0,,,,1,0.0,,0,1,,
