id,title,regTarget,targetPath,tipsManagePath,tipsID,bg_path,tipPos,tipSize
31,Tip,Research://Canvas/Main/FairyCalibration(Clone),Research://Canvas/Main/FairyCalibration(Clone)/Right/Value/VoucherBar,Research://Canvas/Top/TipsManage,消耗的<color=#e57006>素材</color>在这显示,Tips/Tips_BG_Left,"-570,0,0","244,300"
32,Tip,Research://Canvas/Main/FairyCalibration(Clone),Research://Canvas/Main/FairyCalibration(Clone)/Right/Resource/Top/After/UI_Text_Name,Research://Canvas/Top/TipsManage,校准前后的对比,Tips/Tips_BG_Bottom,"-215,-458,0","244,300"
33,Tip,MissionSelection://Canvas,MissionSelection://Canvas/SecondaryMenu/ToggleGroup/CombatSelection,MissionSelection://Canvas/Top/TopBackground/TipsManage,选择//n<color=#e57006>任务类型</color>,Tips/Tips_BG_Bottom,"0,-129,0","244,200"
34,Tip,MissionSelection://Canvas,MissionSelection://Canvas/Sub/Campaign/ToggleGroup/CampaignLabel(Clone),MissionSelection://Canvas/Top/TopBackground/TipsManage,选择具体//n<color=#e57006>战役</color>章节,Tips/Tips_BG_Right,"225,0,0","180,250"
35,Tip,MissionSelection://Canvas/Combat,MissionSelection://Canvas/Combat/Introduce/Background,MissionSelection://Canvas/Top/TopBackground/TipsManage,选择//n<color=#e57006>战役类型</color>,Tips/Tips_BG_Bottom,"708,-166,0","244,200"
36,tips_战斗力按钮,Formation://Canvas/Formation/Main/Labels/FormationCharacterLabel (1),Formation://Canvas/Formation/Main/Labels/FormationCharacterLabel (1)/CharacterLabel/Normal/战斗力按钮,Formation://Canvas/Top/TopBackground/TipsManage,查看人形//n <color=#e57006>详细信息</color>,Tips/Tips_BG_Top,"0,151,0","244,180"
37,Tip,Research://Canvas/Main/MindUpdate(Clone),Research://Canvas/Main/MindUpdate(Clone)/Left/CommonCharacterLabel/Empty,Research://Canvas/Top/TipsManage,选择需要<color=#e57006>心智 升级</color>的人形,Tips/Tips_BG_Right,"213,0,0","210,310"
38,Tip,Research://Canvas/Main/MindUpdate(Clone),Research://Canvas/Main/MindUpdate(Clone)/Right/Top/Room/DoorFrame,Research://Canvas/Top/TipsManage,升级人形预览,Tips/Tips_BG_Right,"255,0,0","210,300"
39,Tip,Research://Canvas/Main/MindUpdate(Clone),Research://Canvas/Main/MindUpdate(Clone)/Right/Top/LOGO,Research://Canvas/Top/TipsManage,<color=#e57006>心智升级</color>前后对比,Tips/Tips_BG_Bottom,"152,-388,0","200,310"
40,Tip,Research://Canvas/Main/MindUpdate(Clone),Research://Canvas/Main/MindUpdate(Clone)/Right/Bottom/CostCore,Research://Canvas/Top/TipsManage,消耗的<color=#e57006>素材</color> 在这显示,Tips/Tips_BG_Left,"-345,53,0","200,310"
41,Tip,Dorm://Canvas/SquadFormation(Clone)/Formation/Left/SquadPageNode/SquadPage(Clone),Dorm://Canvas/SquadFormation(Clone)/Formation/Left/SquadPageNode/SquadPage(Clone)/Is_Open,Dorm://Canvas/SquadFormation(Clone)/Top/TipsHolder/TipsManage,点击查看 重装部队详细信息,Tips/Tips_BG_Bottom,"601,-109,0","250,200"
42,Tip,Dorm://Canvas/SquadFormation(Clone),Dorm://Canvas/SquadFormation(Clone)/Formation/Left/SquadPageNode/SquadPage(Clone),Dorm://Canvas/SquadFormation(Clone)/Top/TipsHolder/TipsManage,切换 重装部队<color=#e57006>类别</color>,Tips/Tips_BG_Default,"0,-134,0","220,200"
43,tips_UI_AddButton,Dorm://Canvas/DataAnalysisNode(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/Upper/Image_TitleBG,Dorm://Canvas/DataAnalysisNode(Clone)/TipsManage,升级<color=#e57006>解析仪</color>,Tips/Tips_BG_Right,"412.8,-2,0","160,250"
44,Tip,Dorm://Canvas/DataAnalysisNode(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/Center/ScrollViewRect/Grid/SquadAnalysisSlot(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/TipsManage,进行<color=#e57006>数据分析</color>  获取芯片和重装部队的中枢数据,Tips/Tips_BG_Bottom,"7,-93,0","300,250"
45,tips_ScrollViewRect,Dorm://Canvas/DataAnalysisNode(Clone)/Lower/ScrollViewRect/Grid/SquadAnalysisLabel(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/Lower/ScrollViewRect/Grid/SquadAnalysisLabel(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/TipsManage,查看重装部队<color=#e57006>解锁进度</color>,Tips/Tips_BG_Bottom,"26,-110.2,0","250,200"
46,tips_UI_Button_Depot,Dorm://Canvas/DataAnalysisNode(Clone),Dorm://Canvas/DataAnalysisNode(Clone)/Lower,Dorm://Canvas/DataAnalysisNode(Clone)/TipsManage,查看持有的<color=#e57006>芯片</color>,Tips/Tips_BG_Left,"590.1,80.7,0","200,250"
47,Tip,Dorm://Canvas,Dorm://Canvas/HomePlus/SubRooms/Room_5/Button_Analysis,Dorm://Canvas/TipsHolder/TipsManage,消耗<color=#e57006>数据样本</color> 解锁重装部队,Tips/Tips_BG_Top,"-190,214.45,0","330,220"
48,Tip,Dorm://Canvas,Dorm://Canvas/HomePlus/SubRooms/Room_5/Button_Daily,Dorm://Canvas/TipsHolder/TipsManage,完成研究任务 <color=#e57006>获取数据样本</color>,Tips/Tips_BG_Top,"-190,212.45,0","330,220"
49,Tip,Dorm://Canvas,Dorm://Canvas/HomePlus/SubRooms/Room_6/Button_SquadList,Dorm://Canvas/TipsHolder/TipsManage,查看已有的 重装部队,Tips/Tips_BG_Top,"-190,195.95,0","250,200"
50,Tip,Dorm://Canvas,Dorm://Canvas/HomePlus/SubRooms/Room_6/ButtomNode/Button_ChipList,Dorm://Canvas/TipsHolder/TipsManage,查看持有的<color=#e57006>芯片</color> 进行强化和拆解,Tips/Tips_BG_Right,"150.5,94.35,0","180,330"
51,Tip,Dorm://Canvas,Dorm://Canvas/HomePlus/SubRooms/Room_6/ButtomNode/Button_Confidentiality,Dorm://Canvas/TipsHolder/TipsManage,查看持有的<color=#e57006>中枢数据</color> 或进行拆解,Tips/Tips_BG_Right,"154.5,92.5,0","180,330"
52,Tip,Dorm://Canvas/SquadSkillExpTraining(Clone),Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,切换训练内容,Tips/Tips_BG_Left,"-245,0,0","170,280"
53,Tip,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP/TimeInfo/Image_BGNode,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,选择训练<color=#e57006>持续时间</color>,Tips/Tips_BG_Right,"818,0,0","200,350"
54,Tip,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP/GainExpInfo,Dorm://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,训练需要消耗特殊 <color=#e57006>作战报告书</color>和<color=#e57006>电池</color>,Tips/Tips_BG_Right,"824,0,0","200,350"
55,Tip,Formation://Canvas/SquadSkillExpTraining(Clone),Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,切换训练内容,Tips/Tips_BG_Left,"-245,0,0","170,280"
56,Tip,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP/TimeInfo/Image_BGNode,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,选择训练<color=#e57006>持续时间</color>,Tips/Tips_BG_Right,"818,0,0","200,350"
57,Tip,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Nodes/ChooseEXP/GainExpInfo,Formation://Canvas/SquadSkillExpTraining(Clone)/Main/Title/Btn_EXPTraining/TipsManage,训练需要消耗特殊 <color=#e57006>作战报告书</color>和<color=#e57006>电池</color>,Tips/Tips_BG_Right,"824,0,0","200,350"
58,tips_UI_Button_Confirm,Dorm://Canvas/SquadTranscribeList(Clone),Dorm://Canvas/SquadTranscribeList(Clone)/Right/ChipDismantling/ButtomNode,Dorm://Canvas/SquadTranscribeList(Clone)/Right/ChipDismantling/ChipDismantlingList/TipsManage,<color=#e57006>点击</color>右侧中枢数据进行<color=#e57006>删减</color>操作,Tips/Tips_BG_Left,"-455.8,798.5,0","200,350"
59,tips_UI_Button_Cancel,Dorm://Canvas/SquadTranscribeList(Clone),Dorm://Canvas/SquadTranscribeList(Clone)/Right/ChipDismantling/ResourcesGrid,Dorm://Canvas/SquadTranscribeList(Clone)/Right/ChipDismantling/ChipDismantlingList/TipsManage,<color=#e57006>点击</color>左侧中枢数据进行<color=#e57006>增加</color>操作,Tips/Tips_BG_Right,"-415.4,368.5,0","200,350"
60,Tips_Formation_Presets_01,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/UI_Button_Save/Text_Save,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/TeamText/TipsManage,将当前阵型<color=#e57006>保存至</color>预设,Tips/Tips_BG_Top,"0,114.805,0","200,180"
61,Tips_Formation_Presets_02,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/UI_Button_Apply/Text_Apply,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/TeamText/TipsManage,将预设阵型//n<color=#e57006>套用至</color>本梯队,Tips/Tips_BG_Top,"0,114.805,0","250,180"
62,Tips_Formation_Presets_03,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/ScrollViewRect,Formation://TileSetting(Clone)/TileCanvas/DefaultTeamtNode/RightPanel/TeamText/TipsManage,选择<color=#e57006>预设阵型</color>栏位,Tips/Tips_BG_Left,"-500.15,245.5,0","140,230"
63,Tips_Formation_Squad,Formation://Canvas,Formation://Canvas/Top/ToggleNode/Btn_Squad,Formation://Canvas/Top/TopBackground/TipsManage,切换至<color=#e57006>重装部队</color>列表,Tips/Tips_BG_Default,"0,-123,0","250,200"
64,Tips_Formation_Fairy,Formation://Canvas/Formation/Main/Right/FairyFormation,Formation://Canvas/Formation/Main/Right/FairyFormation/UI_Button_Select,Formation://Canvas/Top/TopBackground/TipsManage,选择<color=#e57006>妖精</color>,Tips/Tips_BG_Left,"-165,0,0","120,250"
65,Tips_Formation_Equipmentswitch_01,Formation://Canvas/Formation/Main/Labels/FormationCharacterLabel (1)/FormationEquipmentDetail,Formation://Canvas/Formation/Main/Labels/FormationCharacterLabel (1)/FormationEquipmentDetail/SlotGridLayoutGroup/FormationEquipSlot(Clone),Formation://Canvas/Formation/Main/Right/Eqiupmentswitch (1)/ON/TipsManage,添加或更换//n人形<color=#e57006>装备</color>,Tips/Tips_BG_Top,"0,133,0","220,200"
66,Tips_Formation_Equipmentswitch_02,Formation://Canvas,Formation://Canvas/Formation/Main/Right/Eqiupmentswitch (1)/ON,Formation://Canvas/Formation/Main/Right/Eqiupmentswitch (1)/ON/TipsManage,关闭装备列表,Tips/Tips_BG_Top,"0,125.35,0","200,200"
67,Tips_Formation_Remove_01,Formation://Canvas/CharacterList,Formation://Canvas/CharacterList/Items/CharacterListLabelEmpty(Clone),Formation://Canvas/Top/TopBackground/TipsManage,<color=#e57006>移除</color>所选人形,Tips/Tips_BG_Top,"0,222,0","200,200"
68,Tips_Formation_Select_01,Formation://Canvas/CharacterList,Formation://Canvas/CharacterList/Items/CharacterListLabelHolder(Clone),Formation://Canvas/Top/TopBackground/TipsManage,<color=#e57006>选择</color>上阵人形,Tips/Tips_BG_Top,"0,222,0","200,200"
69,Tips_Formation_Order_01,Formation://Canvas/CharacterList,Formation://Canvas/CharacterList/Left/Background/ButtonOrder,Formation://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
70,Tips_Formation_Fliter_01,Formation://Canvas/CharacterList,Formation://Canvas/CharacterList/Left/Background/ButtonTypeFliter,Formation://Canvas/Top/TopBackground/TipsManage,选择//n筛选方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
71,Tips_Formation_Lock_01,Formation://Canvas/CharacterList,Formation://Canvas/CharacterList/Left/Background/ButtonLock,Formation://Canvas/Top/TopBackground/TipsManage,开启//n锁定模式,Tips/Tips_BG_Left,"-218,0,0","130,220"
72,Tips_Formation_Remove_02,Formation://Canvas/EquipmentList,Formation://Canvas/EquipmentList/Items/EquipmentListLabelEmpty(Clone),Formation://Canvas/Top/TopBackground/TipsManage,<color=#e57006>移除</color>所选装备,Tips/Tips_BG_Top,"0,222,0","200,200"
73,Tips_Formation_Select_02,Formation://Canvas/EquipmentList,Formation://Canvas/EquipmentList/Items/EquipmentListLabelHolder(Clone),Formation://Canvas/Top/TopBackground/TipsManage,<color=#e57006>选择</color>使用装备,Tips/Tips_BG_Top,"0,222,0","200,200"
74,Tips_Formation_Order_02,Formation://Canvas/EquipmentList,Formation://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonOrder,Formation://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
75,Tips_Formation_Fliter_02,Formation://Canvas/EquipmentList,Formation://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonTypeFliter,Formation://Canvas/Top/TopBackground/TipsManage,选择//n筛选方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
76,Tips_Formation_Lock_02,Formation://Canvas/EquipmentList,Formation://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonLock,Formation://Canvas/Top/TopBackground/TipsManage,开启//n锁定模式,Tips/Tips_BG_Left,"-218,0,0","130,220"
77,Tips_Formation_Remove_03,Formation://Canvas/FairyList(Clone),Formation://Canvas/FairyList(Clone)/Items/Holder/FairyListLabel(Clone)/Empty,Formation://Canvas/Top/TopBackground/TipsManage,<color=#e57006>移除</color>所选妖精,Tips/Tips_BG_Top,"0,222,0","200,200"
78,Tips_Formation_Order_03,Formation://Canvas/FairyList(Clone),Formation://Canvas/FairyList(Clone)/Left/Background/ButtonOrder,Formation://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
79,Tips_Formation_Fliter_03,Formation://Canvas/FairyList(Clone),Formation://Canvas/FairyList(Clone)/Left/Background/ButtonTypeFliter,Formation://Canvas/Top/TopBackground/TipsManage,选择//n筛选方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
80,Tips_Formation_Lock_03,Formation://Canvas/FairyList(Clone),Formation://Canvas/FairyList(Clone)/Left/Background/ButtonLock,Formation://Canvas/Top/TopBackground/TipsManage,开启//n锁定模式,Tips/Tips_BG_Left,"-218,0,0","130,220"
81,Tips_Factory_Recommend,Factory://Canvas/SetResource,Factory://Canvas/SetResource/Background/建造日志,Factory://Canvas/Top/TopBackground/TipsManage,查看<color=#e57006>推荐公式</color>，及其他指挥官的<color=#e57006>建造公式</color>,Tips/Tips_BG_Top,"6.5,127.2,0","300,200"
82,Tips_Factory_Recommend_02,Factory://Canvas/SetResource,Factory://Canvas/SetResource/Background/BatchDevelop,Factory://Canvas/Top/TopBackground/TipsManage,批量进行多个制造,Tips/Tips_BG_Right,"213.5,12,0","150,250"
83,Tips_Factory_Manpower,Factory://Canvas/SetResource,Factory://Canvas/SetResource/Background/NormalPanel/按钮儿/人力,Factory://Canvas/Top/TopBackground/TipsManage,选择投入制造的<color=#e57006>物资数量</color>,Tips/Tips_BG_Top,"-245,425,0","240,220"
84,Tips_Factory_Manpower_02,Factory://Canvas/SetResource,Factory://Canvas/SetResource/Background/SpecialPanel/四项资源/人力,Factory://Canvas/Top/TopBackground/TipsManage,选择投入制造的<color=#e57006>物资数量</color>,Tips/Tips_BG_Top,"-96,220.5,0","240,220"
85,Tips_Factory_Extra_02,Factory://Canvas/SetResource,Factory://Canvas/SetResource/Background/SpecialPanel/附加资源,Factory://Canvas/Top/TopBackground/TipsManage,选择投入的<color=#e57006>核心和契约数量</color>,Tips/Tips_BG_Top,"480,-220,0","240,220"
86,Tips_Factory_Character,Factory://Canvas/CharacterList,Factory://Canvas/CharacterList/Items/CharacterListLabelHolder(Clone),Factory://Canvas/Top/TopBackground/TipsManage,选择人形,Tips/Tips_BG_Top,"0,241,0","220,220"
87,Tips_Factory_Character_02,Factory://Canvas/CharacterList,Factory://Canvas/CharacterList/Left/Background/IntelligentConfirm,Factory://Canvas/Top/TopBackground/TipsManage,智能选取所有低星级人形,Tips/Tips_BG_Left,"-244.5,0,0","180,280"
88,Tips_Factory_Order,Factory://Canvas/CharacterList,Factory://Canvas/CharacterList/Left/Background/ButtonOrder,Factory://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
89,Tips_Factory_Fliter,Factory://Canvas/CharacterList,Factory://Canvas/CharacterList/Left/Background/ButtonTypeFliter,Factory://Canvas/Top/TopBackground/TipsManage,选择//n筛选方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
90,Tips_Factory_Lock,Factory://Canvas/CharacterList,Factory://Canvas/CharacterList/Left/Background/ButtonLock,Factory://Canvas/Top/TopBackground/TipsManage,开启//n锁定模式,Tips/Tips_BG_Left,"-218,0,0","130,220"
91,Tips_Factory_Remove_02,Factory://Canvas/EquipmentList,Factory://Canvas/EquipmentList/Items/EquipmentListLabelEmpty(Clone),Factory://Canvas/Top/TopBackground/TipsManage,<color=#e57006>移除</color>所选装备,Tips/Tips_BG_Top,"0,222,0","200,200"
92,Tips_Factory_Select_02,Factory://Canvas/EquipmentList,Factory://Canvas/EquipmentList/Items/EquipmentListLabelHolder(Clone),Factory://Canvas/Top/TopBackground/TipsManage,<color=#e57006>选择</color>装备,Tips/Tips_BG_Top,"0,222,0","200,200"
93,Tips_Factory_Order_02,Factory://Canvas/EquipmentList,Factory://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonOrder,Factory://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
94,Tips_Factory_Fliter_02,Factory://Canvas/EquipmentList,Factory://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonTypeFliter,Factory://Canvas/Top/TopBackground/TipsManage,选择//n筛选方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
95,Tips_Factory_Lock_02,Factory://Canvas/EquipmentList,Factory://Canvas/EquipmentList/Right/Background/VerticalGrid/ButtonLock,Factory://Canvas/Top/TopBackground/TipsManage,开启//n锁定模式,Tips/Tips_BG_Left,"-218,0,0","130,220"
96,Tips_Factory_Remove_03,Factory://Canvas/FairyList(Clone),Factory://Canvas/FairyList(Clone)/Items/Holder/FairyListLabel(Clone)/Normal,Factory://Canvas/Top/TopBackground/TipsManage,<color=#e57006>选择</color>妖精,Tips/Tips_BG_Top,"0,222,0","200,200"
97,Tips_Factory_Order_03,Factory://Canvas/FairyList(Clone),Factory://Canvas/FairyList(Clone)/Left/Background/ButtonOrder,Factory://Canvas/Top/TopBackground/TipsManage,选择//n排序方式,Tips/Tips_BG_Left,"-218,0,0","130,220"
