id,code,chip_up_exp,chip_group,level,name,description,cd_type,init_cd,cd,rank,number,skill_target_first,skill_target_second,use_stage,target_select_first,target_select_second,type,is_active,price,sell_price,experience,init_time,fit_gun_type,custom_type,show_ui,log_description,ai_skill,cutin_animation_duration
14701,ChipIcons_31,1,147,1,警戒行进,棋子部署时获得2点护盾。,0,0,0,1,8,14701,0,0,14,0,1,0,2,2,1,1,0,,0,,,0.0
14702,ChipIcons_31,0,147,2,警戒行进,棋子部署时获得4点护盾。,0,0,0,1,0,14702,0,0,14,0,1,0,0,4,1,0,0,,0,,,0.0
14801,ChipIcons_33,1,148,1,重火力打击,使用阵营科技时，随机对场上1颗棋子造成2点伤害。,0,0,0,1,8,14801,0,0,5,0,1,0,2,2,1,1,0,,0,,,0.0
14802,ChipIcons_33,0,148,2,重火力打击,使用阵营科技时，随机对场上1颗棋子造成4点伤害。,0,0,0,1,0,14802,0,0,5,0,1,0,0,4,1,0,0,,0,,,0.0
14901,Item_Icon_3,1,149,1,外骨骼装甲,选择1颗在场的友方棋子即刻进行触发<a press=280241>机动</a>，不触发地图效果。,0,0,0,3,8,14901,0,"6,11",42,0,1,1,3,3,0,2,,,0,,,0.0
15001,ChipIcons_34,1,150,1,地毯式轰炸,使用阵营科技时，对场上全体棋子造成1点伤害，每回合仅能触发1次。,0,0,0,4,6,15001,0,0,5,0,1,0,4,4,1,3,0,,0,,,0.0
15002,ChipIcons_34,0,150,2,地毯式轰炸,使用阵营科技时，对场上全体棋子造成2点伤害，每回合仅能触发1次。,0,0,0,4,0,15002,0,0,5,0,1,0,0,6,1,0,0,,0,,,0.0
15301,ChipIcons_49,1,153,1,反应装甲,棋子在被攻击时最多只受到10点伤害。,0,0,0,3,7,15301,0,0,5,0,1,0,3,3,1,2,0,,0,,,0.0
15302,ChipIcons_49,0,153,2,反应装甲,棋子在被攻击时最多只受到8点伤害。,0,0,0,3,0,15302,0,0,5,0,1,0,0,5,1,0,0,,0,,,0.0
15401,Item_Icon_2,1,154,1,强行军,本回合增加1个行动骰子,0,0,0,4,4,15401,0,"6,11",5,0,1,1,4,4,0,3,,,0,,,0.0
15601,ChipIcons_07,1,156,1,武装行军,使你拥有护盾的棋子，行动力+1。,0,0,0,3,7,"15601,1560101",0,0,14,0,1,0,3,3,1,2,0,,0,,,0.0
15602,ChipIcons_07,0,156,2,武装行军,使你拥有护盾的棋子，行动力+2。,0,0,0,3,0,"15602,1560201",0,0,14,0,1,0,0,5,1,0,0,,0,,,0.0
15801,ChipNewIcons_6,1,158,1,优势兵力,若你场上存在2个手枪，行动骰子+1。,0,0,0,4,6,"15801,1580101",0,0,5,0,1,0,4,4,1,3,1,,0,,,0.0
15802,ChipNewIcons_6,0,158,2,优势兵力,若你场上存在1个手枪，行动骰子+1。,0,0,0,4,0,"15802,1580201",0,0,5,0,1,0,0,6,1,0,1,,0,,,0.0
16101,ChipNewIcons_10,1,161,1,班组突击,手枪的战术作用目标变更为全体手枪。,0,0,0,1,8,16101,0,0,5,0,1,0,2,2,1,1,1,,0,,,0.0
16102,ChipNewIcons_10,0,161,2,班组突击,手枪的战术作用目标变更为全体手枪，并额外提升1点行动力。,0,0,0,1,0,16101,16102,0,5,10,1,0,0,4,1,0,1,,0,,,0.0
16501,ChipNewIcons_14,1,165,1,余烬,使你因死亡触发的效果触发两次。,0,0,0,4,6,16501,0,0,5,0,1,0,4,4,1,3,1,1,0,,,0.0
16502,ChipNewIcons_14,0,165,2,余烬,使你因死亡触发的效果触发三次。,0,0,0,4,0,16502,19904,0,5,5,1,0,0,6,1,0,1,,0,,,0.0
16601,ChipNewIcons_15,1,166,1,回归防线,手枪死亡时，获得1张动力增幅道具卡。,0,0,0,1,8,"16601,1660101,1660102",0,0,10,0,1,0,2,2,1,1,1,1,0,,,0.0
16602,ChipNewIcons_15,0,166,2,回归防线,手枪死亡时，获得1张运输载具道具卡。,0,0,0,1,0,"16602,1660201,1660202",0,0,10,0,1,0,0,4,1,0,1,,0,,,0.0
16701,ChipNewIcons_16,1,167,1,光荣弹,手枪死亡时，对2范围内敌方造成2点伤害。,0,0,0,3,7,"16701,1670101,1670102",0,0,10,0,1,0,3,3,1,2,1,1,0,,,0.0
16702,ChipNewIcons_16,0,167,2,光荣弹,手枪死亡时，对2范围内敌方造成3点伤害。,0,0,0,3,0,"16702,1670201,1670202",0,0,10,0,1,0,0,5,1,0,1,,0,,,0.0
16901,ChipNewIcons_26,1,169,1,归零,步枪永远处于受伤状态。,0,0,0,3,7,16901,0,0,5,0,1,0,3,3,1,2,3,,0,,,0.0
16902,ChipNewIcons_26,0,169,2,归零,步枪不受最大血量下降的影响并永远处于受伤状态。,0,0,0,3,0,"16901,16902",0,0,5,0,1,0,0,5,1,0,3,,0,,,0.0
17001,ChipNewIcons_28,1,170,1,死守,步枪处于受伤状态时，伤害+2，但这张卡比同星级的效果卡贵2块。,0,0,0,1,8,"17001,1700101",0,0,17,0,1,0,4,4,1,1,3,,0,,,0.0
17002,ChipNewIcons_28,0,170,2,死守,步枪处于受伤状态时，伤害+3，但这张卡比同星级的效果卡贵2块。,0,0,0,1,0,"17002,1700201",0,0,17,0,1,0,0,6,1,0,3,,0,,,0.0
17101,ChipNewIcons_29,1,171,1,精确,步枪处于受伤状态时，射程+1。,0,0,0,4,6,"17101,1710101",0,0,17,0,1,0,4,4,1,3,3,,0,,,0.0
17102,ChipNewIcons_29,0,171,2,精确,步枪处于受伤状态时，射程+2。,0,0,0,4,0,"17102,1710201",0,0,17,0,1,0,0,6,1,0,3,,0,,,0.0
17201,ChipIcons_26,1,172,1,精确打击,步枪攻击生命值大于10点的敌人时，额外造成2点伤害。,0,0,0,3,7,17201,0,0,5,0,1,0,3,3,1,2,3,,0,,,0.0
17202,ChipIcons_26,0,172,2,精确打击,步枪攻击生命值大于10点的敌人时，额外造成3点伤害。,0,0,0,3,0,17202,0,0,5,0,1,0,0,5,1,0,3,,0,,,0.0
17301,ChipNewIcons_31,1,173,1,预备弹匣,步枪使用技能时，有25%概率重置冷却时间。,0,0,0,5,5,17301,0,0,17,0,1,0,5,5,1,5,3,,0,,,0.0
17302,ChipNewIcons_31,0,173,2,预备弹匣,步枪使用技能时，有50%概率重置冷却时间。,0,0,0,5,0,17302,19905,0,17,5,1,0,0,7,1,0,3,,0,,,0.0
17501,ChipNewIcons_37,1,175,1,预定待机,冲锋枪<a press=280241>机动</a>距离+1，如果你拥有其他<a press=280241>机动</a>相关的效果，则<a press=280241>机动</a>距离再+1。,0,0,0,3,7,"17501,1750101,1750102",0,0,5,0,1,0,3,3,1,2,2,2,0,,,0.0
17502,ChipNewIcons_37,0,175,2,预定待机,冲锋枪<a press=280241>机动</a>距离+2，如果你拥有其他<a press=280241>机动</a>相关的效果，则<a press=280241>机动</a>距离再+2。,0,0,0,3,0,"17502,1750201,1750202",0,0,5,0,1,0,0,5,1,0,2,2,0,,,0.0
17601,ChipNewIcons_38,1,176,1,战果回收,冲锋枪使用战术时，回复自身1点生命值。,0,0,0,1,8,17601,0,0,38,0,1,0,2,2,1,1,2,,0,,,0.0
17602,ChipNewIcons_38,0,176,2,战果回收,冲锋枪使用战术时，回复自身2点生命值。,0,0,0,1,0,17602,0,0,38,0,1,0,0,4,1,0,2,,0,,,0.0
17701,ChipNewIcons_39,1,177,1,检修,冲锋枪受到伤害，使自身下一次回复生命值时额外回复1点生命，该效果可累积。,0,0,0,3,7,"17701,17703,17704",0,0,38,0,1,0,3,3,1,2,2,,0,,,0.0
17702,ChipNewIcons_39,0,177,2,检修,冲锋枪受到伤害，使自身下一次回复生命值时额外回复2点生命，该效果可累积。,0,0,0,3,0,"17702,17703,17704",0,0,38,0,1,0,0,5,1,0,2,,0,,,0.0
17801,ChipNewIcons_44,1,178,1,撞角,冲锋枪对<a press=280241>机动</a>路径上的敌人造成2点伤害。,0,0,0,3,7,17801,0,0,5,0,1,0,3,3,1,2,2,,0,,,0.0
17802,ChipNewIcons_44,0,178,2,撞角,冲锋枪对<a press=280241>机动</a>路径上的敌人造成3点伤害。,0,0,0,3,0,17802,0,0,5,0,1,0,0,5,1,0,2,,0,,,0.0
17901,ChipIcons_38,1,179,1,饱和干扰,突击步枪被<a press=280121>增幅</a>时，对自身附近1格范围内敌方造成2点伤害。,0,0,0,3,7,17901,17903,0,40,5,1,0,3,3,1,2,4,,0,,,0.0
17902,ChipIcons_38,0,179,2,饱和干扰,突击步枪被<a press=280121>增幅</a>时，对自身附近1格范围内敌方造成3点伤害。,0,0,0,3,0,17902,17903,0,40,5,1,0,0,5,1,0,4,,0,,,0.0
18201,ChipNewIcons_53,0,182,1,敌指情报①,集齐五个线索，完成隐藏任务，获得本局游戏胜利（积分+10）,0,0,0,1,2,18201,0,0,5,0,1,0,5,5,1,1,0,,0,,,0.0
18301,ChipNewIcons_54,0,183,1,敌指情报②,集齐五个线索，完成隐藏任务，获得本局游戏胜利（积分+10）,0,0,0,3,2,18301,0,0,5,0,1,0,5,5,1,2,0,,0,,,0.0
18401,ChipNewIcons_55,0,184,1,敌指情报③,集齐五个线索，完成隐藏任务，获得本局游戏胜利（积分+10）,0,0,0,4,2,18401,0,0,5,0,1,0,5,5,1,3,0,,0,,,0.0
18501,ChipNewIcons_56,0,185,1,敌指情报④,集齐五个线索，完成隐藏任务，获得本局游戏胜利（积分+10）,0,0,0,4,2,18501,0,0,5,0,1,0,5,5,1,3,0,,0,,,0.0
18601,ChipNewIcons_57,0,186,1,敌指情报⑤,集齐五个线索，完成隐藏任务，获得本局游戏胜利（积分+10）,0,0,0,5,2,"18602,18601",0,0,5,0,1,0,5,5,1,5,0,,0,,,0.0
18701,ChipNewIcons_61,1,187,1,预备力量,阵营科技获得1回合冷却缩减。,0,0,0,5,5,18701,0,0,5,0,1,0,5,5,1,5,0,,0,,,0.0
18702,ChipNewIcons_61,0,187,2,预备力量,阵营科技和棋子战术获得1回合冷却缩减。,0,0,0,5,0,"18702,18701",19906,0,5,5,1,0,0,7,1,0,0,,0,,,0.0
18901,ChipNewIcons_64,1,189,1,配件箱,在你的回合结束时，随机为场上受伤的友方棋子回复1点血量。,0,0,0,1,8,18901,0,0,5,0,1,0,2,2,1,1,0,,0,,,0.0
18902,ChipNewIcons_64,0,189,2,配件箱,在你的回合结束时，随机为场上受伤的友方棋子回复2点血量。,0,0,0,1,0,18902,0,0,5,0,1,0,0,4,1,0,0,,0,,,0.0
19001,Item_Icon_4,0,190,1,计划行动,选择1~6作为本次行动骰子的点数。,0,0,0,5,4,19001,0,6,5,0,1,1,5,5,1,5,,,2,,,0.0
19101,Item_Icon_5,0,191,1,火力强攻,增加1颗在场的友方棋子伤害+2，持续1回合。,0,0,0,3,4,19101,0,"6,11",42,0,1,1,3,3,1,2,,,0,,,0.0
19201,Item_Icon_6,0,192,1,动力增幅,增加1颗在场的友方棋子行动力+2，持续1回合。,0,0,0,3,4,19201,0,"6,11",42,0,1,1,3,3,1,2,,,0,,,0.0
19301,Item_Icon_7,0,193,1,射表校准,增加1颗在场的友方棋子射程+1，持续1回合。,0,0,0,4,4,19301,0,"6,11",42,0,1,1,4,4,1,3,,,0,,,0.0
19401,Item_Icon_8,0,194,1,弹药投送,使你获得<a press=280294>毁伤</a>+1，持续1回合。,0,0,0,3,0,19401,0,"6,11",5,0,1,1,3,3,1,2,,,0,,,0.0
19901,ChipNewIcons_52,1,199,1,兵临城下,当你的所有效果都是虹色卡片并且都是2级时，获得本局比赛胜利（积分+10）。,0,0,0,5,5,0,0,0,0,0,1,0,5,5,1,5,0,,0,,,0.0
19902,ChipNewIcons_52,0,199,2,兵临城下,当你的所有效果都是虹色卡片并且都是2级时，获得本局比赛胜利（积分+10）。,0,0,0,5,0,19901,19907,0,5,5,1,0,0,7,1,0,0,,0,,,0.0
20101,GunSkill_1,0,201,1,侦查,使自身行动力+2，持续1回合。,2,1,2,0,0,20101,20801,"6,11",44,6,4,1,0,0,0,0,,,0,{0}使用了{1}的{2},"2010101,2080101",0.0
20201,GunSkill_4,0,202,1,狙击,对6范围内的一个敌方棋子造成4点伤害。,2,3,3,0,0,0,20201,"6,11",1,3,4,1,0,0,0,0,,,0,,2020101,0.0
20301,GunSkill_3,0,203,1,特攻,<a press=280121>增幅</a>自身1次。,2,0,2,0,0,"20501,20601,20701,20901,21001,21101,21201,21301,21401",0,"6,11",1,0,4,1,0,0,0,0,,,0,,"2050101,2060101,2070101,2090101,2100101,2110101,2120101,2130101,2140101",0.0
20401,GunSkill_2,0,204,1,掷弹,选择6范围内的1个沙盘格投掷手雷，对目标点1范围内的敌人造成3点伤害。,2,1,2,0,0,0,20401,"6,11",1,4,4,1,0,0,0,0,,,0,,2040101,0.0
30101,TechSkill_1,0,301,1,兵装改换,增加1颗行动骰子,2,2,3,0,0,30601,0,6,1,0,3,1,0,0,0,0,,,0,,,0.0
30201,TechSkill_2,0,302,1,定位轰炸,对场上1颗棋子造成2点伤害。,2,1,2,0,0,30201,0,"6,11",31,0,3,1,0,0,0,0,,,0,,3020101,0.0
30301,TechSkill_3,0,303,1,物资投送,<a press=280121>增幅</a>1颗友方棋子，同一回合内可使用多次，但第二次开始需支付5枚拉弗伯雷币。,2,0,0,0,0,"30302,30303,30304,30305,30306,30307,30308,30309,30310,30311,30312,30313,30314,30315,30316,30317,30318,30319",0,"6,11",32,0,3,1,0,0,0,0,,,0,,"30322,30323,30324,30325,30326,30327,30328,30329,30330,30331,30332,30333,30334,30335,30336,30337,30338,30339",0.0
30401,TechSkill_4,0,304,1,重装增援,回复场上1颗棋子2点生命并增加1点护盾值。,2,1,1,0,0,30501,0,"6,11",31,0,3,1,0,0,0,0,,,0,,3050101,0.0
30501,TechSkill_16lab,0,305,1,兵装改换,回收1颗友方棋子，回收不同枪种的棋子将获得不同效果。//n手枪：增加1颗行动骰子1回合；//n步枪：获得<a press=280294>毁伤</a>道具卡；//n冲锋枪：增加全体2点护盾；//n突击步枪：获得<a press=280121>增幅</a>道具卡。,2,0,2,0,0,"30901,31001,31101,31201",0,"6,11",32,0,3,1,0,0,0,0,,,0,,"3090101,3100101,3110101,3120101",0.5
60201,ChipIconsNew1_03,1,602,1,爆发力,手枪部署后，首次移动距离翻倍。,0,0,0,5,5,"60201,60202,60203",0,0,10,0,1,0,5,5,1,5,1,,0,,,0.0
60202,ChipIconsNew1_03,0,602,2,爆发力,手枪部署后，首次移动距离*3。,0,0,0,5,0,"60201,60204,60203",0,0,10,0,1,0,0,7,1,0,1,,0,,,0.0
60301,Item_运兵站,0,603,1,运兵站,部署一颗棋子。,0,0,0,1,0,60301,0,"6,11",5,0,1,1,2,2,1,1,,,1,,,0.0
60501,Item_备用配件,0,605,1,备用配件,<a press=280121>增幅</a>1颗棋子，该增幅不受其他效果卡影响。,0,0,0,3,0,30340,0,"6,11",32,0,1,1,3,3,1,0,,,0,,,0.0
60601,Item_运输载具,0,606,1,运输载具,增加1颗在场的友方棋子行动力+4，持续1回合。,0,0,0,5,0,60601,0,"6,11",42,0,1,1,3,3,1,2,,,0,,,0.0
60701,ChipIcons_05,1,607,1,超荷运转,手枪行动力+1，每当你的手枪使用战术时，该回合该效果翻倍，最多叠加4次。,0,0,0,4,6,"60701,60711,60706,60705,60704,60703",0,0,10,0,1,0,4,4,1,3,1,,0,,,0.0
60702,ChipIcons_05,0,607,2,超荷运转,手枪行动力+2，每当你的手枪使用战术时，该回合该效果翻倍，最多叠加4次。,0,0,0,4,0,"60702,60712,60710,60709,60708,60707",0,0,10,0,1,0,0,6,1,0,1,,0,,,0.0
60801,ChipNewIcons_11,1,608,1,同仇,手枪死亡时，获得2点拉弗伯雷币。,0,0,0,1,8,"60801,6080101,6080102",0,0,10,0,1,0,2,2,1,1,1,1,0,,,0.0
60802,ChipNewIcons_11,0,608,2,同仇,手枪死亡时，获得4点拉弗伯雷币。,0,0,0,1,0,"60802,6080201,6080202",0,0,10,0,1,0,0,4,1,0,1,,0,,,0.0
60901,ChipIconsNew1_01,1,609,1,反制行动,手枪被攻击时，若处于满血状态，战斗骰子的点数不小于自身在场棋子数。,0,0,0,1,8,60901,0,0,10,0,1,0,2,2,1,1,1,1,0,,,0.0
60902,ChipIconsNew1_01,0,609,2,反制行动,手枪被攻击时，若处于满血状态，战斗骰子的点数不小于自身在场棋子数+2。,0,0,0,1,0,60902,0,0,10,0,1,0,0,4,1,0,1,,0,,,0.0
61001,ChipIconsNew1_10,1,610,1,超频校准,增幅有概率获得+2点的加成，但有较低概率会失败并眩晕1回合。,0,0,0,3,7,61001,0,0,5,0,1,0,3,3,1,2,4,610,0,,,0.0
61002,ChipIconsNew1_10,0,610,2,超频校准,增幅必定获得+2点的加成，但有较低概率会失败并眩晕1回合。,0,0,0,3,0,61002,0,0,5,0,1,0,0,5,1,0,4,610,0,,,0.0
61101,ChipIconsNew1_11,1,611,1,增幅特化,增幅有概率获得免疫1次战斗伤害的效果。,0,0,0,4,6,61101,0,0,5,0,1,0,3,3,1,3,4,611,0,,,0.0
61102,ChipIconsNew1_11,0,611,2,增幅特化,增幅有概率获得免疫1次战斗伤害的效果或战斗时必定击杀的效果。,0,0,0,4,0,61102,0,0,5,0,1,0,0,5,1,0,4,611,0,,,0.0
61201,ChipIconsNew1_12,1,612,1,谋划路线,冲锋枪触发机动时，获得1张前进1格的道具卡，每个棋子1回合仅可触发1次。,0,0,0,3,7,61201,0,0,38,0,1,0,3,3,1,2,2,2,0,,,0.0
61202,ChipIconsNew1_12,0,612,2,谋划路线,冲锋枪触发机动时，获得1张前进2格的道具卡，每个棋子1回合仅可触发1次。,0,0,0,3,0,61202,0,0,38,0,1,0,0,5,1,0,2,2,0,,,0.0
61301,Item_Icon_6,0,613,1,谋划路线α,选择1颗在场的友方棋子前进1格，触发地图效果。,0,0,0,3,0,61301,0,"6,11",42,0,1,1,0,0,1,0,,,0,,,0.0
61401,Item_Icon_6,0,614,1,谋划路线β,选择1颗在场的友方棋子前进2格，触发地图效果。,0,0,0,3,0,61401,0,"6,11",42,0,1,1,0,0,1,0,,,0,,,0.0
61501,ChipIconsNew1_13,1,615,1,重装化,冲锋枪的最大血量+2，冲锋枪的行动力-1点。,0,0,0,3,7,61501,0,0,5,0,1,0,3,3,1,2,2,,0,,,0.0
61502,ChipIconsNew1_13,0,615,2,重装化,冲锋枪的最大血量+4，冲锋枪的行动力-1点。,0,0,0,3,0,61502,0,0,5,0,1,0,0,5,1,0,2,,0,,,0.0
61601,ChipIconsNew1_14,1,616,1,火力积累,冲锋枪每回复1次血量，伤害+1，最高叠加3层，该效果在攻击1次后移除。,0,0,0,4,6,61601,0,0,38,0,1,0,4,4,1,3,2,,0,,,0.0
61602,ChipIconsNew1_14,0,616,2,火力积累,冲锋枪每回复1次血量，伤害+1，最高叠加6层，该效果在攻击1次后移除。,0,0,0,4,0,61602,0,0,38,0,1,0,0,6,1,0,2,,0,,,0.0
61701,ChipIconsNew1_15,1,617,1,自主修复,冲锋枪一回合内每多移动1次，回复自身1点生命值。（机动也算一次移动）,0,0,0,1,8,"61702,61701,61704",0,0,38,0,1,0,2,2,1,1,2,,0,,,0.0
61702,ChipIconsNew1_15,0,617,2,自主修复,冲锋枪一回合内每多移动1次，回复自身2点生命值。（机动也算一次移动）,0,0,0,1,0,"61703,61701,61705",0,0,38,0,1,0,0,4,1,0,2,,0,,,0.0
61801,ChipIconsNew1_16,1,618,1,集中冷却,步枪部署后，降低1回合前置冷却。,0,0,0,1,8,61801,0,0,17,0,1,0,2,2,1,1,3,,0,,,0.0
61802,ChipIconsNew1_16,0,618,2,集中冷却,步枪部署后，降低2回合前置冷却。,0,0,0,1,0,61802,0,0,17,0,1,0,0,4,1,0,3,,0,,,0.0
61901,ChipIconsNew1_17,1,619,1,弱点打击,步枪战术造成的伤害+2，但这张卡比同星级的效果卡贵2块。,0,0,0,1,8,61901,0,0,5,0,1,0,4,4,1,1,3,,0,,,0.0
61902,ChipIconsNew1_17,0,619,2,弱点打击,步枪战术造成的伤害+3，但这张卡比同星级的效果卡贵2块。,0,0,0,1,0,61902,0,0,5,0,1,0,0,6,1,0,3,,0,,,0.0
62001,ChipIconsNew1_18,1,620,1,超视距,步枪每次使用战术叠加1层标记，每2层标记提升1点射程，该效果在攻击1次后消失。,0,0,0,3,7,"62001,62002",0,0,17,0,1,0,3,3,1,2,3,,0,,,0.0
62002,ChipIconsNew1_18,0,620,2,超视距,步枪每次使用战术叠加1层标记，每1层标记提升1点射程，该效果在攻击1次后消失。,0,0,0,3,0,"62001,62003",0,0,17,0,1,0,0,5,1,0,3,,0,,,0.0
62101,ChipIconsNew1_19,1,621,1,机动待命,步枪移动后减少1回合当前冷却，每回合仅能触发1次。,0,0,0,3,7,62101,0,0,17,0,1,0,3,3,1,2,3,,0,,,0.0
62102,ChipIconsNew1_19,0,621,2,机动待命,步枪移动后减少2回合当前冷却，每回合仅能触发1次。,0,0,0,3,0,62102,0,0,17,0,1,0,0,5,1,0,3,,0,,,0.0
62301,ChipIconsNew1_05,1,623,1,热释放,突击步枪被增幅后额外进行1次增幅，该增幅效果不与其他效果卡相互影响，且仅持续1回合。,0,0,0,3,7,62301,0,0,40,0,1,0,3,3,1,2,4,,0,,,0.0
62302,ChipIconsNew1_05,0,623,2,热释放,突击步枪被增幅后额外进行2次增幅，该增幅效果不与其他效果卡相互影响，且仅持续1回合。,0,0,0,3,0,"62302,62301",0,0,40,0,1,0,0,5,1,0,4,,0,,,0.0
62401,ChipIconsNew1_06,1,624,1,量化增幅,回合开始时，有5%概率获得增幅道具卡，每有1个突击步枪在场，概率提升5%。,0,0,0,1,8,62401,0,0,5,0,1,0,2,2,1,1,4,,0,,,0.0
62402,ChipIconsNew1_06,0,624,2,量化增幅,回合开始时，有10%概率获得增幅道具卡，每有1个突击步枪在场，概率提升5%。,0,0,0,1,0,62402,0,0,5,0,1,0,0,4,1,0,4,,0,,,0.0
62501,ChipIconsNew1_09,1,625,1,共同阵线,若突击步枪增幅时在自身所属沙盘格上，获得2点拉弗伯雷币，每个棋子单回合可触发1次。,0,0,0,1,8,"62501,62503",0,0,40,0,1,0,2,2,1,1,4,,0,,,0.0
62502,ChipIconsNew1_09,0,625,2,共同阵线,若突击步枪增幅时在自身所属沙盘格上，获得4点拉弗伯雷币，每个棋子单回合可触发1次。,0,0,0,1,0,"62502,62503",0,0,40,0,1,0,0,4,1,0,4,,0,,,0.0
62601,ChipIconsNew1_07,1,626,1,倒打火力,若你的分数为全场最低，你的棋子部署时，对场上全体棋子造成1点伤害。,0,0,0,3,7,62601,0,0,48,0,1,0,3,3,1,2,0,,0,,,0.0
62602,ChipIconsNew1_07,0,626,2,倒打火力,若你的分数为全场最低，你的棋子部署时，对场上全体棋子造成2点伤害。,0,0,0,3,0,62602,0,0,48,0,1,0,0,5,1,0,0,,0,,,0.0
