id,gun_id,stage_id,description,scripts,title,prize_id
80,20081,4,,81_4,,4004
81,32,1,,32_1,,4001
82,20032,2,,32_2,,4002
83,20032,3,,32_3,,4003
84,20032,4,,32_4,,4004
85,60,1,,60_1,,4001
86,20060,2,,60_2,,4002
87,20060,3,,60_3,,4003
88,20060,4,,60_4,,4004
89,61,1,,61_1,,4001
90,20061,2,,61_2,,4002
91,20061,3,,61_3,,4003
92,20061,4,,61_4,,4004
93,26,1,,26_1,,4001
94,20026,2,,26_2,,4002
95,20026,3,,26_3,,4003
96,20026,4,,26_4,,4004
97,65,1,,65_1,,4001
98,20065,2,,65_2,,4002
99,20065,3,,65_3,,4003
100,20065,4,,65_4,,4004
101,95,1,,95_1,,4001
102,20095,2,,95_2,,4002
103,20095,3,,95_3,,4003
104,20095,4,,95_4,,4004
105,101,1,,101_1,,4001
106,20101,2,,101_2,,4002
107,20101,3,,101_3,,4003
108,20101,4,,101_4,,4004
109,7,1,,7_1,,4001
110,20007,2,,7_2,,4002
111,20007,3,,7_3,,4003
112,20007,4,,7_4,,4004
113,12,1,,12_1,,4001
114,20012,2,,12_2,,4002
115,20012,3,,12_3,,4003
116,20012,4,,12_4,,4004
117,31,1,,31_1,,4001
118,20031,2,,31_2,,4002
119,20031,3,,31_3,,4003
120,20031,4,,31_4,,4004
121,53,1,,53_1,,4001
122,20053,2,,53_2,,4002
123,20053,3,,53_3,,4003
124,20053,4,,53_4,,4004
125,97,1,,97_1,,4001
126,20097,2,,97_2,,4002
127,20097,3,,97_3,,4003
128,20097,4,,97_4,,4004
129,154,1,,154_1,,4001
130,20154,2,,154_2,,4002
131,20154,3,,154_3,,4003
132,20154,4,,154_4,,4004
133,221,1,,221_1,,4001
134,20221,2,,221_2,,4002
135,20221,3,,221_3,,4003
136,20221,4,,221_4,,4004
137,252,1,,252_1,,4001
138,20252,2,,252_2,,4002
139,20252,3,,252_3,,4003
140,20252,4,,252_4,,4004
141,122,1,,122_1,,4001
142,20122,2,,122_2,,4002
143,20122,3,,122_3,,4003
144,20122,4,,122_4,,4004
145,124,1,,124_1,,4001
146,20124,2,,124_2,,4002
147,20124,3,,124_3,,4003
148,20124,4,,124_4,,4004
149,143,1,,143_1,,4001
150,20143,2,,143_2,,4002
151,20143,3,,143_3,,4003
152,20143,4,,143_4,,4004
153,161,1,,161_1,,4001
154,20161,2,,161_2,,4002
155,20161,3,,161_3,,4003
156,20161,4,,161_4,,4004
157,71,1,,71_1,,4001
158,20071,2,,71_2,,4002
159,20071,3,,71_3,,4003
160,20071,4,,71_4,,4004
161,136,1,,136_1,,4001
162,20136,2,,136_2,,4002
163,20136,3,,136_3,,4003
164,20136,4,,136_4,,4004
165,152,1,,152_1,,4001
166,20152,2,,152_2,,4002
167,20152,3,,152_3,,4003
168,20152,4,,152_4,,4004
169,49,1,,49_1,,4001
170,20049,2,,49_2,,4002
171,20049,3,,49_3,,4003
172,20049,4,,49_4,,4004
173,114,1,,114_1,,4001
174,20114,2,,114_2,,4002
175,20114,3,,114_3,,4003
176,20114,4,,114_4,,4004
177,178,1,,178_1,,4001
178,20178,2,,178_2,,4002
179,20178,3,,178_3,,4003
180,20178,4,,178_4,,4004
181,199,1,,199_1,,4001
182,20199,2,,199_2,,4002
183,20199,3,,199_3,,4003
184,20199,4,,199_4,,4004
185,8,1,,8_1,,4001
186,20008,2,,8_2,,4002
187,20008,3,,8_3,,4003
188,20008,4,,8_4,,4004
189,125,1,,125_1,,4001
190,20125,2,,125_2,,4002
191,20125,3,,125_3,,4003
192,20125,4,,125_4,,4004
193,159,1,,159_1,,4001
194,20159,2,,159_2,,4002
195,20159,3,,159_3,,4003
196,20159,4,,159_4,,4004
197,200,1,,200_1,,4001
198,20200,2,,200_2,,4002
199,20200,3,,200_3,,4003
200,20200,4,,200_4,,4004
201,104,1,,104_1,,4001
202,20104,2,,104_2,,4002
203,20104,3,,104_3,,4003
204,20104,4,,104_4,,4004
205,171,1,,171_1,,4001
206,20171,2,,171_2,,4002
207,20171,3,,171_3,,4003
208,20171,4,,171_4,,4004
209,201,1,,201_1,,4001
210,20201,2,,201_2,,4002
211,20201,3,,201_3,,4003
212,20201,4,,201_4,,4004
213,220,1,,220_1,,4001
214,20220,2,,220_2,,4002
215,20220,3,,220_3,,4003
216,20220,4,,220_4,,4004
217,21,1,,21_1,,4001
218,20021,2,,21_2,,4002
219,20021,3,,21_3,,4003
220,20021,4,,21_4,,4004
221,205,1,,205_1,,4001
222,20205,2,,205_2,,4002
223,20205,3,,205_3,,4003
224,20205,4,,205_4,,4004
225,216,1,,216_1,,4001
226,20216,2,,216_2,,4002
227,20216,3,,216_3,,4003
228,20216,4,,216_4,,4004
229,293,1,,293_1,,4001
230,20293,2,,293_2,,4002
231,20293,3,,293_3,,4003
232,20293,4,,293_4,,4004
233,10,1,,10_1,,4001
234,20010,2,,10_2,,4002
235,20010,3,,10_3,,4003
236,20010,4,,10_4,,4004
237,88,1,,88_1,,4001
238,20088,2,,88_2,,4002
239,20088,3,,88_3,,4003
240,20088,4,,88_4,,4004
241,115,1,,115_1,,4001
242,20115,2,,115_2,,4002
243,20115,3,,115_3,,4003
244,20115,4,,115_4,,4004
245,230,1,,230_1,,4001
246,20230,2,,230_2,,4002
247,20230,3,,230_3,,4003
248,20230,4,,230_4,,4004
