id,type,special_spot_condition,mission_buff_condition,person_condition
44000400,4,,440004*==0,
44000500,4,,440005*==0,
44000601,4,,440006*>0,
44001001,3,440010*>0,,
44002001,3,440020*>0,,
44003001,3,440030*>0,,
44004001,3,440040*>0,,
44005001,3,440050*>0,,
44006001,3,440060*>0,,
44007001,3,440070*>0,,
44008001,3,440080*>0,,
44009001,3,440090*>0,,
44050101,3,440501*>0,,
44050201,3,440502*>0,,
44050301,3,440503*>0,,
44050401,3,440504*>0,,
44050501,3,440505*>0,,
44051000,3,440510*==0,,
44051001,3,440510*>0,,
44051100,3,440511*==0,,
44051101,3,440511*>0,,
44052100,3,440521*==0,,
44052101,3,440521*>0,,
44080001,3,440800*>0,,
44090201,3,440902*>0,,
44090301,3,440903*>0,,
44090701,3,440907*>0,,
44090801,3,440908*>0,,
44090901,3,440909*>0,,
44201100,3,442011*==0,,
44201101,3,442011*>0,,
44201200,3,442012*==0,,
44201201,3,442012*>0,,
44201300,3,442013*==0,,
44201301,3,442013*>0,,
44201400,3,442014*==0,,
44201401,3,442014*>0,,
44201500,3,442015*==0,,
44201501,3,442015*>0,,
46050101,4,,460501*>0,
48000001,6,,,480001*>0
48010101,3,480101*>0,,
48010200,4,,480102*==0,
48010201,4,,480102*>0,
48010401,3,480104*>0,,
48010501,3,480105*>0,,
48010801,3,480108*>0,,
48010804,3,480108*==4,,
48010807,3,480108*==7,,
48013101,3,480131*>0,,
48013201,3,480132*>0,,
48013301,3,480133*>0,,
48013401,3,480134*>0,,
48013501,3,480135*>0,,
48013601,3,480136*>0,,
48140201,3,481402*>0,,
48140301,3,481403*>0,,
48180201,3,481802*>0,,
48180301,3,481803*>0,,
48181300,3,481813*==0,,
48181301,3,481813*>0,,
48181400,3,481814*==0,,
48190101,3,481901*>0,,
48190201,3,481902*>0,,
48190301,3,481903*>0,,
48190401,3,481904*>0,,
48190501,3,481905*>0,,
48190600,6,,,481901*==0
48190601,6,,,481901*>0
48190602,6,,,481902*>0
48190603,6,,,481904*>0
48191301,3,481913*>0,,
48200101,6,,,482001*>0
48200301,3,482003*>0,,
48220201,3,482202*>0,,
48220401,3,482204*>0,,
48220501,3,482205*>0,,
48220601,3,482206*>0,,
48220701,3,482207*>0,,
48220801,3,482208*>0,,
48220900,3,482209*==0,,
48220901,3,482209*>0,,
48221500,3,482215*==0,,
48221501,3,482215*>0,,
48221600,3,482216*==0,,
48221601,3,482216*>0,,
48221700,3,482217*==0,,
48221701,3,482217*>0,,
48221810,3,482218*==5,,
48230100,4,,482301*==0,
48230101,3,482301*>0,,
48230201,3,482302*>0,,
48230301,3,482303*>0,,
48230401,3,482304*>0,,
48231100,3,482311*==0,,
48231101,3,482311*>0,,
48231200,3,482312*==0,,
48231201,3,482312*>0,,
48231300,3,482313*==0,,
48231301,3,482313*>0,,
48231400,3,482314*==0,,
48231401,3,482314*>0,,
48240101,3,482401*>0,,
48240201,3,482402*>0,,
48240301,3,482403*>0,,
48241101,3,482411*>0,,
48241201,3,482412*>0,,
48242101,3,482421*>0,,
48242201,3,482422*>0,,
48243001,4,,482430*>0,
48243002,4,,482430*>1,
48244101,3,482441*>0,,
48244201,3,482442*>0,,
48244301,3,482443*>0,,
48244401,3,482444*>0,,
48244501,3,482445*>0,,
48250102,3,482501*>1,,
48250201,3,482502*>0,,
48250301,3,482503*>0,,
48250401,3,482504*>0,,
48250801,3,482508*>0,,
48350100,4,,483501*==0,
48350101,4,,483501*>0,
48350301,3,483503*>0,,
48361100,3,483611*==0,,
48390300,4,,483903*==0,
48390301,4,,483903*>0,
48400101,3,484001*>0,,
48400201,3,484002*>0,,
48400301,3,484003*>0,,
48410101,3,484101*>0,,
48410201,3,484102*>0,,
48410301,3,484103*>0,,
48410401,3,484104*>0,,
48410501,3,484105*>0,,
48410601,3,484106*>0,,
48410701,3,484107*>0,,
48411100,3,484111*==0,,
48411101,3,484111*>0,,
48411200,3,484112*==0,,
48411201,3,484112*>0,,
48411301,3,484113*>0,,
48411401,3,484114*>0,,
48412301,3,484123*>0,,
48412401,3,484124*>0,,
48413301,3,484133*>0,,
48413401,3,484134*>0,,
50000000,3,500000*==0,,
50000001,3,500000*>0,,
50001000,3,500010*==0,,
50001001,3,500010*>0,,
50001100,3,500011*==0,,
50001101,3,500011*>0,,
50001200,3,500012*==0,,
50001201,3,500012*>0,,
50001300,3,500013*==0,,
50001301,3,500013*>0,,
50001400,3,500014*==0,,
50001401,3,500014*>0,,
50001500,3,500015*==0,,
50001501,3,500015*>0,,
50001600,3,500016*==0,,
50001601,3,500016*>0,,
50001700,3,500017*==0,,
50001701,3,500017*>0,,
50001800,3,500018*==0,,
50001801,3,500018*>0,,
50001900,3,500019*==0,,
50001901,3,500019*>0,,
50002000,4,,500020*==0,
50002001,4,,500020*>0,
50002002,3,500020*>0,,
50002100,4,,500021*==0,
50002101,4,,500021*>0,
50002102,3,500021*>0,,
50002200,4,,500022*==0,
50002201,4,,500022*>0,
50002202,3,500022*>0,,
50002300,4,,500023*==0,
50002301,4,,500023*>0,
50002302,3,500023*>0,,
50002400,4,,500024*==0,
50002401,4,,500024*>0,
50002402,3,500024*>0,,
50002500,4,,500025*==0,
50002501,4,,500025*>0,
50002502,3,500025*>0,,
50002600,4,,500026*==0,
50002601,4,,500026*>0,
50002602,3,500026*>0,,
50002700,4,,500027*==0,
50002701,4,,500027*>0,
50002702,3,500027*>0,,
50002800,4,,500028*==0,
50002801,4,,500028*>0,
50002802,3,500028*>0,,
50002900,4,,500029*==0,
50002901,4,,500029*>0,
50002902,3,500029*>0,,
50004100,3,500041*==0,,
50004101,3,500041*>0,,
50004200,3,500042*==0,,
50004201,3,500042*>0,,
50004300,3,500043*==0,,
50004301,3,500043*>0,,
50004400,3,500044*==0,,
50004401,3,500044*>0,,
50004500,3,500045*==0,,
50004501,3,500045*>0,,
50004600,3,500046*==0,,
50004601,3,500046*>0,,
50005001,3,500050*>0,,
50009900,4,,500099*<5,
50009905,4,,500099*>4,
50010001,6,,,500100*>0
50030101,3,500301*>0,,
50030201,3,500302*>0,,
50030301,3,500303*>0,,
50030401,3,500304*>0,,
50040100,4,,500401*==0,
50040101,4,,500401*>0,
50040200,4,,500402*==0,
50040201,4,,500402*>0,
50040300,4,,500403*==0,
50040301,4,,500403*>0,
50040400,4,,500404*==0,
50040401,4,,500404*>0,
50040500,4,,500405*==0,
50040501,4,,500405*>0,
50045101,3,500451*>0,,
50045201,3,500452*>0,,
50045301,3,500453*>0,,
50049101,5,,,500402*>0
50049201,5,,,500408*>0
50049301,5,,,500409*>0
50049401,6,,,500403*>0
50049501,6,,,500404*>0
50049601,6,,,500405*>0
50049701,3,500497*>0,,
50049900,4,,500499*==0,
50049901,4,,500499*>0,
51030100,5,,,510301*==0
51030101,5,,,510301*>0
51030201,3,510302*>0,,
51030301,3,510303*>0,,
51040101,3,510401*>0,,
51040201,3,510402*>0,,
51070100,4,,510701*==0,
51070101,4,,510701*>0,
51070102,2,,510701*>0,
51080001,3,510800*>0,,
51080101,3,510801*>0,,
51080201,3,510802*>0,,
51082200,3,510822*==0,,
51082201,3,510822*>0,,
51090000,6,,,510900*==0
51090001,6,,,510900*>0
51090101,3,510901*>0,,
51090201,3,510902*>0,,
51090301,3,510903*>0,,
51090400,4,,510904*==0,
51090401,4,,510904*>0,
51091301,3,510913*>0,,
51091400,4,,510914*==0,
51091401,4,,510914*>0,
51100100,3,511001*==0,,
51100101,3,511001*>0,,
51100201,3,511002*>0,,
51100301,3,511003*>0,,
51101101,3,511011*>0,,
51110101,3,511101*>0,,
51111101,3,511111*>0,,
51170100,3,511701*==0,,
90000190,3,900001*==0,,
90000191,3,900001*>0,,
100000090,4,,1000000*==0,
100000091,4,,1000000*>0,
100000190,3,1000001*==0,,
100000191,3,1000001*>0,,
100000480,3,1000004*==0,,
100000481,3,1000004*>0,,
100000490,4,,1000004*==0,
100000491,4,,1000004*>0,
100000590,4,,1000005*==0,
100000591,4,,1000005*>0,
100000680,4,,1000006*==0,
100000681,4,,1000006*>0,
100000790,3,1000007*==0,,
100000791,3,1000007*>0,,
100000880,4,,1000008*==0,
100000881,4,,1000008*>0,
100000980,4,,1000009*==0,
100000981,4,,1000009*>0,
100000990,3,1000009*==0,,
100000991,3,1000009*>0,,
100001180,4,,1000011*==0,
100001181,4,,1000011*>0,
100001190,3,1000011*==0,,
100001191,3,1000011*>0,,
100001590,3,1000015*==0,,
100001591,3,1000015*>0,,
100001890,3,1000018*==0,,
100001891,3,1000018*>0,,
100002490,3,1000024*==0,,
100002491,3,1000024*>0,,
100002590,3,1000025*==0,,
100002591,3,1000025*>0,,
100002890,3,1000028*==0,,
100002891,3,1000028*>0,,
100004190,3,1000041*==0,,
100004191,3,1000041*>0,,
100004290,3,1000042*==0,,
100004291,3,1000042*>0,,
100004390,3,1000043*==0,,
100004391,3,1000043*>0,,
100004490,3,1000044*==0,,
100004491,3,1000044*>0,,
100005290,3,1000052*==0,,
100005291,3,1000052*>0,,
100005890,3,1000058*==0,,
100005891,3,1000058*>0,,
100005990,3,1000059*==0,,
100005991,3,1000059*>0,,
100006090,3,1000060*==0,,
100006091,3,1000060*>0,,
100006790,3,1000067*==0,,
100006791,3,1000067*>0,,
100006890,3,1000068*==0,,
100006891,3,1000068*>0,,
100006990,3,1000069*==0,,
100006991,3,1000069*>0,,
100007200,3,1000072*==0,,
100007201,3,1000072*>0,,
100010090,3,1000100*==0,,
100010091,3,1000100*>0,,
100011190,3,1000111*==0,,
100011191,3,1000111*>0,,
100020090,3,1000200*==0,,
100020091,3,1000200*>0,,
100030090,3,1000300*==0,,
100030091,3,1000300*>0,,
100040090,3,1000400*==0,,
100040091,3,1000400*>0,,
100050090,3,1000500*==0,,
100050091,3,1000500*>0,,
100060090,3,1000600*==0,,
100060091,3,1000600*>0,,
100070090,3,1000700*==0,,
100070091,3,1000700*>0,,
100080090,3,1000800*==0,,
100080091,3,1000800*>0,,
100090090,3,1000900*==0,,
100090091,3,1000900*>0,,
100100090,3,1001000*==0,,
100100091,3,1001000*>0,,
100110090,3,1001100*==0,,
100110091,3,1001100*>0,,
101010090,3,1010100*==0,,
101010091,3,1010100*>0,,
101010190,3,1010101*==0,,
101010191,3,1010101*>0,,
101020090,3,1010200*==0,,
101020091,3,1010200*>0,,
101020190,3,1010201*==0,,
101020191,3,1010201*>0,,
101030090,3,1010300*==0,,
101030091,3,1010300*>0,,
101030190,3,1010301*==0,,
101030191,3,1010301*>0,,
101040090,3,1010400*==0,,
101040091,3,1010400*>0,,
101040190,3,1010401*==0,,
101040191,3,1010401*>0,,
101050090,3,1010500*==0,,
101050091,3,1010500*>0,,
101050190,3,1010501*==0,,
101050191,3,1010501*>0,,
101060090,3,1010600*==0,,
101060091,3,1010600*>0,,
101060190,3,1010601*==0,,
101060191,3,1010601*>0,,
101070090,3,1010700*==0,,
101070091,3,1010700*>0,,
101070190,3,1010701*==0,,
101070191,3,1010701*>0,,
101080090,3,1010800*==0,,
101080091,3,1010800*>0,,
101080190,3,1010801*==0,,
101080191,3,1010801*>0,,
102010090,3,1020100*==0,,
102010091,3,1020100*>0,,
102010190,3,1020101*==0,,
102010191,3,1020101*>0,,
102020090,3,1020200*==0,,
102020091,3,1020200*>0,,
102020190,3,1020201*==0,,
102020191,3,1020201*>0,,
102030090,3,1020300*==0,,
102030091,3,1020300*>0,,
102030190,3,1020301*==0,,
102030191,3,1020301*>0,,
102040090,3,1020400*==0,,
102040091,3,1020400*>0,,
102040190,3,1020401*==0,,
102040191,3,1020401*>0,,
102050090,3,1020500*==0,,
102050091,3,1020500*>0,,
102050190,3,1020501*==0,,
102050191,3,1020501*>0,,
102060090,3,1020600*==0,,
102060091,3,1020600*>0,,
102060190,3,1020601*==0,,
102060191,3,1020601*>0,,
102070090,3,1020700*==0,,
102070091,3,1020700*>0,,
102070190,3,1020701*==0,,
102070191,3,1020701*>0,,
102080090,3,1020800*==0,,
102080091,3,1020800*>0,,
102080190,3,1020801*==0,,
102080191,3,1020801*>0,,
102090090,3,1020900*==0,,
102090091,3,1020900*>0,,
102090190,3,1020901*==0,,
102090191,3,1020901*>0,,
102100090,3,1021000*==0,,
102100091,3,1021000*>0,,
102100190,3,1021001*==0,,
102100191,3,1021001*>0,,
102110090,3,1021100*==0,,
102110091,3,1021100*>0,,
102110190,3,1021101*==0,,
102110191,3,1021101*>0,,
102120090,3,1021200*==0,,
102120091,3,1021200*>0,,
102120190,3,1021201*==0,,
102120191,3,1021201*>0,,
102130090,3,1021300*==0,,
102130091,3,1021300*>0,,
102130190,3,1021301*==0,,
102130191,3,1021301*>0,,
102140090,3,1021400*==0,,
102140091,3,1021400*>0,,
102150090,3,1021500*==0,,
102150091,3,1021500*>0,,
102160090,3,1021600*==0,,
102160091,3,1021600*>0,,
102170090,3,1021700*==0,,
102170091,3,1021700*>0,,
102180090,3,1021800*==0,,
102180091,3,1021800*>0,,
102190090,3,1021900*==0,,
102190091,3,1021900*>0,,
102200090,3,1022000*==0,,
102200091,3,1022000*>0,,
102210090,3,1022100*==0,,
102210091,3,1022100*>0,,
102220090,3,1022200*==0,,
102220091,3,1022200*>0,,
102230090,3,1022300*==0,,
102230091,3,1022300*>0,,
102240090,3,1022400*==0,,
102240091,3,1022400*>0,,
102250090,3,1022500*==0,,
102250091,3,1022500*>0,,
102260090,3,1022600*==0,,
102260091,3,1022600*>0,,
102270090,3,1022700*==0,,
102270091,3,1022700*>0,,
102280090,3,1022800*==0,,
102280091,3,1022800*>0,,
102290090,3,1022900*==0,,
102290091,3,1022900*>0,,
103010090,3,1030100*==0,,
103010091,3,1030100*>0,,
103020090,3,1030200*==0,,
103020091,3,1030200*>0,,
103030090,3,1030300*==0,,
103030091,3,1030300*>0,,
103040090,3,1030400*==0,,
103040091,3,1030400*>0,,
103050090,3,1030500*==0,,
103050091,3,1030500*>0,,
103060090,3,1030600*==0,,
103060091,3,1030600*>0,,
104010090,3,1040100*==0,,
104010091,3,1040100*>0,,
104010190,3,1040101*==0,,
104010191,3,1040101*>0,,
104020090,3,1040200*==0,,
104020091,3,1040200*>0,,
104020190,3,1040201*==0,,
104020191,3,1040201*>0,,
104030090,3,1040300*==0,,
104030091,3,1040300*>0,,
104030190,3,1040301*==0,,
104030191,3,1040301*>0,,
104040090,3,1040400*==0,,
104040091,3,1040400*>0,,
104040190,3,1040401*==0,,
104040191,3,1040401*>0,,
104050090,3,1040500*==0,,
104050091,3,1040500*>0,,
104050190,3,1040501*==0,,
104050191,3,1040501*>0,,
104060090,3,1040600*==0,,
104060091,3,1040600*>0,,
104060190,3,1040601*==0,,
104060191,3,1040601*>0,,
105010090,3,1050100*==0,,
105010091,3,1050100*>0,,
105010190,3,1050101*==0,,
105010191,3,1050101*>0,,
105020090,3,1050200*==0,,
105020091,3,1050200*>0,,
105020190,3,1050201*==0,,
105020191,3,1050201*>0,,
105030090,3,1050300*==0,,
105030091,3,1050300*>0,,
105030190,3,1050301*==0,,
105030191,3,1050301*>0,,
105040090,3,1050400*==0,,
105040091,3,1050400*>0,,
105040190,3,1050401*==0,,
105040191,3,1050401*>0,,
105050090,3,1050500*==0,,
105050091,3,1050500*>0,,
105050190,3,1050501*==0,,
105050191,3,1050501*>0,,
105060090,3,1050600*==0,,
105060091,3,1050600*>0,,
105060190,3,1050601*==0,,
105060191,3,1050601*>0,,
106010090,3,1060100*==0,,
106010091,3,1060100*>0,,
106010190,3,1060101*==0,,
106010191,3,1060101*>0,,
106020090,3,1060200*==0,,
106020091,3,1060200*>0,,
106020190,3,1060201*==0,,
106020191,3,1060201*>0,,
106030090,3,1060300*==0,,
106030091,3,1060300*>0,,
106030190,3,1060301*==0,,
106030191,3,1060301*>0,,
106040090,3,1060400*==0,,
106040091,3,1060400*>0,,
106040190,3,1060401*==0,,
106040191,3,1060401*>0,,
106050090,3,1060500*==0,,
106050091,3,1060500*>0,,
106050190,3,1060501*==0,,
106050191,3,1060501*>0,,
106060090,3,1060600*==0,,
106060091,3,1060600*>0,,
106060190,3,1060601*==0,,
106060191,3,1060601*>0,,
107010090,3,1070100*==0,,
107010091,3,1070100*>0,,
107020090,3,1070200*==0,,
107020091,3,1070200*>0,,
109010090,3,1090100*==0,,
109010091,3,1090100*>0,,
109020090,3,1090200*==0,,
109020091,3,1090200*>0,,
109030090,3,1090300*==0,,
109030091,3,1090300*>0,,
109040090,3,1090400*==0,,
109040091,3,1090400*>0,,
109050090,3,1090500*==0,,
109050091,3,1090500*>0,,
110010090,3,1100100*==0,,
110010091,3,1100100*>0,,
110010190,3,1100101*==0,,
110010191,3,1100101*>0,,
110010290,3,1100102*==0,,
110010291,3,1100102*>0,,
110020090,3,1100200*==0,,
110020091,3,1100200*>0,,
110020190,3,1100201*==0,,
110020191,3,1100201*>0,,
110020290,3,1100202*==0,,
110020291,3,1100202*>0,,
110030090,3,1100300*==0,,
110030091,3,1100300*>0,,
110030190,3,1100301*==0,,
110030191,3,1100301*>0,,
110030290,3,1100302*==0,,
110030291,3,1100302*>0,,
110040090,3,1100400*==0,,
110040091,3,1100400*>0,,
110040190,3,1100401*==0,,
110040191,3,1100401*>0,,
110040290,3,1100402*==0,,
110040291,3,1100402*>0,,
110050090,3,1100500*==0,,
110050091,3,1100500*>0,,
110050190,3,1100501*==0,,
110050191,3,1100501*>0,,
110050290,3,1100502*==0,,
110050291,3,1100502*>0,,
111010090,3,1110100*==0,,
111010091,3,1110100*>0,,
111010190,3,1110101*==0,,
111010191,3,1110101*>0,,
111020090,3,1110200*==0,,
111020091,3,1110200*>0,,
111020190,3,1110201*==0,,
111020191,3,1110201*>0,,
111030090,3,1110300*==0,,
111030091,3,1110300*>0,,
111030190,3,1110301*==0,,
111030191,3,1110301*>0,,
111040090,3,1110400*==0,,
111040091,3,1110400*>0,,
111040190,3,1110401*==0,,
111040191,3,1110401*>0,,
111050090,3,1110500*==0,,
111050091,3,1110500*>0,,
111050190,3,1110501*==0,,
111050191,3,1110501*>0,,
112010090,3,1120100*==0,,
112010091,3,1120100*>0,,
112010190,3,1120101*==0,,
112010191,3,1120101*>0,,
112020090,3,1120200*==0,,
112020091,3,1120200*>0,,
112020190,3,1120201*==0,,
112020191,3,1120201*>0,,
112030090,3,1120300*==0,,
112030091,3,1120300*>0,,
112030190,3,1120301*==0,,
112030191,3,1120301*>0,,
112040090,3,1120400*==0,,
112040091,3,1120400*>0,,
112040190,3,1120401*==0,,
112040191,3,1120401*>0,,
112050090,3,1120500*==0,,
112050091,3,1120500*>0,,
112050190,3,1120501*==0,,
112050191,3,1120501*>0,,
113010090,3,1130100*==0,,
113010091,3,1130100*>0,,
113010190,3,1130101*==0,,
113010191,3,1130101*>0,,
113020090,3,1130200*==0,,
113020091,3,1130200*>0,,
113020190,3,1130201*==0,,
113020191,3,1130201*>0,,
113030090,3,1130300*==0,,
113030091,3,1130300*>0,,
113030190,3,1130301*==0,,
113030191,3,1130301*>0,,
113040090,3,1130400*==0,,
113040091,3,1130400*>0,,
113040190,3,1130401*==0,,
113040191,3,1130401*>0,,
113050090,3,1130500*==0,,
113050091,3,1130500*>0,,
113050190,3,1130501*==0,,
113050191,3,1130501*>0,,
114010090,3,1140100*==0,,
114010091,3,1140100*>0,,
114020090,3,1140200*==0,,
114020091,3,1140200*>0,,
114030090,3,1140300*==0,,
114030091,3,1140300*>0,,
114040090,3,1140400*==0,,
114040091,3,1140400*>0,,
115010090,3,1150100*==0,,
115010091,3,1150100*>0,,
115010190,3,1150101*==0,,
115010191,3,1150101*>0,,
115010690,3,1150106*==0,,
115010691,3,1150106*>0,,
115010790,3,1150107*==0,,
115010791,3,1150107*>0,,
115020090,3,1150200*==0,,
115020091,3,1150200*>0,,
115020190,3,1150201*==0,,
115020191,3,1150201*>0,,
115020690,3,1150206*==0,,
115020691,3,1150206*>0,,
115020790,3,1150207*==0,,
115020791,3,1150207*>0,,
115030090,3,1150300*==0,,
115030091,3,1150300*>0,,
115030190,3,1150301*==0,,
115030191,3,1150301*>0,,
115030690,3,1150306*==0,,
115030691,3,1150306*>0,,
115030790,3,1150307*==0,,
115030791,3,1150307*>0,,
115040090,3,1150400*==0,,
115040091,3,1150400*>0,,
115040190,3,1150401*==0,,
115040191,3,1150401*>0,,
115040690,3,1150406*==0,,
115040691,3,1150406*>0,,
115040790,3,1150407*==0,,
115040791,3,1150407*>0,,
120010090,3,1200100*==0,,
120010091,3,1200100*>0,,
120010190,3,1200101*==0,,
120010191,3,1200101*>0,,
120020090,3,1200200*==0,,
120020091,3,1200200*>0,,
120020190,3,1200201*==0,,
120020191,3,1200201*>0,,
120030090,3,1200300*==0,,
120030091,3,1200300*>0,,
120030190,3,1200301*==0,,
120030191,3,1200301*>0,,
120040090,3,1200400*==0,,
120040091,3,1200400*>0,,
120040190,3,1200401*==0,,
120040191,3,1200401*>0,,
120050090,3,1200500*==0,,
120050091,3,1200500*>0,,
120050190,3,1200501*==0,,
120050191,3,1200501*>0,,
120060090,3,1200600*==0,,
120060091,3,1200600*>0,,
120060190,3,1200601*==0,,
120060191,3,1200601*>0,,
121010190,3,1210101*==0,,
121010191,3,1210101*>0,,
381400001,4,,"381423*>0,381424*>0,381425*>0",
381400002,4,,"381402*>0,381403*>0,381404*>0,381405*>0",
381400003,4,,"381406*>0,381407*>0,381408*>0,381409*>0,381410*>0",
381400004,4,,"381411*>0,381412*>0,381413*>0,381414*>0,381415*>0,381416*>0",
381400005,4,,"381417*>0,381418*>0,381419*>0,381420*>0,381421*>0,381422*>0",
381603001,4,,381602*>0,
381603002,4,,381603*>0,
400000190,3,4000001*==0,,
400000191,3,4000001*>0,,
400000290,3,4000002*==0,,
400000291,3,4000002*>0,,
400000390,3,4000003*==0,,
400000391,3,4000003*>0,,
400000490,3,4000004*==0,,
400000491,3,4000004*>0,,
404090180,4,,4040901*==0,
404090181,4,,4040901*>0,
600010101,3,6000101*>0,,
600011101,3,6000111*>0,,
600012100,3,6000121*==0,,
600012101,3,6000121*>0,,
600013100,3,6000131*==0,,
600013101,3,6000131*>0,,
600020101,3,6000201*>0,,
600020201,3,6000202*>0,,
600021101,3,6000211*>0,,
600030101,3,6000301*>0,,
600031701,3,6000317*>0,,
603014100,3,6030141*==0,,
603014101,3,6030141*>0,,
603014200,3,6030142*==0,,
603014201,3,6030142*>0,,
603014300,3,6030143*==0,,
603014301,3,6030143*>0,,
603014500,3,6030145*==0,,
603014501,3,6030145*>0,,
638020101,3,6380201*>0,,
638020201,3,6380202*>0,,
638020301,3,6380203*>0,,
638021101,3,6380211*>0,,
638021201,3,6380212*>0,,
638021301,3,6380213*>0,,
638022100,3,6380221*==0,,
638022101,3,6380221*>0,,
638022200,3,6380222*==0,,
638022201,3,6380222*>0,,
638022300,3,6380223*==0,,
638022301,3,6380223*>0,,
638023100,3,6380231*==0,,
638023101,3,6380231*>0,,
638023200,3,6380232*==0,,
638023201,3,6380232*>0,,
638023300,3,6380233*==0,,
638023301,3,6380233*>0,,
639030301,3,6390303*>0,,
639031301,3,6390313*>0,,
639032300,3,6390323*==0,,
639032301,3,6390323*>0,,
639033300,3,6390333*==0,,
639033301,3,6390333*>0,,
639033401,3,6390334*>0,,
641010201,3,6410102*>0,,
641010301,3,6410103*>0,,
641030501,3,6410305*>0,,
641030601,3,6410306*>0,,
641030701,3,6410307*>0,,
641030801,3,6410308*>0,,
641040301,3,6410403*>0,,
641041301,3,6410413*>0,,
641042300,3,6410423*==0,,
641042301,3,6410423*>0,,
641043300,3,6410433*==0,,
641043301,3,6410433*>0,,
641050301,3,6410503*>0,,
641051301,3,6410513*>0,,
641052300,3,6410523*==0,,
641052301,3,6410523*>0,,
641053300,3,6410533*==0,,
641053301,3,6410533*>0,,
641060101,3,6410601*>0,,
641060201,3,6410602*>0,,
641060301,3,6410603*>0,,
641060401,3,6410604*>0,,
641070101,3,6410701*>0,,
641070301,3,6410703*>0,,
641090101,3,6410901*>0,,
641090201,3,6410902*>0,,
641090401,3,6410904*>0,,
641100101,3,6411001*>0,,
641110101,3,6411101*>0,,
641120101,3,6411201*>0,,
641120201,3,6411202*>0,,
641120301,3,6411203*>0,,
641120401,3,6411204*>0,,
641120501,3,6411205*>0,,
641140101,3,6411401*>0,,
641140201,3,6411402*>0,,
641140301,3,6411403*>0,,
641140401,3,6411404*>0,,
641140501,3,6411405*>0,,
641140601,3,6411406*>0,,
643000101,3,6430001*>0,,
643000200,4,,6430002*==0,
643000201,3,6430002*>0,,
643000301,3,6430003*>0,,
643000400,4,,6430004*==0,
643000700,3,6430007*==0,,
643001700,3,6430017*==0,,
643002201,3,6430022*>0,,
643002301,3,6430023*>0,,
643002501,3,6430025*>0,,
643002601,3,6430026*>0,,
643020201,3,6430202*>0,,
644000101,3,6440001*>0,,
644000201,3,6440002*>0,,
644000501,3,6440005*>0,,
644000601,3,6440006*>0,,
644001101,3,6440011*>0,,
644001201,3,6440012*>0,,
644001301,3,6440013*>0,,
644001401,3,6440014*>0,,
644001501,3,6440015*>0,,
644001701,3,6440017*>0,,
644001900,3,6440019*==0,,
644001901,3,6440019*>0,,
644002000,3,6440020*==0,,
644002001,3,6440020*>0,,
644002100,3,6440021*==0,,
644002101,3,6440021*>0,,
644002200,3,6440022*==0,,
644002201,3,6440022*>0,,
644003501,3,6440035*>0,,
644003601,3,6440036*>0,,
644003701,3,6440037*>0,,
644003801,3,6440038*>0,,
644003901,3,6440039*>0,,
644004001,3,6440040*>0,,
644004101,3,6440041*>0,,
644004301,3,6440043*>0,,
644004401,3,6440044*>0,,
644004601,3,6440046*>0,,
644005301,3,6440053*>0,,
644005401,3,6440054*>0,,
644005501,3,6440055*>0,,
644005601,3,6440056*>0,,
644005701,3,6440057*>0,,
644006501,3,6440065*>0,,
644006701,3,6440067*>0,,
