id,win_step,lose_step,next_id,lock_id,related_missionkey
6430201,6430201,,6430202,6430201,
6430202,"6430202,6430203,6430204",,win0,,
6430401,"6430401,6430402",,6430402,6430401,
6430402,6430403|6430404,,win0,,
64102031,64102031,,win0,,
64102051,64102051,,win0,,
64102061,64102061,,64102062,64102061,
64102062,64102062,,win0,,
64102081,64102081,,win0,,
64102091,64102091,,win0,,
64102101,64102101,,win0,,
91051500,1051500,,win0,,
91051501,1051501,,win0,,
91051502,1051503,,91051503,91051502,
91051503,1051504,,win0,,
91051504,1051501,,win0,,
91051600,1051600,,win0,,
91051601,1051601,,win0,,
91051602,1051609,,win0,,
91051603,1051602,,91051604,91051603,
91051604,1051603,,win0,,
91051605,1051604,,91051606,91051605,
91051606,1051605,,91051607|91051609,91051606,
91051607,1051608,,91051608,91051607,
91051608,1051606,,win0,,
91051609,1051607,,win0,,
91051610,1051610,,win0,,
91051611,1051611,,win1,,
91051612,1051612,,win2,,
91051613,1051613,,win3,,
91051614,1051614,,win0,,
91051700,1051700,,91051701,91051700,
91051701,1051701,,win0,,
91051702,1051702,,91051704,"91051702,9151703",
91051703,1051703,,91051702,91051703,
91051704,1051704,,win0,,
91051705,1051705,,win0,,
91051706,1051706,,win0,,
91051707,1051707,,win0,,
91051708,1051708,,win0,,
91051709,1051709,,91051712,91051709,
91051710,1051710,,91051713,91051710,
91051711,1051711,,win3,,
91051712,1051712,,win1,,
91051713,1051713,,win2,,
91051800,1051800,,91051801,91051800,
91051801,1051801,,91051802,91051801,
91051802,1051802,,win0,,
91051803,1051803,,91051804,91051803,
91051804,1051804,,win0,,
91051805,1051805,,win0,,
91051806,1051806,,91051807,91051806,
91051807,1051807,,91051808,91051807,
91051808,1051808,,91051809,91051808,
91051809,1051809,,win0,,
91051810,1051810,,win0,,
91051811,1051811,,win1,,
91051812,1051812,,win2,,
91051813,1051813,,win3,,
