id,name,code,description,max_tier,type,duration_type,duration,parameter,trigger_creation_id,creation_id,available_gun_type,ui_control
144,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
145,骰子点数,FlightChessBuff_24,行动不小于4,1,133,1,1,4,0,4,0,0
146,骰子点数,FlightChessBuff_25,战斗不小于4,1,135,1,1,4,0,4,0,0
147,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,1,-1,1,0,4,0,0
148,标识用buff【*】,,标识【*】,1,400,1,1,0,0,0,0,0
149,屏蔽用buff【*】,,屏蔽【*】,1,400,1,-1,0,0,0,0,0
150,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500104,0,5,0,0
151,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500105,0,5,0,0
152,标识用buff【*】,,hg技能目标标识【*】,1,400,1,-1,0,0,0,0,0
153,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
154,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,8,0,0
155,护盾值【*】,,护盾值+1【*】,99,104,1,-1,2,0,0,0,0
156,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,2,0,8,0,0
157,标识用buff【*】,,亡语【*】,1,400,1,-1,0,0,0,0,0
158,标识用buff【*】,,亡语2【*】,1,400,1,-1,0,0,0,0,0
159,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,4,0,0
160,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,-1,2,0,4,0,0
161,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500101,0,5,0,0
162,射程,FlightChessBuff_5,射程+2,99,103,1,-1,2,0,9,0,0
163,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,-1,2,0,7,0,0
164,标识用buff【*】,,受伤状态【*】,1,400,1,-1,0,0,0,0,0
165,普攻伤害调整,FlightChessBuff_28,普攻调整,1,120,1,-1,*500107,0,5,0,0
166,标识用buff【*】,,触发141【*】,1,400,1,-1,0,0,0,0,0
167,屏蔽标记【*】,,标记用【*】,2,400,1,1,0,0,0,0,0
168,行动力提升,FlightChessBuff_3,行动力-1,99,102,1,-1,-1,0,13,0,0
169,伤害提升,FlightChessBuff_1,伤害-1,99,101,1,-1,-1,0,13,0,0
170,射程,FlightChessBuff_5,射程-1,99,103,1,-1,-1,0,13,0,0
171,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,-1,2,0,7,0,0
172,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,-1,2,0,8,0,0
173,最大生命,FlightChessBuff_8,最大生命-1,99,107,1,-1,-1,0,13,0,0
174,计数buff【*】,,存活回合【*】,6,400,1,-1,0,0,0,0,0
175,计数buff【*】,,增幅触发【*】,1,400,1,1,0,0,0,0,0
176,计数buff【*】,,起飞计数【*】,8,400,1,-1,0,0,0,0,0
177,计数buff【*】,,触发62301【*】,10,400,1,1,0,0,0,0,0
178,计数buff【*】,,,5,400,1,-1,0,0,0,0,2
179,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-1,0,5,0,0
180,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-2,0,5,0,0
181,计数buff【*】,,道具使用【*】,6,400,1,-1,0,0,0,0,0
182,上场棋子上限,FlightChessBuff_15,可上场+2,1,118,1,-1,2,0,5,0,0
183,伤害调整,FlightChessBuff_28,不大于8点,1,108,1,-1,*500108,0,5,0,0
194,计数buff【*】,,,4,400,1,-1,0,0,0,0,3
195,计数buff【*】,,163计数【*】,10,400,1,-1,0,0,0,0,0
196,标识用buff【*】,,回合内【*】,1,400,1,1,0,0,0,0,0
197,计数buff【*】,,164计数【*】,99,400,1,-1,0,0,0,0,0
198,标识用buff【*】,,处于免疫最大血量下降【*】,1,400,1,-1,0,0,0,0,0
199,射程,FlightChessBuff_5,射程+1,99,103,1,-1,1,0,9,0,0
200,标识用buff【*】,,屏蔽17001【*】,1,400,1,-1,0,0,0,0,0
201,标识用buff【*】,,屏蔽17101【*】,1,400,1,-1,0,0,0,0,0
202,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,-1,1,0,5,0,0
203,标识用buff【*】,,屏蔽12503【*】,1,400,1,-1,0,0,0,0,0
204,标识用buff【*】,,屏蔽12603【*】,1,400,1,-1,0,0,0,0,0
205,标识用buff【*】,,屏蔽12303【*】,1,400,1,-1,0,0,0,0,0
206,标识用buff【*】,,屏蔽15501【*】,1,400,1,-1,0,0,0,0,0
207,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,2,1,1,0,4,0,0
208,伤害调整【*】,,600用【*】,1,108,2,1,*500109,0,0,0,0
209,被攻击标识【*】,,600用【*】,1,400,1,1,0,0,0,0,0
210,伤害调整【*】,,600用【*】,1,108,2,1,0,0,0,0,0
211,护盾值【*】,,护盾值+2【*】,1,104,1,-1,2,0,0,0,0
212,护盾值【*】,,护盾值+2【*】,99,104,1,-1,2,0,0,0,0
213,移动调整【*】,,60201用【*】,1,400,1,-1,0,0,0,0,0
214,移动调整【*】,,60202用【*】,1,102,2,1,*500110,0,0,0,0
215,最大生命,FlightChessBuff_8,最大生命-2,99,107,1,-1,-2,0,13,0,0
216,伤害提升,FlightChessBuff_1,伤害+2,99,101,1,1,2,0,7,0,0
217,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,1,2,0,8,0,0
218,射程,FlightChessBuff_5,射程+1,99,103,1,1,1,0,9,0,0
219,技能伤害,FlightChessBuff_19,毁伤+1,99,124,1,1,1,0,5,0,0
220,移动调整【*】,,60204用【*】,1,102,2,1,*500111,0,0,0,0
221,标识用buff【*】,,屏蔽12801【*】,1,400,1,-1,0,0,0,0,0
222,眩晕,FlightChessBuff_10,眩晕,1,110,1,1,1,0,0,0,0
223,最大生命,FlightChessBuff_8,最大生命+2,99,107,1,-1,2,0,6,0,0
224,射程,FlightChessBuff_5,射程+2,99,103,1,-1,2,0,9,0,0
225,护盾值【*】,,护盾值+2【*】,99,104,1,-1,2,0,0,0,0
226,跳跃距离,FlightChessBuff_27,机动距离+2,99,125,1,-1,2,0,5,0,0
227,标识用buff【*】,,屏蔽12901【*】,1,400,1,-1,0,0,0,0,0
228,行动骰子,FlightChessBuff_22,行动骰子+1,1,130,1,1,1,0,4,0,0
229,标识用buff【*】,,触发献祭smg效果【*】,1,400,1,-1,0,0,0,0,0
230,标识用buff【*】,,触发献祭RF效果【*】,1,400,1,-1,0,0,0,0,0
231,标识用buff【*】,,触发献祭AR效果【*】,1,400,1,-1,0,0,0,0,0
232,骰子点数,FlightChessBuff_24,行动不小于3,1,132,2,1,3,0,4,0,0
233,行动力提升,FlightChessBuff_3,行动力+4,99,102,1,1,4,0,8,0,0
234,行动力提升,FlightChessBuff_3,行动力+1,1,102,1,-1,1,0,8,0,0
235,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
236,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,1,2,0,8,0,0
237,行动力提升,FlightChessBuff_3,行动力+4,1,102,1,1,4,0,8,0,0
238,行动力提升,FlightChessBuff_3,行动力+8,1,102,1,1,8,0,8,0,0
239,行动力提升,FlightChessBuff_3,行动力+16,1,102,1,1,16,0,8,0,0
240,行动力提升,FlightChessBuff_3,行动力+32,1,102,1,1,32,0,8,0,0
241,标识用buff【*】,,倍数行动力【*】,4,400,1,-1,0,0,0,0,0
242,骰子点数,FlightChessBuff_25,战斗骰子保底,1,135,2,1,*500112,0,4,0,0
243,骰子点数,FlightChessBuff_25,战斗骰子保底,1,135,2,1,*500113,0,4,0,0
244,标识用buff【*】,,增幅已使用【*】,1,400,1,1,0,0,0,0,0
246,伤害调整,FlightChessBuff_30,免疫1次伤害,1,108,2,1,*500114,0,0,0,0
247,普攻伤害调整,FlightChessBuff_29,必杀,1,120,2,1,*500115,0,5,0,0
248,标识用buff【*】,,61001【*】,1,400,1,-1,0,0,0,0,0
249,标识用buff【*】,,61002【*】,1,400,1,-1,0,0,0,0,0
250,标识用buff【*】,,61101【*】,1,400,1,-1,0,0,0,0,0
251,标识用buff【*】,,61102【*】,1,400,1,-1,0,0,0,0,0
252,标识用buff【*】,,扣代币【*】,1,400,1,1,0,0,0,0,0
253,标识用buff【*】,,14001屏蔽【*】,1,400,1,-1,0,0,0,0,0
254,跳跃距离,FlightChessBuff_27,机动距离+4,1,125,1,-1,4,0,5,0,0
255,最大生命,FlightChessBuff_8,最大生命+2,99,107,1,-1,2,0,6,0,0
256,行动力提升,FlightChessBuff_3,行动力-1,99,102,1,-1,-1,0,13,0,0
257,最大生命,FlightChessBuff_8,最大生命+4,99,107,1,-1,4,0,6,0,0
258,伤害提升,FlightChessBuff_1,伤害+1,6,101,2,1,1,0,7,0,0
259,标识用buff【*】,,61701用【*】,1,400,1,1,0,0,0,0,0
260,标识用buff【*】,,17701用【*】,99,400,1,-1,0,0,0,0,0
261,冷却减少【*】,,当前冷却-1【*】,1,121,2,1,-1,0,0,0,0
262,冷却减少【*】,,当前冷却-2【*】,1,121,2,1,-2,0,0,0,0
263,伤害提升,FlightChessBuff_1,伤害+4,99,101,1,-1,3,0,7,0,0
264,标识用buff【*】,,62001用【*】,99,400,1,-1,0,0,0,0,0
265,射程,FlightChessBuff_5,射程+1,99,103,2,1,1,0,9,0,0
266,标识用buff【*】,,61901用【*】,99,400,1,-1,0,0,0,0,0
267,冷却减少【*】,,当前冷却-1【*】,1,121,2,1,-1,0,0,0,0
268,普攻伤害调整,FlightChessBuff_28,伤害+5,1,120,1,-1,*500116,0,5,0,0
269,伤害调整,FlightChessBuff_28,免疫1次伤害,1,108,1,-1,*500117,0,0,0,0
270,跳跃距离,FlightChessBuff_27,机动距离+2,1,125,1,-1,2,0,5,0,0
271,标识用buff【*】,,屏蔽17501【*】,99,400,1,-1,0,0,0,0,0
272,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,1,1,0,7,0,0
273,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
274,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,1,1,0,6,0,0
275,射程,FlightChessBuff_5,射程+1,99,103,1,1,1,0,9,0,0
276,护盾值【*】,,护盾值+1【*】,99,104,1,1,1,0,0,0,0
277,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,1,1,0,5,0,0
278,范围标识【*】,,,1,400,1,1,0,0,0,0,0
279,触发标识【*】,,2020101用【*】,1,400,1,1,0,0,0,0,0
280,范围标识【*】,,,1,400,1,1,0,0,0,0,0
281,触发标识【*】,,2040101用【*】,1,400,1,1,0,0,0,0,0
282,屏蔽标记【*】,,标记用【*】,1,400,1,1,0,0,0,0,0
283,护盾值【*】,,护盾值+4【*】,1,104,1,-1,4,0,0,0,0
284,标识用buff【*】,,17701用【*】,1,400,1,-1,0,0,0,0,0
285,标识用buff【*】,,17701用【*】,1,400,1,1,0,0,0,0,0
286,冷却减少【*】,,当前冷却-2【*】,1,121,2,1,-2,0,0,0,0
287,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
288,计数buff【*】,,触发62501【*】,10,400,1,1,0,0,0,0,0
