level,maxlife,pow,dodge,hit,armor_piercing,armor,shield,def,def_break
10047,552.0,6.0,5.0,12.0,21.0,53.76,1.0,1.0,1.0
10048,559.0,6.0,5.0,12.0,22.0,53.76,1.0,1.0,1.0
10049,566.0,6.0,5.0,12.0,22.0,53.76,1.0,1.0,1.0
10050,572.0,6.0,5.0,12.0,22.0,53.76,1.0,1.0,1.0
10051,579.0,6.0,6.0,13.0,23.0,55.68,1.0,1.0,1.0
10052,585.0,6.0,6.0,13.0,23.0,55.68,1.0,1.0,1.0
10053,592.0,6.0,6.0,13.0,23.0,55.68,1.0,1.0,1.0
10054,598.0,6.0,6.0,13.0,24.0,55.68,1.0,1.0,1.0
10055,605.0,6.0,6.0,13.0,24.0,57.6,1.0,1.0,1.0
10056,612.0,6.0,6.0,13.0,25.0,57.6,1.0,1.0,1.0
10057,618.0,6.0,6.0,13.0,25.0,57.6,1.0,1.0,1.0
10058,625.0,6.0,6.0,14.0,25.0,57.6,1.0,1.0,1.0
10059,631.0,6.0,6.0,14.0,26.0,59.52,1.0,1.0,1.0
10060,638.0,7.0,6.0,14.0,26.0,59.52,1.0,1.0,1.0
10061,644.0,7.0,6.0,14.0,26.0,59.52,1.0,1.0,1.0
10062,651.0,7.0,6.0,14.0,27.0,59.52,1.0,1.0,1.0
10063,658.0,7.0,7.0,14.0,27.0,61.44,1.0,1.0,1.0
10064,664.0,7.0,7.0,15.0,28.0,61.44,1.0,1.0,1.0
10065,671.0,7.0,7.0,15.0,28.0,61.44,1.0,1.0,1.0
10066,677.0,7.0,7.0,15.0,28.0,61.44,1.0,1.0,1.0
10067,684.0,7.0,7.0,15.0,29.0,61.44,1.0,1.0,1.0
10068,690.0,7.0,7.0,15.0,29.0,63.36,1.0,1.0,1.0
10069,697.0,7.0,7.0,15.0,30.0,63.36,1.0,1.0,1.0
10070,703.0,7.0,7.0,15.0,30.0,63.36,1.0,1.0,1.0
10071,710.0,7.0,7.0,16.0,30.0,63.36,1.0,1.0,1.0
10072,717.0,7.0,7.0,16.0,31.0,65.28,1.0,1.0,1.0
10073,723.0,7.0,7.0,16.0,31.0,65.28,1.0,1.0,1.0
10074,730.0,7.0,8.0,16.0,31.0,65.28,1.0,1.0,1.0
10075,736.0,7.0,8.0,16.0,32.0,65.28,1.0,1.0,1.0
10076,743.0,8.0,8.0,16.0,32.0,67.2,1.0,1.0,1.0
10077,749.0,8.0,8.0,16.0,33.0,67.2,1.0,1.0,1.0
10078,756.0,8.0,8.0,17.0,33.0,67.2,1.0,1.0,1.0
10079,763.0,8.0,8.0,17.0,33.0,67.2,1.0,1.0,1.0
10080,769.0,8.0,8.0,17.0,34.0,69.12,1.0,1.0,1.0
10081,776.0,8.0,8.0,17.0,34.0,69.12,1.0,1.0,1.0
10082,782.0,8.0,8.0,17.0,35.0,69.12,1.0,1.0,1.0
10083,789.0,8.0,8.0,17.0,35.0,69.12,1.0,1.0,1.0
10084,795.0,8.0,8.0,18.0,35.0,71.04,1.0,1.0,1.0
10085,802.0,8.0,9.0,18.0,36.0,71.04,1.0,1.0,1.0
10086,809.0,8.0,9.0,18.0,36.0,71.04,1.0,1.0,1.0
10087,815.0,8.0,9.0,18.0,36.0,71.04,1.0,1.0,1.0
10088,822.0,8.0,9.0,18.0,37.0,72.96,1.0,1.0,1.0
10089,828.0,8.0,9.0,18.0,37.0,72.96,1.0,1.0,1.0
10090,835.0,8.0,9.0,18.0,38.0,72.96,1.0,1.0,1.0
10091,841.0,8.0,9.0,19.0,38.0,72.96,1.0,1.0,1.0
10092,848.0,8.0,9.0,19.0,38.0,74.88,1.0,1.0,1.0
10093,854.0,9.0,9.0,19.0,39.0,74.88,1.0,1.0,1.0
10094,861.0,9.0,9.0,19.0,39.0,74.88,1.0,1.0,1.0
10095,868.0,9.0,9.0,19.0,40.0,74.88,1.0,1.0,1.0
10096,874.0,9.0,10.0,19.0,40.0,74.88,1.0,1.0,1.0
10097,881.0,9.0,10.0,19.0,40.0,76.8,1.0,1.0,1.0
10098,887.0,9.0,10.0,20.0,41.0,76.8,1.0,1.0,1.0
10099,894.0,9.0,10.0,20.0,41.0,76.8,1.0,1.0,1.0
10100,900.0,9.0,10.0,20.0,41.0,76.8,1.0,1.0,1.0
20001,226.8,6.94,2.14,3.33,3.0,30.72,1.0,1.0,1.0
20002,246.33,7.14,2.57,4.0,4.0,32.64,1.0,1.0,1.0
20003,246.33,7.34,2.57,4.0,4.0,32.64,1.0,1.0,1.0
20004,246.33,7.41,2.57,4.0,5.0,32.64,1.0,1.0,1.0
20005,246.33,7.61,3.0,4.67,5.0,32.64,1.0,1.0,1.0
20006,260.82,7.68,3.0,4.67,5.0,34.56,1.0,1.0,1.0
20007,266.49,7.89,3.0,4.67,6.0,34.56,1.0,1.0,1.0
20008,266.49,7.97,3.43,5.33,6.0,34.56,1.0,1.0,1.0
20009,266.49,8.18,3.43,5.33,7.0,34.56,1.0,1.0,1.0
20010,281.29,8.25,3.43,5.33,7.0,36.48,1.0,1.0,1.0
20011,281.29,8.46,3.86,6.0,7.0,36.48,1.0,1.0,1.0
20012,281.29,8.68,3.86,6.0,8.0,36.48,1.0,1.0,1.0
20013,287.28,8.76,3.86,6.0,8.0,36.48,1.0,1.0,1.0
20014,302.4,8.98,3.86,6.0,8.0,38.4,1.0,1.0,1.0
20015,302.4,9.06,4.29,6.67,9.0,38.4,1.0,1.0,1.0
20016,302.4,9.28,4.29,6.67,9.0,38.4,1.0,1.0,1.0
20017,302.4,9.36,4.29,6.67,10.0,38.4,1.0,1.0,1.0
20018,324.14,9.59,4.71,7.33,10.0,40.32,1.0,1.0,1.0
20019,324.14,9.67,4.71,7.33,10.0,40.32,1.0,1.0,1.0
20020,324.14,9.9,4.71,7.33,11.0,40.32,1.0,1.0,1.0
20021,324.14,10.13,5.14,8.0,11.0,40.32,1.0,1.0,1.0
20022,339.57,10.22,5.14,8.0,12.0,42.24,1.0,1.0,1.0
20023,339.57,10.46,5.14,8.0,12.0,42.24,1.0,1.0,1.0
20024,346.5,10.54,5.14,8.0,12.0,42.24,1.0,1.0,1.0
20025,346.5,10.78,5.57,8.67,13.0,42.24,1.0,1.0,1.0
20026,362.25,10.87,5.57,8.67,13.0,44.16,1.0,1.0,1.0
20027,362.25,11.11,5.57,8.67,13.0,44.16,1.0,1.0,1.0
20028,362.25,11.2,6.0,9.33,14.0,44.16,1.0,1.0,1.0
20029,369.5,11.45,6.0,9.33,14.0,44.16,1.0,1.0,1.0
20030,385.56,11.7,6.0,9.33,15.0,46.08,1.0,1.0,1.0
20031,385.56,11.79,6.43,10.0,15.0,46.08,1.0,1.0,1.0
20032,385.56,12.05,6.43,10.0,15.0,46.08,1.0,1.0,1.0
20033,385.56,12.14,6.43,10.0,16.0,46.08,1.0,1.0,1.0
20034,385.56,12.39,6.43,10.0,16.0,46.08,1.0,1.0,1.0
20035,409.5,12.49,6.86,10.67,17.0,48.0,1.0,1.0,1.0
20036,409.5,12.75,6.86,10.67,17.0,48.0,1.0,1.0,1.0
20037,409.5,12.84,6.86,10.67,17.0,48.0,1.0,1.0,1.0
20038,409.5,13.11,7.29,11.33,18.0,48.0,1.0,1.0,1.0
20039,425.88,13.38,7.29,11.33,18.0,49.92,1.0,1.0,1.0
20040,434.07,13.47,7.29,11.33,18.0,49.92,1.0,1.0,1.0
20041,434.07,13.75,7.71,12.0,19.0,49.92,1.0,1.0,1.0
20042,434.07,13.84,7.71,12.0,19.0,49.92,1.0,1.0,1.0
20043,450.77,14.12,7.71,12.0,20.0,51.84,1.0,1.0,1.0
20044,450.77,14.22,8.14,12.67,20.0,51.84,1.0,1.0,1.0
20045,450.77,14.5,8.14,12.67,20.0,51.84,1.0,1.0,1.0
20046,459.27,14.6,8.14,12.67,21.0,51.84,1.0,1.0,1.0
20047,476.28,14.88,8.14,12.67,21.0,53.76,1.0,1.0,1.0
20048,476.28,15.17,8.57,13.33,22.0,53.76,1.0,1.0,1.0
20049,476.28,15.27,8.57,13.33,22.0,53.76,1.0,1.0,1.0
20050,476.28,15.56,8.57,13.33,22.0,53.76,1.0,1.0,1.0
20051,502.42,15.56,9.0,14.0,23.0,55.68,1.0,1.0,1.0
20052,502.42,15.75,9.0,14.0,23.0,55.68,1.0,1.0,1.0
20053,502.42,15.75,9.0,14.0,23.0,55.68,1.0,1.0,1.0
20054,502.42,15.94,9.43,14.67,24.0,55.68,1.0,1.0,1.0
20055,519.75,15.94,9.43,14.67,24.0,57.6,1.0,1.0,1.0
20056,519.75,16.13,9.43,14.67,25.0,57.6,1.0,1.0,1.0
20057,529.2,16.31,9.43,14.67,25.0,57.6,1.0,1.0,1.0
