id,name,type,code,introduce,forces,if_capture,pow_rank,life_rank,hit_rank,dodge_rank,rate_rank,armor_rank,speed_rank,range_rank,counter,character,enemy_skill,launch_time,extra,spine_scale
11,猎手,1,Hunter,机动和智能都比较高，擅长骚扰和追击作战，需要稻草人与行裁者的配合才能发挥最强的实力。沉着冷静，喜欢用各种手段将敌人逼到走投无路再活捉，面对格里芬十分高傲，但不屑于使用过于卑劣的手段。,1,1,4,4,5,5,5,4,5,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,203,309",62,2016-5-20 00:00:00,//c萩原あみ//c,"75,75,1"
12,龙骑兵,3,Dragoon,铁血的高级作战傀儡，装配有小型代步机甲和突击武器，无论火力，射程，机动性都不容小觑，经常扮演铁血战场上的攻坚角色。,1,1,3,3,5,3,3,0,5,5,该单位能力均衡，请注意提高梯队的整体作战能力应对。,304,,2016-5-20 00:00:00,,"75,75,1"
13,劫豹,2,Jaguar,铁血的常规作战机甲，可移动的高伤害迫击武器，机动性较差，但火力可以与当代的常规军用武器媲美。,1,1,6,2,6,3,1,0,3,5,该单位将向预警位置制造较强的投掷伤害，注意指挥人形及时移动规避,"1003,325",8,2016-5-20 00:00:00,,"100,100,1"
14,钢狮,4,Nemeum,军方订购的常规军用机甲，在出厂前遭到铁血入侵而成为敌人，搭载当代的军用火力系统，可以通过蓄力提高杀伤，但射速和防御都较差。,1,1,4,3,5,0,1,3,3,4,护甲单位，主要担当后排输出，攻速较慢、命中和伤害较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排且带穿甲能力的人形进行处理。,309,,2016-5-20 00:00:00,,"100,100,1"
15,圣盾,5,Aegis,军方的常规作战人形，在出厂前遭到铁血入侵而成为敌人，搭载常规的电击武器和军用护盾，近战实力强大且拥有厚重的装甲。,1,1,2,4,2,0,3,5,2,2,该单位拥有一定护甲，接战前请对我方穿甲能力进行仔细评估,"303,309",,2016-5-20 00:00:00,,"100,100,1"
16,蝎甲兽,4,Manticore,军方订购的常规军用机甲，在出厂前遭到铁血入侵而成为敌人，搭载当代的军用突击武器和装甲，拥有惊人的远程伤害和出众的防御能力。,1,1,6,5,4,0,4,3,2,3,拥有一定护甲，输出能力优秀，不是适合长时间对抗的敌人，请注意提高梯队的整体作战能力应对。,"1003,309,301",,2016-5-20 00:00:00,,"80,80,1"
17,干扰者,1,Intruder,负责提供作战策略，也擅长破解和干扰工作，可以直接指挥作战人形，是稍高级的人形，直接对计量官负责。优雅温和的言行背后，令人感到的是巨大的空洞，喜欢人类的戏剧，可能是希望从中找到自己的个性。,1,1,4,4,3,4,5,0,3,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,204",84,2016-5-20 00:00:00,//c大坪由佳//c,"85,85,1"
18,破坏者,1,Destroyer,擅长爆破任务，解除炸弹也是专家级的，作战能力也不错，和炼金术士有时会搭档。平时高傲，毒舌，实际上是个傲娇，有点小孩子脾气，逼急了会哭鼻子，十分在意自己的身高。,1,1,5,5,4,3,3,0,4,5,该单位具有极高的单发伤害，但是攻速较慢，命中一般，回避型人形会有更好的防御效果。,"1001,206","64,99",2016-5-20 00:00:00,//c高田憂希//c,"85,85,1"
19,猎手Elite,1,HunterElite,机动和智能都比较高，擅长骚扰和追击作战的铁血精英人形，在原本的规格上，将搭载的演算芯片进行了大幅度升级，现在她更加沉着冷静，能够熟练运用各种手段将敌人逼至绝路。,1,0,5,5,5,5,5,4,5,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,203,309",62,2016-5-20 00:00:00,,"75,75,1"
20,行裁者Elite,1,ExcutionerElite,比起使用战术，更偏向于正面对决的铁血精英人形，挥舞的长刀在原本的基础上进行了改进，加强了近距离作战能力，热衷于堂堂正正的战斗，并不喜欢欺负弱者。,1,0,6,5,4,5,3,3,3,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,202,309","60,61",2016-5-20 00:00:00,,"80,80,1"
21,衔尾蛇,1,Weaver,擅长短距离的突破或者防御作战，智能和作战能力很高，是蝴蝶事件之后才制造的人形，但因为是制造时期的试验品，AI极不稳定且很难被控制。表面沉稳内心高傲，拥有强劲的武力和智力优势，但是实战经验较少，而且行事风格捉摸不定，令敌我双方都难以预判，因此具有极高的危险度。,1,1,4,5,5,4,4,3,4,3,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。,"1001,210,309","71,98",2016-5-20 00:00:00,//c大久保瑠美//c,"80,80,1"
22,衔尾蛇Elite,1,WeaverElite,擅长作战以及战术演算的高规格铁血精英人形，各方面性能都在极高水平，是战场上的多面手，现在她的各方面的能力也因为取得了多种战术资料而大幅增强，她表面沉稳内心高傲……但是实战经验较少，而且行事风格捉摸不定，令敌我双方都难以预判，因此将她投入到战场上仍然具有一定的风险。,1,0,5,5,5,5,5,4,5,4,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。,"1001,210,309","71,72",2016-5-20 00:00:00,,"80,80,1"
23,炼金术士,1,Alchemist,擅长应对各种战术需求，也精通审讯逼供，是铁血作战的精英，和破坏者有时会搭档。狂妄自大，嚣张而残忍，为达目的不择手段，有施虐倾向，将格里芬视为满足欲望的玩物，不过心理成熟，可以为铁血的同伴挺身而出。,1,1,5,5,4,5,4,0,3,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,205",63,2016-5-20 00:00:00,//c佐藤有世//c,"85,85,1"
24,梦想家,1,Dreamer,偏向作战能力，拥有超远距离定点打击的能力，由伊莱莎直接下令指挥，是蝴蝶事件之后才制造的人形，因为自身能力不需要正面出击，所以平时只呆在铁血总部，以捉弄法官为乐。优雅的笑容中透着傲慢和难以捉摸，精神状态极不稳定，总是以自我为中心作战中会露出疯狂而不受控制的一面，加上可怕的破坏力，连同伴的安全都不会考虑所幸的是通常不会出现在正面战场上。,1,1,5,5,5,5,5,0,5,5,该单位射程较远，请注意梯队整体移动速度，避免移动时间过长导致战损加重。,"1001,209","70,97",2016-5-20 00:00:00,//c奥野香耶//c,"75,75,1"
25,木星,2,Jupiter,铁血窃取军方科技而研发的巨型炮台，无法移动，但拥有战术人形无法匹敌的强大火力和超远射程。可以通过包围战术切断其能源，使其主炮停止运作，只能使用机枪塔还击。,1,0,6,5,5,0,4,2,0,5,未被切断供电前具有极高的威胁性，建议通过合围占领以切断供电，削弱该单位后再进行攻克。,"1003,309,910",12,2016-5-20 00:00:00,,"55,55,1"
26,计量官,1,BossGager,主要担当指挥行动和人员调度，可以直接指挥作战人形，也具备不小的作战能力，地位较高，直接对代理人负责。认真严谨，一丝不苟，言行中透露出一股凛然利落的气质，即使对于敌人也很讲求原则和礼节。,1,1,5,4,5,4,3,0,4,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,207","66,67,96",2016-5-20 00:00:00,//c石川由依//c,"85,85,1"
27,建筑师,1,BossArchitect,擅长远程破坏和火力支援，作战能力很强，通常独来独往。活泼开朗的没头脑元气少女，什么时候都兴高采烈，对格里芬也没有敌对意识，对于铁血只能最低限度地服从命令，但是对轰炸和破坏十分热心，所以作为敌人仍然十分危险。,1,1,6,5,4,3,3,3,3,5,该单位将向预警位置制造较强伤害，且附带范围溅射，请注意指挥人形及时移动规避。,"1001,208,309","68,69",2016-5-20 00:00:00,//c大坪由佳//c,"85,85,1"
28,残兽,3,Brute,铁血的新型近距离作战单位，会快速接近敌人造成可怕的杀伤，同时装甲薄弱所以容易被破坏。,1,1,5,3,4,3,3,0,4,2,该单位拥有较高的破甲值，对霰弹枪人形来说是个危险的存在，请注意避免我方霰弹枪人形与她接触。推荐使用冲锋枪、手枪等回避型人形担当前排。,303,,2016-5-20 00:00:00,,"85,85,1"
29,痛击者,3,Striker,铁血的常规作战单位，装配有远程机枪武器，火力和射速较高，主要用于战场的火力输出和压制。,1,1,3,3,2,3,5,0,3,4,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。,308,,2016-5-20 00:00:00,,"100,100,1"
30,狼蛛,4,Tarantula,铁血“兵蚁”的装甲升级版，生存性大大提高，可以成群结队快速扑向敌人造成大片损伤。,1,1,5,1,5,0,2,4,5,2,该单位近战输出能力极高，但相对的自身生存能力极差，但因有护甲加持，在我方穿甲能力不足的情况下不利于快速清理。推荐使用能快速造成范围伤害的人形或机枪人形在接触前完成歼灭。,"303,309",,2016-5-20 00:00:00,,"150,150,1"
31,歌利亚,2,Golyat,铁血的炸弹型作战单位，与敌方接触后会自行爆炸，造成超广范围的恐怖杀伤，必须在其近身前尽快消灭。,1,0,7,5,7,0,0,0,3,1,危险！请注意评估队伍输出能力是否足够歼灭该单位，输出能力不足时建议规避。,"1001,1003,323,908",11,2016-5-20 00:00:00,,"100,100,1"
32,歌利亚Plus,2,GolyatPlus,歌利亚的升级版，现有战术人形的火力几乎不可能在短时间内将其破坏，避免与其战斗也许是最佳方案。,1,0,7,7,7,0,0,0,3,1,极度危险！请注意规避！,"1001,1003,323,908",11,2016-5-20 00:00:00,,"100,100,1"
33,末日魔犬,1,BossCerberus,铁血“兵蚁”的超级升级版，无论体型，装甲还是火力都获得大幅提升，甚至可以容纳人形心智（不完全），不过性价比不高，难以被量产，战术定位也不准确，连研发记录都是个谜团，极少有出场的机会。,1,1,5,5,5,3,2,4,5,2,该单位将向预警位置制造较强伤害//c注意指挥人形及时移动规避,"1001,214,309","79,80",2016-5-20 00:00:00,,"70,70,1"
34,破坏者Plus,1,DestroyerPlus,原本的破坏者被梦想家改造素体之后的全新姿态，火力得到大幅增强，威力较之原本更上了一层楼，但性格与心智并没有太大的改变。,1,0,6,5,5,3,3,0,4,5,该单位将向预警位置制造较强伤害，请注意指挥人形及时移动规避。,"1001,206","64,65",2016-5-20 00:00:00,,"80,80,1"
35,法官,1,Justice,偏向指挥能力，负责铁血总部的防御和安全系统，相当于伊莱莎的侍卫，只会听从伊莱莎个人的命令，是蝴蝶事件之后才制造的人形，整天面对梦想家很头疼。严肃古板，充满军人的威严和风范，对伊莱莎绝对忠诚，但个子比较矮小，让人觉得缺乏气势，提出这一点的人无论敌我都会倒大霉。,1,1,5,6,4,4,4,3,4,5,该单位攻速较高、伤害一般，且会同时攻击多个单位，推荐使用霰弹枪人形搭配足够的护甲进行抵御，同时请注意及时躲避地面的紫色区域，避免受到持续的伤害以及弱化效果。,"1001,211,309","73,74,75",2016-5-20 00:00:00,//c豊崎愛生//c,"70,70,1"
36,梦魇,3,unknown,只存在于电子空间的虚拟敌人，在慢慢接近敌人之后扑咬敌人。通常而言，这些意识体是电子战模块将防火墙程序具现化的防御单位，也有可能是在电子平层潜伏的病毒或者恶意程序，或者某些无法解释的深层存在。,0,0,4,4,4,4,3,0,2,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,303,,2016-5-20 00:00:00,,"80,80,1"
37,独眼巨人_AR,3,Cyclops,军方的作战人形，配备步枪和杀伤较强的榴弹发射装置，装甲相对其他型号较为薄弱。,2,0,4,4,4,3,3,0,4,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,319",16,2016-5-20 00:00:00,,"85,85,1"
38,独眼巨人_SG,5,Cyclops_SG,军方的常规作战人形，配备霰弹枪和防弹护盾，其他性能与该原型型号相差不大。,2,0,4,4,3,3,2,4,3,4,该单位能力均衡且带有一定的护甲，请注意提高梯队的整体作战能力应对。,"1001,309,314",17,2016-5-20 00:00:00,,"85,85,1"
39,九头蛇,4,Hydra,军方订购的常规军用机甲，在“蝎甲兽”的基础上进行升级和改进，搭载更高级的远程军用火力系统和装甲，强大的主炮可以对敌方进行毁灭性的武力扫荡。,2,0,6,5,4,0,4,6,1,2,状态不佳时面对该单位合理规避,"1003,309,301",18,2016-5-20 00:00:00,,"80,80,1"
40,圣盾_GA,5,Aegis_GA,军方的常规作战人形，搭载常规的电击武器和军用护盾，近战实力强大且拥有厚重的装甲。,2,0,2,3,2,0,3,5,3,2,该单位拥有一定护甲，接战前请对我方穿甲能力进行仔细评估,"303,309,310",9,2016-5-20 00:00:00,,"100,100,1"
41,牝鹿,4,Cerynitis,军方的常规作战机甲，在“钢狮”的基础上进行升级和改造，搭载远程军用火力系统，并拥有更强的装甲和高速连射能力。,2,0,5,3,5,0,1,3,3,4,护甲单位，攻击间隔较短，伤害较高，建议选用步枪人形优先处理。,"1003,309",,2016-5-20 00:00:00,,"100,100,1"
42,指灵,4,Dactyl,军方的小型自走布雷机，会在战场上高速接近地方区域并布下地雷，即使脆弱的本体被消灭，地雷依然可以在混乱的战场造成恐怖威胁。,2,0,5,2,4,0,0,2,3,5,拥有小量护甲，移速较高。战斗前期即开始快速放置地雷，我方人形触发时将会受到巨额伤害，请注意规避地雷或在战斗前期尽早歼灭该单位。,"1001,309,322",19,2016-5-20 00:00:00,,"100,100,1"
43,提丰,4,Typhon,军方订购的常规军用坦克，配备了一门强大的激光炮，蓄力后发射可以贯穿敌方的整个战场，并造成惊人的破坏。唯一破解的办法是快速接近它行动笨拙的本体，利用火力盲区尽快将其消灭。,2,0,5,5,6,0,5,4,3,5,护甲较高，蓄力后发射可以造成多段穿透伤害的激光，但是有最大俯角限制，快速靠近可以免受攻击，护盾技能可以抵御部分激光伤害但效果并不理想。,"1001,1003,309,320",20,2016-5-20 00:00:00,,"70,70,1"
44,M16A1,1,M16A1_Boss,遭‘伞’病毒感染而铁血化的原AR小队所属格里芬战术人形M16A1，不论是外表还是性格都产生了极大的变化，唯一不变的是值得信赖的战术能力。作为伙伴时令人放松，作为敌人时则令人胆寒。,1,0,6,6,6,6,6,6,6,6,信标对不同枪种人形的标识会对铁血化的M16A1自身产生不同增益。我方区域内被放置信标时，请注意选择合适的枪种人形踩点进行标识。,"1001,215,309","81,82,83",2016-5-20 00:00:00,//c山根希美//c,"100,100,1"
45,代理人,1,Agent,负责伊莱莎与下属铁血的沟通联络工作和后勤管理，作战人形都直接听从她的命令，地位极高，无论战斗还是指挥都很擅长，可以指挥所有作战人形。冷淡平静，有条不紊的言行做派，对敌我都会用尊敬的语气，但实际上除了对主人十分尊重之外，称呼他人的词汇都很低劣，尤其对于格里芬更是充满蔑视。,1,1,5,5,5,2,4,0,2,4,在该角色生成护盾时，请注意集中火力将护盾击破以中断蓄力，避免蓄力的高伤害攻击。,"1001,212","77,78",2016-5-20 00:00:00,//c生天目仁美//c,"80,80,1"
46,射击士,3,Strelet,基础的步兵人形，配备有和军方火力接近的突击武器系统，虽然是被量产的基本作战单位，但战斗力远高于铁血的常规单位。,3,0,2,3,2,3,4,0,3,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,312,,2016-5-20 00:00:00,,"100,100,1"
47,剑盾士,3,Rodelero,灵活的重火力人形，装备有喷射背包，可以使其从战场后方快速飞跃到前排，并使用蓄能完毕的激光炮贯穿战场。同时它还配备了力场盾生成器，可以弹开敌人的实弹攻击。,3,0,3,4,3,3,1,2,3,4,拥有力场值，具有一定的减伤能力，在使用我方前排承担伤害的同时也要注意该单位的贯通攻击，保证我方脆弱的人形不在前排人形身后。重装部队的支援将使战斗更加有利。,"309,312,320",27,2016-5-20 00:00:00,,"90,90,1"
48,巨剑士,3,Doppelsoldner,强大的重火力机甲，本身装甲厚重的同时，也配备了力场盾发生器。攻击手段除了双手的高速机关炮，还可使用多联装榴弹发射器，造成大范围伤害。,3,0,2,4,3,0,3,4,1,3,拥有较高的护甲和力场值，具有较高的减伤能力，会使用多枚榴弹进行轰炸。请注意使用具有穿甲能力的人形在接战前尽可能进行打击，或使用护盾技能抵御榴弹的轰炸。重装部队的支援将使战斗更加有利。,"1003,309,312,319","28,29",2016-5-20 00:00:00,,"60,60,1"
49,枪骑兵,4,Uhlan,凶猛的重甲坦克，同样配备了厚重的装甲和力场盾发生器，远程火力武装只有一门机关炮，但自身可以在战场最前方进行冲锋和碾压，快速破坏对方的前方阵型。,3,0,4,4,4,0,3,4,3,4,拥有高额的力场值和较高的护甲，具有优异的减伤能力，会使用突进碾压的手段冲击我方阵型。请注意及时指挥人形躲避。重装部队的支援将使战斗更加有利。,"1001,309,312","31,32",2016-5-20 00:00:00,,"50,50,1"
50,艾德琳,1,Nyto_black,帕拉蒂斯“涅托”里的一员，使用高杀伤力的步枪型武器作战，在爆炸中起舞，用怒涛般的攻势重创敌阵。作为量产机习惯压抑自己的情绪，阴冷难明的外壳下是否有属于人类的情感，也不得而知。,3,1,6,6,5,4,4,3,4,5,情报不明//c谨慎应对!,"1001,216,309,312","45,47",2016-5-20 00:00:00,//c佐藤利奈//c,"70,70,1"
51,埃莉诺,1,Nyto_white,帕拉蒂斯“涅托”里的一员，使用镰刀型的近战武器，如同纯白的死神般降临战场，斩断钢铁、收割生命。作为初期的高级涅托拥有自己的骄傲，只对认可的人露出温柔可爱的一面。,3,1,6,6,5,4,4,3,4,5,情报不明//c谨慎应对!,"1001,216,309,312","46,47",2016-5-20 00:00:00,//c伊藤静//c,"70,70,1"
52,ELID感染者_武装,3,Zombie2,遭受坍塌辐射污染的军方人类士兵，已经丧失理智，完全陷入充满攻击性的狂乱状态，只会本能地移动，并使用突击步枪胡乱射击眼前的任何移动物，但已经无法做出发射榴弹这种相对复杂的行动。,0,0,3,3,4,3,4,0,3,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,300,,2016-5-20 00:00:00,,"90,90,1"
53,ELID感染者_徒手,3,Zombie1,受坍塌辐射污染的军方人类士兵，遗失武器的他们会徒手攻击任何看到的移动目标，攻击手段虽然只是张牙舞爪地胡乱挥舞，但在坍塌液的强化下，力量和速度依然有着可怕的威胁。,0,0,2,4,4,3,4,0,3,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,303,,2016-5-20 00:00:00,,"90,90,1"
54,ELID感染者头目,1,Smasher,遭受坍塌辐射的严重污染，身体发生变异的军方人类士兵，EILD感染者会随感染事件和辐射强度而逐渐出现内脏，表皮硬化的症状，所以这些重度感染者的皮肤十分坚硬难以被伤害，性格比其他感染者更狂暴，破坏力也更加恐怖。,0,0,5,6,4,4,4,0,3,5,该单位能力均衡，同时会持续给我方造成小额伤害，不适合长时间交战，请注意提高梯队的整体作战能力应对。,"1001,301","57,58",2016-5-20 00:00:00,,"70,70,1"
55,巡游者SWAP,2,Prowler_SWAP,巡游者的升级版，较弱的火力和机动性都得到了补足，现在可以作为正面战场的强大火力进行驱动。,1,1,1,1,1,1,3,0,2,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,300,,2016-5-20 00:00:00,,"100,100,1"
56,猎鸥SWAP,3,Jaeger_SWAP,猎鸥的升级版，装配的远程狙击武器得到了火力和精准度上的加强，同时脆弱的本体也变得稍微具备生存性，是更加可怕的对手。,1,1,4,1,5,3,2,0,3,4,该单位主要担当后排输出，攻速较慢、命中较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排的人形进行处理。,"1003,307",5,2016-5-20 00:00:00,,"100,100,1"
57,护卫者SWAP,3,Guard_SWAP,护卫者的升级版，装配的护盾和短程火力武器均得到了加强，在原本的高防御基础上变得更加坚固。,1,1,1,5,3,1,4,0,2,2,该单位为近战单位，防御能力较强，但相对的对我方造成有效伤害的能力较弱，主要威胁来自其他负责输出的单位，请注意选用合适的枪种人形以优先处理被护卫者掩护的单位。,"303,310",4,2016-5-20 00:00:00,,"90,90,1"
58,龙骑兵SWAP,3,Dragoon_SWAP,龙骑兵的升级版，装配的代步机甲和突击武器都得到了加强，是综合素质方面进化最彻底的铁血单位，要谨慎与其交手。,1,1,3,3,5,3,3,0,5,5,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1003,304",7,2016-5-20 00:00:00,,"75,75,1"
59,痛击者SWAP,3,Striker_SWAP,痛击者的升级版，装配的远程机枪武器火力得到增强的同时，也加配了更多装甲，火力输出和压制力得以进一步提高。,1,1,5,3,2,3,5,0,3,4,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。,308,,2016-5-20 00:00:00,,"100,100,1"
60,圣盾SWAP,5,Aegis_SWAP,"被铁血入侵的""圣盾""型军用作战机甲的升级版，搭载的当代高级军用装甲及护盾被进一步加厚，同时近战实力也毁灭性地得到加强。",1,1,2,5,2,0,3,5,2,2,护甲单位，有较高的伤害承担能力，建议优先击杀受该单位掩护的输出单位,"303,309,310",9,2016-5-20 00:00:00,,"100,100,1"
61,墨丘萝丝,1,Nyto_Silver,神秘势力中‘涅托’里的一员，目前一切相关情报都尚不明朗。被妮莫金称为妹妹，喜欢人类的诗歌，看起来对其有着独特的偏好和感性。,3,0,6,6,5,4,4,3,4,4,情报不明//c谨慎应对!,"1001,216,309,312","42,43",2016-5-20 00:00:00,,"85,85,1"
62,妮莫金,1,Nyto_Gold,神秘势力中‘涅托’里的一员，被墨丘萝丝称为姐姐。对‘父亲大人’极为尊敬。目前其余一切相关情报都尚不明朗,3,0,6,6,5,4,4,3,4,5,情报不明//c谨慎应对!,"1001,216,309",41,2016-5-20 00:00:00,,"85,85,1"
63,废弃角斗士,3,Roarer,被遗留在塔林的废弃人形，主要攻击方式为近战的重型重甲单位，与神秘势力有所关联。,3,0,4,5,3,2,2,3,2,2,拥有一定的力场值和护甲，起初的减伤能力一般，但是后续会不断恢复和增加力场值，在破防能力不足的情况下不适合长时间与之交战。建议在有重装部队支援的前提下进行战斗。,"309,312,316","34,35,140",2016-5-20 00:00:00,,"80,80,1"
64,废弃侦察士,4,Thunder,被遗留在塔林的废弃人形，利用搭载于身体下方的炮台攻击，遭受攻击时会利用跳跃闪避。与神秘势力有所关联。,3,0,5,5,5,5,4,4,2,4,拥有较高的护甲和力场值，且具有极强的回避性能//c请注意有效打击的时机。建议使用带有狙击技能等有必中手段的人形。,"1001,309,310,315","36,37,38",2016-5-20 00:00:00,,"80,80,1"
65,废弃重炮士,3,StreletPlus,被遗留在塔林的废弃人形，与射击士极为类似，搭载更加强大的火力，并且使用特殊的弹药降低我方人形的回避率。与神秘势力有所关联。,3,0,4,3,3,5,3,0,1,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1003,312,316",39,2016-5-20 00:00:00,,"100,100,1"
66,废弃异构体,3,Isomer,被遗留在塔林的废弃人形，自身并没有攻击能力，但能够晕眩周围的敌人，与神秘势力有所关联。,3,0,1,4,1,5,4,0,1,5,情报不明//c谨慎应对!,303,40,2016-5-20 00:00:00,,"75,75,1"
67,指南针,2,Pyxis,缠人的轻火力炮台，配备有和军方火力接近的高射速武器系统，是被量产的基本作战单位，放定之后无法移动，常用于压制战。,3,0,4,5,3,0,5,2,0,5,该单位攻速较高、伤害一般，推荐使用霰弹枪人形搭配足够的护甲进行抵御。,"309,308",,2016-5-20 00:00:00,,"100,100,1"
68,失格异构体,1,Nyto_Isomer_White,融合了来到塔林的妮莫金的心智并夺取其素体的一个异构体。带领着全塔林的异构体，希望能从这里“离开”。在指挥官的队伍进入塔林后，认定M4是那个“适格者”，能带领她们离开这里。,3,0,7,6,5,4,4,4,4,5,情报不明//c谨慎应对!,"1001,309,911",44,2016-5-20 00:00:00,,"80,80,1"
69,侦查中枢,2,RecceCentre,军方用于生产尖兵的微型工厂，自身作战能力不强，且行动较为迟缓，但通常会配属大量防卫兵种保护。,2,0,0,6,0,0,0,4,0,0,高护甲单位，会源源不断的生产尖兵单位，不太适合突击步枪人形来应对。建议使用步枪人形处理。,"309,321",21,2016-5-20 00:00:00,,"40,40,1"
70,尖兵,2,Pathfinder,尖兵：侦查中枢生产的球型单位，依据侦查中枢的功能而决定作战能力，搭载轻火力，虽然非常脆弱但相当灵活，适合量产。,2,0,4,2,4,3,4,4,5,2,拥有一定护甲，命中较高、伤害较低，请注意提高梯队的整体作战能力应对。,"303,309",22,2016-5-20 00:00:00,,"100,100,1"
71,肯陶罗斯,3,Archer,军方的常规作战人形，使用特殊的爆炸箭头作为武器，拥有超长的射程和命中率，是训练有素的精英单位。,2,0,3,3,3,4,3,0,2,4,该单位将向预警位置制造可持续燃烧的爆炸箭伤害，注意指挥人形及时移动规避,"1003,325",23,2016-5-20 00:00:00,,"100,100,1"
72,欧特鲁斯,2,Beast,军方的常规作战机甲，重型的坦克型近战单位，常用于碾压敌方阵型及前排抗压战术，厚重而结实，缺点是攻击方式单一，仅能作为肉盾使用。,2,0,4,4,5,2,4,0,6,2,拥有小量护甲，移速较高，开启护盾后会将受击伤害压至最小，建议使用高攻速或多段攻击的手段打击。,310,24,2016-5-20 00:00:00,,"80,80,1"
