id,type,name,enemy_info,code,maxlife,pow,hit,dodge,range,speed,number,angle,armor_piercing,armor,shield,rate,boss_hp,def,def_break,debuff_resistance,level,character,special_attack,normal_attack,passive_skill,effect_ratio,unable_buff_type,able_buff_id,voice,deployment_scale,recommend_description,hit_point,offset,lifebar_offset,enemy_illustration_id,location_offset
10011,5,圣盾,"""圣盾""型",Aegis,1512,11,23,0,3,35,1,180,0,90,0,40,0,99999,0,0.0,100,近战//c装甲,0,300316,"200303,200304",1.13,,,,1.0,,,,,15,
10012,3,痛击者,痛击者,Striker,567,21,20,5,7,20,1,180,0,0,0,100,0,99999,0,0.0,100,连发,0,300322,200304,1.0,,,,1.0,,,,,29,
10014,4,钢狮,测试重装单位,Nemeum,567,42,16,0,5,30,1,180,0,90,0,40,0,99999,0,0.0,100,装甲,0,300315,"200303,200304",1.32,,,,1.0,,,,,14,
10015,5,圣盾,"""圣盾""型",Aegis,1550,11,18,0,3,35,1,180,0,90,0,40,0,99999,0,0.0,100,近战//c装甲,0,300316,"200303,200304",1.14,,,,1.0,,,,,15,
10016,4,钢狮,"""钢狮""型",Nemeum,567,84,60,0,7,30,1,180,0,90,0,15,0,99999,0,0.0,100,装甲,0,300315,"200303,200304",1.28,,,,1.0,,,,,14,
10017,3,残兽,残兽,Brute,472,63,10,15,3,80,1,180,80,0,0,40,0,99999,0,0.0,100,近战,0,300316,200304,1.2,,,,1.0,,,,,28,
10018,4,狼蛛,狼蛛,Tarantula,65,84,140,0,3,45,1,180,0,90,0,40,0,99999,0,0.0,100,近战//c装甲,0,300316,"200303,200304",0.25,,,,1.0,,,,,30,
10019,3,猎鸥,铁血狙击（防御演习）,Jaeger,397,42,140,15,6,35,1,180,0,0,0,20,0,99999,0,0.0,100,精准,0,300301,200304,1.0,,,,1.0,,,,,9,
10020,4,钢狮,夜战专用输出（防御演习）,Nemeum,567,84,60,0,6,30,1,180,0,90,0,15,0,99999,0,0.0,100,装甲,0,300301,"200303,200304",1.28,,,,1.0,,,,,14,
10021,2,歌利亚,歌莉娅,Golyat,15000,1000,10000,0,1,40,1,180,0,0,0,150,0,99999,0,0.0,100,精英//c高威胁//c自爆//c致命,0,900107,"310325,119020",0.25,,,,1.0,,,,,31,
10022,2,歌利亚Plus,红色自爆怪,GolyatPlus,150000,1000,10000,0,1,40,1,180,0,0,0,150,0,99999,0,0.0,100,精英//c高威胁//c自爆//c致命,0,900107,"310325,119020",0.25,,,,1.0,,,,,32,
10023,2,歌利亚,歌莉娅弱化版,Golyat,1500,1000,10000,0,1,40,1,180,0,0,0,150,0,99999,0,0.0,100,精英//c高威胁//c自爆//c致命,0,900107,"310325,119020",0.25,,,,1.0,,,,,31,
10024,3,独眼巨人_AR,独眼巨人(步枪型）,Cyclops,476,13,23,15,6,30,1,180,0,0,0,30,0,99999,0,0.0,100,精英//c范围杀伤,0,300301,"700101,402605",1.0,,,,1.0,,,,,37,
10025,5,独眼巨人_SG,独眼巨人(霰弹型）,Cyclops_SG,595,11,23,15,4,30,1,180,0,0,0,30,0,99999,0,0.0,100,精英//c装甲//c散射,0,300301,"700101,402605",1.0,,,,1.0,,,,,38,
10026,4,牝鹿,军方连射装甲,Cerynitis,680,126,60,0,6,30,1,180,0,90,0,30,0,99999,0,0.0,100,高威胁//c装甲,0,300301,"200303,200304,119019",0.87,,,,1.0,,,,,41,
10027,4,九头蛇,军方重型火力,Hydra,9000,280,55,0,4,20,1,180,0,199,0,42,0,99999,0,0.0,100,高威胁//c装甲//c危险,0,402601,"200303,200304,402602,119020",1.17,,,,1.0,,,,,39,
10028,5,圣盾_GA,军方重甲人形,Aegis_GA,2325,11,18,0,3,35,1,180,0,90,0,40,0,99999,0,0.0,100,近战//c装甲//c护盾,0,300316,"200303,200304",1.17,,,,1.0,,,,,40,
10029,3,梦魇,梦魇,unknown,924,21,23,15,2,20,1,180,0,0,0,40,0,99999,0,0.0,100,近战,0,300316,200304,0.6,,,,1.0,,,,,36,
10030,4,提丰,电磁炮I ,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0.0,10100,精英//c高威胁//c装甲//c贯穿,0,900107,"200303,403001,403006,119019,755000",0.06,,,,0.8,,,,,43,
10031,4,提丰,电磁炮II,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0.0,10100,精英//c高威胁//c装甲//c贯穿,0,900107,"200303,403009,403014,119019,755000",0.06,,,,0.8,,,,,43,
10032,4,提丰,电磁炮III,Typhon,18000,100,350,0,20,35,1,180,0,90,0,350,0,99999,0,0.0,10100,精英//c高威胁//c装甲//c贯穿,0,900107,"200303,403017,403022,119019,755000",0.06,,,,0.8,,,,,43,
10033,4,指灵,蜘蛛雷,Dactyl,800,100,100,0,20,40,1,180,0,20,0,150,0,99999,0,0.0,100,精英//c装甲//c埋雷,0,900107,"200303,403101",0.25,221,"133,135,136,137,3918,8034",,1.0,,,,,42,
10034,3,射击士,射击士,Strelet,1050,12,20,15,6,35,1,180,0,0,0,40,0,99999,0,0.0,100,力场,0,300313,200304,0.75,,,,1.0,,,,,46,
10035,3,剑盾士,剑盾士,Rodelero,5600,25,40,20,7,35,1,180,0,40,0,15,0,300,0,0.0,100,装甲//c力场//c贯穿,0,404002,"200303,200304",1.04,221,"133,135,136,137,3918,8034",,1.0,,,,,47,
10036,3,巨剑士,巨剑士,Doppelsoldner,9200,18,36,0,6,20,1,180,0,90,0,35,0,500,0,0.0,100,高威胁//c装甲//c力场//c范围杀伤,0,404001,"200303,404024,200304,119019",1.21,221,"133,135,136,137,3918,8034",,0.8,,,,,48,
10037,3,ELID感染者_武装,远程僵尸,Zombie2,720,26,30,13,5,30,1,180,0,0,0,30,0,99999,0,0.0,100,普通,0,300317,200304,0.75,,,,1.0,,,,,52,
10038,3,ELID感染者_徒手,近战僵尸,Zombie1,1260,7,60,3,3,30,1,180,0,0,0,90,0,99999,0,0.0,100,近战,0,300316,200304,0.6,,,,1.0,,,,,53,
10039,4,枪骑兵,坦克,Uhlan,8200,48,90,0,7,35,1,180,0,90,0,30,0,600,0,0.0,100,精英//c装甲//c力场,0,404003,"200303,404004,404007,755000",1.16,221,"133,135,136,137,3918,8034",,0.8,,,,,49,
10040,3,剑盾士,剑盾士,Rodelero,3500,27,40,15,7,35,1,180,0,40,0,15,0,600,0,0.0,100,装甲//c力场//c贯穿,0,404002,"200303,200304",1.04,221,"133,135,136,137,3918,8034",,1.0,,,,,47,
10041,3,巨剑士,巨剑士,Doppelsoldner,9800,12,36,10,6,20,1,180,0,150,0,30,0,2250,0,0.0,100,高威胁//c装甲//c力场//c范围杀伤,0,404001,"200303,404024,200304,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,,,,,48,
10042,4,枪骑兵,坦克-新,Uhlan,28000,35,90,10,7,35,1,180,0,150,0,30,0,3750,0,0.0,100,精英//c装甲//c力场,0,404003,"200303,404004,404007,755000",1.38,221,"133,135,136,137,3918,8034",,0.8,,,,,49,
10043,3,射击士,射击士,Strelet,950,8,15,35,5,30,1,180,0,0,0,40,0,500,0,0.0,100,力场,0,300313,200304,0.75,,,,1.0,,,,,46,
10044,3,酗酒的龙骑兵,酗酒的龙骑兵,Dragoon_SWAP,1588,42,140,15,4,50,1,180,0,0,0,40,0,99999,0,0.0,30100,高威胁//c高速,0,711001,"711002,200304,711003,711004,711005,711006,711103,119019",1.0,,,,1.0,,,,,58,
10045,3,酗酒的巨剑士,酗酒的巨剑士,Doppelsoldner,9800,12,36,10,6,20,1,180,0,150,0,30,0,2250,0,0.0,100,高威胁//c装甲//c力场//c范围杀伤,0,711101,"200303,711102,200304,711103,711003,711004,711005,711006,711002,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,,,,,48,
10046,4,蝎甲兽,强无敌19夏活加强版,Manticore,12000,120,55,0,5,30,1,180,0,60,0,42,0,99999,0,0.0,100,高威胁//c装甲//c危险,0,300301,"200303,200304,119019",1.09,,,,1.0,,,,,16,
10047,4,九头蛇,绿无敌19夏活加强版,Hydra,15000,350,55,0,4,20,1,180,0,199,0,42,0,99999,0,0.0,100,高威胁//c装甲//c危险,0,402601,"200303,200304,402602,119020",1.25,,,,1.0,,,,,39,
10048,3,巨剑士,高达19夏活加强版,Doppelsoldner,15000,18,36,10,6,20,1,180,0,150,0,30,0,2250,0,0.0,100,高威胁//c装甲//c力场//c范围杀伤,0,404001,"200303,404024,200304,119019",1.38,221,"133,135,136,137,3918,8034",,0.8,,,,,48,
10049,4,枪骑兵,坦克19夏活加强版,Uhlan,40000,50,90,10,7,35,1,180,0,150,0,30,0,3750,0,0.0,100,精英//c装甲//c力场,0,404003,"200303,404004,404007,755000",1.38,221,"133,135,136,137,3918,8034",,0.8,,,,,49,
10050,5,弥诺陶洛斯,磁暴步枪,TeslaTrooper,22000,46,46,10,2,30,1,180,0,150,0,20,0,99999,0,0.0,30100,近战//c装甲//c免伤,0,403801,"200303,200304,403802,403803,200303,403903",1.74,221,"133,135,136,137,3918,8034",,1.0,,,,,73,
10051,2,欧特鲁斯,狗,Beast,3200,36,140,18,3,100,1,180,30,0,0,45,0,99999,0,0.0,30100,护盾,0,403901,"200304,403902,403903",0.7,,,,1.0,,,,,72,
10052,3,肯陶罗斯,猎手,Archer,1050,26,50,50,10,30,1,180,30,0,0,36,0,99999,0,0.0,30100,高威胁//c定位,0,404401,"200303,200304,404402,404403,119019",1.0,,,,1.0,,,,,71,
10053,2,侦查中枢,兵工厂,RecceCentre,35000,10,15,10,15,0,1,180,0,150,0,25,0,99999,0,0.0,30100,装甲//c制造,0,900107,"200304,404501,404503,755000",1.41,221,,,1.0,,,,,69,
10054,2,尖兵,球,Pathfinder,180,10,150,150,3,18,1,180,0,45,0,50,0,99999,0,0.0,30100,近战//c装甲,0,300312,200304,0.84,,,,1.0,,,,,70,
10055,3,废弃角斗士,白色前排,Roarer,26000,46,46,8,3,30,1,180,0,60,0,24,0,6000,0,0.0,30100,装甲//c力场//c弱化,0,403701,"200303,200304,403702,403703,403704",1.12,221,"133,135,136,137,3918,8034",,1.0,,,,,63,
10056,4,废弃侦察士,巨像,Thunder,36000,60,140,50,9,30,1,180,0,90,0,40,0,5000,0,0.0,30100,精英//c装甲//c护盾//c穿甲,0,403503,"200303,403501,403502,403504,755000",1.93,221,"133,135,136,137,3918,8034",,1.0,,,,,64,
10057,3,废弃重炮士,加强白色兵,StreletPlus,1350,46,46,50,7,25,1,180,0,0,0,30,0,1500,0,0.0,30100,高威胁//c力场//c弱化,0,300313,"200304,403601,119019",0.8,,,,1.0,,,,,65,
10058,3,废弃异构体,废弃异构体,Isomer,2000,10,10,50,20,25,1,180,0,0,0,50,0,500,0,0.0,30100,近战,0,404601,200304,0.8,,,,1.0,,,,,66,
10059,2,阿尔戈-船底座,轨道炮L1炮,GustafL_1,15000,35,55,0,18,0,1,180,20,30,0,20,0,99999,0,0.0,30100,致命//c自动防御设施//c支援,0,900107,"200304,405210,405201,755000",1.05,221,,,1.0,,,,,74,"0.9,-1.2,3.32"
10061,2,阿尔戈-船底座,轨道炮R1炮,GustafR_1,15000,35,55,0,18,0,1,180,20,30,0,20,0,99999,0,0.0,30100,,0,900107,"200304,405210,405202,755000",1.05,221,,,1.0,,,,,0,"0.4,-1.2,2.24"
10062,2,阿尔戈-船帆座,轨道炮L2机枪*2,GustafL_2,11500,30,20,0,18,0,1,180,20,30,0,50,0,99999,0,0.0,30100,致命//c自动防御设施//c支援,0,405206,"200304,405210,405207,405213,755000",1.05,221,,,1.0,,,,,75,"-0.59,0,-0.36"
10063,2,阿尔戈-船帆座,轨道炮R2机枪*2,GustafR_2,11500,30,20,0,18,0,1,180,20,30,0,50,0,99999,0,0.0,30100,,0,405206,"200304,405210,405207,405213,755000",1.05,221,,,1.0,,,,,0,"0.12,0, 0.79"
10064,2,阿尔戈-船尾座,轨道炮L3炮,GustafL_3,13500,35,55,0,18,0,1,180,20,30,0,50,0,99999,0,0.0,30100,致命//c自动防御设施//c支援,0,900107,"200304,405210,405201,755000",1.05,221,,,1.0,,,,,76,"0.54,0,0"
10065,2,阿尔戈-船尾座,轨道炮R3炮,GustafR_3,13500,35,55,0,18,0,1,180,20,30,0,50,0,99999,0,0.0,30100,,0,900107,"200304,405210,405202,755000",1.05,221,,,1.0,,,,,0,"0.23,0,0.58"
10066,2,指南针,炮台Pyxis,Pyxis,22000,46,46,0,15,0,1,180,0,30,0,80,0,99999,0,0.0,30100,装甲//c连发,0,405101,"200304,405102,755000",0.79,,,,1.0,,,,,67,
10067,3,ELID感染者_武装,远程僵尸Plus150,Zombie2,1680,30,32,17,5,30,1,180,0,0,0,30,0,99999,0,0.0,100,普通,0,300317,200304,0.75,,,,1.0,,,,,52,
10068,3,ELID感染者_徒手,近战僵尸Plus150,Zombie1,2940,8,61,5,3,30,1,180,0,0,0,90,0,99999,0,0.0,100,近战,0,300316,200304,0.6,,,,1.0,,,,,53,
10070,2,圣诞兵蚁,圣诞兵蚁,Dinergate_chm1,65,84,140,0,3,45,1,180,0,0,0,40,0,99999,0,0.0,100,近战,0,300316,200304,0.07,,,,1.0,,,,,106,
10071,3,帕拉丁,20冬新怪-刀盾手,Kratos,32000,80,90,5,3,28,1,180,0,90,0,35,0,99999,0,0.0,100,精英//c近战//c装甲//c护盾,0,900460,"900461,900464,900463",0.95,221,"133,135,136,137,3918,8034",,0.8,,,,,77,
10072,2,捍卫者,20冬新怪-发生器,Acheron,3000,20,20,20,20,0,1,180,0,30,0,20,0,99999,0,0.0,100,精英//c装甲//c护盾,0,900107,"900465,755000",1.58,,,,1.0,,,,,78,
10073,2,奎乌,20冬新怪-坦克,Coeus,16000,60,140,15,20,35,1,180,0,60,0,35,0,99999,0,0.0,100,精英//c高威胁//c装甲//c压制//c弱化,0,900107,"900478,900479,900480,119019,755000",1.11,,,,1.0,,,,,79,
10074,3,暴徒,游民暴徒,Mobster,1260,26,30,12,5,60,1,180,0,0,0,30,0,99999,0,0.0,30100,技巧·暴徒,0,902266,"902265,902267,902268,200304",1.2,,,,1.0,,,,,114,
10075,3,特工,秘密警察,Plaincloth,19200,46,80,32,6,30,1,180,0,0,0,40,0,99999,0,0.0,30100,精英//c渗透,0,902264,"902260,902262,902263",1.0,,,,1.0,,,,,113,
10076,3,防卫者,白色近战（多编）,Punish,2800,16,46,15,3,25,1,180,0,0,0,30,0,2500,0,0.0,30100,持盾前进,0,902271,"200304,902269,902270",0.8,,,,1.0,,,,,115,
10077,2,拔摩之笔,白色干扰（单编）,Visjnoe,23000,100,140,26,8,30,1,180,0,0,0,40,0,5000,0,0.0,30100,高威胁//c干扰B//c干扰Y,0,900107,"200304,902272,902273,119020",1.6,221,"133,135,136,137,3918,8034",,1.0,,,,,117,
10078,2,圣歌风琴,白色激光炮（单编）,Cherub,18000,26,90,52,7,35,1,180,0,0,0,15,0,3500,0,0.0,100,高威胁//c加深//c对点特化,0,902274,"200304,119019",0.97,221,"133,135,136,137,3918,8034",,1.0,,,,,116,
10079,3,角斗士,白色前排-新,Roarer_New,42000,46,46,10,3,30,1,180,0,90,0,24,0,6000,0,0.0,30100,装甲//c力场//c弱化,0,403701,"200303,200304,403702,403703,403704",1.21,221,"133,135,136,137,3918,8034",,1.0,,,,,118,
10080,4,侦察士,巨像-新,Thunder_New,55000,60,180,50,9,30,1,180,0,130,0,60,0,5000,0,0.0,30100,精英//c装甲//c护盾//c穿甲,0,403503,"200303,403501,403502,403504,755000",2.19,221,"133,135,136,137,3918,8034",,1.0,,,,,119,
10081,3,重炮士,加强白色兵-新,Soldier_New,1950,46,72,50,7,25,1,180,0,0,0,40,0,1500,0,0.0,30100,高威胁//c力场//c弱化,0,300313,"200304,403601,119019",0.8,,,,1.0,,,,,120,
10082,3,职业保镖,黑发保镖(多编),guard_katsura,794,8,20,20,6,30,1,180,0,0,0,50,0,99999,0,0.0,100,专业人员,0,755049,200304,1.0,,,,1.0,,,,,127,
10083,3,资深保镖,光头保镖(多编强敌),guard_bald,19200,199,160,100,6,30,1,180,0,0,0,60,0,99999,0,0.0,100,精英//c专业人员,0,755049,,1.0,221,,,1.0,,,,,128,
10084,3,灵蛇权杖,巨神兵小兵（）,Obelisk_partB,1950,46,72,50,7,25,1,180,0,0,0,40,0,1500,0,0.0,30100,精英//c高威胁//c致盲//c贯穿,0,755057,"755058,119020",0.8,,,,1.0,,,,,129,
10085,2,阿克索之皿,巨神兵无炮管形态（）,Obelisk_partA,18000,26,90,52,7,35,1,180,0,0,0,15,0,3500,0,0.0,100,精英//c贯穿,0,755051,755056,0.97,221,"133,135,136,137,3918,8034",,1.0,,,,,130,
10086,3,警备士,白教警备士(多编),Riotguard,3550,10,26,12,3,30,1,180,0,0,0,32,0,2500,0,0.0,30100,举盾警备,0,755031,"755032,755050,200304,755053",1.0,221,"133,135,136,137,3918,8034",,1.0,,,,,131,
10087,5,重锤士,白教机甲士(高甲多编),Metalmax,2100,16,100,0,3,30,1,180,0,345,0,25,0,2500,0,0.0,30100,重甲//c蓄力充能,0,755029,"755030,200304",0.41,,,,1.0,,,,,132,
10088,5,汉尼拔,白教行刑官(低甲单编),Executioner,60000,42,55,0,3,30,1,180,0,30,0,30,0,6000,0,0.0,30100,巨型//c护盾//c持续伤害,0,755042,"755043,755044,755045,755046,200304",1.05,221,"133,135,136,137,3918,8034",,1.0,,,,,133,
10089,3,掷弹士,白教掷弹士(单编),Grenadier,22000,58,65,32,7,30,1,180,0,0,0,40,0,4000,0,0.0,30100,高威胁//c投掷//c反机械,0,755039,"755040,755041,755048,200304,119019",1.0,221,"133,135,136,137,3918,8034",,1.0,,,,,134,
10090,5,指挥士,白教指挥士(低甲单编),Mastersergeant,16000,140,120,28,6,30,1,180,0,50,0,50,0,5000,0,0.0,30100,精英//c高威胁//c核心//c指挥,0,755034,"755033,755035,755037,755038,119020",1.08,221,"133,135,136,137,3918,8034",,1.0,,,,,135,
10091,3,涅托 巡卫,普通黑涅托（双冲锋枪）,Nyto_Black_SMG,2200,18,26,90,4,30,1,180,0,0,0,60,0,1500,0,0.0,30100,精英//c连发,0,407003,"407001,407002,407004,407005,407302",1.0,221,"133,135,136,137,3918,8034",,1.0,,,,,148,
10092,2,涅托 怒锤,普通黑涅托（双手大锤）,Nyto_Black_Hammer,2600,22,18,5,3,30,1,180,0,30,0,24,0,1500,0,0.0,30100,精英//c近战//c装甲,0,407101,"407102,407302",0.7,221,"133,135,136,137,3918,8034",,1.0,,,,,149,
10093,2,涅托 鹰眼,普通黑涅托（AR/RF）,Nyto_Black_RF,720,52,90,18,9,20,1,180,35,0,0,26,0,1500,0,0.0,30100,精英//c高威胁//c精准//c贯穿,0,407201,"407202,407203,407204,407205,119020,407302",1.4,221,"133,135,136,137,3918,8034",,1.0,,,,,150,
10094,2,涅托 辅翼,普通白涅托（显示屏）,Nyto_White_Commander,19200,46,80,32,6,30,1,180,0,0,0,18,0,5000,0,0.0,30100,精英//c高威胁//c指挥,0,407301,"407303,407304,407305,407306,119020,407302",0.82,221,"133,135,136,137,3918,8034",,1.0,,,,,151,
10095,5,加尔姆,白教机械狗,Cerberus_White,2600,22,26,90,4,100,1,180,0,0,0,60,0,2500,0,0.0,30100,高速//c弱化,0,407501,"407502,407503,200304",1.0,,,,1.0,,,,,152,
10096,3,北国精英特工,苏联国安局特工,USSR_Agent,3200,18,18,5,3,30,1,180,0,0,0,40,0,99999,0,0.0,30100,精英,0,902264,,1.0,221,"133,135,136,137,3918,8034",,1.0,,,,,153,
11001,2,巡游者SWAP,电饭煲,Prowler_SWAP,360,12,46,32,5,40,1,180,0,0,0,36,0,99999,0,0.0,30100,普通,0,300317,200304,1.0,,,,1.0,,,,,55,
11002,2,侦查者,侦察机,Scouts,960,12,28,80,5,50,1,180,0,0,0,24,0,99999,0,0.0,30100,普通,0,300312,200304,0.8,,,,1.0,,,,,3,
11003,2,兵蚁,侦察犬,Dinergate,65,84,140,0,3,60,1,180,0,0,0,24,0,99999,0,0.0,30100,近战,0,300316,200304,0.07,,,,1.0,,,,,6,
11004,3,切割者,铁血人形,Ripper,1140,12,46,50,5,40,1,180,0,0,0,36,0,99999,0,0.0,30100,近战,0,300317,200304,1.0,,,,1.0,,,,,4,
11005,3,胡蜂,铁血突击,Vespid,960,22,70,32,7,40,1,180,0,0,0,24,0,99999,0,0.0,30100,普通,0,300313,200304,1.0,,,,1.0,,,,,7,
11006,3,猎鸥SWAP,铁血狙击,Jaeger_SWAP,600,46,140,18,9,30,1,180,35,0,0,18,0,99999,0,0.0,30100,高威胁//c精准,0,300301,"200304,310101,119019",1.0,,,,1.0,,,,,56,
11007,3,护卫者SWAP,铁血持盾,Guard_SWAP,2535,12,28,8,3,30,1,180,0,0,0,24,0,99999,0,0.0,30100,近战//c护盾,0,310202,"200304,310201",0.6,,,,1.0,,,,,57,
11008,3,龙骑兵SWAP,铁血骑兵,Dragoon_SWAP,1500,26,140,18,20,60,1,180,0,0,0,28,0,99999,0,0.0,30100,高威胁//c高速,0,300318,"200304,310301,310302,119019",1.0,,,,1.0,,,,,58,
11011,5,圣盾SWAP,铁血重甲,Aegis_SWAP,2305,12,28,0,3,30,1,180,35,145,0,28,0,99999,0,0.0,30100,近战//c装甲//c护盾,0,310202,"200304,310201",2.4,,,,1.0,,,,,60,
11012,3,痛击者SWAP,铁血机枪,Striker_SWAP,1140,26,28,18,7,35,1,180,35,0,0,80,0,99999,0,0.0,30100,连发,0,300322,200304,1.0,,,,1.0,,,,,59,
11014,4,钢狮,测试重装单位,Nemeum,680,42,16,0,5,30,1,180,0,90,0,24,0,99999,0,0.0,30100,装甲,0,310202,"200304,310201",1.36,,,,1.0,,,,,14,
11015,5,圣盾,夜战专用重装人形*3,Aegis,1920,12,28,0,3,30,1,180,35,145,0,28,0,99999,0,0.0,30100,近战//c装甲,0,310202,"200304,310201",2.38,,,,1.0,,,,,15,
11016,4,钢狮,夜战专用输出,Nemeum,1320,46,140,0,7,35,1,180,50,60,0,18,0,99999,0,0.0,30100,装甲,0,300315,"200303,200304",1.24,,,,1.0,,,,,14,
11017,3,残兽,铁血双刀,Brute,960,58,70,18,3,50,1,180,35,0,0,18,0,99999,0,0.0,30100,近战,0,300316,200304,1.2,,,,1.0,,,,,28,
11018,4,狼蛛,装甲侦查犬,Tarantula,65,84,140,0,3,60,1,180,0,100,0,24,0,99999,0,0.0,30100,近战//c装甲,0,300316,"200303,200304",0.25,,,,1.0,,,,,30,
11024,3,独眼巨人_AR,独眼巨人(步枪型）,Cyclops,1140,22,46,32,5,50,1,180,0,0,0,28,0,99999,0,0.0,30100,精英//c范围杀伤,0,300301,"700101,402605",1.0,,,,1.0,,,,,37,
11025,5,独眼巨人_SG,独眼巨人(霰弹型）,Cyclops_SG,1320,12,28,8,3,30,1,180,0,50,0,18,0,99999,0,0.0,30100,精英//c装甲//c散射,0,301106,"700101,402605",1.17,,,,1.0,,,,,38,
11026,4,牝鹿,军方连射装甲,Cerynitis,1320,58,140,0,7,35,1,180,50,60,0,18,0,99999,0,0.0,30100,高威胁//c装甲,0,300301,"200303,200304,119019",0.89,,,,1.0,,,,,41,
11028,5,圣盾_GA,军方重甲人形,Aegis_GA,1440,16,28,0,3,40,1,180,35,145,0,28,0,99999,0,0.0,30100,近战//c装甲//c护盾,0,310202,"200304,310201",2.27,,,,1.0,,,,,40,
11029,3,梦魇,梦魇,unknown,1140,12,46,32,2,20,1,180,0,0,0,24,0,99999,0,0.0,30100,近战,0,300316,200304,0.6,,,,1.0,,,,,36,
11030,3,残兽SWAP,双刀强化_20夏活,Brute_SWAP,1150,58,70,18,3,50,1,180,40,0,0,36,0,99999,0,0.0,30100,高威胁//c近战//c穿甲,0,900487,"200304,900488,119019",1.2,,,,1.0,,,,,95,
11031,4,钢狮SWAP,钢狮强化_20夏活,Nemeum_SWAP2,1520,42,180,0,7,35,1,180,20,60,0,24,0,99999,0,0.0,30100,高威胁//c装甲//c精准,0,900494,"200303,200304,900490,119019",1.23,,,,1.0,,,,,96,
11032,3,游荡难民,游荡难民（手枪）,refugee_hg,1140,18,46,40,5,50,1,180,0,0,0,35,0,99999,0,0.0,30100,普通,0,900795,200304,1.0,,,,1.0,,,,,97,
11033,3,暴走难民,暴走难民（冲锋枪）,refugee_smg,1680,26,32,35,5,40,1,180,0,0,0,70,0,99999,0,0.0,30100,普通,0,300317,200304,0.75,,,,1.0,,,,,98,
11034,3,龙骑兵SWAP,龙骑兵SWAP演出用,Dragoon_SWAP,1588,42,140,15,4,50,1,180,0,0,0,40,0,99999,0,0.0,100,高速,0,300318,200304,1.0,,,,1.0,,,,,12,
11104,3,切割者SWAP,切割者加强版_20夏活,Ripper_SWAP,1140,12,46,50,5,40,1,180,0,0,0,36,0,99999,0,0.0,30100,精英//c近战,0,900877,"900631,900632,900633,900634,900635,900874,900875,900876,900878,900879",1.0,,,,1.0,,,,,86,
11105,3,胡蜂SWAP,胡蜂强化版_20夏活,Vespid_SWAP,960,22,70,32,7,40,1,180,0,0,0,24,0,99999,0,0.0,30100,精英//c普通,0,900870,"900871,900872,900873",1.0,,,,1.0,,,,,94,
12050,5,弥诺陶洛斯,磁暴步枪,TeslaTrooper,19000,46,46,5,2,30,1,180,0,150,0,20,0,99999,0,0.0,30100,近战//c装甲//c免伤,0,403801,"200303,200304,403802,403803,200303,403903",1.74,221,"133,135,136,137,3918,8034",,1.0,,,,,73,
