id,name,description,rank,category,type,pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up,skill_effect_per,skill_effect,slow_down_percent,slow_down_rate,slow_down_time,dot_percent,dot_damage,dot_time,retire_mp,retire_ammo,retire_mre,retire_part,code,develop_duration,company,skill_level_up,fit_guns,equip_introduction,powerup_mp,powerup_ammo,powerup_mre,powerup_part,exclusive_rate,bonus_type,skill,passive_skill,max_level,auto_select_id,equip_group_id,is_addition,is_show,obtain_ids
17,M61穿甲弹,穿甲+<armor_piercing>//n$RF//cMG专用,2,2,5,,,,,,,,"45,55",,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,弹匣_穿甲弹_N,900,IOP,0,,IOP公司的M61型穿甲弹，标准的钢芯穿甲弹设计旨在击穿敌人的装甲造成有效伤害，步枪和机枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,5001,0,0,1,3001
18,M993穿甲弹,穿甲+<armor_piercing>//n$RF//cMG专用,3,2,5,,,,,,,,"65,75",,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,弹匣_穿甲弹_N,1800,IOP,0,,IOP公司的M993型穿甲弹，面对敌方更厚的装甲设置开发的钨合金穿甲弹旨在击穿敌人的装甲造成有效伤害，步枪和机枪可以装备。,0.08,0.5,0.3,0.3,1.0,armor_piercing:500,0,0,10,5001,0,0,1,"3001,3002,3028"
19,Mk169穿甲弹,穿甲+<armor_piercing>//n$RF//cMG专用,4,2,5,,,,,,,,"90,100",,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,弹匣_穿甲弹_N,2700,IOP,0,,FCA研究局协助IOP改进的Mk169型穿甲弹，特制的钨合金穿甲弹芯能击穿任何敌人的装甲，步枪和机枪可以装备。,0.08,0.5,0.3,0.3,1.0,armor_piercing:500,0,0,10,5001,0,0,1,"3001,3002,3028"
20,Mk211高爆穿甲弹,穿甲+<armor_piercing>//n$RF//cMG专用,5,2,5,,,,,,,,"110,120",,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,弹匣_穿甲弹_N,3300,IOP,0,,FCA研究局协助IOP改进的Mk211型高爆穿甲弹，通过钨合金弹头和高爆设计进一步提升穿甲后的杀伤效果，步枪和机枪可以装备。,0.08,0.5,0.3,0.3,1.0,armor_piercing:500,0,0,10,5001,0,0,1,"3001,3002,3028"
21,M1燃烧弹,,2,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,21,840,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6001,0,0,0,3000
22,M23燃烧弹,,3,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,22,1740,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6001,0,0,0,3000
23,Mk300燃烧穿甲弹,,4,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,23,2640,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6001,0,0,0,3000
24,Bs燃烧穿甲弹,,5,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,24,3240,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6001,0,0,0,3000
25,震撼弹,,2,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,25,1020,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6002,0,0,0,3000
26,震撼弹,,3,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,26,1920,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6002,0,0,0,3000
27,震撼弹,,4,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,27,2820,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6002,0,0,0,3000
28,震撼弹,,5,2,6,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,28,3420,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,6002,0,0,0,3000
29,FMJ高速弹,伤害+<pow>//n$AR专用,2,2,8,"2,2",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,0,0,弹匣_高速弹_N,1080,PMC,0,,FCA研究局的突击步枪专用FMJ高速弹，通过高压高速装药有效提升突击步枪输出能力，和MP社可靠的轻量化弹匣配套发送。,0.0,0.0,0.0,0.0,1.0,,0,0,0,8001,0,0,1,3001
30,JSP高速弹,伤害+<pow>//n$AR专用,3,2,8,"3,4",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,1,0,弹匣_高速弹_N,1980,PMC,0,,FCA研究局的突击步枪专用JSP高速弹，采用了实验型的弹头设计进一步提升突击步枪输出能力，和MP社可靠的轻量化弹匣配套发送。,0.15,0.6,0.38,0.23,1.0,pow:1000,0,0,10,8001,0,0,1,"3001,3002,3028"
31,JHP高速弹,伤害+<pow>//n$AR专用,4,2,8,"5,7",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,2,1,弹匣_高速弹_N,2880,PMC,0,,FCA研究局的突击步枪专用JHP高速弹，吸取了弹头设计经验拿出的改进型设计极大的提升了创伤效果，和MP社可靠的轻量化弹匣配套发送。,0.15,0.6,0.38,0.23,1.0,pow:800,0,0,10,8001,0,0,1,"3001,3002,3028"
32,APCR高速弹,伤害+<pow>//n$AR专用,5,2,8,"8,12",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,3,2,弹匣_高速弹_N,3480,PMC,0,,FCA研究局的突击步枪实验型APCR高速弹，结合了穿甲弹的设计思想，采用不同的思路提高杀伤效果。和MP社可靠的轻量化弹匣配套发送。,0.15,0.6,0.38,0.23,1.0,pow:700,0,0,10,8001,0,0,1,"3001,3002,3028"
33,芯片,,2,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,33,660,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,9001,0,0,0,3000
34,芯片,,3,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,0,0,34,1560,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,9001,0,0,0,3000
35,芯片,,4,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,2,0,1,35,2460,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,9001,0,0,0,3000
36,芯片,,5,3,9,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,3,0,2,36,3060,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,9001,0,0,0,3000
37,IOP T1外骨骼,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用,2,3,10,"-2,-1",,"6,8",,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,人形装备_外骨骼_N,720,IOP,0,,IOP公司的T1型早期外骨骼，通过外骨骼系统提升人形的灵活性。手枪，冲锋枪，部分突击步枪人形可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,10001,0,0,1,3001
38,IOP T2外骨骼,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用,3,3,10,"-4,-3",,"10,12",,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,0,2,人形装备_外骨骼_N,1620,IOP,0,,IOP公司的T2型标准外骨骼，进一步提高外骨骼性能和灵活性，手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.23,0.15,0.38,1.0,dodge:400,0,0,10,10001,0,0,1,"3001,3002,3028"
39,IOP T3外骨骼,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用,4,3,10,"-6,-5",,"14,16",,,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,0,3,人形装备_外骨骼_N,2520,IOP,0,,IOP公司的T3型改进外骨骼，通过技术改进增加灵活性的同时减少对射击稳定的影响，手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.23,0.15,0.38,1.0,dodge:400,0,0,10,10001,0,0,1,"3001,3002,3028"
40,IOP T4外骨骼,回避+<dodge> 伤害<pow>//n$HG//cSMG//cAR可用,5,3,10,"-8,-6",,"20,25",,,,,,,,,,,,0,0,0,0,0,0,0,0,4,2,0,4,人形装备_外骨骼_N,3120,IOP,0,,IOP公司的T4型定制外骨骼，通过针对人形特性特别定制的外骨骼，最大程度提升人形的行动能力，并且保证射击稳定性。手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.23,0.15,0.38,1.0,dodge:400,0,0,10,10001,0,0,1,"3001,3002,3028"
42,Type1防弹插板,护甲+<armor> 回避<dodge>//n$SG可用,3,3,11,,,"-1,-1",,,,,,"3,3",,,,,,0,0,0,0,0,0,0,0,0,0,2,2,人形装备_防弹插板_N,1560,IOP,0,,IOP公司提供的防护等级TypeI纤维插板，降低中弹后受到的伤害，提高战术人形的战场生存能力。,0.23,0.23,0.33,0.33,1.0,armor:400,0,0,10,11001,0,0,1,"3001,3002,3028"
43,Type2防弹插板,护甲+<armor> 回避<dodge>//n$SG可用,4,3,11,,,"-1,-1",,,,,,"4,5",,,,,,0,0,0,0,0,0,0,0,1,1,2,2,人形装备_防弹插板_N,2460,IOP,0,,IOP公司提供的防护等级TypeII复合插板，极大降低中弹后受到的伤害，增强战术人形的战场生存能力。,0.23,0.23,0.33,0.33,1.0,armor:400,0,0,10,11001,0,0,1,"3001,3002,3028"
44,Type3防弹插板,护甲+<armor> 回避<dodge>//n$SG可用,5,3,11,,,"-3,-2",,,,,,"6,8",,,,,,0,0,0,0,0,0,0,0,2,2,3,3,人形装备_防弹插板_N,3060,IOP,0,,IOP公司提供的防护等级TypeIII凯夫拉插板，能抵御大口径弹药的攻击，极大的增强战术人形的战场生存能力。,0.23,0.23,0.33,0.33,1.0,armor:400,0,0,10,11001,0,0,1,"3001,3002,3028"
45,勋章,,2,3,12,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,1,45,1200,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,12001,0,0,0,3000
46,勋章,,3,3,12,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,1,46,2100,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,12001,0,0,0,3000
47,勋章,,4,3,12,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,1,1,2,47,3000,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,12001,0,0,0,3000
48,勋章,,5,3,12,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,1,1,3,48,3600,,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,12001,0,0,0,3000
49,16Lab红外指示器,夜视能力+<night_view_percent><%>//n$RF//cMG不可用,5,1,4,,,,,,,,,,,,,"100,100",,0,0,0,0,0,0,0,0,3,0,4,2,配件_红外夜视仪_S,3120,16Lab,0,,16Lab特制的红外指示系统，简化了多余的功能和重量，真正实用的夜战设备，让人形可以发挥全部实力。只有冲锋枪，手枪，突击步枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,4001,0,0,1,3021
50,16Lab次口径穿甲弹,穿甲+<armor_piercing>//n$RF//cMG专用,5,2,5,,,,,,,,"120,120",,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,弹匣_穿甲弹_S,3420,16Lab,0,,16Lab刚刚定型的贫铀脱壳高爆穿甲弹。足以击穿任何类型的人形装甲并且造成严重伤害。步枪和机枪可以装备。,0.08,0.55,0.3,0.3,1.0,armor_piercing:500,0,0,10,5001,0,0,1,3022
51,高穿（不上）,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用,2,2,5,"-10,-5",,,,,,,"15,25",,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,51,960,IOP,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,5002,0,0,0,3000
52,高穿（不上）,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用,3,2,5,"-20,-10",,,,,,,"35,50",,,,,,,0,0,0,0,0,0,0,0,0,2,0,1,52,1860,IOP,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,5002,0,0,0,3000
53,高穿（不上）,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用,4,2,5,"-30,-15",,,,,,,"60,75",,,,,,,0,0,0,0,0,0,0,0,0,3,1,2,53,2760,IOP,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,5002,0,0,0,3000
54,高穿（不上）,穿甲+<armor_piercing>//n伤害<pow>//n$RF可用,5,2,5,"-40,-25",,,,,,,"85,100",,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,54,3360,IOP,0,,,0.0,0.0,0.0,0.0,1.0,,0,0,0,5002,0,0,0,3000
55,IOP X1外骨骼,回避+<dodge>//n$HG//cSMG//cAR可用,2,3,10,,,"2,3",,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,人形装备_外骨骼_X_N,720,IOP,0,,IOP公司的X1型早期外骨骼，通过外骨骼系统提升人形的灵活性。手枪，冲锋枪，部分突击步枪人形可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,10002,0,0,1,3001
56,IOP X2外骨骼,回避+<dodge>//n$HG//cSMG//cAR可用,3,3,10,,,"4,5",,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,0,2,人形装备_外骨骼_X_N,1620,IOP,0,,IOP公司的X2型标准外骨骼，进一步提高外骨骼性能和灵活性，手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.25,0.12,0.38,1.0,dodge:800,0,0,10,10002,0,0,1,"3001,3002,3028"
57,IOP X3外骨骼,回避+<dodge>//n$HG//cSMG//cAR可用,4,3,10,,,"6,7",,,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,0,3,人形装备_外骨骼_X_N,2520,IOP,0,,IOP公司的X3型改进外骨骼，通过技术改进增加灵活性的同时减少对射击稳定的影响，手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.25,0.12,0.38,1.0,dodge:900,0,0,10,10002,0,0,1,"3001,3002,3028"
58,IOP X4外骨骼,回避+<dodge>//n$HG//cSMG//cAR可用,5,3,10,,,"8,12",,,,,,,,,,,,0,0,0,0,0,0,0,0,4,2,0,4,人形装备_外骨骼_X_N,3120,IOP,0,,IOP公司的X4型定制外骨骼，通过针对人形特性特别定制的外骨骼，最大程度提升人形的行动能力，并且保证射击稳定性。手枪，冲锋枪，部分突击步枪人形可以装备。,0.3,0.25,0.12,0.38,1.0,dodge:700,0,0,10,10002,0,0,1,"3001,3002,3028"
59,国家竞赛穿甲弹,穿甲+<armor_piercing> 射速+<rate>//n$春田专用,5,2,19,,,,,"1,8",,,"120,130",,,,,,,0,0,0,0,0,0,0,0,0,4,2,3,弹匣_穿甲弹_Springfield,3420,NMS,0,36,20世纪早期的遗留物品，国家竞赛特制春田步枪所发射的比赛级弹药，春田专用。,0.08,0.55,0.3,0.3,3.0,"rate:300,armor_piercing:500",0,0,10,19001,0,0,1,3037
60,.300BLK高速弹,伤害+<pow> 射速<rate>//n$ST AR-15专用,5,2,19,"20,25",,,,"-10,-10",,,,,,,,,,0,0,0,0,0,0,0,0,0,5,3,2,弹匣_高速弹_AR15,3420,16Lab,0,"57,20057",16Lab特制的.300 Blackout高速弹，更适合配合消音器使用，ST AR-15专用。,0.15,0.6,0.38,0.23,3.0,pow:400,0,0,10,19002,0,0,1,3039
61,Titan火控芯片,弹量+<bullet_number_up> 伤害<pow>//n射速<rate>$M1918专用,5,3,20,"-4,-2",,,,"-8,-1",,,,,,,,,"3,4",0,0,0,0,0,0,0,0,0,5,3,2,人形装备_战术核芯片_M1918,3420,16Lab,0,"75,20075",全面提升特定机枪火力输出的火控芯片，不知道为什么看起来有点眼熟，M1918专用。,0.1,0.1,0.1,0.55,3.0,bullet_number_up:500,0,0,10,20001,0,0,1,3038
62,GSG UX外骨骼,回避+<dodge> 伤害<pow>//n$MP5专用,5,3,20,"-10,-6",,"30,45",,,,,,,,,,,,0,0,0,0,0,0,0,0,4,2,0,4,人形装备_外骨骼_MP5,3120,16Lab,0,"20026,26",针对MP5特调的专用高性能外骨骼，提升其回避机动能力到极限，MP5专用。,0.3,0.25,0.12,0.38,3.0,dodge:300,0,0,10,20002,0,0,1,3040
63,AC1消音器,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用,2,1,13,,,"2,2",,,,"4,5",,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,配件_消音器_N,420,AC,0,,AC公司生产的通用消音器，对高战术人形隐蔽性有帮助，机枪及霰弹枪外可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,13001,0,0,1,3001
64,AC2消音器,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用,3,1,13,,,"3,3",,,,"6,8",,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,配件_消音器_N,1320,AC,0,,AC公司生产的改进型消音器，提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。,0.55,0.23,0.23,0.23,1.0,"dodge:400,critical_percent:300",0,0,10,13001,0,0,1,"3001,3002,3028"
65,AC3消音器,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用,4,1,13,,,"4,5",,,,"9,11",,,,,,,,0,0,0,0,0,0,0,0,3,1,1,1,配件_消音器_N,2220,AC,0,,AC公司生产的高级通用消音器，有效提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。,0.55,0.23,0.23,0.23,1.0,"dodge:400,critical_percent:300",0,0,10,13001,0,0,1,"3001,3002,3028"
66,AC4消音器,暴击概率+<critical_percent><%>//n回避+<dodge>$MG//cSG不可用,5,1,13,,,"6,8",,,,"12,15",,,,,,,,0,0,0,0,0,0,0,0,4,2,2,2,配件_消音器_N,2820,AC,0,,AC公司为特种作战特别生产的消音器，极大提高战术人形隐蔽性，降低中弹几率，机枪及霰弹枪外可以装备。,0.55,0.23,0.23,0.23,1.0,"dodge:300,critical_percent:350",0,0,10,13001,0,0,1,"3001,3002,3028"
67,IOP大容量弹链箱,弹量+<bullet_number_up> 回避<dodge>//n$MG可用,4,3,14,,,"-1,-1",,,,,,,,,,,"1,1",0,0,0,0,0,0,0,0,0,0,0,4,人形装备_弹链箱_N,2820,IOP,0,,IOP公司为机枪战术人形特制的大容量弹链箱，赋予机枪更持久的火力输出。,0.1,0.1,0.1,0.55,1.0,bullet_number_up:2000,0,0,10,14001,0,0,1,"3001,3002,3028"
68,IOP极限弹链箱,弹量+<bullet_number_up> 回避<dodge>//n$MG可用,5,3,14,,,"-3,-2",,,,,,,,,,,"2,3",0,0,0,0,0,0,0,0,1,1,1,5,人形装备_弹链箱_N,3420,IOP,0,,IOP公司为机枪战术人形特制的超大容量弹链箱，赋予机枪无与伦比的火力输出。,0.1,0.1,0.1,0.55,1.0,bullet_number_up:700,0,0,10,14001,0,0,1,"3001,3002,3028"
69,ILM空尖弹,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用,2,2,6,"1,1",,,,,,,"-1,-1",,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,弹匣_状态弹_空尖弹_N,780,ILM,0,,ILM生产的空尖短弹，对无甲单位提升杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,6003,0,0,1,3001
70,ILM空尖弹,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用,3,2,6,"2,3",,,,,,,"-3,-2",,,,,,,0,0,0,0,0,0,0,0,2,2,0,1,弹匣_状态弹_空尖弹_N,1680,ILM,0,,ILM生产的空尖短弹，对无甲单位有更高的杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。,0.48,0.48,0.08,0.25,1.0,pow:700,0,0,10,6003,0,0,1,"3001,3002,3028"
71,ILM空尖弹,伤害+<pow> 穿甲<armor_piercing>//n$HG//cSMG可用,4,2,6,"4,6",,,,,,,"-6,-4",,,,,,,0,0,0,0,0,0,0,0,3,3,0,1,弹匣_状态弹_空尖弹_N,2580,ILM,0,,ILM生产的空尖短弹，对无甲单位有很高的杀伤力，但面对装甲缺乏穿透力，手枪和冲锋枪可以装备。,0.48,0.48,0.08,0.25,1.0,pow:500,0,0,10,6003,0,0,1,"3001,3002,3028"
