obtain_id,description,detail
1804,     -2018年4月签到奖励,0
1805,     -2018年5月签到奖励,0
1806,     -2018年6月签到奖励,0
1807,     -2018年7月签到奖励,0
1808,     -2018年8月签到奖励,0
1809,     -2018年9月签到奖励,0
1810,     -2018年10月签到奖励,0
1811,     -2018年11月签到奖励,0
1812,     -2018年12月签到奖励,0
1901,     -2019年1月签到奖励,0
1902,     -2019年2月签到奖励,0
1903,     -2019年3月签到奖励,0
1904,     -2019年4月签到奖励,0
1905,     -2019年5月签到奖励,0
1906,     -2019年6月签到奖励,0
1907,     -2019年7月签到奖励,0
1908,     -2019年8月签到奖励,0
1909,     -2019年9月签到奖励,0
1910,     -2019年10月签到奖励,0
1911,     -2019年11月签到奖励,0
1912,     -2019年12月签到奖励,0
2001,     -2020年1月签到奖励,0
2002,     -2020年2月签到奖励,0
2003,     -2020年3月签到奖励,0
2004,     -2020年4月签到奖励,0
2005,     -2020年5月签到奖励,0
2006,     -2020年6月签到奖励,0
2007,     -2020年7月签到奖励,0
2008,     -2020年8月签到奖励,0
2009,     -2020年9月签到奖励,0
2010,     -2020年10月签到奖励,0
2011,     -2020年11月签到奖励,0
2012,     -2020年12月签到奖励,0
2013,     -2021年1月签到奖励,0
2014,     -2021年2月签到奖励,0
2015,     -2021年3月签到奖励,0
2016,     -2021年4月签到奖励,0
2017,     -2021年5月签到奖励,0
2018,     -2021年6月签到奖励,0
2019,     -2021年7月签到奖励,0
2020,     -2021年8月签到奖励,0
2021,     -2021年9月签到奖励,0
2022,     -2021年10月签到奖励,0
2023,     -2021年11月签到奖励,0
2024,     -2021年12月签到奖励,0
3000,暂时不可获取,0
3001,可通过装备制造获取,0
3002,可通过装备重型制造获取,0
3003,可通过机密商店兑换,0
3004,2021年1月签到奖励,0
3005,2021年2月签到奖励,0
3006,2021年3月签到奖励,0
3007,2021年4月签到奖励,0
3008,2021年5月签到奖励,0
3009,2021年6月签到奖励,0
3010,2021年7月签到奖励,0
3011,2021年8月签到奖励,0
3012,2021年9月签到奖励,0
3013,2021年10月签到奖励,0
3014,2021年11月签到奖励,0
3015,2021年12月签到奖励,0
3016,可通过心智升级获取,0
3017,<失温症>坠入兔洞积分榜奖励,0
3018,<深层映射>虚数迷宫积分榜奖励,0
3019,灯火管制Ⅱ-任务奖励,0
3020,灯火管制Ⅳ-任务奖励,0
3021,七阶谜题-任务奖励,0
3022,层先调换-任务奖励,0
3023,薄暮骑士-任务奖励,0
3024,世上的最后一场雨-任务奖励,0
3025,<塌缩点>马蜂窝积分榜奖励,0
3026,<有序紊流>飓风营救积分榜奖励,0
3027,<异构体>混沌落幕积分榜奖励,0
3028,前进营地中途奖励,0
3029,<裂变链接>终焉花海积分榜奖励,0
3030,<偏振光>谜境守卫积分榜奖励,0
3031,<双联乱数>积分榜奖励,0
3032,0:07纽约公共图书馆∞-任务奖励,0
3033,0:50暗区∞-任务奖励,0
3034,<镜像论>积分榜2400000积分奖励,0
3035,<飓风营救PLUS>积分榜1680000积分奖励,0
3036,<熵减焓增>积分榜1280000积分奖励,0
3037,可通过【夜战1-4】获得,0
3038,可通过【夜战2-4】获得,0
3039,可通过【夜战3-4】获得,0
3040,可通过【夜战4-4】获得,0
3041,可通过【夜战5-4】获得,0
3042,可通过【夜战6-4】获得,0
3043,可通过【夜战7-4】获得,0
3044,可通过【夜战8-4】获得,0
3045,可通过【夜战9-4】获得,0
3046,可通过【夜战10-4】获得,0
3047,限时活动获得,0
3048,常驻活动【深层映射】中获得,0
3049,常驻活动【塌缩点】中获得,0
3050,限时活动<姜饼收集大作战>代币兑换,0
3051,限时活动<彩蛋收集大作战>代币兑换,0
3052,限时活动<荣耀日>代币兑换,0
3053,限时活动<瓦尔哈拉>代币兑换,0
3054,限时活动<雪夜异杀狂想曲>代币兑换,0
3055,限时活动<照相馆谜题>代币兑换,0
3056,限时活动<碧海秘闻>代币兑换,0
3057,限时活动<梦间剧>代币兑换,0
3058,限时活动<茧中蝶影>代币兑换,0
3059,限时活动<暗金潮>中获得,0
3060,限时活动<暗金潮>代币兑换,0
3061,限时活动<捩浪人>代币兑换,0
3062,限时活动<小邪神前线>代币兑换,0
3063,限时活动<一币之遥>代币兑换,0
3064,2022年1月签到奖励,0
3065,2022年2月签到奖励,0
3066,2022年3月签到奖励,0
3067,2022年4月签到奖励,0
3068,2022年5月签到奖励,0
3069,2022年6月签到奖励,0
3070,2022年7月签到奖励,0
3071,2022年8月签到奖励,0
3072,2022年9月签到奖励,0
3073,2022年10月签到奖励,0
3074,2022年11月签到奖励,0
3075,2022年12月签到奖励,0
3076,<静风点>积分榜1480000积分奖励,0
3077,限时活动<焙炒爱意>代币兑换,0
