id,name,spine_code,scale,ai,explore_tag
3035,长耳鸮,pet_bird5,90,3023,1003
3036,金刚鹦鹉,pet_bird3,90,3024,1003
3037,白头鹰,pet_bird1,90,3025,1003
3038,旗袍格琳娜*,Kalina_PigYear,100,3026,
3039,情书加急特种鸽,bird_V,90,3021,1003
3040,巧克力猫*,ChocolateCat,100,3027,
3041,宝箱怪*,box_monster,120,3028,
3042,投影UMP40*,FPHD_UMP40,100,3029,
3043,安娜幽灵*,Anna,100,3030,
3044,斑点仓鼠,pet_sp6,100,3035,1004
3045,鳄龟,pet_sp1,100,3031,1004
3046,雪貂,pet_sp7,100,3036,1004
3047,变色龙,pet_sp3,100,3033,1004
3048,无辜海豹,pet_sp2,100,3032,1004
3049,巴吉度犬,pet_sp4,68,3034,1002
3050,黑猫福尔,Fore,68,3037,1001
3051,跩柴犬,Rad_Shiba,68,3038,1002
3052,拼装格琳娜*,Kalina_toy,100,3039,
3053,搜救巴哥犬,pet_dogdrive,68,2208,1002
3054,格琳娜美人鱼*,kalina_mermaid,100,3040,
3055,撒豆驱鬼二五仔*,Onmyoji,80,3041,
3056,制霸校园二五仔*,zhiba_arch,83,3042,
3057,定制橘喵救生员,pet_cat7,68,2100,1001
3058,流浪诗人吉他狗,dog_Hallowmas,68,2200,1002
3059,M4和M4*,hallo2019_06,100,3015,
3060,太空绅士狗,pet_dog9,68,2201,1002
3061,赛车娘格琳娜*,NPC_kalina_racing,100,3001,
3062,圣诞牧礼犬,pet_dog10,68,2200,1002
3063,礼物喷洒机*,Xmas19_04,68,3043,
3064,斯文败类格琳娜*,Kalina_zy2020,100,3001,
3065,古典美人格琳娜*,Kalina_newyear2020,100,3001,
3066,婚礼神父小涅托*,nietuo_2020WhiteV,100,3044,
3067,纯白金刚鹦鹉,bird_2020V,100,3024,1003
3068,小恐龙建筑师*,Architect_shuiyi,100,3046,
3069,周年摄影直升机*,helicopter_2020_Anni,100,3047,
3070,卡尔卡诺M91/38匹诺曹*,CarcanoM91_Pinocchio,100,3048,
3071,海滩巡逻犬,dog_beach,68,2209,1002
3072,钓鱼铁血狗*,dog_fishman,100,3049,
3073,盔甲格琳娜*,armor_Kalina,100,3050,
3074,江户建筑师*,Architect_Edo,100,3051,
3075,小丑发条犬,halloween2020_dog,68,2210,1002
3076,万圣僵尸*,Halloween2020_Zombie1,100,3052,
3077,万圣僵尸*,Halloween2020_Zombie2,100,3052,
3078,特工池boss*,Agent2020_BossKing,100,3053,
3079,圣诞节雕像*,Christmas2020_deco_statue,100,3008,
3080,新年狮子*,NewYear2021_Lion,68,3006,
3081,春节狮子*,2021SpringFes_Lion,100,3054,
3082,白情建筑师*,2021WhiteV_Architect,100,3001,
3083,颁奖无人机*,Raverbury_medalDrone,100,3008,
3084,周年庆热气球*,Anniversary2021_balloon,100,3008,
3085,黑尾先生,2021Summer_SeaMew,100,3024,1003
3086,单眼仔,Dropkick_CyclopsChanPet,68,3055,1004
3087,豆豆仔,Dropkick_BeansEmissaryPet,68,3056,1004
3088,贝特,Dropkick_BethPet,68,3001,1004
3089,泳装铁血狗*,Summer2021_deco_DinergateSP,100,3057,
3090,斗牛犬贝利,2021SummerActivity_dogPet,68,3019,1002
3091,理发师格林娜*,2021Halloween_Kalina,100,3058,
3092,圣诞麋鹿,Christmas2021_DeerPet,120,3001,1004
3093,摇旗铁血狗*,WhiteV2022_ant,68,3059,
3094,服务员铁血狗*,Anniversary2022_waiterAnt,55,3000,
3095,网球格林娜*,Children2022_tennisKalina,100,3060,
