id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction
50,1,50,Component,通用配件,人形们外出执行任务时顺便回收的旧配件，稍加清洗和加工就能用来强化装备。格琳娜和指挥官对此非常满意，并表扬了提议进行这种行动的人形，但好像并没有给她加薪。,1,26,,,0,0,"6,5",可在研发-装备强化中提供装备开发值。
51,1,1,Fire_Control_Component,新型火控元件,针对拥有足够拓展空间的高级人形，IOP特别研制了此款强化元件。还在调试期，数量非常有限。,5,26,,,9999,0,6,可用于高星级人形的心智升级。
52,5,1,签到枪容错,专属装备:神秘装备,专属装备:神秘装备,5,0,,,0,0,,
53,1,1,FlightChess_BonusTicket,扭蛋券,飞行棋商店抽奖道具,1,0,,,0,0,,
100,3,1,Medal_QuarterEvent,精英狮鹫作战勋章,表彰该指挥官及其麾下的战术人形建立的独一无二的卓越功勋，“放心，不会再有下一次了，就像世界大战一样。”,1,0,,,0,0,,
101,3,2,Medal_RankBattle,战斗排行勋章,表彰该指挥官及其麾下的战术人形在其他区域立下的卓越战功，“战争无处不在，但我们不曾退缩，您知道理由的。”,1,0,,,0,0,,
102,3,3,Medal_RankCollection,收集排行勋章,表彰该指挥官在各类收集工作中的踊跃表现，“断？舍？离？不，我们知道，您全都要。”,1,0,,,0,0,,
103,3,4,Medal_Challenger,挑战者勋章,表彰该指挥官在丰富的活动中表现夺目，“辛苦您了，指挥官，现在来几场演习放松一下吧。”,1,0,,,0,0,,
104,3,5,Medal_Collaboration,精英奇妙冒险勋章,纪念该指挥官及其麾下的战术人形达成的奇妙冒险，“虚拟的事物并不一定是错误的，但内心的快乐一定是真实的。”,1,0,,,0,0,,
105,3,6,Medal_SangvisBattle,铁鹫同归作战勋章,纪念指挥官及其收归麾下的融合势力在活动中共同奋战达成的成就，“战绩和考试成绩是两回事，该补考的一个都别想跑！”,1,0,,,0,0,,
106,3,7,Medal_Chess,拉弗伯雷勋章,表彰该指挥官在其他桌面模拟演练中同样表现出色，“您的表现将为我们积累下丰富的实战经验！”,1,0,,,0,0,,
107,3,8,Medal_2022winter,止风者勋章,表彰该指挥官及其麾下战术人形在“静风点”活动中的卓越战绩，“风暴袭来之时，您就是这场风暴的静风点。”,1,0,,,0,0,,
108,3,9,Medal_2022winter_rank,地狱行者勋章,表彰该指挥官及其麾下战术人形在“静风点”积分模式中的耀眼表现，“指挥官……您是把阿佛那斯的物资都搬空了吗？”,1,0,,,0,0,,
109,3,10,Medal_Theater8th,第八战区开拓者勋章,表彰该指挥官及其麾下战术人形在第八期战区通过不懈努力收获的瞩目积分，“怒涛冲天，海况汹涌，有人选择静待时机，但您依旧逆浪前行。”,1,0,,,0,0,,
110,3,11,Medal_Theater8th_rank,第八战区征服者勋章,表彰该指挥官及其麾下战术人形在第八期战区立下的卓越战功，“无数强者在风暴中陨落，但您可以停下这场无尽的风暴。”,1,0,,,0,0,,
111,3,12,Medal_2019winter_re_rank,混沌撕裂者勋章,表彰该指挥官及其麾下的战术人形在异构体积分模式“混沌落幕+”中的赫赫战功，“我的太阳，请照亮我，高举双手，撕裂黑暗。”,1,0,,,0,0,,
301,1,1,CentreDataBGM71,中枢数据:BGM-71,重装部队BGM-71的数据碎片，-“报告，目标区域有自己人哦！” -“哎呀……那就祝她们好运吧！”,1,0,,,0,0,,
302,1,1,CentreDataAGS30,中枢数据:AGS-30,重装部队AGS-30的数据碎片，-“其实……我们每个人都有一副眼镜。” -“没错，只是我的便携性不太好啦！”,1,0,,,0,0,,
303,1,1,CentreData2B14,中枢数据:2B14,重装部队2B14的数据碎片，-“你还记得这一枚是榴弹还是昨晚酒会上填好的烟花吗？” -“不管是什么，总会有人想看吧？”,1,0,,,0,0,,
304,1,1,CentreDataM2,中枢数据:M2,重装部队M2的数据碎片，-“这个角度……真的没问题吗？” -“有问题的不是我，是数学。”,1,0,,,0,0,,
305,1,1,CentreDataAT4,中枢数据:AT4,重装部队AT4的数据碎片,1,0,,,0,0,,
306,1,1,CentreDataQLZ04,中枢数据:QLZ-04,重装部队QLZ-04的数据碎片，-“成功抵达目标地点，开始装填弹药……嗯？怎么塞不进去？”-“都说了，出发前不要和那群醉鬼喝酒啊！”,1,0,,,0,0,,
307,1,1,CentreDataMK153,中枢数据:Mk 153,重装部队Mk 153的数据碎片，-“看得到目标地点吗？”-“看不到，但这时候只要相信指令就好了。”,1,0,,,0,0,,
308,1,1,CentreDataPP93,中枢数据:PP93,重装部队PP93的数据碎片，-“提问！早早在海边登陆的我们叫海藻，那么——”-“海滨目标区域的敌人叫海豹，这冷笑话你都讲几百遍了！”,1,0,,,0,0,,
501,2,5,Mp,人力,基础资源之一//c为人形行动投入的能源。,1,0,,,300000,0,,
502,2,6,Ammo,弹药,基础资源之一//c为人形作战提供的弹药。,1,0,,,300000,0,,
503,2,7,Mre,口粮,基础资源之一//c维持人形生存的补给。,1,0,,,300000,0,,
504,2,8,Part,零件,基础资源之一//c组装人形所需的部件。,1,0,,,300000,0,,
505,2,9,Gem,钻石,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,1,0,,,0,0,,
506,1,1,Battery,电池,“作为电池其实有点大，但是电权保护组织称，电池也有权拥有梦想。”,1,17,,,9999,0,"17,6,5",可用于宿舍-附属房间中设施的升级和日常使用。
507,4,1,Exp,全局经验,全局经验,1,0,,,0,0,,
508,2,12,friend_points,友情点数,与朋友们互动积累下来的成就点数。不涉及实际利益的友情纯粹也脆弱。“哦？你也是来自世纪末的Friends吗？”,1,16,,,0,0,"17,18,5",可在友情商店内兑换名片、头像、基地背景等奖励。
509,2,1,FairyCommand,妖精指令,消耗指令，可以命令妖精使用技能，“有人猜测指令的次数限制仅仅是因为妖精们不想多干活。”,1,0,,,0,0,,
510,2,1,BPrevivalpill,模拟作战超导动能,主要用于进行部分模拟作战，通过商城获得，“有限的购买加无限的消费，这就是市场~”（每份商品单价将较上一份上涨20钻石，该单价每日零点重置）,1,0,,,0,0,1,
511,4,1,Exp,指挥官经验,指挥官经验,1,0,,,0,0,,
512,1,1,sangvis_core1,超星内核,从初始2、3星融合势力单位身上落下的闪亮星辰，物以稀为贵。,1,32,,,0,0,7,可在收归行动-内核商店中兑换高级道具。
513,1,1,sangvis_core2,暗星内核,从初始1星融合势力单位身上落下的黯淡星辰，平凡的物品也有作用。,1,33,,,0,0,7,可在收归行动-内核商店中兑换道具。
514,1,1,sangvis_advance_item,开发培养皿,以太开发的必要物品，培育事物必须的温床。,1,27,,,0,0,"20,19,22",可在工厂-强化&开发中对融合势力单位进行以太开发。
515,1,1,sangvis_skill_coin1,初级训练密钥,为融合势力单位编写的初级技能训练指南，初步练习是必要的。“这就是让我们打格里芬便宜靶子的理由？”,1,28,,,0,0,"20,19,22",可在研发-技能训练中为融合势力单位提供技能初级训练。
516,1,1,sangvis_skill_coin2,高级训练密钥,为融合势力单位编写的高级技能训练指南，相信的心就是学会的魔法。“就算你这么说，这个程序也太难了！”,1,29,,,0,0,"20,19,22",可在研发-技能训练中为融合势力单位提供技能高级训练。
517,1,1,Special_Equip_Ticket,指定装备契约,委托制造指定类型装备的契约，每一份契约可用于制造一个指定类型的装备。,1,-40,,,0,0,2,可在工厂-装备制造中执行I.O.P特殊订单。
518,1,1,sangvis_skill_coin2,mission_skill掉落/消耗代币,mission_skill掉落/消耗代币-测试条目,1,0,,,0,0,,
519,1,1,general_data_unit,重装通用数据,一些重装部队通用的零件，似乎是从战场回收的。节约是格里芬的传统美德。,1,-30,,,0,0,9,可在重装解锁、晋升时替代指定数据的通用数据。
520,1,520,Grenade,破片手雷,破片拥有很好的范围杀伤效果，尤其针对那些躲在掩体后面的家伙。（暗金潮活动限定）,1,-35,,,0,0,2,
521,1,521,Flashbang,闪光弹,闪光手雷会对目标造成致盲及致聋效果，但别忘了闭上自己的眼睛。（暗金潮活动限定）,1,-36,,,0,0,2,
522,1,522,Machine_Gun_Tower,机枪塔,能够部署在战场上的自动武器，可攻击邻近敌人直到被摧毁或电池耗尽为止。（暗金潮活动限定）,1,-37,,,0,0,2,
523,1,1,GK,G&K,G&K,1,0,,,0,0,,
524,1,1,golyatplg_d,投掷式歌利亚,便携式爆炸机器人，比起原型伤害力降低、灵活性增加。被投掷后会在定点爆炸，打乱敌方原定的部署。（镜像论活动安洁视角战役限定）,1,-38,,,0,0,2,
525,1,1,Quick,快速自律契约,激发人形的最大潜能，使战斗能够迅速结束。格里芬战术，唯快不破！,1,7,,,0,0,"23,5,2",可立即完成自律作战。
601,1,1,DressUpRandomColoring,无限惊喜染色剂,没有人能知道自己想像中的款式是不是真的合适，让随机性带来惊喜吧。,1,24,,,0,0,"1,2",可对指挥官服装进行一次随机染色。
602,1,1,DressUpSpecifyColoring,色彩指定染色剂,别再为十连也抽不出自己想要的款式沮丧了，自己想要的花纹就该掌握在自己手里！,1,25,,,0,0,2,可对指挥官服装进行一次指定染色。
603,1,1,sangvis_material1_coin1,模拟作战基础势能,消耗基础势能可以参与融合演习，获得融合势力提升所需材料。,1,0,,,0,1,,
604,1,1,sangvis_gacha_coin1,电子脉冲,电子脉冲,1,0,,,0,1,,
605,1,1,sangvis_gacha_coin3,协力委托书,虽然我们的经验也有可取之处，但毕竟火神重工才是专业的收归人员。,1,31,,,0,0,"1,5,3,2",可在收归行动中委托火神重工在分区所有剩余单位中进行一次收归。
606,1,1,sangvis_exchange_item,转移触媒,能够将经验与拓展空间全部转移给另一个单位的触媒。“一夜醒来，我又再次一无所有”。,1,34,,,0,0,19,可在协议控制中心-对称灌输驱动器中交换两个相同融合势力单位的培养度。
1001,5,1,profilePic_rank2_AAT-52,AAT-52头像,AAT-52头像,1,0,,,0,0,,
1002,5,1,profilePic_rank2_G43,G43头像,G43头像,1,0,,,0,0,,
1003,5,1,profilePic_rank2_IDW,IDW头像,IDW头像,1,0,,,0,0,,
1004,5,1,profilePic_rank2_L85A1,L85A1头像,L85A1头像,1,0,,,0,0,,
1005,5,1,profilePic_rank2_M1911,M1911头像,M1911头像,1,0,,,0,0,,
1006,5,1,profilePic_rank2_PPSH-41,PPSH-41头像,PPSH-41头像,1,0,,,0,0,,
1007,5,1,profilePic_rank2_MAB38,伯莱塔38型头像,伯莱塔38型头像,1,0,,,0,0,,
1008,5,1,profilePic_rank3_AK-47,AK-47头像,AK-47头像,1,0,,,0,0,,
1009,5,1,profilePic_rank3_Glock17,格洛克17头像,格洛克17头像,1,0,,,0,0,,
1010,5,1,profilePic_rank3_PM,马卡洛夫头像,马卡洛夫头像,1,0,,,0,0,,
1011,5,1,profilePic_rank3_Vz61,蝎式头像,蝎式头像,1,0,,,0,0,,
1012,5,1,profilePic_rank3_SPS,谢尔久科夫头像,谢尔久科夫头像,1,0,,,0,0,,
1013,5,1,profilePic_rank4_AR15,ST AR-15头像,ST AR-15头像,1,0,,,0,0,,
1014,5,1,profilePic_rank4_M1918,M1918头像,M1918头像,1,0,,,0,0,,
1015,5,1,profilePic_rank4_mp5,MP5头像,MP5头像,1,0,,,0,0,,
1016,5,1,profilePic_rank4_PTRD,PTRD头像,PTRD头像,1,0,,,0,0,,
1017,5,1,profilePic_rank4_ump9,UMP9头像,UMP9头像,1,0,,,0,0,,
1018,5,1,profilePic_rank5_G11,G11头像,G11头像,1,0,,,0,0,,
1019,5,1,profilePic_rank5_OTs14,OTs-14头像,OTs-14头像,1,0,,,0,0,,
1020,5,1,profilePic_rank5_KP31,索米头像,索米头像,1,0,,,0,0,,
1021,5,2,card_rank1_iop,IOP,背景:IOP,1,0,,,0,0,,
1022,5,2,card_rankJ_aegis,AEGIS,背景:AEGIS,1,0,,,0,0,,
1023,5,2,card_rankK_jupiter,Jupiter,背景:Jupiter,1,0,,,0,0,,
1024,5,2,card_rankK_sop2,SOPMODII,背景:SOPMODII,1,0,,,0,0,,
1025,5,2,card_rankA_kp31,耳朵山的雪妖精,背景：耳朵山的雪妖精,1,0,,,0,0,,
1026,5,1,profilePic_rank0_anniv1_M4,M4A1周年庆头像,M4A1周年庆头像,1,0,,,0,0,,
1027,5,1,profilePic_rank0_anniv1_ar15,ST AR-15周年庆头像,ST AR-15周年庆头像,1,0,,,0,0,,
1028,5,1,profilePic_rank0_anniv1_m16,M16A1周年庆头像,M16A1周年庆头像,1,0,,,0,0,,
1029,5,1,profilePic_rank0_anniv1_sop2,M4 SOPMOD II周年庆头像,M4 SOPMOD II周年庆头像,1,0,,,0,0,,
1030,5,2,card_rankA_anniv1,1周年纪念名片,1周年纪念名片,1,0,,,0,0,,
1031,5,1,profilePic_rank3_BrenMK,布伦头像,布伦头像,1,0,,,0,0,,
1032,5,1,profilePic_rank3_FMG9,FMG-9头像,FMG-9头像,1,0,,,0,0,,
1033,5,1,profilePic_rank3_KS23,KS-23头像,KS-23头像,1,0,,,0,0,,
1034,5,1,profilePic_rank3_M9,M9头像,M9头像,1,0,,,0,0,,
1035,5,1,profilePic_rank3_M1919A4,M1919A4头像,M1919A4头像,1,0,,,0,0,,
1036,5,1,profilePic_rank3_MAC10,MAC-10头像,MAC-10头像,1,0,,,0,0,,
1037,5,1,profilePic_rank3_MicroUZI,微型乌兹头像,微型乌兹头像,1,0,,,0,0,,
1038,5,1,profilePic_rank3_OTs12,OTs-12头像,OTs-12头像,1,0,,,0,0,,
1039,5,1,profilePic_rank3_PPS43,PPS-43头像,PPS-43头像,1,0,,,0,0,,
1040,5,1,profilePic_rank3_RMB93,RMB-93头像,RMB-93头像,1,0,,,0,0,,
1041,5,1,profilePic_rank3_StenMK2,司登MkⅡ头像,司登MkⅡ头像,1,0,,,0,0,,
1042,5,1,profilePic_rank3_SV98,SV-98头像,SV-98头像,1,0,,,0,0,,
1043,5,1,profilePic_rank4_G36,G36头像,G36头像,1,0,,,0,0,,
1044,5,1,profilePic_rank4_M1873,柯尔特左轮头像,柯尔特左轮头像,1,0,,,0,0,,
1045,5,1,profilePic_rank4_SPAS12,SPAS-12头像,SPAS-12头像,1,0,,,0,0,,
1046,5,1,profilePic_rank4_SVD,SVD头像,SVD头像,1,0,,,0,0,,
1047,5,1,profilePic_rank4_UMP45,UMP45头像,UMP45头像,1,0,,,0,0,,
1048,5,1,profilePic_rank5_KSG,KSG头像,KSG头像,1,0,,,0,0,,
1049,5,1,profilePic_rank5_M99,M99头像,M99头像,1,0,,,0,0,,
1050,5,1,profilePic_rank5_RO635,RO635头像,RO635头像,1,0,,,0,0,,
1051,5,1,card_rank10_manticore,Manticore,背景:Manticore,1,0,,,0,0,,
1052,5,1,card_rank2_vespidripper,Vespid&Ripper,背景:Vespid&Ripper,1,0,,,0,0,,
1053,5,1,card_rankJ_m4a1,M4A1,背景:M4A1,1,0,,,0,0,,
1054,5,1,card_rankJ_spp1,SPP-1,背景:SPP-1,1,0,,,0,0,,
1055,5,1,card_rankQ_dreamer,梦想家,背景:梦想家,1,0,,,0,0,,
1056,5,1,profilePic_rank0_deepdive_ump40,UMP40头像,UMP40头像,1,0,,,0,0,,
1057,5,1,card_rankA_deepdive,名片:深层映射,名片:深层映射,1,0,,,0,0,,
1058,5,1,profilePic_rank2_FNP-9,FNP-9头像,FNP-9头像,1,0,,,0,0,,
1059,5,1,profilePic_rank2_G3,G3头像,G3头像,1,0,,,0,0,,
1060,5,1,profilePic_rank2_LWMMG,LWMMG头像,LWMMG头像,1,0,,,0,0,,
1061,5,1,profilePic_rank2_M3,M3头像,M3头像,1,0,,,0,0,,
1062,5,1,profilePic_rank2_NagantM1895,纳甘左轮头像,纳甘左轮头像,1,0,,,0,0,,
1063,5,1,profilePic_rank2_SpectreM4,幽灵M4头像,幽灵M4头像,1,0,,,0,0,,
1064,5,1,profilePic_rank2_SVT-38,SVT-38头像,SVT-38头像,1,0,,,0,0,,
1065,5,1,profilePic_rank3_M1Garand,M1加兰德头像,M1加兰德头像,1,0,,,0,0,,
1066,5,1,profilePic_rank3_M2HB,M2HB头像,M2HB头像,1,0,,,0,0,,
1067,5,1,profilePic_rank3_M21,M21头像,M21头像,1,0,,,0,0,,
1068,5,1,profilePic_rank3_StG44,StG44头像,StG44头像,1,0,,,0,0,,
1069,5,1,profilePic_rank3_TTpistol,托卡列夫头像,托卡列夫头像,1,0,,,0,0,,
1070,5,1,profilePic_rank4_ASVal,AS Val头像,AS Val头像,1,0,,,0,0,,
1071,5,1,profilePic_rank4_M60,M60头像,M60头像,1,0,,,0,0,,
1072,5,1,profilePic_rank4_Mk23,Mk23头像,Mk23头像,1,0,,,0,0,,
1073,5,1,profilePic_rank4_Springfield,春田头像,春田头像,1,0,,,0,0,,
1074,5,1,profilePic_rank4_Stechkin,斯捷奇金头像,斯捷奇金头像,1,0,,,0,0,,
1075,5,1,profilePic_rank5_Kar98k,Kar98k头像,Kar98k头像,1,0,,,0,0,,
1076,5,1,profilePic_rank5_M950A,M950A头像,M950A头像,1,0,,,0,0,,
1077,5,1,profilePic_rank5_Thompson,汤姆森头像,汤姆森头像,1,0,,,0,0,,
1078,5,1,card_rank8_jaeger,Jaeger,Jaeger,1,0,,,0,0,,
1079,5,1,card_rank10_dragoon,Dragoon,Dragoon,1,0,,,0,0,,
1080,5,1,card_rankJ_sangvisferri,Sangvis Ferri,Sangvis Ferri,1,0,,,0,0,,
1081,5,1,card_rankK_ar15,AR15,AR15,1,0,,,0,0,,
1082,5,1,card_rankQ_destroyer,Destroyer,Destroyer,1,0,,,0,0,,
1083,5,1,cg1,背景：临时作战室,背景：临时作战室,1,0,,,0,0,,
1084,5,1,cg2,背景：雷达站,背景：雷达站,1,0,,,0,0,,
1085,5,1,cg3,背景：荒街涂鸦,背景：荒街涂鸦,1,0,,,0,0,,
1086,5,1,cg4,背景：旧日都市,背景：旧日都市,1,0,,,0,0,,
1087,5,1,profilePic_pm_halloween,马卡洛夫-南瓜熊熊,马卡洛夫-南瓜熊熊,1,0,,,0,0,,
1088,5,1,profilePic_vector_halloween,维克托-猫猫肉垫,维克托-猫猫肉垫,1,0,,,0,0,,
1089,5,1,profilePic_mp5_halloween,MP5-暗夜使魔,MP5-暗夜使魔,1,0,,,0,0,,
1090,5,1,profilePic_m45_halloween,M45-糖果快递,M45-糖果快递,1,0,,,0,0,,
1091,5,1,profilePic_m1903_halloween,春田-古典派女巫,春田-古典派女巫,1,0,,,0,0,,
1092,5,1,profilePic_wa2000_halloween,WA2000-古堡历险,WA2000-古堡历险,1,0,,,0,0,,
1093,5,1,profilePic_m1919a4_halloween,M1919A4-卡蜜拉,M1919A4-卡蜜拉,1,0,,,0,0,,
1094,5,1,profilePic_mk23_halloween,MK23-甜心小恶魔,MK23-甜心小恶魔,1,0,,,0,0,,
1095,5,1,profilePic_g11_halloween,G11-僵尸家里蹲,G11-僵尸家里蹲,1,0,,,0,0,,
1096,5,1,profilePic_64type_halloween,64式-异邦魔女,64式-异邦魔女,1,0,,,0,0,,
1097,5,1,profilePic_MLEMK1_nichijou,李-恩菲尔德-狩猎者礼服,李-恩菲尔德-狩猎者礼服,1,0,,,0,0,,
1098,5,1,profilePic_MicroUZI_nichijou,微型乌兹-睡醒的笨蛋,微型乌兹-睡醒的笨蛋,1,0,,,0,0,,
1099,5,1,profilePic_M1918_nichijou,M1918-兔女郎,M1918-兔女郎,1,0,,,0,0,,
1100,5,1,profilePic_MP446_nichijou,MP-446-顽劣噪音,MP-446-顽劣噪音,1,0,,,0,0,,
1101,5,1,profilePic_64type_nichijou,64式-水襦裙,64式-水襦裙,1,0,,,0,0,,
1102,5,1,profilePic_Grizzly_nichijou,灰熊MkⅤ-周末警卫,灰熊MkⅤ-周末警卫,1,0,,,0,0,,
1103,5,1,profilePic_M1919A4_nichijou,M1919A4-派对甜心,M1919A4-派对甜心,1,0,,,0,0,,
1104,5,1,profilePic_m1873_xmas,柯尔特左轮-直达星星的愿望,柯尔特左轮-直达星星的愿望,1,0,,,0,0,,
1105,5,1,profilePic_m1903_xmas,春田-圣善夜的祝福,春田-圣善夜的祝福,1,0,,,0,0,,
1106,5,1,profilePic_m14_xmas,M14-圣诞巡游礼服,M14-圣诞巡游礼服,1,0,,,0,0,,
1107,5,1,profilePic_m21_xmas,M21-圣诞居家礼服,M21-圣诞居家礼服,1,0,,,0,0,,
1108,5,1,profilePic_svd_xmas,SVD-冬日仙女,SVD-冬日仙女,1,0,,,0,0,,
1109,5,1,profilePic_wa2000_xmas,WA2000-雪下赴约者,WA2000-雪下赴约者,1,0,,,0,0,,
1110,5,1,profilePic_ntw_xmas,NTW-20-圣诞鹿,NTW-20-圣诞鹿,1,0,,,0,0,,
1111,5,1,profilePic_fal_xmas,FAL-冬幕补给行动,FAL-冬幕补给行动,1,0,,,0,0,,
1112,5,1,profilePic_mg5_xmas,MG5-绯红守夜人,MG5-绯红守夜人,1,0,,,0,0,,
1113,5,1,profilePic_kp31_xmas,索米-耳朵山的雪妖精,索米-耳朵山的雪妖精,1,0,,,0,0,,
1114,5,1,profilePic_561type_spring,56-1式-爆竹红,56-1式-爆竹红,1,0,,,0,0,,
1115,5,1,profilePic_mp446_spring,MP-446-向阳葵,MP-446-向阳葵,1,0,,,0,0,,
1116,5,1,profilePic_nz75_spring,NZ75-金姬菊,NZ75-金姬菊,1,0,,,0,0,,
1117,5,1,profilePic_m99_spring,M99-仙客来,M99-仙客来,1,0,,,0,0,,
1118,5,1,profilePic_95type_spring,95式-玉玲珑,95式-玉玲珑,1,0,,,0,0,,
1119,5,1,profilePic_97type_spring,97式-牡丹魁,97式-牡丹魁,1,0,,,0,0,,
1120,5,1,profilePic_59type_spring,59式-报春花,59式-报春花,1,0,,,0,0,,
1121,5,1,profilePic_ptrd_spring,PTRD-浪漫任务,PTRD-浪漫任务,1,0,,,0,0,,
1122,5,1,profilePic_ump9_spring,"UMP9-""我来晚了?""","UMP9-""我来晚了?""",1,0,,,0,0,,
1123,5,1,profilePic_ump45_spring,"UMP45-""下不为例。""","UMP45-""下不为例。""",1,0,,,0,0,,
1124,5,1,profilePic_welrod_spring,维尔德MkⅡ-英国恋人,维尔德MkⅡ-英国恋人,1,0,,,0,0,,
1125,5,1,profilePic_sv98_maid,SV-98-女服务生,SV-98-女服务生,1,0,,,0,0,,
1126,5,1,profilePic_tt33_wedding,托卡列夫-两人的旅程,托卡列夫-两人的旅程,1,0,,,0,0,,
1127,5,1,profilePic_ppsh41_wedding,PPsh-41-契约时刻,PPsh-41-契约时刻,1,0,,,0,0,,
1128,5,1,profilePic_stenmkii_wedding,司登MkⅡ-被回应的心意,司登MkⅡ-被回应的心意,1,0,,,0,0,,
