establish_id,establish_name,room_id,description,furniture_id,update_furniture_id,furniture_postion,establish_type,establish_lv,upgrade_coin,upgrade_time,upgrade_condition,parameter_1,parameter_2,parameter_3
10305,简单的狗窝,1,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。,41031,41031,"13,2",103,5,200,7200,10105,"0,400,600,600|40201,285,600,600|40202,190,600,600|40203,125,600,600","0,2201,2202,2203",0
10306,自动化狗窝,1,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。,41032,41032,"11,2",103,6,250,14400,10106,"0,400,600,600|40201,210,600,600|40202,210,600,600|40203,150,600,600|40204,30,600,600","0,2201,2202,2203,2204",0
10307,自动化狗窝,1,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。,41032,41032,"11,2",103,7,350,28800,10107,"0,350,600,600|40201,210,600,600|40202,210,600,600|40203,150,600,600|40204,80,600,600","0,2201,2202,2203,2204",0
10308,自动化狗窝,1,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。,41032,41032,"11,2",103,8,450,43200,10108,"0,350,600,600|40201,200,600,600|40202,210,600,600|40203,150,600,600|40204,80,600,600|40205,10,600,600","0,2201,2202,2203,2204,2205",0
10309,自动化狗窝,1,升级了的狗窝可以每天定时自动开门让小狗出来玩耍，但把玩疯了的小狗抓回去则还是要指挥官出面。,41032,41032,"11,2",103,9,600,64800,10109,"0,300,600,600|40201,200,600,600|40202,210,600,600|40203,175,600,600|40204,90,600,600|40205,25,600,600|40206,25,600,600","0,2201,2202,2203,2204,2205,3049",0
10310,综合犬类维护站,1,最高级的狗窝附带了犬类健康管理系统，从龋齿到误食巧克力都能及时发现，狗狗们表示自己没有了隐私。,41033,41033,"8,2",103,10,800,86400,10110,"0,250,600,600|40201,150,600,600|40202,200,600,600|40203,200,600,600|40204,100,600,600|40205,600,600,600|40206,100,600,600|2003,100,600,600|2018,100,600,600|2042,100,600,600","0,2201,2202,2203,2204,2205,3049,2206,3024,3053",0
10400,尘封的鸟架,1,不知道谁留下的鸟架，也许除锈后可以试着养一些鸟类看看。,41040,41040,"28,3",104,0,0,0,0,"0,1000,600,600",0,0
10401,简单的鸟架,1,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。,41041,41041,"28,3",104,1,5,60,10101,"0,600,600,600|40401,400,600,600","0,3033",0
10402,简单的鸟架,1,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。,41041,41041,"28,3",104,2,50,300,10102,"0,550,600,600|40401,360,600,600|40402,90,600,600","0,3033,3034",0
10403,简单的鸟架,1,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。,41041,41041,"28,3",104,3,100,1800,10103,"0,500,600,600|40401,300,600,600|40402,200,600,600","0,3033,3034",0
10404,简单的鸟架,1,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。,41041,41041,"28,3",104,4,150,3600,10104,"0,450,600,600|40401,300,600,600|40402,200,600,600|40403,50,600,600","0,3033,3034,3035",0
10405,简单的鸟架,1,自从架起鸟架开始养鸟，指挥官经常对着鸽子自言自语，人形之间流传着关于指挥官好像退休老干部的流言蜚语。,41041,41041,"28,3",104,5,200,7200,10105,"0,400,600,600|40401,285,600,600|40402,190,600,600|40403,125,600,600","0,3033,3034,3035",0
10406,复合鸟笼,1,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。,41042,41042,"28,3",104,6,250,14400,10106,"0,400,600,600|40401,210,600,600|40402,210,600,600|40403,150,600,600|40404,30,600,600","0,3033,3034,3035,3036",0
10407,复合鸟笼,1,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。,41042,41042,"28,3",104,7,350,28800,10107,"0,350,600,600|40401,210,600,600|40402,210,600,600|40403,150,600,600|40404,80,600,600","0,3033,3034,3035,3036",0
10408,复合鸟笼,1,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。,41042,41042,"28,3",104,8,450,43200,10108,"0,350,600,600|40401,200,600,600|40402,210,600,600|40403,150,600,600|40404,80,600,600|40405,10,600,600","0,3033,3034,3035,3036,3037",0
10409,复合鸟笼,1,升级后的鸟笼可以同时饲养多只鸟类，带来了全新的可能性，指挥官急切且兴奋地期待鸟类交配的表情也被偷拍发上了格里芬匿名留言板。,41042,41042,"28,3",104,9,600,64800,10109,"0,300,600,600|40401,200,600,600|40402,210,600,600|40403,175,600,600|40404,90,600,600|40405,25,600,600","0,3033,3034,3035,3036,3037",0
10410,先进复合鸟笼,1,最先进的自动化复合鸟笼，弧形屏幕除了展示鸟类体征数据外，更可以切换为模拟的大自然背景，让鸟类更渴望外出自由飞翔。,41043,41043,"28,3",104,10,800,86400,10110,"0,300,600,600|40401,150,600,600|40402,200,600,600|40403,200,600,600|40404,100,600,600|40405,50,600,600|2034,100,600,600","0,3033,3034,3035,3036,3037,3039",0
10500,尘封的多功能恒温箱,1,不知道谁留下的玻璃缸，清洗一下应该可以养一些奇奇怪怪的小动物。,41050,41050,"19,2",105,0,0,0,0,"0,1000,600,600",0,0
10501,简陋的多功能恒温箱,1,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。,41051,41051,"19,2",105,1,5,60,10101,"0,600,600,600|40501,400,600,600","0,3044",0
10502,简陋的多功能恒温箱,1,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。,41051,41051,"19,2",105,2,50,300,10102,"0,550,600,600|40501,360,600,600|40502,90,600,600","0,3044,3045",0
10503,简陋的多功能恒温箱,1,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。,41051,41051,"19,2",105,3,100,1800,10103,"0,500,600,600|40501,300,600,600|40502,200,600,600","0,3044,3045",0
10504,简陋的多功能恒温箱,1,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。,41051,41051,"19,2",105,4,150,3600,10104,"0,450,600,600|40501,300,600,600|40502,200,600,600|40503,50,600,600","0,3044,3045,3046",0
10505,简陋的多功能恒温箱,1,内置了加热及保温设备，底部铺满了柔软的干草，很适合小动物在里面钻进钻出。,41051,41051,"19,2",105,5,200,7200,10105,"0,400,600,600|40501,285,600,600|40502,190,600,600|40503,125,600,600","0,3044,3045,3046",0
10506,多功能恒温游乐场,1,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。,41052,41052,"19,2",105,6,250,14400,10106,"0,400,600,600|40501,210,600,600|40502,210,600,600|40503,150,600,600|40504,30,600,600","0,3044,3045,3046,3047",0
10507,多功能恒温游乐场,1,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。,41052,41052,"19,2",105,7,350,28800,10107,"0,350,600,600|40501,210,600,600|40502,210,600,600|40503,150,600,600|40504,80,600,600","0,3044,3045,3046,3047",0
10508,多功能恒温游乐场,1,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。,41052,41052,"19,2",105,8,450,43200,10108,"0,350,600,600|40501,200,600,600|40502,210,600,600|40503,150,600,600|40504,80,600,600|40505,10,600,600","0,3044,3045,3046,3047,3048",0
10509,多功能恒温游乐场,1,基础的物质需求满足后，指挥官意识到小动物的精神建设的重要性，兴建了各种迷你游乐设施，寓教于乐。,41052,41052,"19,2",105,9,600,64800,10109,"0,300,600,600|40501,200,600,600|40502,210,600,600|40503,175,600,600|40504,90,600,600|40505,25,600,600","0,3044,3045,3046,3047,3048",0
10510,全自动双层恒温乐园,1,深谙大就是美哲学的指挥官，斥重金购买了高级的双层恒温箱，没有什么比看小动物在管道里爬上爬下更让人满足的事了。,41053,41053,"19,2",105,10,800,86400,10110,"0,300,600,600|40501,150,600,600|40502,200,600,600|40503,200,600,600|40504,100,600,600|40505,50,600,600","0,3044,3045,3046,3047,3048",0
20001,资料库墙纸,2,资料库默认墙纸,40003,40003,"2,2",0,1,0,0,0,,,
20002,资料库地板,2,资料库默认地板,40004,40004,"2,2",0,1,0,0,0,,,
20003,资料室电线1,2,,40005,40005,"17,4",0,1,0,0,0,,,
20004,资料室电线2,2,,40006,40006,"27,11",0,1,0,0,0,,,
20005,资料室灯1,2,,40007,40007,"8,11",0,1,0,0,0,,,
20006,资料室灯2,2,,40007,40007,"17,11",0,1,0,0,0,,,
20007,资料室灯3,2,,40007,40007,"26,11",0,1,0,0,0,,,
20008,资料室灯4,2,,40008,40008,"8,11",0,1,0,0,0,,,
20009,资料室灯5,2,,40008,40008,"17,11",0,1,0,0,0,,,
20010,资料室灯6,2,,40008,40008,"26,11",0,1,0,0,0,,,
20011,资料室灯7,2,,40008,40008,"2,2",0,1,0,0,0,,,
20100,蒙尘的办公桌,2,看起来很久没人使用过的桌子，上面蒙了一层薄薄的浮尘。修缮下这里，也许是个展开资料工作的好地方。,42010,42010,"8,8",201,0,0,0,0,200001:3,0,0
20101,朴素的办公桌,2,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。,42011,42011,"8,8",201,1,10,60,0,200001:3,0,0
20102,朴素的办公桌,2,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。,42011,42011,"8,8",201,2,75,300,"20401,20501",200001:3,0,0
20103,朴素的办公桌,2,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。,42011,42011,"8,8",201,3,150,1800,"20302,20402",200001:3,0,0
20104,朴素的办公桌,2,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。,42011,42011,"8,8",201,4,225,3600,"20503,20603",200001:3,0,0
20105,朴素的办公桌,2,不管用的是鹅毛笔还是针管笔，一份好的作战报告都需要一手好字来完成，格琳娜小姐，加油哦。,42011,42011,"8,8",201,5,300,7200,"20204,20604",200001:3,0,0
20106,摩登时代的办公桌,2,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。,42012,42012,"8,8",201,6,375,14400,"20305,20505",200001:3,0,0
20107,摩登时代的办公桌,2,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。,42012,42012,"8,8",201,7,525,28800,"20206,20306",200001:3,0,0
20108,摩登时代的办公桌,2,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。,42012,42012,"8,8",201,8,675,43200,"20207,20507",200001:3,0,0
20109,摩登时代的办公桌,2,奇怪的是现在提到摩登大家想到的不是现代，而是上世纪初叶的黄金时代，奏鸣着的打字机和曼哈顿拔地而起的摩天楼。,42012,42012,"8,8",201,9,900,64800,"20208,20608",200001:3,0,0
20110,数字时代的办公桌,2,计算机的加入极大地提高了格琳娜小姐的工作效率，等等，没有提高？把她的网线拔掉！,42013,42013,"8,8",201,10,1200,86400,"20209,20409",200001:3,0,0
20200,尘封的控制台,2,似乎整理一下可以当做无人机的控制台，有了无人机记录作战的景象，应该可以收集到宝贵的作战经验吧。,42020,42020,"6,2",202,0,0,0,0,3,0,0
20201,简易无人机控制台,2,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。,42021,42021,"6,2",202,1,5,60,20101,4.5,0,0
20202,简易无人机控制台,2,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。,42021,42021,"6,2",202,2,50,300,20102,6,0,0
20203,简易无人机控制台,2,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。,42021,42021,"6,2",202,3,100,1800,20103,7.5,0,0
20204,简易无人机控制台,2,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。,42021,42021,"6,2",202,4,150,3600,20104,9,0,0
20205,简易无人机控制台,2,架起野战无人机控制终端了，虽然图像不是很清晰，但比之前亲自趴在战场旁边的草丛里舒服多了。,42021,42021,"6,2",202,5,200,7200,20105,10.5,0,0
20206,专业无人机控制台,2,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。,42022,42022,"6,2",202,6,250,14400,20106,12,0,0
20207,专业无人机控制台,2,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。,42022,42022,"6,2",202,7,350,28800,20107,14,0,0
20208,专业无人机控制台,2,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。,42022,42022,"6,2",202,8,450,43200,20108,16,0,0
20209,专业无人机控制台,2,解锁了大型设备后终于有点作战资料室的样子了，两个高清屏幕能更有效的控制无人机记录战场情况。,42022,42022,"6,2",202,9,600,64800,20109,18,0,0
20210,先进无人机控制台,2,格里芬目前最高级的控制设备，可以同时控制两架无人机进行战斗记录，对战场经验的收集无可匹敌。,42023,42023,"6,2",202,10,800,86400,20110,20,0,0
20300,尘封的操作台,2,厚厚的防雨布下面似乎是工作台一样的桌子，也许能帮忙解析战术少女那超级难拆下的高级战斗记录仪。,42030,42030,"22,2",203,0,0,0,0,25,0,0
20301,古朴的操作台,2,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。,42031,42031,"22,2",203,1,5,60,20101,30,0,0
20302,古朴的操作台,2,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。,42031,42031,"22,2",203,2,50,300,20102,35,0,0
20303,古朴的操作台,2,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。,42031,42031,"22,2",203,3,100,1800,20103,40,0,0
20304,古朴的操作台,2,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。,42031,42031,"22,2",203,4,150,3600,20104,45,0,0
20305,古朴的操作台,2,战前人们似乎用这个来做金属加工，现在主要用来帮忙把战术少女们的记录仪取出解析，不要弄疼她们哦。,42031,42031,"22,2",203,5,200,7200,20105,50,0,0
20306,自动化操作站,2,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。,42032,42032,"22,2",203,6,250,14400,20106,60,0,0
20307,自动化操作站,2,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。,42032,42032,"22,2",203,7,350,28800,20107,70,0,0
20308,自动化操作站,2,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。,42032,42032,"22,2",203,8,450,43200,20108,80,0,0
20309,自动化操作站,2,有了精密的机械臂的帮忙，记录仪的解析变得更加高效方便，也广受战术少女们好评。,42032,42032,"22,2",203,9,600,64800,20109,90,0,0
20310,先进自动化操作站,2,更高效率的自动化工作台，提高战斗经验的转化效率，还能防止设备过热，不愧是高端设备。,42033,42033,"22,2",203,10,800,86400,20110,100,0,0
20400,尘封的资料桌,2,防雨布下隐约的看出大桌子的形状，也许可以在这里摆放整理收集好的战斗记录。,42050,42050,"13,9",204,0,0,0,0,60000,0,0
20401,凌乱的资料桌,2,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。,42051,42051,"13,9",204,1,5,60,20101,120000,0,0
20402,凌乱的资料桌,2,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。,42051,42051,"13,9",204,2,50,300,20102,180000,0,0
20403,凌乱的资料桌,2,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。,42051,42051,"13,9",204,3,100,1800,20103,240000,0,0
20404,凌乱的资料桌,2,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。,42051,42051,"13,9",204,4,150,3600,20104,300000,0,0
20405,凌乱的资料桌,2,文案工作是任何时代的指挥官都无从逃避的苦役，只有这时候才能深深感到有格琳娜在的好。,42051,42051,"13,9",204,5,200,7200,20105,360000,0,0
20406,大型资料桌,2,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。,42052,42052,"12,10",204,6,250,14400,20106,480000,0,0
20407,大型资料桌,2,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。,42052,42052,"12,10",204,7,350,28800,20107,600000,0,0
20408,大型资料桌,2,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。,42052,42052,"12,10",204,8,450,43200,20108,720000,0,0
20409,大型资料桌,2,更大的工作面积，更规范的整理方式，带来强大的存储能力，在早前档案管理可是一门高深的艺术。,42052,42052,"12,10",204,9,600,64800,20109,840000,0,0
20410,阵列硬盘资料桌,2,不管多么优秀的纸质档案管理，在大规模阵列硬盘面前都相形见绌，唯一的问题是非常耗电。,42053,42053,"12,10",204,10,800,86400,20110,960000,0,0
20500,尘封的计算机,2,角落里有一个罩住的小桌子，看上去刚好可以摆台电脑，用电脑搭建起数据服务器，一定会大大提高工作效率吧。,42040,42040,"16,2",205,0,0,0,0,43200,0,0
20501,古老的计算机,2,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。,42041,42041,"16,2",205,1,5,60,20101,36000,0,0
20502,古老的计算机,2,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。,42041,42041,"16,2",205,2,50,300,20102,32400,0,0
20503,古老的计算机,2,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。,42041,42041,"16,2",205,3,100,1800,20103,28800,0,0
20504,古老的计算机,2,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。,42041,42041,"16,2",205,4,150,3600,20104,25200,0,0
20505,古老的计算机,2,不要介意发黄的外壳啦，当年这可是点燃了多少少年硅谷梦的造梦机器，48k大内存让使用者如沐春风。,42041,42041,"16,2",205,5,200,7200,20105,21600,0,0
20506,小型服务器,2,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。,42042,42042,"17,2",205,6,250,14400,20106,18000,0,0
20507,小型服务器,2,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。,42042,42042,"17,2",205,7,350,28800,20107,14400,0,0
20508,小型服务器,2,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。,42042,42042,"17,2",205,8,450,43200,20108,10800,0,0
20509,小型服务器,2,虽然是司令部淘汰下来的设备，专用服务器的处理能力也是无可匹敌的，还不需要关机，太方便了。,42042,42042,"17,2",205,9,600,64800,20109,7200,0,0
20510,先进大型服务器,2,更高的机柜，更多的处理器，看着闪烁的led阵列内心十分满足，攒了这么久的电池果然没有白费。,42043,42043,"17,2",205,10,800,86400,20110,3600,0,0
20600,尘封的电传机,2,防雨布下罩着一个陌生的机器，似乎不属于这个时代，也许应该问问M1918？,42060,42060,"22,10",206,0,0,0,0,5,0,0
20601,古老的电传机,2,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。,42061,42061,"22,10",206,1,5,60,20101,10,0,0
20602,古老的电传机,2,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。,42061,42061,"22,10",206,2,50,300,20102,15,0,0
20603,古老的电传机,2,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。,42061,42061,"22,10",206,3,100,1800,20103,20,0,0
20604,古老的电传机,2,早在上世纪的全球化浪潮里，电传机可是每个跨国企业办公室的必需品，能一次传输一卷纸带的信息量，非常科幻。,42061,42061,"22,10",206,4,150,3600,20104,25,0,0
