id,type,unlock_lv,unlock_ids,unlock_label,count,prize_id,title,content,unlock_course,new_type,grade_id,sort,condition,new_unlock_ids
102,dorm_change,3,,,1,744,宿舍：宿舍的美妙装扮,完成1次宿舍编辑,,1,59,416,,
103,friend_visit,,,,5,745,宿舍：首次宿舍参观,完成5次参观宿舍,,1,53,387,,
104,friend_praise,,,,5,746,好友：点赞好友宿舍,点赞其他玩家宿舍5次,,1,53,388,,
150,friend_apply,,,mission:7,1,758,好友：申请好友,申请1次好友,,1,53,389,,
151,friend_card_change,,,mission:7,1,759,好友：更换名片背景,完成1次名片背景更换,,1,53,390,,
152,friend_headpic_change,,,mission:7,1,760,好友：更换头像,完成1次头像更换,,1,53,391,,
153,upgrade,12,,,5,761,战术人形：技能提升,通过“研发-技能训练”完成5次人形技能训练,,1,6,58,,
154,eat_equip,,,mission:90004,5,762,装备：装备强化,通过“研发-装备强化”完成5次装备强化,,1,18,140,,
155,adjust_equip,,,mission:90008,5,763,装备：装备校准,完成5次装备校准,,1,19,148,,
156,adjust_equip_attr_100,,,,1,764,装备：装备校准进阶,将1件装备校准至100%,,1,19,149,,
157,develop_fairy,,,,1,765,妖精：获取妖精,通过“工厂-装备重型制造”获得1只妖精（注：通过“装备重型制造”有几率获得妖精）,80,1,23,168,,
158,eat_fairy,,,,5,766,妖精：妖精强化,通过“研发-妖精强化”完成5次妖精强化,"86,87,88",1,26,191,,
159,upgrade_fairy,,,,5,767,妖精：技能训练,通过“研发-技能训练”完成5次妖精技能训练,"86,87,88",1,24,150,,
160,adjust_fairy,,,,5,768,妖精：妖精校准,通过“研发-妖精校准”完成5次妖精校准,"86,87,88",1,25,181,,
162,establish_up_type_301,,,,1,770,妖精：升级荒芜山谷,在“妖精小屋”完成1次荒芜山谷升级,,1,23,169,,
163,establish_up_type_302,,,,1,771,妖精：升级尘封的铁道模型,在“妖精小屋”完成1次尘封的铁道模型升级,,1,23,170,,
164,establish_up_type_303,,,,1,772,妖精：升级仓库模型地基,在“妖精小屋”完成1次仓库模型地基升级,,1,23,171,,
165,establish_up_type_304,,,,1,773,妖精：升级空白的天气系统,在“妖精小屋”完成1次空白的天气系统升级,,1,23,172,,
166,up_mod1,60,,,1,774,心智升级：改型一,通过“研发-心智升级”将1名人形心智升级至改型1,97,1,13,107,,
167,up_mod2,60,,,1,775,心智升级：改型二,通过“研发-心智升级”将1名人形心智升级至改型2,97,1,14,112,,
168,up_mod3,60,,,1,776,心智升级：改型三,通过“研发-心智升级”将1名人形心智升级至改型3,97,1,15,121,,
169,upgrade2,60,,,1,777,心智升级：技能训练,通过“研发-技能训练”完成1次人形2技能升级,,1,14,113,,
170,sun_friend_team_into,,,,1,778,好友：昼战助战设置,完成1次昼战支援梯队设置（注：好友->个人名片->支援梯队中设置）,100,1,54,395,,
171,night_friend_team_into,,,,1,779,好友：夜战助战设置,完成1次夜战支援梯队设置（注：好友->个人名片->支援梯队中设置）,100,1,54,396,,
172,squad_base_data_analyse,,,,1,780,重装部队：原始样本,在“情报中心-记录仪”使用原始样本进行1次抽样分析,,1,29,206,,
173,squad_senior_data_analyse,,,,1,781,重装部队：纯净样本,在“情报中心-记录仪”使用纯净样本进行1次抽样分析,,1,29,207,,
174,squad_get_chip,,,,1,782,重装部队：芯片,首次获得芯片,,1,29,208,,
175,squad_get_secret_data,,,,1,783,重装部队：中枢数据,首次获得中枢数据,,1,29,209,,
176,squad_get_type1_unit,,,,1,784,重装部队：解锁,首次解锁重装部队火力单位,,1,29,210,,
177,squad_up_rank,,,,1,785,重装部队：晋升,首次对重装部队进行晋升,,1,30,222,,
178,squad_rank_max,,,,1,786,重装部队：晋升,首次将重装部队晋升至五星,,1,33,264,,
179,squad_train_time,,,,1,787,重装部队：经验训练,通过“格纳库-训练场”完成1次重装部队经验训练,,1,29,211,,
180,squad_level_max,,,,1,788,重装部队：等级训练,将1个重装部队等级升至100级,,1,33,265,,
181,squad_up_skill_times,,,,1,789,重装部队：技能训练,通过“格纳库-训练场”完成1次重装部队技能训练,,1,30,223,,
182,squad_up_advanced_times,,,,1,790,重装部队：迭代,首次对重装部队进行迭代,,1,33,266,,
184,squad_chip_retire_times,,,,1,792,重装部队：芯片回收,在“格纳库-芯片仓库”进行1次芯片回收,,1,30,224,,
185,squad_eat_chip_num,,,,1,793,重装部队：芯片强化,在“格纳库-芯片仓库”进行1次芯片强化,,1,30,225,,
186,explore_auto_team,20,,,1,794,探索：自动编队,在“前进营地-控制台”使用自动编队编辑探索队伍,,1,48,363,,
187,explore_first_times,20,,,1,795,探索：出发,在“前进营地-控制台”出发进行探索,,1,48,364,,
188,explore_replay,20,,,1,796,探索：回放,在“前进营地-实时转播终端”中使用回放功能,,1,48,365,,
189,explore_get_prize,20,,,1,797,探索：领取奖励,在“前进营地-储物柜”领取探索奖励,,1,48,366,,
190,explore_change_item,20,,,1,798,探索：兑换商品,在“前进营地-机密商店”中兑换商品,,1,48,367,,
191,uniform_get_color,,,,1,799,衣柜：完成染色,首次使用染色剂完成服装染色,130,1,56,410,,
192,activation_uniform_skill,,,,1,800,衣柜：激活指挥官服装技能,首次激活指挥官服装技能,130,1,54,392,,
193,change_gender,,,,1,11002,衣柜：更换指挥官性别,首次更换指挥官性别设置,130,1,54,393,,
194,mission_emergency_0_1_3,,,mission:5,1,11003,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通1-3,,2,2,7,,
195,mission_emergency_0_1_5,,,,1,11004,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通1-5,,2,2,8,,
196,mission_emergency_0_1_6,,,,1,11005,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通1-6,,2,2,9,,
197,mission_emergency_0_2_1,,,,1,11006,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-1,,2,3,18,,
198,mission_emergency_0_2_2,,,,1,11007,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-2,,2,3,19,,
199,mission_emergency_0_2_3,,,,1,11008,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-3,,2,3,20,,
200,mission_emergency_0_2_4,,,,1,11009,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-4,,2,3,21,,
201,mission_emergency_0_2_5,,,,1,11010,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-5,,2,3,22,,
202,mission_emergency_0_2_6,,,,1,11011,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通2-6,,2,3,23,,
203,mission_emergency_1_1_2,,,mission:15,1,11012,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急1-2,,2,3,24,,
204,mission_emergency_1_1_3,,,,1,11013,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急1-3,,2,3,25,,
205,mission_emergency_1_1_4,,,,1,11014,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急1-4,,2,3,26,,
206,mission_emergency_1_2_2,,,,1,11015,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急2-2,,2,5,42,,
207,mission_emergency_1_2_3,,,,1,11016,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急2-3,,2,5,43,,
208,mission_emergency_1_2_4,,,,1,11017,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急2-4,,2,5,44,,
209,mission_emergency_0_3_1,,,,1,11018,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-1,,2,5,45,,
210,mission_emergency_0_3_2,,,,1,11019,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-2,,2,5,46,,
211,mission_emergency_0_3_3,,,,1,11020,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-3,,2,5,47,,
212,mission_emergency_0_3_4,,,,1,11021,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-4,,2,5,48,,
213,mission_emergency_0_3_5,,,,1,11022,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-5,,2,5,49,,
214,mission_emergency_0_3_6,,,,1,11023,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通3-6,,2,5,50,,
215,mission_emergency_1_3_2,,,,1,11024,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急3-2,,2,6,59,,
216,mission_emergency_1_3_3,,,,1,11025,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急3-3,,2,6,60,,
217,mission_emergency_1_3_4,,,,1,11026,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急3-4,,2,6,61,,
218,mission_emergency_0_4_1,,,,1,11027,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-1,,2,6,62,,
219,mission_emergency_0_4_2,,,,1,11028,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-2,,2,6,63,,
220,mission_emergency_0_4_3,,,,1,11029,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-3,,2,6,64,,
221,mission_emergency_0_4_4,,,,1,11030,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-4,,2,6,65,,
222,mission_emergency_0_4_5,,,,1,11031,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-5,,2,6,66,,
223,mission_emergency_0_4_6,,,,1,11032,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通4-6,,2,6,67,,
224,mission_emergency_1_4_2,,,,1,11033,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急4-2,,2,8,79,,
225,mission_emergency_1_4_3,,,,1,11034,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急4-3,,2,8,80,,
226,mission_emergency_1_4_4,,,,1,11035,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急4-4,,2,8,81,,
227,mission_emergency_0_5_1,,,,1,11036,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通5-1,,2,8,82,,
228,mission_emergency_0_5_2,,,,1,11037,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通5-2,,2,8,83,,
229,mission_emergency_0_5_3,,,,1,11038,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通5-3,,2,8,84,,
230,mission_emergency_0_5_4,,,,1,11039,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通5-4,,2,8,85,,
231,mission_emergency_0_5_5,,,,1,11040,IOP特别服务：人形支援-普通行动,普通行动：完成1次普通5-5,,2,8,86,,
232,mission_emergency_3_1_2,,,,1,11041,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战1-2,,2,17,131,,
233,mission_emergency_3_1_3,,,,1,11042,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战1-3,,2,17,132,,
234,mission_emergency_3_1_4,,,,1,11043,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战1-4,,2,17,133,,
235,mission_emergency_3_2_2,,,,1,11044,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战2-2,,2,18,141,,
236,mission_emergency_3_2_3,,,,1,11045,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战2-3,,2,18,142,,
237,mission_emergency_3_2_4,,,,1,11046,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战2-4,,2,18,143,,
238,mission_emergency_3_3_2,,,,1,11047,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战3-2,,2,19,151,,
239,mission_emergency_3_3_3,,,,1,11048,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战3-3,,2,19,152,,
240,mission_emergency_3_3_4,,,,1,11049,IOP特别服务：装备支援-夜战任务,夜战任务：完成1次夜战3-4,,2,19,153,,
241,mission_emergency_0_5_6,,,,1,11050,IOP特别服务：人形支援-普通行动-最终回,普通行动：完成1次普通5-6,,2,8,87,,
242,sangvis_daily_retrieval,,,,3,11051,收归行动：常规回收,在“收归行动”中完成3次常规回收,134,1,35,270,,
243,sangvis_aided_retrieval,,,,3,11052,收归行动：协力回收,在“收归行动”中完成3次协力回收,134,1,35,271,,
244,sangvis_exercise_exp,,,,1,11053,融合演习：防卫构思集训,在“模拟作战-融合演习”完成1次防卫构思集训,134,1,35,272,,
245,sangvis_exercise_star,,,,1,11054,融合演习：开发调节操练,在“模拟作战-融合演习”完成1次开发调节操练,134,1,35,273,,
246,sangvis_exercise_analysis,,,,1,11055,融合演习：解密算法练习,在“模拟作战-融合演习”完成1次解密算法练习,134,1,35,274,,
247,sangvis_advance,,,,1,11056,融合势力：以太开发,通过“工厂-开发”完成一次融合势力单位升星,134,1,35,275,,
248,sangvis_resolution,,,,1,11057,融合势力：峰值解析,通过“工厂-解析”完成一次融合势力单位解析提升,134,1,36,281,,
249,sangvis_wear_chip,,,,1,11058,融合势力：装备战术芯片,首次装备融合势力单位战术芯片,134,1,36,282,,
250,sangvis_getexp,,,,1,11059,融合势力：突击成长,首次通过突击成长存储碟提升融合势力经验值,134,1,35,276,,
251,sangvis_transport,,,,1,11060,融合势力：认知灌输,在“协议控制中心-对称灌输驱动器”完成一次融合势力认知灌输,134,1,38,305,,
252,sangvis_skillpractic,,,,1,11061,融合势力：技能训练,通过“研发-技能训练”完成1次融合势力技能升级,134,1,35,277,,
253,sangvis_disassemble,,,,1,11062,融合势力：单位回收,首次完成融合势力回收,134,1,37,295,,
254,targettrain_paas_1,,,,1,11063,演习标靶：1级标靶,在“模拟作战”消灭1级强度的演习标靶，且标靶设置为【主动攻击】、【非无敌】。,,1,41,320,,
255,targettrain_paas_2,,,,1,11064,演习标靶：2级标靶,在“模拟作战”首次消灭2级强度的演习标靶，且标靶设置为【主动攻击】、【非无敌】。,,1,42,326,,
256,targettrain_paas_3,,,,1,11065,演习标靶：3级标靶,在“模拟作战”首次消灭3级强度的演习标靶，且标靶设置为【主动攻击】、【非无敌】。,,1,43,332,,
257,targettrain_paas_4,,,,1,11066,演习标靶：4级标靶,在“模拟作战”首次消灭4级强度的演习标靶，且标靶设置为【主动攻击】、【非无敌】。,,1,44,340,,
258,targettrain_paas_5,,,,1,11067,演习标靶：5级标靶,在“模拟作战”首次消灭5级强度的演习标靶，且标靶设置为【主动攻击】、【非无敌】。,,1,45,349,,
259,fetter_read_story,,,,1,11068,格里芬往事：彼此交错的身影,在“资料室-往事书架”完成一次格里芬往事的往事回溯,,1,62,429,,
260,fetter_unlock_milestone,,,,1,11069,格里芬往事：更进一步,在“资料室-往事书架”解锁一次格里芬往事的旧梦星石,,1,61,434,,
261,fetter_clear_fetter,,,,1,11070,格里芬往事：她们,在“资料室-往事书架”完成一个格里芬往事所有往事的回溯,,1,63,435,,
262,fetter_voice,,,,1,11071,友人谈：你我之间,在“资料室-往事书架”解锁一次友人谈,,1,63,440,,
263,fetter_skill,,,,1,11072,同心技：伴蝶翩飞,解锁一次同心技（可通过“资料室-往事书架”、获取特定人形等方式解锁）,,1,63,441,,
264,fix_gun,,,,1,11073,战术人形：人形修复,完成1次人形修复,,1,1,3,,
265,develop_gun,3,,,10,11074,战术人形：人形制造,通过“工厂-人形制造”完成10次人形制造,,1,2,10,,
266,fix_gun,,,,3,11075,战术人形：人形修复,完成3次人形修复,,1,2,11,,
267,quick_fix_gun,,,,1,11076,战术人形：人形快速修复,完成1次人形快速修复,,1,2,12,,
268,special_develop_gun,,,bestrank1:30,3,11077,工厂任务：重型建造,通过“工厂-人形制造”完成3次人形重型制造,,1,10,98,,
269,gun_getexp,,,,5,11078,战术人形：作战报告书,在“人形详情或宿舍”向人形赠送5次作战报告书,,1,3,27,,
270,gun_getexp,,,,10,11079,战术人形：作战报告书,在“人形详情或宿舍”向人形赠送10次作战报告书,,1,5,51,,
272,mission_duplicate_type1,12,,,3,11080,模拟作战：经验特训,在“模拟作战”获得3次经验特训胜利,,1,7,71,,
273,c_gun_level,,,,5,11081,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至10级,,1,2,13,10,
274,c_gun_level,,,,5,11082,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至25级,,1,3,28,25,
275,c_gun_level,,,,5,11083,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至40级,,1,5,52,40,
276,c_gun_level,,,,5,11084,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至55级,,1,6,68,55,
277,c_gun_level,,,,5,11085,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至70级,,1,8,89,70,
278,c_gun_level,,,,5,11086,战术人形：人形训练,通过“作战或赠送作战报告书”将5个人形升至90级,,1,10,99,90,
279,c_gun_level,,,,10,11087,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至10级,,1,3,29,10,
280,c_gun_level,,,,10,11088,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至25级,,1,4,35,25,
281,c_gun_level,,,,10,11089,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至55级,,1,7,72,55,
282,c_gun_level,,,,10,11090,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至70级,,1,9,95,70,
283,c_gun_level,,,,10,11091,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至90级,,1,11,102,90,
284,c_gun_level,,,,10,11092,战术人形：人形训练,通过“作战或赠送作战报告书”将10个人形升至100级,,1,13,108,100,
285,c_gun_level,,,,15,11093,战术人形：人形训练,通过“作战或赠送作战报告书”将15个人形升至100级,,1,14,114,100,
286,c_gun_level,,,,20,11094,战术人形：人形训练,通过“作战或赠送作战报告书”将20个人形升至100级,,1,15,122,100,
287,eat_gun,,,,10,11095,战术人形：人形强化,通过“工厂-人形强化”完成10次人形强化,,1,3,30,,
288,eat_gun,,,,15,11096,战术人形：人形强化,通过“工厂-人形强化”完成15次人形强化,,1,4,36,,
289,eat_gun,,,,20,11097,战术人形：人形强化,通过“工厂-人形强化”完成20次人形强化,,1,5,53,,
290,eat_gun,,,,30,11098,战术人形：人形强化,通过“工厂-人形强化”完成30次人形强化,,1,6,69,,
291,mission_duplicate_type2,12,,,3,11099,模拟作战：强化练习,在“模拟作战”获得3次强化练习胜利,,1,6,70,,
292,combine_gun,,,,5,11100,战术人形：编制扩大,通过“工厂-编制扩大”完成5次编制扩大,,1,3,31,,
293,combine_gun,,,,10,11101,战术人形：编制扩大,通过“工厂-编制扩大”完成10次编制扩大,,1,5,54,,
294,combine_gun,,,,15,11102,战术人形：编制扩大,通过“工厂-编制扩大”完成15次编制扩大,,1,8,90,,
295,retire_gun_core,,,,10,11103,战术人形：核心获取,通过人形拆解获取10个替代核心,,1,8,91,,
296,mission_duplicate_type3,12,,,3,11104,模拟作战：资料采样,在“模拟作战”获得3次资料采样胜利,,1,7,73,,
297,c_gun_skill_level,12,,,1,11105,战术人形：技能训练,通过“研发-技能训练”将1个人形技能升至2级,,1,4,37,2,
298,c_gun_skill_level,12,,,1,11106,战术人形：技能训练,通过“研发-技能训练”将1个人形技能升至5级,,1,7,74,5,
299,c_gun_skill_level,12,,,5,11107,战术人形：技能训练,通过“研发-技能训练”将5个人形技能升至3级,,1,9,96,3,
300,c_gun_skill_level,12,,,5,11108,战术人形：技能训练,通过“研发-技能训练”将5个人形技能升至5级,,1,10,100,5,
301,c_gun_skill_level,12,,,5,11109,战术人形：人形技能训练,通过“研发-技能训练”将5个人形技能升至8级,,1,11,103,8,
302,c_gun_skill_level,12,,,5,11110,战术人形：技能训练,通过“研发-技能训练”将5个人形技能升至10级,,1,12,106,10,
303,c_gun_skill_level,12,,,10,11111,战术人形：技能训练,通过“研发-技能训练”将10个人形技能升至10级,,1,13,109,10,
304,c_gun_skill_level,12,,,15,11112,战术人形：技能训练,通过“研发-技能训练”将15个人形技能升至10级,,1,14,115,10,
305,c_gun_skill_level,12,,,20,11113,战术人形：技能训练,通过“研发-技能训练”将20个人形技能升至10级,,1,15,123,10,
306,c_gun_skill2_level,60,,,1,11114,心智升级：技能训练,通过“研发-技能训练”将1个人形2技能升至10级,,1,14,116,10,169
307,c_gun_skill2_level,60,,,3,11115,心智升级：技能训练,通过“研发-技能训练”将3个人形2技能升至10级,,1,15,124,10,
308,doll_memoris,60,,,1,11116,心智升级：人形回忆录,在“咖啡厅-咖啡机”查看1次人形回忆录,,1,13,110,,
309,doll_memoris,60,,,3,11117,心智升级：人形回忆录,在“咖啡厅-咖啡机”查看3次人形回忆录,,1,14,117,,
310,mission_duplicate_type5,60,,,3,11118,模拟作战：云图回廊,在“模拟作战”获得3次云图回廊胜利,,1,13,111,,
311,mission_duplicate_type5,60,,,10,11119,模拟作战：云图回廊,在“模拟作战”获得10次云图回廊胜利,,1,14,118,,
312,up_mod1,60,,,3,11120,心智升级：改型一,通过“研发-心智升级”将3名人形心智升级至改型1,97,1,14,119,,
313,up_mod1,60,,,5,11121,心智升级：改型一,通过“研发-心智升级”将5名人形心智升级至改型1,97,1,15,125,,
314,up_mod2,60,,,3,11122,心智升级：改型二,通过“研发-心智升级”将3名人形心智升级至改型2,97,1,15,126,,
315,develop_equip,,,,20,11123,装备：装备制造,通过“工厂-装备制造”完成20次装备制造,,1,18,144,,
316,c_iop_develop_equip,,,,1,11124,I.O.P特殊订单：夜战装备,通过“装备制造-I.O.P特殊订单”制造1个夜战装备,,1,17,134,16,
317,c_iop_develop_equip,,,,1,11125,I.O.P特殊订单：穿甲弹,通过“装备制造-I.O.P特殊订单”制造1个穿甲弹,,1,17,135,18,
318,different_equip,,,,5,11126,装备：收集装备,收集5种不同类型的装备,,1,18,145,,
319,different_equip,,,,10,11127,装备：收集装备,收集10种不同类型的装备,,1,19,154,,
320,rank5_equip,,,,20,11128,装备：获取5星装备,累计获得20个五星装备,,1,20,158,,
321,rank5_equip,,,,50,11129,装备：获取5星装备,累计获得50个五星装备,,1,21,163,,
322,c_equip_enhancement,,,,1,11130,装备：装备强化,通过“研发-装备强化”将1件装备强化至+10,,1,19,155,10,
323,c_equip_enhancement,,,,5,11131,装备：装备强化,通过“研发-装备强化”将5件装备强化至+10,,1,20,159,10,
324,c_equip_enhancement,,,,30,11132,装备：装备强化,通过“研发-装备强化”将30件装备强化至+10,,1,21,164,10,
325,trial_layer,,,,50,11133,模拟作战：防御演习推进,通关防御演习第50波,,1,20,160,,
326,trial_layer,,,,100,11134,模拟作战：防御演习推进,通关防御演习第100波,,1,21,165,,
327,adjust_equip_attr_100,,,,5,11135,装备：装备校准,将5件装备校准至100%,,1,20,161,,
328,adjust_equip_attr_100,,,,30,11136,装备：装备校准,将30件装备校准至100%,,1,21,166,,
329,special_develop_equip,,,,1,11137,工厂任务：装备重建,通过“工厂-装备制造”完成1次装备重型制造,,1,23,173,,
