id,name,type,sub_type,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,visable_count,score_rewards,ranking_onlist_number,every_table_num,rank_list_num,begin_refresh_time,end_refresh_time,begin_show_time,end_show_time,mission_rank_type,sub_mission_group,event_rank_id,prize_preview
164,02：娜希斯,113,1725,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
165,03：默莉朵,113,1726,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
166,01：格雷夫人,114,1724,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
167,02：娜希斯,114,1725,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
168,03：默莉朵,114,1726,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
169,01：裂变,113,1727,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
170,02：裂变,113,1728,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
171,03：裂变,113,1729,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
172,01：裂变,114,1727,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
173,02：裂变,114,1728,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
174,03：裂变,114,1729,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
175,爆裂·魔女,113,1730,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
176,爆裂·魔女,114,1730,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
177,顶级棋士,9,0,test,顶级棋士排行,,,,100,100,,160000,40000,0,,,,,0,,0,
178,大地·赴罪之人,113,1731,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
179,铁血·厄勒克特拉,113,1732,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
180,铁血·无归者,113,1733,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
181,大地·赴罪之人,114,1731,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
182,铁血·厄勒克特拉,114,1732,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
183,铁血·无归者,114,1733,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
184,01焓变·刺霜,113,1734,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
185,02焓变·夜霭,113,1735,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
186,03焓变·冥雾,113,1736,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
187,01焓变·刺霜,114,1734,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
188,02焓变·夜霭,114,1735,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
189,03焓变·冥雾,114,1736,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
190,I 飓风：蜕骨,113,1737,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
191,II 飓风：枯蛱,113,1738,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
192,I 飓风：蜕骨,114,1737,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
193,II 飓风：枯蛱,114,1738,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
