id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef
28,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
29,"9,2,5,10,90,91,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
30,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
31,"9,2,5,10,90,91,92,17,25,3,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
32,"9,2,5,10,90,91,92,17,25,3,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
33,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
34,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
35,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
36,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,29,27",,0,20004,0,,,,,0,,,,,,,0,1,0,
37,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
38,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
39,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
40,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
41,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
42,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27",,0,20005,0,,,,,0,,,,,,,0,1,0,
43,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
44,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
45,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
46,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
47,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
48,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
49,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,1,15",,557,90003,0,,,15,,0,,,,,,,0,1,0,
50,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
51,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
52,"9,2,5,10,90,91,92,17,25,93,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
53,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27",,0,20003,0,,,,,0,,,,,,,0,1,0,
54,"9,2,5,10,90,91,92,17,25,93,24,71,68,11,14,3,12,29,27,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
55,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
56,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
57,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
58,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,11,14,3,12,29,27,18",,0,20004,0,,,,,0,,,,,,,0,1,0,
59,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
60,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,6,29,27,18",,0,20004,0,,,,,0,,,,,,,0,1,0,
61,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
62,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
63,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
64,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,29,27,18,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
65,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,11,14,3,12,29,27,18,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
66,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
67,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
68,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
69,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
70,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,58,61",,0,20005,0,,,,,0,,,,,,,0,1,0,
71,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
72,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
73,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
74,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
75,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
76,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
77,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,51,47,8,22,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
78,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20004,0,,,,,0,,,,,,,0,1,0,
79,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
80,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
81,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
82,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70,19",,558,90004,1,,,19,,0,,,,,,,0,1,0,
83,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
84,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
85,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
86,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
87,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20005,0,,,,,0,,,,,,,0,1,0,
88,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
89,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
90,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
91,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
92,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
93,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
94,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
95,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
96,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
97,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
98,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
99,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70",,0,20006,0,,,,,0,,,,,,,0,1,0,
100,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
101,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
102,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
103,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
104,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
105,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
106,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
107,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
108,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
109,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20006,0,,,,,0,,,,,,,0,1,0,
110,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
111,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
112,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
113,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
114,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
115,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44,26,19",,558,90005,0,,,19,,0,,,,,,,0,1,0,
116,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
117,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
118,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
119,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20004,0,,,,,0,,,,,,,0,1,0,
120,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
121,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
122,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44",,0,20006,0,,,,,0,,,,,,,0,1,0,
123,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
124,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,6,8,13,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,,0,1,0,
125,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
126,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
127,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,11,14,3,12,13,29,27,18,32,58,61,70,44,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
128,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
129,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20007,1,,,,,0,,,,,,,0,1,0,
130,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
131,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,58,61,70,44,37,34",,0,20007,1,,,,,0,,,,,,,0,1,0,
132,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
133,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
134,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20003,0,,,,,0,,,,,,,0,1,0,
135,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
136,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,,0,1,0,
137,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
138,"9,2,5,10,90,91,21,24,31,33,94,71,68,74,63,51,47,40,41,87,82,6,8,13,22,70,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
139,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,89,86,60,108",,559,90006,1,,,108,,0,,,,,,,0,1,0,
140,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
141,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
142,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
143,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
144,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
145,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,,0,1,0,
146,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
147,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
148,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
149,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,1,,,,,0,,,,,,,0,1,0,
150,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
151,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
152,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
153,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
154,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,3,29,18,61,70,37,34,86,80,60",,0,20008,0,,,,,0,,,,,,,0,1,0,
155,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
156,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
157,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,12,14,27,32,58,61,37,34,77,80,1,26,60,108",,559,90007,1,,,108,,0,,,,,,,0,1,0,
158,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
159,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
160,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
161,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,,0,1,0,
162,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,11,12,27,18,58,61,44,37,89,86,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
163,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
164,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
165,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,0,,,,,0,,,,,,,0,1,0,
166,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
167,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
168,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
169,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
170,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
171,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,3,29,18,61,70,37,34,86,80,60",,0,20005,0,,,,,0,,,,,,,0,1,0,
172,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
173,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
174,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
175,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
176,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,12,14,27,32,58,61,37,34,77,80,42",,0,20007,0,,,,,0,,,,,,,0,1,0,
177,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
178,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
179,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,77,80,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
180,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,21,71,68,74,63,51,47,40,41,87,82,6,8,13,22,89,86,77,80,0",,0,20006,0,,,,,0,,,,,,,0,1,0,
181,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
182,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,77,80,0",,0,20008,0,,,,,0,,,,,,,0,1,0,
183,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,44,34,77,80,66,69",,0,20007,1,,,,,0,,,,,,,0,1,0,
184,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20008,1,,,,,0,,,,,,,0,1,0,
185,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,89,86,0",,0,20007,1,,,,,0,,,,,,,0,1,0,
186,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20005,0,,,,,0,,,,,,,0,1,0,
187,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20007,0,,,,,0,,,,,,,0,1,0,
