id,type,sort,item_ids,gem,mp,ammo,mre,part,bp_pay,skin,gift,gemprice,original_price,pointprice,if_cheap,quota,giftbag_name,event_code,icon,daily_quota,tips,discount,sale_starttime,sale_endtime,label,prize_id,pay_type,itemprice,on_sale_days,price_up,classification_id,description
22,1,0,7-1,0,0,0,0,0,0,0,,580,0,0,0,0,,0,,0,,1.0,0,0,0,0,0,0,0,0,5004,
23,1,0,,0,0,0,0,0,3,0,,20,0,0,0,2001,,dailyGiftbag,,10,,1.0,0,0,1,0,0,0,0,10000,5004,
24,1,1,41-10,0,0,0,0,0,0,0,,80,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
25,1,1,41-100,0,0,0,0,0,0,0,,600,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
26,1,13,16-1,0,0,0,0,0,0,0,,38,0,0,0,0,,0,,0,,1.0,0,0,0,0,0,0,0,0,5002,
28,1,3,601-1,0,0,0,0,0,0,0,,98,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
29,1,3,601-10,0,0,0,0,0,0,0,,980,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
30,1,3,10603-3,0,0,0,0,0,0,0,,20,0,0,0,2001,特殊材料副本代币,dailyGiftbag,,10,,1.0,0,0,1,0,0,0,0,10000,5004,
31,1,3,605-1,0,0,0,0,0,0,0,,160,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
32,1,3,605-10,0,0,0,0,0,0,0,,1600,0,0,0,0,,0,,0,,1.0,0,0,1,0,0,0,0,0,5004,
113,8,0,3-1,0,1000,1000,1000,1000,0,0,,288,790,0,0,2001,盛夏特惠礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
114,8,0,,0,4000,4000,4000,1000,0,0,,980,1800,0,0,2001,盛夏资源礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
115,8,0,"1-5,3-5,4-5,8-5",0,0,0,0,0,0,0,,888,1550,0,0,2001,盛夏契约礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
116,8,0,"2-10,3-10",0,0,0,0,500,0,0,,488,980,0,0,2001,装备制造礼包,dailyGiftbag,Bumdle_black,1,,1.0,0,0,0,0,0,0,0,0,3002,
117,8,0,"1-1,3-1",0,600,600,100,400,0,0,,198,410,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_red,10,,1.0,0,0,0,0,0,0,0,0,3002,
119,8,0,"3-2,1-2,8-1,2-2",0,1500,1500,1500,1500,0,0,,988,1610,0,0,2001,中秋团圆礼包,dailyGiftbag,Bumdle_yellow,1,,1.0,0,0,0,0,0,0,0,0,3002,
120,8,0,0,0,4000,4000,4000,4000,0,0,,1988,2888,0,0,2001,圣建资源礼包,dailyGiftbag,Bumdle_red,1,,1.0,0,0,0,0,0,0,0,0,3002,
121,8,0,"3-25,1-25",0,0,0,0,0,0,0,,1888,2750,0,0,2001,圣建契约礼包,dailyGiftbag,Bumdle_red,1,,1.0,0,0,0,0,0,0,0,0,3002,
122,8,0,4-5,0,500,1000,500,200,0,0,,198,562,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_black,1,,1.0,0,0,0,0,0,0,0,0,3002,
123,8,0,7-2,0,0,0,0,0,0,0,,998,1160,0,0,2001,甜蜜誓约礼包,dailyGiftbag,Bumdle_ring,1,,1.0,0,0,0,0,0,0,0,0,3002,
124,8,0,"1-1,3-1",0,400,400,400,200,0,0,,158,326,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_guoqing,10,,1.0,0,0,0,0,0,0,0,0,3002,
125,8,0,4-5,0,500,1000,1000,0,0,0,,198,550,0,0,2001,每日作战补给,dailyGiftbag,Bumdle_brown,1,,1.0,0,0,0,0,0,0,0,0,3002,
126,8,0,"1-1,3-1",0,400,400,400,200,0,0,,158,326,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_red,10,,1.0,0,0,0,0,0,0,0,0,3002,
127,8,0,"1-5,3-5,4-5,8-3",0,0,0,0,0,0,0,,888,1550,0,0,2001,契约特惠礼包,dailyGiftbag,Bumdle_indigo,1,,1.0,0,0,0,0,0,0,0,0,3002,
128,8,51,41-20,0,0,0,0,0,0,0,1-1,388,0,0,0,2001,南瓜熊熊礼包,dailyGiftbag,Bumdle_halloween,0,,1.0,0,0,0,0,0,0,0,0,3003,
129,8,52,41-30,0,0,0,0,0,0,0,4-1,588,0,0,0,2001,糖果快递礼包,dailyGiftbag,Bumdle_halloween,0,,1.0,0,0,0,0,0,0,0,0,3003,
130,8,53,41-50,0,0,0,0,0,0,0,8-1,988,0,0,0,2001,甜心小恶魔礼包,dailyGiftbag,Bumdle_halloween,0,,1.0,0,0,0,0,0,0,0,0,3003,
131,8,0,"3-10,41-500",0,0,0,0,0,0,0,,2888,4500,0,0,2001,双11特惠礼包,dailyGiftbag,Bumdle_double11,1,,1.0,0,0,0,0,0,0,0,0,3002,
132,8,0,7-2,0,0,0,0,0,0,0,,998,1160,0,0,2001,甜蜜誓约礼包,dailyGiftbag,Bumdle_ring,5,,1.0,0,0,0,0,0,0,0,0,3002,
133,8,0,4-5,0,500,1000,500,200,0,0,,198,562,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_purple,1,,1.0,0,0,0,0,0,0,0,0,3002,
134,8,0,"1-10,3-10,7-1,41-100",0,0,0,0,0,0,0,,1480,2480,0,0,2001,感恩回馈礼包,dailyGiftbag,Bumdle_thanksgiving,0,,1.0,0,0,0,0,0,0,0,0,3002,
135,8,0,,0,4000,4000,4000,4000,0,0,,1988,2880,0,0,2001,圣建资源礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
136,8,0,"1-25,3-25",0,0,0,0,0,0,0,,1888,2750,0,0,2001,圣建契约礼包,dailyGiftbag,Bumdle_ruby,1,,1.0,0,0,0,0,0,0,0,0,3002,
137,8,0,1-1,0,1000,1000,1000,500,0,0,,288,600,0,0,2001,冬日特惠礼包,dailyGiftbag,Bumdle_white,1,,1.0,0,0,0,0,0,0,0,0,3002,
138,8,48,41-20,0,0,0,0,0,0,0,303-1,588,0,0,0,2001,M14圣夜祭礼包,dailyGiftbag,Bumdle_Christmas,0,,1.0,0,0,0,0,0,0,0,0,3003,
139,8,49,41-30,0,0,0,0,0,0,0,302-1,988,0,0,0,2001,春田圣夜祭礼包,dailyGiftbag,Bumdle_Christmas,0,,1.0,0,0,0,0,0,0,0,0,3003,
140,8,50,41-50,0,0,0,0,0,0,0,308-1,1488,0,0,0,2001,FAL圣夜祭礼包,dailyGiftbag,Bumdle_Christmas,0,,1.0,0,0,0,0,0,0,0,0,3003,
141,8,0,"7-2,41-100",0,0,0,0,0,0,0,,1588,1960,0,0,2001,元旦礼包,dailyGiftbag,Bumdle_newyear,0,,1.0,0,0,0,0,0,0,0,0,3002,
142,8,0,"1-2,41-20",0,0,0,0,0,0,0,,188,280,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_black,1,,1.0,0,0,0,0,0,0,0,0,3002,
143,8,0,,0,10000,10000,10000,10000,0,0,,3888,7200,0,0,2001,重建资源补给,dailyGiftbag,Bumdle_yellow,10,,1.0,0,0,0,0,0,0,0,0,3002,
144,8,0,"1-40,3-20",0,0,0,0,0,0,0,,2288,3400,0,0,2001,重建契约补给,dailyGiftbag,Bumdle_purple,10,,1.0,0,0,0,0,0,0,0,0,3002,
145,8,47,"7-1,41-100",0,0,0,0,0,0,0,406-1,2588,0,0,0,2001,97式春节礼包,dailyGiftbag,Bumdle_Spring,0,,1.0,0,0,0,0,0,0,0,0,3003,
146,8,0,"1-50,3-10",0,6000,2000,6000,4000,0,0,,2888,6620,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_Spring,50,,1.0,0,0,0,0,0,0,0,0,3002,
147,8,0,"1-5,41-20",0,0,0,0,0,0,0,,288,460,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_red,1,,1.0,0,0,0,0,0,0,0,0,3002,
148,8,0,7-2,0,0,0,0,0,0,0,,998,1160,0,0,2010,甜蜜誓约礼包,dailyGiftbag,Bumdle_Valentine,0,,1.0,0,0,0,0,0,0,0,0,3002,
149,8,0,"44-150,9-20",0,0,0,0,0,0,0,,248,0,0,0,2001,征战补给礼包,dailyGiftbag,Bumdle_black,2,,1.0,0,0,0,0,0,0,0,0,3002,
150,8,0,"1-10,3-10",0,4000,4000,4000,2000,0,0,,1588,3260,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_red,50,,1.0,0,0,0,0,0,0,0,0,3002,
151,8,46,"7-1,41-50",0,0,0,0,0,0,0,605-1,1888,0,0,0,2001,PK纯白誓约礼包,dailyGiftbag,Bumdle_whiteValentine,0,,1.0,0,0,0,0,0,0,0,0,3003,
152,8,0,4-10,0,0,10000,10000,0,0,0,,1288,2900,0,0,2001,作战补给礼包,dailyGiftbag,Bumdle_indigo,5,,1.0,0,0,0,0,0,0,0,0,3002,
153,8,0,"1-1,44-100",0,0,0,0,0,0,0,,158,0,0,0,2001,点券特惠礼包,dailyGiftbag,Bumdle_orange,2,,1.0,0,0,0,0,0,0,0,0,3002,
154,8,0,"1-50,3-10",0,6000,2000,6000,4000,0,0,,2888,6620,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
155,8,0,"7-1,41-200",0,0,0,0,0,0,0,,1580,2180,0,0,2010,复活节特惠礼包,dailyGiftbag,Bumdle_easter,0,,1.0,0,0,0,0,0,0,0,0,3002,
156,8,0,"44-200,41-10",0,0,0,0,0,0,0,,198,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_yellow,1,,1.0,0,0,0,0,0,0,0,0,3002,
157,8,0,"1-10,3-10",0,6000,6000,1000,4000,0,0,,1980,4100,0,0,2001,制造特惠礼包（MG）,dailyGiftbag,Bumdle_blue,10,,1.0,0,0,0,0,0,0,0,0,3002,
158,8,0,"1-10,3-10",0,1000,4000,4000,2000,0,0,,1380,2900,0,0,2001,制造特惠礼包（AR）,dailyGiftbag,Bumdle_indigo,10,,1.0,0,0,0,0,0,0,0,0,3002,
159,8,45,"7-1,41-100",0,0,0,0,0,0,0,807-1,2588,0,0,0,2001,SR-3MP牧月之邀礼包,dailyGiftbag,Bumdle_1yearpackage,0,,1.0,0,0,0,0,0,0,0,0,3003,
160,8,44,"7-1,41-50",0,0,0,0,0,0,0,803-1,1888,0,0,0,2001,莫辛纳甘牧月之邀礼包,dailyGiftbag,Bumdle_1yearpackage,0,,1.0,0,0,0,0,0,0,0,0,3003,
161,8,43,7-1,0,0,0,0,0,0,0,801-1,1288,0,0,0,2001,蝎式牧月之邀礼包 ,dailyGiftbag,Bumdle_1yearpackage,0,,1.0,0,0,0,0,0,0,0,0,3003,
162,8,0,4-1,0,0,1000,1000,0,0,0,,128,290,0,0,2001,作战补给礼包,dailyGiftbag,Bumdle_indigo,10,,1.0,0,0,0,0,0,0,0,0,3002,
163,8,0,"1-50,3-10",0,6000,2000,6000,4000,0,0,,2888,6620,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
164,8,0,"2-5,9-20",0,0,0,0,0,0,0,,188,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_indigo,5,,1.0,0,0,0,0,0,0,0,0,3002,
165,8,0,4-1,0,0,1000,1000,0,0,0,,128,290,0,0,2001,作战补给礼包,dailyGiftbag,Bumdle_indigo,10,,1.0,0,0,0,0,0,0,0,0,3002,
166,8,0,"2-10,3-10",0,1500,1500,1500,1500,0,0,,899,1880,0,0,2001,装备制造礼包,dailyGiftbag,Bumdle_orange,50,,1.0,0,0,0,0,0,0,0,0,3002,
167,8,0,"44-150,9-20",0,0,0,0,0,0,0,,248,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
168,8,0,"1-50,3-10",0,6000,2000,6000,4000,0,0,,2888,6620,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
169,8,0,,0,0,2000,2000,0,0,0,,218,480,0,0,2001,作战补给礼包,dailyGiftbag,Bumdle_indigo,10,,1.0,0,0,0,0,0,0,0,0,3002,
170,8,41,"7-1,41-100",0,0,0,0,0,0,0,1102-1,2468,0,0,0,2001,95式盛夏礼包,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,0,0,0,0,3003,
171,8,40,41-100,0,0,0,0,0,0,0,1108-1,1888,0,0,0,2001,WA2000盛夏礼包,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,0,0,0,0,3003,
172,8,42,,0,0,0,0,0,0,0,1101-1,1388,0,0,0,2001,NTW-20盛夏礼包,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,0,0,0,0,3003,
201,8,0,,0,9000,0,0,0,0,0,,480,960,0,0,2001,人力半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
202,8,0,,0,0,9000,0,0,0,0,,480,960,0,0,2001,弹药半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
203,8,0,,0,0,0,9000,0,0,0,,480,960,0,0,2001,口粮半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
204,8,0,,0,0,0,0,3000,0,0,,480,960,0,0,2001,零件半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
205,8,0,,0,0,0,0,0,0,0,,580,0,0,0,2001,装备重造特惠,dailyGiftbag,Bumdle_purple,50,,1.0,0,0,0,83,0,0,0,0,3002,
206,8,0,,0,0,0,0,0,0,0,,168,0,0,0,2001,训练资料特惠,dailyGiftbag,Bumdle_orange,1,,1.0,0,0,0,84,0,0,0,0,3002,
207,8,0,"44-150,9-20",0,0,0,0,0,0,0,,248,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_blue,1,,1.0,0,0,0,0,0,0,0,0,3002,
208,8,0,"1-10,3-10",0,6000,6000,4000,4000,0,0,,1980,4460,0,0,2001,一发入魂礼包,dailyGiftbag,Bumdle_black,50,,1.0,0,0,0,0,0,0,0,0,3002,
209,8,0,"7-2,41-100",0,7777,7777,7777,7777,0,0,,2777,7559,0,0,2001,七夕特惠礼包,dailyGiftbag,Bumdle_Valentine,0,,1.0,0,0,0,0,0,0,0,0,3002,
210,8,0,,0,0,0,0,0,0,0,,180,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_red,1,,1.0,0,0,0,85,0,0,0,0,3002,
211,8,0,4-1,0,0,1000,1000,0,0,0,,138,290,0,0,2001,作战补给礼包,dailyGiftbag,Bumdle_indigo,10,,1.0,0,0,0,0,0,0,0,0,3002,
212,8,0,"1-10,3-10",0,0,0,0,0,0,0,,480,860,0,0,2001,契约特惠礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
213,8,0,,0,9000,0,0,0,0,0,,480,960,0,0,2001,人力半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
214,8,0,,0,0,9000,0,0,0,0,,480,960,0,0,2001,弹药半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
215,8,0,,0,0,0,9000,0,0,0,,480,960,0,0,2001,口粮半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
216,8,0,,0,0,0,0,3000,0,0,,480,960,0,0,2001,零件半价礼包,dailyGiftbag,Bumdle_ruby,50,,1.0,0,0,0,0,0,0,0,0,3002,
217,8,0,,0,0,0,0,0,0,0,,380,0,0,0,2001,人形重造特惠,dailyGiftbag,Bumdle_purple,50,,1.0,0,0,0,87,0,0,0,0,3002,
218,8,0,,0,0,0,0,0,0,0,,168,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_red,1,,1.0,0,0,0,88,0,0,0,0,3002,
219,8,0,,0,9000,0,0,0,0,0,,480,960,0,0,2001,人力半价礼包,dailyGiftbag,Bumdle_guoqing,50,,1.0,0,0,0,0,0,0,0,0,3002,
220,8,0,,0,0,9000,0,0,0,0,,480,960,0,0,2001,弹药半价礼包,dailyGiftbag,Bumdle_guoqing,50,,1.0,0,0,0,0,0,0,0,0,3002,
221,8,0,,0,0,0,9000,0,0,0,,480,960,0,0,2001,口粮半价礼包,dailyGiftbag,Bumdle_guoqing,50,,1.0,0,0,0,0,0,0,0,0,3002,
222,8,0,,0,0,0,0,3000,0,0,,480,960,0,0,2001,零件半价礼包,dailyGiftbag,Bumdle_guoqing,50,,1.0,0,0,0,0,0,0,0,0,3002,
223,8,0,,0,0,0,0,0,0,0,,380,0,0,0,2001,月夕超值礼盒,dailyGiftbag,Bumdle_bline,50,,1.0,0,0,0,89,0,0,0,0,3002,
224,8,77,"7-1,41-100",0,0,0,0,0,0,0,1403-1,2588,0,0,0,2001,IWS2000狂月礼包,dailyGiftbag,Bumdle_halloween2017,0,,1.0,0,0,0,0,0,0,0,0,3003,
225,8,0,,0,0,0,0,0,0,0,,128,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_orange,1,,1.0,0,0,0,97,0,0,0,0,3002,
226,8,0,"13-1,41-500",0,0,0,0,0,0,0,,1999,0,0,0,2001,双11狂欢礼包,dailyGiftbag,Bumdle_double112017,1,,1.0,0,0,0,0,0,0,0,0,3002,
227,8,0,7-2,0,0,0,0,0,0,0,,998,0,0,0,2001,甜蜜誓约礼包,dailyGiftbag,Bumdle_Valentine,5,,1.0,0,0,0,0,0,0,0,0,3002,
228,8,0,,0,0,0,0,0,0,0,,0,0,0,0,2001,战术人形：德丽莎,dailyGiftbag,profilePic_Theresa_origin,0,,1.0,0,0,0,114,1,100005-120,0,0,1004,
229,8,0,,0,0,0,0,0,0,0,,0,0,0,0,2001,战术人形：希儿,dailyGiftbag,profilePic_Seele_origin,0,,1.0,0,0,0,115,1,100005-120,0,0,1004,
230,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2003,战术妖精：耀夜姬,dailyGiftbag,profilePic_Kaguya_origin,0,,1.0,0,0,0,116,1,100005-80,0,0,1004,
231,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2003,战术妖精：柯萝伊,dailyGiftbag,profilePic_Chloe_origin,0,,1.0,0,0,0,117,1,100005-80,0,0,1004,
232,8,2,,0,0,0,0,0,0,0,508-1,0,0,0,0,2001,装扮：希儿的祭礼,dailyGiftbag,profilePic_Seele_GGSD,0,,1.0,0,0,0,0,1,100005-120,0,0,1004,
233,8,6,1194-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-琪亚娜,dailyGiftbag,Bumdle_purple,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
234,8,6,1195-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-芽衣,dailyGiftbag,Bumdle_orange,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
235,8,6,1196-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-布洛妮娅,dailyGiftbag,Bumdle_blue,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
236,8,6,1197-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-德丽莎,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
237,8,6,1198-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-姬子,dailyGiftbag,Bumdle_yellow,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
238,8,6,1199-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：独法师-希儿,dailyGiftbag,Bumdle_white,0,,1.0,0,0,0,0,1,100005-15,0,0,1004,
239,8,5,1200-1,0,0,0,0,0,0,0,,0,0,0,0,2001,名片背景：独法师-封面,dailyGiftbag,card_souvenir1_GGSD,0,,1.0,0,0,0,0,1,100005-20,0,0,1004,
240,8,5,1202-1,0,0,0,0,0,0,0,,0,0,0,0,2001,名片背景：独法师-崩坏降临,dailyGiftbag,card_souvenir3_GGSD,0,,1.0,0,0,0,0,1,100005-20,0,0,1004,
241,8,7,,0,0,0,0,0,0,0,100004-1,0,0,0,0,2060,礼物：无法回头的命运,dailyGiftbag,gift_item_destiny,0,,1.0,0,0,0,0,1,100005-2,0,0,1004,
242,8,7,,0,0,0,0,0,0,0,200002-1,0,0,0,0,2060,礼物：光明的诗歌,dailyGiftbag,gift_item_brightsong,0,,1.0,0,0,0,0,1,100005-2,0,0,1004,
243,8,0,,0,0,0,0,0,0,0,506-1,1288,0,0,0,2001,琪亚娜的礼装,dailyGiftbag,Bumdle_package,0,,1.0,0,0,0,0,0,0,0,0,3003,
244,8,0,,0,0,0,0,0,0,0,507-1,1288,0,0,0,2001,布洛妮娅的装甲,dailyGiftbag,Bumdle_package,0,,1.0,0,0,0,0,0,0,0,0,3003,
245,8,1,7-1,0,0,0,0,0,0,0,1502-1,1988,0,0,0,2001,竞争者歌剧魅影礼包,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,0,0,0,0,3003,
246,8,2,7-1,0,0,0,0,0,0,0,1505-1,1588,0,0,0,2001,AEK-999极道车神礼包,dailyGiftbag,Bumdle_black,0,,1.0,0,0,0,0,0,0,0,0,3003,
247,8,0,,0,0,0,0,0,0,0,,158,0,0,0,2001,每日特惠礼包,dailyGiftbag,Bumdle_navy,1,,1.0,0,0,0,121,0,0,0,0,3002,
248,8,0,,0,9000,0,0,0,0,0,,480,960,0,0,2001,人力半价礼包,dailyGiftbag,Bumdle_blue,50,,1.0,0,0,0,0,0,0,0,0,3002,
249,8,0,,0,0,9000,0,0,0,0,,480,960,0,0,2001,弹药半价礼包,dailyGiftbag,Bumdle_blue,50,,1.0,0,0,0,0,0,0,0,0,3002,
250,8,0,,0,0,0,9000,0,0,0,,480,960,0,0,2001,口粮半价礼包,dailyGiftbag,Bumdle_blue,50,,1.0,0,0,0,0,0,0,0,0,3002,
251,8,0,,0,0,0,0,3000,0,0,,480,960,0,0,2001,零件半价礼包,dailyGiftbag,Bumdle_blue,50,,1.0,0,0,0,0,0,0,0,0,3002,
252,8,0,"1-10,3-10",0,0,0,0,0,0,0,,430,860,0,0,2001,契约半价礼包,dailyGiftbag,Bumdle_brown,50,,1.0,0,0,0,0,0,0,0,0,3002,
253,8,0,,0,0,0,0,0,0,0,,0,0,0,0,2001,装扮：格林娜-冬幕派对,dailyGiftbag,profilePic_kalina_2017Christmas,0,,1.0,0,0,0,128,1,100006-150,0,0,1004,
254,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2001,家具：圣诞特供豆袋沙发,dailyGiftbag,xmas2017SP_sofa_icon,0,,1.0,0,0,0,122,1,100006-100,0,0,1004,
255,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2001,宠物：圣诞巴哥犬,dailyGiftbag,2016xmas_02,0,,1.0,0,0,0,123,1,100006-100,0,0,1004,
256,8,2,,0,0,0,0,0,0,0,,0,0,0,0,2001,装备：专用战术内存,dailyGiftbag,人形装备_战术核芯片_阿梅利,0,,1.0,0,0,0,124,1,100006-100,0,0,1004,
257,8,3,,0,0,0,0,0,0,0,,0,0,0,0,2001,装备：16Lab空尖弹,dailyGiftbag,弹匣_状态弹_空尖弹_S,0,,1.0,0,0,0,125,1,100006-80,0,0,1004,
258,8,3,,0,0,0,0,0,0,0,,0,0,0,0,2001,装备：16lab热光学披风,dailyGiftbag,人形装备_伪装披风_N3_S,0,,1.0,0,0,0,126,1,100006-80,0,0,1004,
259,8,4,1213-1,0,0,0,0,0,0,0,,0,0,0,0,2001,基地背景：平安夜一角,dailyGiftbag,rfbbg_icon,0,,1.0,0,0,0,0,1,100006-80,0,0,1004,
260,8,5,1226-1,0,0,0,0,0,0,0,,0,0,0,0,2001,名片背景：与大自然的圣诞之约,dailyGiftbag,card_bonus5_xmas,0,,1.0,0,0,0,0,1,100006-50,0,0,1004,
261,8,6,1222-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：战术白貂,dailyGiftbag,profilePic_bonus1_xmas2,0,,1.0,0,0,0,0,1,100006-35,0,0,1004,
262,8,6,1223-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：格里芬圣诞绣章,dailyGiftbag,profilePic_bonus2_xmas2,0,,1.0,0,0,0,0,1,100006-35,0,0,1004,
263,8,6,1224-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：铁血圣诞绣章,dailyGiftbag,profilePic_bonus3_xmas2,0,,1.0,0,0,0,0,1,100006-35,0,0,1004,
264,8,6,1225-1,0,0,0,0,0,0,0,,0,0,0,0,2001,头像：迷之圣诞老人,dailyGiftbag,profilePic_bonus4_xmas2,0,,1.0,0,0,0,0,1,100006-35,0,0,1004,
