id,name,description,code,priority,duration_type,duration_time,special_spot_config_id,mission_hurt_config_id,mission_buff_config_id,detect_target_type,detect_range,effect_target_type,effect_spotbelong_type,effect_range_type,effect_range,side_type,conflict_type,conditions_type,conditions_time,conditions_count,skill_config_id_on_birth,skill_config_id_on_death,death_effect_target_type,death_clear_spot,effect_birth,effect_death,effect_duration,effect_process_star,effect_process_end,effect_process_duration,effect_conditions,effect_conditions_type,spot_buff_config_id,pref_code
1105,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1115,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1106,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1116,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1107,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1117,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1108,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1118,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1109,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1119,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1110,火箭妖精,火箭妖精初始点，生成覆盖点。,11,19,1,2,1120,0,0,-1,0,-1,"0,1,2,3",1,0,0,11,0;1,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,8,0,0,0,"0,1",0,0,
1111,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,4,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1112,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,4,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1113,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,4,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1114,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,4,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1115,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,4,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1116,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,5,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1117,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,5,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1118,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,5,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1119,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,5,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1120,火箭覆盖,火箭妖精覆盖点，覆盖原先点并且生成发动范围技能,99,99,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,2,0,11,0;0,0-0;0-0,5,"0,0,1121","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1121,火箭伤害,火箭妖精伤害点。,99,100,1,1,0,0,0,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,100,1;0,1-1;0-0,0,"0,2,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1301,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1301,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1302,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1302,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1303,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1303,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1304,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1304,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1305,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1305,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1306,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1306,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1307,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1307,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1308,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1308,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1309,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1309,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1310,指挥妖精,指挥妖精生成buff用特殊点,13,21,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,13,1;0,1-1;0-0,0,"1310,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1501,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1501,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1502,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1502,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1503,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1503,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1504,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1504,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1505,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1505,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1506,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1506,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1507,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1507,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1508,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1508,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1509,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1509,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1510,夜间照明,照明妖精生成buff用特殊点,15,23,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,15,1;0,1-1;0-0,0,"1510,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1701,连击1,连击1,1701,1701,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,1701,0;0,0-0;0-0,1,"1701,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1702,连击2,连击2,1702,1702,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,0,1702,0;0,0-0;0-0,1,"1702,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
1800,桃子触发器(友方),,1800,1800,"1,3","2,1",1801,0,0,-1,0,"1,3,7,8,201","0,1,2,3",1,0,0,1800,"0;3,4","0-0;0-1,0-1",0,"0,0,0","0,0,0",0,0,0,0,1005,0,0,0,0,0,0,
1801,桃子生效(友方),,1801,1801,1,1,0,0,0,-1,0,"1,3,7,8,201","0,1,2,3",1,0,0,1801,0;0,0-0;0-0,0,"1801,0,0","0,0,0",0,0,1006,0,0,0,0,0,0,0,0,
1810,桃子触发器(敌方),,1810,1810,"1,3","2,1",1811,0,0,-1,0,"4,5,6","0,1,2,3",1,0,0,1810,"0;3,4","0-0;0-1,0-1",0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
1811,桃子生效(敌方),,1811,1811,1,1,0,0,0,-1,0,"4,5,6","0,1,2,3",1,0,0,1811,0;0,0-0;0-0,0,"1811,0,0","0,0,0",0,0,1006,0,0,0,0,0,0,0,0,
1900,沙暴,,,1900,1,1,0,0,1900,-1,0,"1,8,301,303","0,1,2,3",1,0,0,1900,2;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,1000024,0,0,0,1,0,0,
1901,沙暴2,,,1901,1,2,0,0,1900,-1,0,"1,8,301,303","0,1,2,3",1,0,0,1901,2;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,1000024,0,0,0,1,0,0,
2001,代理人空降标记,,,2001,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,2001,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
2100,陷阱,,,2100,"1,3","1,1",0,21,0,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,2100,3;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,900002,0,0,0,0,0,0,
2101,陷阱,,,2101,"1,3","1,1",0,0,2100,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,2101,3;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,900002,0,0,0,0,0,0,
2200,修理,,,2200,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,2200,0;0,0-0;0-0,0,"0,22,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
2300,火箭,,,2300,"1,2","3,4",0,0,0,-1,2,-1,"0,1,2,3",1,0,0,2300,0;0,0-0;0-0,0,"0,0,0","0,0,2304",-1,0,0,0,8,0,0,0,0,0,0,
2301,发射1,,,1,2,1,0,0,2300,-1,2,"1,8","0,1,2,3",2,0,0,2301,2;0,0-1;0-0,0,"0,0,0","0,0,2302",-1,0,0,0,0,0,0,0,0,0,0,
2302,发射2,,,2,2,1,0,0,2300,-1,2,"1,8","0,1,2,3",2,0,0,2301,2;0,0-1;0-0,0,"0,0,0","0,0,2303",-1,0,0,0,0,0,0,0,0,0,0,
2303,发射3,,,3,2,1,0,0,2300,-1,2,"1,8","0,1,2,3",2,0,0,2301,2;0,0-1;0-0,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
2304,火箭结束,,,4,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,2301,0;0,0-0;0-0,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
10001,【标记】歌利亚爆炸,,,10001,1,1,0,0,0,-1,0,"4,5,6","0,1,2,3",1,0,0,10001,0;0,0-0;0-0,0,"0,1000004,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
20102,【标记】1AP,,,20102,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,20102,0;0,0-0;0-0,0,"20102,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
20202,【标记】2AP,,,20202,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,20202,0;0,0-0;0-0,0,"20202,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
20302,【标记】3AP,,,20302,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,20302,0;0,0-0;0-0,0,"20302,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
100201,棱镜,耀夜姬技能初始生成点,1002,1002,1,1,0,0,0,0,0,"4,5,6","0,1,2,3",1,2,0,1004,0;0,0-0;0-0,3,"0,0,100202","0,0,0",0,0,1002,0,0,0,0,0,"0,1",0,0,
100202,棱镜2,耀夜姬技能效果点,1002,10021,1,1,0,0,0,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,1005,1;0,1-1;0-0,0,"0,1002,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
100401,花瓣初始点,联动妖精生成特殊点,1004,20,1,2,0,0,1004,-1,0,"1,8","0,1,2,3",1,0,0,10,2;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,1004,0,0,0,"0,1",0,0,
100402,花瓣buff点,联动妖精触发战斗生成buff点,100401,100401,1,1,0,0,0,1,0,1,"0,1,2,3",1,0,2,100401,0;0,0-0;0-0,0,"1004,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
363001,【标记】歌莉娅可拾取,,,363001,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,363001,0;0,0-0;0-0,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
363002,【标记】EMP可拾取,,,363002,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,363002,0;0,0-0;0-0,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
363011,【标记】歌莉娅刷新,,,363011,1,99,363001,0,0,-1,0,-1,"0,1,2,3",1,0,0,363011,0;1,0-0;0-1,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
363012,【标记】EMP刷新,,,363012,1,99,363002,0,0,-1,0,-1,"0,1,2,3",1,0,0,363012,0;1,0-0;0-1,0,"0,0,0","0,0,0",-1,0,0,0,0,0,0,0,0,0,0,
381602,【标记】存活1,,,381602,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,9,0,381602,0;0,0-0;0-0,0,"0,0,381604","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381603,【标记】存活2,,,381603,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,9,0,381603,0;0,0-0;0-0,0,"0,0,381605","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381604,【标记】存活判定1,,,381604,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,381604,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381605,【标记】存活判定2,,,381605,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,381605,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381606,【标记】刀半血NPC,,,381606,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,381606,0;0,0-0;0-0,0,"0,9130610,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381704,【标记】狙一枪,,,381704,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,381704,0;0,0-0;0-0,0,"0,1000051,0","0,0,0",0,0,3,0,0,0,0,0,"0,1",0,0,
381901,【标记】预置清堵路,,,381901,"1,3","99,1",381904,0,0,-1,0,-1,"0,1,2,3",1,7,0,381901,"0;3,3","0-0;0-1,0-1",0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381902,【标记】堵路,,,381902,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,9,0,381902,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,900002,0,0,0,"0,1",0,2,
381903,【标记】强身健体,,,381903,1,99,0,0,381903,-1,0,-1,"0,1,2,3",1,0,0,381903,"3,3;0","0-1,0-1;0-0",0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381904,【标记】清堵路,,,381904,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,7,0,381902,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381905,【标记】警觉检测,,,381905,"1,3","99,1",381906,0,0,-1,0,-1,"0,1,2,3",1,7,0,381905,"0;3,3","0-0;0-1,0-1",0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
381906,【标记】刷怪生效,,,381906,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,7,0,381906,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
382001,【标记】堵路_内圈,,,382001,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,382001,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,900002,0,0,0,"0,1",0,3,
382002,【标记】预置清堵路_次内圈,, ,382002,3,1,382001,0,0,"1,3,7,8,201",0,-1,"0,1,2,3",1,1,0,382002,0;3,0-0;0-1,0,"0,0,0","0,0,382007",-1,0,0,0,0,0,0,0,"0,1",0,0,
382003,【标记】预置清堵路_次外圈,,,382003,3,1,382001,0,0,"1,3,7,8,201",0,-1,"0,1,2,3",1,1,0,382003,0;3,0-0;0-1,0,"0,0,0","0,0,382008",-1,0,0,0,0,0,0,0,"0,1",0,0,
382004,【标记】预置清堵路_外圈,,,382004,1,99,382005,0,0,"1,3,7,8,201",0,-1,"0,1,2,3",1,1,0,382004,0;3,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,900001,0,0,0,"0,1",0,0,
382005,【标记】清堵路,,,382001,1,0,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,382001,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
382006,【标记】预置清堵路_入口,,,382006,1,99,1000001,0,0,-1,0,-1,"0,1,2,3",1,0,0,382006,0;3,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,"0,1",0,0,
382007,【标记】预置清堵路_次内圈_特殊解,,,382002,3,1,382005,0,0,"1,3,7,8,201",0,-1,"0,1,2,3",1,1,0,382002,0;3,0-0;0-1,0,"0,0,0","0,0,382002",-1,0,0,0,900001,0,0,0,"0,1",0,0,
382008,【标记】预置清堵路_次内圈_特殊解,,,382003,3,1,382005,0,0,"1,3,7,8,201",0,-1,"0,1,2,3",1,1,0,382003,0;3,0-0;0-1,0,"0,0,0","0,0,382003",-1,0,0,0,900001,0,0,0,"0,1",0,0,
382009,【标记】禁飞,,,382009,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,382009,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,900001,0,0,0,"0,1",0,2,
410300,技能失效标记,,,400300,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,400300,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
410301,靠近检测标记,,,410301,1,1,410302,0,0,"1,8",1,-1,"0,1,2,3",1,0,0,410301,0;3,0-0;0-1,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,3,
410302,靠近检测生效标记,,Dinergate,410302,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410302,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
410312,潜行传送点标记,,,410312,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410312,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,1,0,0,
410351,传送节点生效标记,,,410351,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410351,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,1013,0,0,0,0,0,0,
410352,传送节点标记,,,410352,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410352,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
410361,歌利亚可拾取标记,,,410361,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410361,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
410362,EMP雷可拾取标记,,,410362,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410362,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
410363,手雷爆炸标记,,410363,410363,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410363,0;0,0-0;0-0,0,"0,1000004,0","0,0,0",0,0,1000017,0,0,0,0,0,1,0,0,
410364,EMP爆炸标记,,410364,410364,1,1,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,410364,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,1000020,0,0,0,0,0,1,0,0,
410501,花粉区标记(对蓝色),,,410501,1,99,0,0,410501,301,0,301,"0,1,2,3",1,0,0,410501,3;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,1019,0,0,0,1,0,0,
410502,花粉区标记(对红色),,,410502,1,99,0,0,410502,"4,5,6",0,"4,5,6","0,1,2,3",1,0,0,410502,3;0,0-1;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,1,0,0,
420111,防御门生效标记,,,420111,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,420111,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,3,
420202,潜行目标点标记,,,420202,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,420202,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
420211,潜行装置可用标记,,Console,420211,1,99,0,0,0,-1,0,-1,"0,1,2,3",1,0,0,420211,0;0,0-0;0-0,0,"0,0,0","0,0,0",0,0,0,0,0,0,0,0,0,0,0,
