id,cd_type,init_cd,cd,duration,trigger,target_buff,self_buff,random_buff,hurt,heal,chip,dice,movement_type,movement_parameter,stage_change,perform_creation_id,effect_range,summoner,token,negative_skill_target,chip_ui_control,score,flight,action
11302,1,0,0,2:-1,10101,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,40,3,0,0,
11401,1,0,0,2:-1,11401,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
11402,1,0,0,2:-1,11402,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
11501,1,0,0,2:-1,11501,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,39,3,0,0,
11502,1,0,0,2:-1,11501,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,43,3,0,0,
11601,1,0,0,2:-1,11601,0,174:-6,0,0,0,0,0,0,0,0,0,,0,0,5,3,1,0,
11602,1,0,0,2:-1,11602,0,174:-4,0,0,0,0,0,0,0,0,0,,0,0,5,3,1,0,
11701,1,0,0,2:-1,11701,0,114:-8,0,0,0,0,0,0,0,0,0,,0,0,5,3,1,0,
11702,1,0,0,2:-1,11702,0,114:-6,0,0,0,0,0,0,0,0,0,,0,0,5,3,1,0,
11801,1,0,0,2:-1,11801,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,13,3,0,0,
11901,1,0,0,2:-1,"11901,1190101","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12001,1,0,0,2:-1,12001,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,39,3,0,0,
12002,1,0,0,2:-1,12002,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,39,3,0,0,
12101,1,0,0,2:-1,0,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,0,3,0,0,
12201,1,0,0,2:-1,12201,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,40,3,0,0,
12202,1,0,0,2:-1,12202,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,40,3,0,0,
12301,1,0,9999,2:-1,0,141:1,115:1,0,0,0,0,0,0,0,0,0,,0,0,17,3,0,0,
12302,1,0,0,2:-1,1230102,115:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12303,1,0,0,2:-1,"12303,1230301",215:1,205:1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12304,1,0,0,2:-1,"12304,1230401",215:-1,205:-1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12305,1,0,0,2:-1,12305,115:-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12401,1,0,0,3:1,0,117:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12402,1,0,0,3:1,0,161:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12501,1,0,0,3:1,0,199:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12502,1,0,0,3:1,0,162:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12503,1,0,0,2:-1,"12503,1250301",215:1,203:1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12504,1,0,0,2:-1,"12504,1250401",215:-1,203:-1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12601,1,0,0,3:1,0,102:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12602,1,0,0,3:1,0,163:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12603,1,0,0,2:-1,"12603,1260301",215:1,204:1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12604,1,0,0,2:-1,"12604,1260401",215:-1,204:-1,0,0,0,0,0,0,0,0,0,,0,0,17,0,0,0,
12701,1,0,1,2:-1,"12701,1270103",142:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12702,1,0,1,2:-1,"12701,1270103",163:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12801,1,0,0,2:-1,"12801,12802","118:1,221:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12802,1,0,0,2:-1,0,"118:1,221:1",0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
12901,1,0,0,2:-1,"12901,1290103","115:1,227:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
12902,1,0,0,2:-1,"12901,1290103","115:2,227:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
13001,1,0,0,2:-1,13001,137:1,0,0,0,0,0,2:1:0:0:1,0,0,0,0,,0,0,1,3,0,0,
13002,1,0,0,2:-1,13002,137:1,0,0,0,0,0,2:1:0:0:1,0,0,0,0,,0,0,1,3,0,0,
13003,1,0,0,2:-1,13003,137:-1,0,0,0,0,0,2:1:0:0:1,0,0,0,0,,0,0,5,3,0,0,
13004,1,0,0,2:-1,"13004,13005",137:1,0,0,0,0,0,2:1:0:0:1,0,0,0,0,,0,0,1,3,0,0,
13005,1,0,0,2:-1,"13004,13006",137:1,0,0,0,0,0,2:1:0:0:1,0,0,0,0,,0,0,1,3,0,0,
13101,1,0,0,2:-1,10101,121:1,0,0,0,0,0,0,0,0,0,0,,0,0,18,3,0,0,
13102,1,0,0,2:-1,10101,122:2,0,0,0,0,0,0,0,0,0,0,,0,0,18,3,0,0,
13201,1,0,0,2:-1,13201,120:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
13202,1,0,0,2:-1,13201,120:2,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
13301,1,0,0,2:-1,"13301,14301,1330102,1330103",133:1,0,0,0,0,0,0,6,1,0,0,,0,0,1,3,0,0,
13302,1,0,0,2:-1,"13301,14301,1330102",133:1,0,0,0,0,0,0,6,1,0,0,,0,0,1,3,0,0,
13401,1,0,0,2:-1,13401,0,0,0,0,*400101,0,0,0,0,0,18,,0,0,1,3,0,0,
13501,1,0,0,2:-1,13501,0,0,0,0,*400101,0,0,0,0,0,18,,0,0,1,3,0,0,
13601,1,0,0,2:-1,13601,101:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
13701,1,0,0,2:-1,13701,0,0,0,0,*400101,0,0,0,0,0,18,,0,0,1,3,0,0,
13801,1,0,0,2:-1,13801,121:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
13901,1,0,0,2:-1,13601,0,0,0,0,0,0,0,4,1,0,0,,0,0,1,3,0,0,
13902,1,0,0,2:-1,13601,0,0,0,0,0,0,0,1,2,0,0,,0,0,1,3,0,0,
14001,1,0,0,2:-1,"14001,14002",270:1,253:1,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14002,1,0,0,2:-1,"14001,14002",254:1,253:1,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14003,1,0,0,2:-1,"14701,14002",270:1,253:1,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14004,1,0,0,2:-1,"14701,14002",254:1,253:1,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14101,1,0,0,2:-1,14101,0,166:-1,0,0,0,0,0,4,1,0,0,,0,0,19,3,0,0,
14102,1,0,0,2:-1,14101,0,0,0,0,0,0,0,4,2,0,0,,0,0,19,3,0,0,
14301,1,0,0,2:-1,"14303,14304",282:1,0,0,0,0,0,0,6,1,0,0,,0,0,1,3,0,0,
14302,1,0,0,2:-1,"14303,14304",282:1,0,0,0,0,0,0,6,2,0,0,,0,0,1,3,0,0,
14401,1,0,0,2:-1,13401,122:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14501,1,0,0,2:-1,10101,0,0,0,0,0,0,0,4,2,0,0,,0,0,20,3,0,0,
14502,1,0,0,2:-1,10101,0,0,0,0,0,0,0,1,4,0,0,,0,0,20,3,0,0,
14601,1,0,0,3:1,13401,0,0,0,0,*400102,0,0,0,0,0,18,,0,0,0,3,0,0,
14701,1,0,0,2:-1,14701,123:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14702,1,0,0,2:-1,14701,283:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
14801,1,0,0,2:-1,10101,0,0,0,2,0,0,0,0,0,0,"34,35",,0,0,29,3,0,0,
14802,1,0,0,2:-1,10101,0,0,0,4,0,0,0,0,0,0,"34,35",,0,0,29,3,0,0,
14803,1,0,0,2:-1,10101,0,0,0,0,0,0,0,0,0,0,33,,0,0,47,3,0,0,
14901,1,0,0,3:1,0,0,0,0,0,0,0,0,6,1,0,0,,0,0,0,3,0,0,
15001,1,0,1,2:-1,10101,0,0,0,*300103,0,0,0,0,0,0,0,,0,0,23,3,0,0,
15002,1,0,1,2:-1,10101,0,0,0,2,0,0,0,0,0,0,0,,0,0,23,3,0,0,
15101,1,0,0,2:-1,15101,181:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15201,1,0,0,2:-1,0,124:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15202,1,0,0,2:-1,0,182:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15301,1,0,0,2:-1,0,125:1,0,0,0,0,0,0,0,0,0,0,,0,0,14,3,0,0,
15302,1,0,0,2:-1,0,183:1,0,0,0,0,0,0,0,0,0,0,,0,0,14,3,0,0,
15401,1,0,0,3:1,0,135:1,0,0,0,0,0,1:1:0:0:1,0,0,0,0,,0,0,0,3,0,0,
15501,1,0,0,2:-1,"15501,1550102","126:1,206:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15502,1,0,0,2:-1,"15501,1550102","126:2,206:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15601,1,0,0,2:-1,15601,104:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15602,1,0,0,2:-1,15601,287:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15701,1,0,0,3:1,0,127:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15801,1,0,0,2:-1,15801,147:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15802,1,0,0,2:-1,15802,147:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
15901,1,0,0,2:-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
16001,1,0,0,3:1,0,149:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
16101,1,0,0,2:-1,0,152:1,0,0,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,
16102,1,0,0,2:-1,16102,101:1,0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,
16201,1,0,0,2:-1,16201,"153:1,154:1",0,0,0,0,0,0,0,0,0,0,,0,0,37,0,0,0,
16202,1,0,0,2:-1,16201,"155:1,156:1",0,0,0,0,0,0,0,0,0,0,,0,0,37,0,0,0,
16301,1,0,0,2:-1,16301,195:1,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,
16302,1,0,0,2:-1,16302,195:1,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,
16303,1,0,0,2:-1,"16303,16305",195:-1,0,0,0,0,5:5,0,0,0,0,0,,0,0,1,0,0,0,
16304,1,0,0,2:-1,16304,196:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
16401,1,0,0,2:-1,16401,197:1,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,
16402,1,0,0,2:-1,16401,197:1,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,
16501,1,0,0,2:-1,0,157:1,0,0,0,0,0,0,0,0,0,0,,0,0,14,0,0,0,
16502,1,0,0,2:-1,0,158:1,0,0,0,0,0,0,0,0,0,0,,0,0,14,0,0,0,
16601,1,0,0,2:-1,16401,0,0,0,0,0,7:19201,0,0,0,0,0,,0,0,5,3,0,0,
16602,1,0,0,2:-1,16401,0,0,0,0,0,7:60601,0,0,0,0,0,,0,0,5,3,0,0,
16701,1,0,0,2:-1,16401,0,0,0,0,0,0,0,0,0,0,14,,0,0,1,1,0,0,
16702,1,0,0,2:-1,16401,0,0,0,0,0,0,0,0,0,0,14,,0,0,1,1,0,0,
16901,1,0,0,2:-1,0,164:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,1,0,0,
16902,1,0,0,2:-1,0,198:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17001,1,0,0,2:-1,"12801,1280102","163:1,200:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17002,1,0,0,2:-1,"12801,1280102","263:1,200:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17101,1,0,0,2:-1,"12801,1280103","199:1,201:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17102,1,0,0,2:-1,"12801,1280103","162:1,201:1",0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17201,1,0,0,2:-1,0,127:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,3,0,0,
17202,1,0,0,2:-1,0,165:1,0,0,0,0,0,0,0,0,0,0,,0,0,17,3,0,0,
17301,1,0,0,2:-1,"10301,17301",103:10,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
17302,1,0,0,2:-1,"10301,17302",103:10,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
17401,1,0,0,2:-1,17401,115:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17402,1,0,0,2:-1,0,115:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
17501,1,0,0,2:-1,0,121:1,0,0,0,0,0,0,0,0,0,0,,0,0,38,3,0,0,
17502,1,0,0,2:-1,0,122:1,0,0,0,0,0,0,0,0,0,0,,0,0,38,3,0,0,
17601,1,0,0,2:-1,10301,0,0,0,0,*400101,0,0,0,0,0,18,,0,0,1,3,0,0,
17602,1,0,0,2:-1,10301,0,0,0,0,*400103,0,0,0,0,0,18,,0,0,1,3,0,0,
17701,1,0,0,2:-1,11201,0,"260:1,285:-1",0,0,0,0,0,0,0,0,18,,0,0,1,3,0,0,
17702,1,0,0,2:-1,11201,0,"260:2,285:-1",0,0,0,0,0,0,0,0,18,,0,0,1,3,0,0,
17703,1,0,0,2:-1,"17703,1770301",0,"284:1,285:1",0,0,*400104,0,0,0,0,0,18,,0,0,1,3,0,0,
17704,1,0,0,2:-1,17704,0,"284:-1,260:-99",0,0,0,0,0,0,0,0,18,,0,0,1,3,0,0,
17801,1,0,0,2:-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,38,3,0,0,
17802,1,0,0,2:-1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,38,3,0,0,
17901,1,0,0,2:-1,17901,175:-1,0,0,0,0,0,0,0,0,0,29,,0,0,1,3,0,0,
17902,1,0,0,2:-1,17901,175:-1,0,0,0,0,0,0,0,0,0,29,,0,0,1,3,0,0,
17903,1,0,0,2:-1,0,175:-99,0,0,0,0,0,0,0,0,0,0,,0,0,48,0,0,0,
18001,1,0,0,2:-1,18001,176:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
18002,1,0,0,2:-1,18002,176:-4,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
18101,1,0,0,2:-1,"18101,18102",177:-10,0,0,0,0,0,0,0,0,0,5,,0,2,5,3,0,0,
18102,1,0,0,2:-1,"18101,18102",177:-10,0,0,0,0,0,0,0,0,0,5,,0,4,5,3,0,0,
18201,1,0,99999,2:-1,18602,178:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
18301,1,0,99999,2:-1,18602,178:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
18401,1,0,99999,2:-1,18602,178:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
18501,1,0,99999,2:-1,18602,178:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
18601,1,0,99999,2:-1,18601,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,10,0,
18602,1,0,99999,2:-1,18602,178:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
18701,1,0,0,2:-1,0,179:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
18702,1,0,0,2:-1,0,179:1,0,0,0,0,0,0,0,0,0,0,,0,0,14,3,0,0,
18801,1,0,0,2:-1,18801,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,1,
18802,1,0,0,2:-1,18802,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,1,
18901,1,0,0,2:-1,18901,0,0,0,0,*400101,0,0,0,0,0,18,,0,0,41,3,0,0,
18902,1,0,0,2:-1,18901,0,0,0,0,*400103,0,0,0,0,0,18,,0,0,41,3,0,0,
19001,1,0,0,3:1,0,0,0,0,0,0,0,4:0:0:0:0,0,0,0,0,,0,0,0,0,0,0,
19101,1,0,0,3:1,0,216:1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
19201,1,0,0,3:1,0,217:1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
19301,1,0,0,3:1,0,218:1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
19401,1,0,0,3:1,0,219:1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
19501,1,0,0,2:-1,19501,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,0,0,0,
19502,1,0,0,2:-1,19501,0,0,0,0,0,0,0,0,0,0,0,,0,4,1,0,0,0,
19601,1,0,1,2:-1,"19603,19601",0,0,0,0,0,1:5,0,0,0,0,0,,0,0,1,0,0,0,
19602,1,0,1,2:-1,"19603,19602",0,0,0,0,0,1:5,0,0,0,0,0,,0,0,1,0,0,0,
19701,1,0,0,2:-1,19701,170:-99,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19702,1,0,0,2:-1,19702,"170:-99,168:-99,169:-99,173:-99",0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19801,1,0,0,2:-1,"19801,1980101",0,0,0,0,0,1:5,0,0,0,0,0,,0,0,1,0,0,0,
19802,1,0,0,2:-1,"19801,19802",0,0,0,0,0,1:5,0,0,0,0,0,,0,0,1,0,0,0,
19901,1,0,9999,2:-1,19901,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,10,0,
19902,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19903,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19904,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19905,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19906,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
19907,1,0,9999,2:-1,18602,194:1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,
20101,1,0,0,3:-1,0,128:1,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
20201,1,0,0,3:-1,0,0,0,,*300113,0,0,0,0,0,0,16,,0,0,0,0,0,0,attack
20301,1,0,0,3:-1,0,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
20401,1,0,0,3:-1,0,0,0,,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,
20501,1,0,0,3:-1,20501,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
20601,1,0,0,3:-1,20601,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
20701,1,0,0,3:-1,20701,"114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
20801,1,0,0,3:-1,20801,128:1,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
20901,1,0,0,3:-1,20901,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
21001,1,0,0,3:-1,21001,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
21101,1,0,0,3:-1,21101,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
21201,1,0,0,3:-1,21201,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
21301,1,0,0,3:-1,21301,"114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
21401,1,0,0,3:-1,21401,"114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30101,1,0,0,3:-1,0,0,0,0,0,0,2:1,0,0,0,0,0,,0,0,0,0,0,0,
30201,1,0,0,3:-1,0,0,0,0,2,0,0,0,0,0,0,32,,0,0,0,0,0,0,
30301,1,0,0,3:-1,30301,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30302,1,0,0,3:-1,"30302,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30303,1,0,0,3:-1,"30303,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30304,1,0,0,3:-1,"30304,30312","114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30305,1,0,0,3:-1,"30305,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30306,1,0,0,3:-1,"30306,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30307,1,0,0,3:-1,"30307,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30308,1,0,0,3:-1,"30308,30312","114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30309,1,0,0,3:-1,"30309,30312","114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
30310,1,0,0,3:-1,"30310,30312","114:1,175:1,177:1,288:1",0,"171:1,172:1,223:1,224:1,225:1,226:1,222:1,246:1,247:1",0,0,0,0,0,0,0,19,,0,0,0,0,0,0,
