id,develop_type,type,name,en_name,content,background,mp,ammo,mre,part,type_rarity,preview,is_produce,produce_mp,produce_ammo,produce_mre,produce_part,produce_preview
13,3,1,光学瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>暴击概率</color>,equip_bg,140,10,110,10,"1:A,2:A,3:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65,66|15:87,88,89,90|16:222,223,224",1,140,10,110,10,"1:5,2:4,3:2,4:1"
14,3,2,全息瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>射速</color>,equip_bg,140,10,110,10,"2:A,1:A,3:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65,66|15:87,88,89,90|16:222,223,224",1,140,10,110,10,"5:5,6:4,7:2,8:1"
15,3,3,红点瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>命中</color>，但会减少<color=#FFB400FF>射速</color>,equip_bg,140,10,110,10,"3:A,1:A,2:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65,66|15:87,88,89,90|16:222,223,224",1,140,10,110,10,"9:5,10:4,11:2,12:1"
16,3,4,夜战装备,,*除步枪/机枪人形外均可装备//n可以抵消人形的<color=#FFB400FF>夜战命中惩罚</color>,equip_bg,70,10,150,30,"4:A,1:D,2:D,3:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65,66|15:87,88,89|16:222,223,224",1,70,10,150,30,"13:5,14:3,15:2,16:1"
17,3,13,消音器,,*除机枪/霰弹枪人形外均可装备//n可以提升人形的<color=#FFB400FF>暴击概率</color>和<color=#FFB400FF>回避</color>,equip_bg,150,50,50,50,"13:A,1:D,2:D,3:D,4:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15|9:232,233|10:37,38,39,40,55,56,57,58|11:42,43,44|13:63,64,65,66|15:87,88,89|16:222,223,224",1,150,50,50,50,"63:5,64:3,65:2,66:1"
18,3,5,穿甲弹,,*步枪/机枪人形可以装备//n可以提升人形的<color=#FFB400FF>穿甲能力</color>，提升对装甲单位的伤害,equip_bg,10,150,90,100,"5:A,6:D,8:D,7:D,17:D,1:D,2:D,3:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14|5:17,18,19,20,226,227|6:69,70,71,72,225|7:73,74,75,76,77,78,79,80,230,231,235|8:29,30,31,32|9:232,233|10:37,38,55,56|11:42,43,44|13:63,64,65|15:87,88,89|16:222,223|17:228,229",1,10,150,90,100,"17:5,18:4,19:2,226:2,20:1,227:1"
19,3,6,状态弹,,*手枪/冲锋枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>穿甲</color>//n*同样可以产出信号弹//n可以提升梯队的<color=#FFB400FF>命中</color>，但会减少自身<color=#FFB400FF>射速</color>,equip_bg,180,180,10,50,"6:A,5:D,8:D,7:D,17:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","4:13,14|5:17,18,19,20,226,227|6:69,70,71,72,225|7:73,74,75,76,77,78,79,80,230,231,235|8:29,30,31,32|9:232,233,234|10:37,38,39,40,55,56,57,58|11:42,43|13:63,64,65,66|15:87,88,89|16:222,223,224|17:228,229",1,180,180,10,50,"69:4,70:4,71:3,72:1,225:1"
20,3,8,高速弹,,*突击步枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害</color>,equip_bg,10,230,120,80,"8:A,5:C,6:D,7:D,17:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","4:13,14|5:17,18,19,20,226,227|6:69,70,71,72,225|7:73,74,75,76,77,78,79,80,230,231,235|8:29,30,31,32|9:232,233|10:37,38,55,56|11:42,43,44|13:63,64,65|15:87,88,89|16:222,223|17:228,229",1,10,230,120,80,"29:5,30:4,31:3,32:2"
21,3,7,霰弹,,*霰弹枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害能力</color>，分为独头弹//c猎鹿弹和鸟弹用于不同场合,equip_bg,30,150,30,130,"7:A,5:C,6:D,8:D,17:D,1:D,2:D,3:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15|5:17,18,19,20,226,227|6:69,70,71,72,225|7:73,74,75,76,77,78,79,80,230,231,235|8:29,30,31,32|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65|15:87,88,89|16:222,223|17:228,229",1,30,150,30,130,"73:4,77:4,74:3,78:3,75:2,79:2,230:2,76:1,80:1,231:1,235:1"
22,3,10,外骨骼,,*手枪/冲锋枪/突击步枪人形可以装备//n可以提升人形的<color=#FFB400FF>回避</color>,equip_bg,100,80,10,100,"10:A,11:D,15:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14|9:232,233|10:37,38,39,40,55,56,57,58|11:42,43|13:63,64,65,66|15:87,88,89|16:222,223,224",1,100,80,10,100,"37:4,55:4,38:3,56:3,39:2,57:2,40:1,58:1"
23,3,11,防弹插板,,*霰弹枪人形可以装备//n可以提升人形的<color=#FFB400FF>护甲</color>，但会减少<color=#FFB400FF>回避</color>,equip_bg,50,50,100,100,"11:A,10:D,15:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,40,55,56,57,58|11:42,43,44|13:63,64,65,66|15:87,88,89|16:222,223,224",1,50,50,100,100,"42:5,43:3,44:2"
24,3,14,弹链箱,,*机枪人形可以装备//n可以提升人形的<color=#FFB400FF>弹量</color>，但会减少<color=#FFB400FF>回避</color>,equip_bg,30,30,30,200,"14:A,10:C,11:C,15:C,9:D,4:C,13:C,16:D","4:13,14,15|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65|14:67,68|15:87,88,89|16:222,223",1,30,30,30,200,"67:5,68:3"
25,3,15,伪装披风,,*步枪人形可以装备//n可以提升人形的<color=#FFB400FF>暴击伤害</color>，但会减少<color=#FFB400FF>移速</color>,equip_bg,180,20,200,20,"15:A,10:D,11:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|9:232,233|10:37,38,39,55,56,57|11:42,43|13:63,64,65,66|15:87,88,89,90|16:222,223,224",1,180,20,200,20,"87:5,88:3,89:2,90:1"
26,3,102,装备混合,,*产出所有装备，但每件装备出率//n显著低于使用该装备所属种类公式的出率,equip_bg,150,150,150,150,"1:D,2:D,3:D,4:D,13:D,16:D,5:D,6:D,8:D,7:D,17:D,10:D,11:D,14:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15,16|5:17,18,19,20,226,227|6:69,70,71,72,225|7:73,74,75,76,77,78,79,80,230,231,235|8:29,30,31,32|9:232,233,234|10:37,38,39,40,55,56,57,58|11:42,43,44|13:63,64,65,66|14:67,68|15:87,88,89,90|16:222,223,224|17:228,229",0,0,0,0,0,
27,4,101,妖精低耗,,*该订单只能制造出部分妖精,fairy_bg,500,500,500,500,"101:C,1:C,2:C,3:C,4:C,13:C,16:C,10:C,11:C,15:C,9:C","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|9:232,233|10:38,39,56,57|11:42,43|13:64,65|15:88,89|16:222,223|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
28,4,101,妖精通用,,*该订单可以制造出所有妖精//n投入的资源总量越多，妖精出率越高//n相同资源总量下，档位越高，妖精出率越高,fairy_bg,2000,2000,2000,2000,"101:C,1:C,2:C,3:C,4:C,13:C,16:C,5:C,6:C,8:C,7:C,10:C,11:C,15:C,9:C","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|5:18,19,226|6:70,71|7:74,75,78,79,230|8:30,31|9:232,233,234|10:38,39,40,56,57,58|11:42,43,44|13:64,65,66|15:88,89,90|16:222,223,224|17:228|101:15,16,17,1,2,3,4,6,24,25,7,8,9,5,10,11,12,13,14,23",0,0,0,0,0,
29,4,1,光学瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>暴击概率</color>,equip_bg,2000,500,1650,500,"1:A,101:C,2:A,3:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89,90|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
30,4,2,全息瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>射速</color>,equip_bg,2000,500,1650,500,"2:A,101:C,1:A,3:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89,90|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
31,4,3,红点瞄具,,*除手枪人形外均可装备//n可以提升人形的<color=#FFB400FF>命中</color>，但会减少<color=#FFB400FF>射速</color>,equip_bg,2000,500,1650,500,"3:A,101:C,1:A,2:A,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89,90|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
32,4,4,夜战装备,,*除步枪/机枪人形外均可装备//n可以抵消人形的<color=#FFB400FF>夜战命中惩罚</color>,equip_bg,1000,500,2250,500,"4:A,101:C,1:D,2:D,3:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
33,4,13,消音器,,*除机枪/霰弹枪人形外均可装备//n可以提升人形的<color=#FFB400FF>暴击概率</color>和<color=#FFB400FF>回避</color>,equip_bg,2250,750,750,750,"13:A,101:C,1:D,2:D,3:D,4:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
34,4,5,穿甲弹,,*步枪/机枪人形可以装备//n可以提升人形的<color=#FFB400FF>穿甲能力</color>，提升对装甲单位的伤害,equip_bg,500,2250,1350,1500,"5:A,101:C,6:D,8:D,7:D,17:D,1:D,2:D,3:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|5:18,19,20,226,227|6:70,71|7:74,75,76,78,79,80,230,231,235|8:30,31|9:232,233|10:38,39,56,57|11:42,43,44|13:64,65|15:88,89|16:222,223|17:228,229|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
35,4,6,状态弹,,*手枪/冲锋枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>穿甲</color>//n*同样可以产出信号弹//n可以提升梯队的<color=#FFB400FF>命中</color>，但会减少自身<color=#FFB400FF>射速</color>,equip_bg,2700,2700,500,750,"6:A,101:C,5:D,8:D,7:D,17:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","4:14,15|5:18,19,226|6:70,71,72,225|7:74,75,78,79,230|8:30,31|9:232,233,234|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89|16:222,223,224|17:228,229|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
36,4,8,高速弹,,*突击步枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害</color>,equip_bg,500,3500,1800,1200,"8:A,101:C,5:D,6:D,7:D,17:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","4:14,15|5:18,19,20,226,227|6:70,71,72,225|7:74,75,76,78,79,80,230,231,235|8:30,31,32|9:232,233|10:38,39,56,57|11:42,43,44|13:64,65|15:88,89|16:222,223|17:228,229|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
37,4,7,霰弹,,*霰弹枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害能力</color>，分为独头弹//c猎鹿弹和鸟弹用于不同场合,equip_bg,500,2250,500,2000,"7:A,101:C,5:D,6:D,8:D,17:D,1:D,2:D,3:D,4:D,13:D,16:D,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|5:18,19,20,226,227|6:70,71|7:74,75,76,78,79,80,230,231,235|8:30,31|9:232,233|10:38,39,56,57|11:42,43|13:64,65|15:88,89|16:222,223|17:228,229|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
38,4,10,外骨骼,,*手枪/冲锋枪/突击步枪人形可以装备//n可以提升人形的<color=#FFB400FF>回避</color>,equip_bg,1500,1200,500,1500,"10:A,101:C,11:D,15:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|9:232,233|10:38,39,40,56,57,58|11:42,43|13:64,65,66|15:88,89|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
39,4,11,防弹插板,,*霰弹枪人形可以装备//n可以提升人形的<color=#FFB400FF>护甲</color>，但会减少<color=#FFB400FF>回避</color>,equip_bg,750,750,1500,1500,"11:A,101:C,10:D,15:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|9:232,233|10:38,39,56,57|11:42,43,44|13:64,65|15:88,89|16:222,223|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
40,4,14,弹链箱,,*机枪人形可以装备//n可以提升人形的<color=#FFB400FF>弹量</color>，但会减少<color=#FFB400FF>回避</color>,equip_bg,500,500,500,3000,"14:A,10:C,11:C,15:C,9:D,4:C,13:C,16:D","4:14,15|9:232,233|10:38,39,56,57|11:42,43|13:64,65|14:67,68|15:88,89|16:222,223|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
41,4,15,伪装披风,,*步枪人形可以装备//n可以提升人形的<color=#FFB400FF>暴击伤害</color>，但会减少<color=#FFB400FF>移速</color>,equip_bg,2700,500,3000,500,"15:A,10:D,11:D,9:D,1:D,2:D,3:D,4:D,13:D,16:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|9:232,233|10:38,39,56,57|11:42,43|13:64,65,66|15:88,89,90|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
42,4,102,装备混合,,*产出所有装备，但每件装备出率//n显著低于使用该装备所属种类公式的出率,equip_bg,2500,2500,2500,2500,"1:D,2:D,3:D,4:D,13:D,16:D,5:D,6:D,8:D,7:D,17:D,10:D,11:D,14:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15,16|5:18,19,20,226,227|6:70,71,72,225|7:74,75,76,78,79,80,230,231,235|8:30,31,32|9:232,233,234|10:38,39,40,56,57,58|11:42,43,44|13:64,65,66|14:67,68|15:88,89,90|16:222,223,224|17:228,229|101:15,16,17,1,2,3,4,6,24,25,7,8,9,5,10,11,12,13,14,23",0,0,0,0,0,
43,2,"2,3,4",人形混合,HYBRID,*产出冲锋枪/步枪/突击步枪人形，但每位人形出率//n显著低于使用该人形所属枪种公式的出率,hybrid_bg,4000,4000,4000,2000,"2:C,3:C,4:C","2:16-0,18-0,20-0,22-0,23-0,26-0,27-0,28-0,29-0,32-0,101-0,103-0,104-0,115-0,116-0,127-0,135-0,137-0,150-0,178-0,213-0,228-0,245-0,286-0,304-0,328-0,336-0,347-0,355-0,363-0,364-0|3:34-0,36-0,37-0,39-0,42-0,43-0,44-0,46-0,48-0,50-0,53-0,95-0,117-0,128-0,145-0,146-0,148-0,180-0,184-0,197-0,198-0,235-0,247-0,257-0,261-0,270-0,305-0,312-0,329-0,337-0,348-0|4:58-0,60-0,61-0,62-0,64-0,65-0,66-0,69-0,70-0,72-0,105-0,106-0,118-0,120-0,122-0,129-0,130-0,171-0,172-0,181-0,194-0,196-0,205-0,206-0,214-0,215-0,216-0,236-0,237-0,243-0,262-0,287-0,288-0,290-0,293-0,306-0,313-0,330-0,338-0,349-0,356-0,365-0",0,0,0,0,0,
44,3,16,备用瞄具,,*手枪/机枪人形可以装备//n可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>暴击概率</color>,equip_bg,180,65,65,65,"16:A,1:D,2:D,3:D,4:D,13:C,10:D,11:D,15:D,9:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15|9:232,233|10:37,38,39,40,55,56,57,58|11:42,43,44|13:63,64,65,66|15:87,88,89|16:222,223,224",1,180,65,65,65,"222:5,223:3,224:2"
45,3,9,芯片,,*突击步枪/冲锋枪人形可以装备//n可以提升人形的<color=#FFB400FF>伤害</color>和<color=#FFB400FF>射速</color>，但会减少<color=#FFB400FF>暴击伤害</color>,equip_bg,170,120,50,50,"9:A,10:D,11:D,15:D,1:D,2:D,3:D,4:D,13:D,16:D,5:D,6:D,8:D,7:D","1:1,2,3,4|2:5,6,7,8|3:9,10,11,12|4:13,14,15|5:17,18,19,226|6:69,70,71|7:73,74,75,77,78,79,230|8:29,30,31|9:232,233,234|10:37,38,39,40,55,56,57,58|11:42,43,44|13:63,64,65,66|15:87,88,89|16:222,223,224|17:228",1,170,120,50,50,"232:5,233:4,234:2"
46,4,16,备用瞄具,,*手枪/机枪人形可以装备//n可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>暴击概率</color>,equip_bg,2500,900,900,900,"16:A,1:D,2:D,3:D,4:D,13:C,10:D,11:D,15:D,9:D","1:2,3,4|2:6,7,8|3:10,11,12|4:14,15|9:232,233|10:38,39,40,56,57,58|11:42,43,44|13:64,65,66|15:88,89|16:222,223,224|101:15,16,17,1,2,3,4,6,24,25,7,8,9",0,0,0,0,0,
