id,sangvis_id,sangvis_level,life,sangvis_advance,sangvis_shape_n,sangvis_resolution_level,skill1,skill2,skill3,skill_advance,chip1,chip2,favor
4140614,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140615,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140616,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140617,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140618,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140621,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140622,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140623,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140624,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140625,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140626,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140627,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140628,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140631,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140632,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140633,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140634,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140635,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140636,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140637,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140638,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140641,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140642,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140643,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140644,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140645,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140646,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140647,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140648,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140801,9001,100,100,5,2,4,10,10,10,10,0,0,90000
6000001,2002,30,100,2,2,2,0,0,0,0,0,0,90000
6000002,1008,30,100,5,2,3,5,5,5,0,0,0,90000
6000003,2012,30,100,3,2,3,0,0,0,0,0,0,90000
6000004,2012,30,100,3,2,3,0,0,0,0,0,0,90000
6000005,2003,30,100,5,2,3,0,0,0,0,0,0,90000
6510101,1006,100,100,3,2,4,10,10,5,5,0,0,90000
6510102,2009,100,100,3,2,4,0,0,5,5,0,0,90000
6510103,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510104,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510201,1010,100,100,3,2,4,10,10,5,5,0,0,90000
6510202,2009,100,100,3,2,4,0,0,5,5,0,0,90000
6510203,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510204,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510301,2006,100,100,3,2,4,0,0,5,5,0,0,90000
6510303,2006,100,100,3,2,4,0,0,5,5,0,0,90000
6510304,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510305,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510306,2004,100,100,3,2,4,0,0,5,5,0,0,90000
