id,name,character_des
402,加速猛击,每次常规攻击命中后都将提升自身的攻击速度//c在5次常规攻击后将提升至最大且保持不变。
403,近点燃烧,将向距离自己最近的敌方单位所在点投掷燃烧弹。
404,火焰喷射,该单位可用特殊的火焰喷射器造成范围伤害。移动至我方最近单位面前并朝该单位喷射火焰//c同时目标单位身后的单位也会受到伤害。
405,移动猛击,该单位停止移动后的首次攻击将造成额外的伤害。
406,破片投掷,将向随机敌方单位投掷破片手雷//c对目标区域以及周围4格范围造成伤害。
407,卧射姿态,停止移动3秒后将使用卧射姿态进行攻击//c该模式下优先攻击我方血量最低的单位//c并提升自身命中和伤害。
408,弱点命中,常规攻击中有概率降低受击目标伤害和命中。
409,射程提升,该单位停止移动后将额外获得3点攻击射程。
410,电击投掷,将向随机敌方单位所在点投掷电击手雷//c降低被命中单位的射速和移速。
411,燃烧炮台,该单位将在一定间隔后放置燃烧炮台//c燃烧炮台的常规攻击将引燃命中的区域。
412,电击炮台,该单位将在一定间隔后放置电击炮台//c电击炮台的常规攻击将眩晕命中的单位。
413,装备提升,该单位可在战斗5秒后提升己方全体的射速。
414,黏弹,投掷黏弹并吸附在最近的敌方单位身上//c一段时间后将爆炸对自身及周围8格范围造成伤害。
415,生物科技,一定间隔后将回复自身已损失血量一定比例的护盾。
416,燃烧投掷,将向随机敌方单位所在点投掷燃烧弹。
417,焚烧者,该单位身后的气罐若被击破的话将受到大量的伤害//c若自身血量低于30%//c还将获得额外的伤害提升。
418,机动掩体,该单位将运用掩体与自己的敌人周旋。掩体将提升自身的闪避和命中//c同时血量每损失30%//c该单位都将额外安置一个掩体吸收伤害。
419,地狱火,该单位获得负面状态时将立刻清除自身的负面状态//c同时获得护盾。
420,獠牙,该单位将交替使用两种投掷物削弱我方单位;黏弹将对最近单位造成不可回避的伤害;电击弹将持续降低影响区域内单位的伤害和命中。
421,自动炮台,进入战斗8秒后//c每间隔10秒将安置一架自动炮台//c炮台每次受到的伤害都为1。
422,分裂威胁,血量低于80%/50%/20%时将安置分裂球雷对预警范围造成大量伤害。
423,强袭专注,提升自身火力35%和命中100%//c持续5s。技能前置:5秒//c冷却时间:8秒。
424,射击,该单位的射击可以通过在掩体后躲避从而规避伤害。
425,投掷,将对预警范围造成大量伤害//c注意躲避!同时也将在投掷点留下弹药//c运用弹药进行反击吧!
426,技巧·暴徒,对远距离单位造成基础伤害//c对接近自身的敌方单位造成必中伤害
427,持盾前进,该单位在移动时将使用盾牌降低受到的伤害//c减伤50%
428,干扰B,清除我方所有的正面增益及护盾
429,干扰Y,清除敌方所有的负面效果并给予护盾
430,专业人员,经验不一的专业团队
431,举盾警备,原地举起盾牌持续获得护盾增益
432,蓄力充能,蓄力聚集能量//c对目标造成伤害
433,持续伤害,该单位攻击附带重伤效果，持续扣除我方单位生命值
434,投掷,将对预警范围造成大量伤害//c注意躲避
435,反机械,该单位会使用反机械的武器对我方机械单位造成巨大伤害
436,核心,作为敌人的部队首脑，被击杀后会下降其他单位伤害和回避
437,指挥,该单位能对场上其他单位产生增益效果
438,召唤者,不停地召唤新单位投入战场
439,窃取者,转移敌方的部分属性值到自身
440,刺杀者,善用刀与钢爪，可对敌方单个编制造成斩杀效果
441,竖盾,降低身后单位所受伤害，竖盾期间自身受到一定伤害后，会提前结束竖盾效果
442,征用,偷取当前攻击目标的命中值并标记，可叠加。普攻会依据标记层数对标记目标造成额外伤害
443,掩护号令,提升己方全体回避
444,铁壁,在场时自身周围友方单位所受伤害降低，敌方单位伤害降低
445,樱反像,给自身增加一个护盾，持续5秒。若持续时间内护盾破裂，提升自身闪避，否则提升自身火力
446,披萨标记,攻击标记敌人，累积三个触发额外伤害并提升自身伤害
447,雪人出击,受到4次雪人的攻击的单位会被标记一个编制，所有编制都被标记时，冻结（眩晕）该单位并造成额外伤害
900,？？？？,有关它的一切都处于迷雾中，神秘的存在
901,酗酒,该单位醉意朦胧，迷迷...糊糊...
902,高度危险,警告！高度危险！规避！规避！
903,训练专用,训练用
904,心智干扰,
905,心智复苏,
906,心智链接,
907,心智融合,
908,致命,目标拥有难以承受的超高伤害，千万别被击中
909,人形机械,
910,自动防御设施,该建筑拥有自主攻击的能力
911,失格异构体,失格异构体
1001,精英,在所属势力中能力突出的存在
1002,格里芬精英,来自格里芬的精英单位
1003,高威胁,该单位对我方威胁很大，请谨慎应对
1004,？？？,
