id,name,en_name,code,introduce,dialogue,extra,en_introduce,character,type,rank,develop_duration,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,retiremp,retireammo,retiremre,retirepart,ratio_life,ratio_pow,ratio_rate,ratio_speed,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,special,eat_ratio,ratio_range,skill1,skill2,normal_attack,passive_skill,dynamic_passive_skill,effect_grid_center,effect_guntype,effect_grid_pos,effect_grid_effect,max_equip,type_equip1,type_equip2,type_equip3,type_equip4,ai,is_additional,launch_time,obtain_ids,rank_display,prize_id,mindupdate_consume,explore_tag,gun_detail_bg,org_id
57,ST AR-15,ST AR-15,AR15,"类型            半自动步枪
总重            2.27公斤 - 3.9公斤
全长            991毫米
枪管长度        508毫米，406毫米,368毫米
弹药            .223 Remington、5.56×45毫米NATO
枪机种类        直接导气式，转拴式枪机
发射速率        800发/分
枪口初速        975米/秒
有效射程        550米
供弹方式        10、20、30发STANAG弹匣、其他","ST AR-15,正式加入,请注视着我,好好认清我的价值吧。",LIN+//c加藤英美里//c,Type                       Semi-automatic rifle//n//nWeight                     2.27 kg–3.9 kg (5.5–8.5 lb)//n//nLength                     991 mm (39 in)//n//nBarrel length              24 inches (610 mm)//n//n                           20 inches (510 mm) (standard)//n//n                           18 inches (460 mm)//n//n                           16 inches (410 mm) (civilian standard)//n//n                           14.5 inches (370 mm) M4 Military Standard//n//n                           11.5 inches (290 mm)//n//n                           10 inches (250 mm)//n//n                           7 inches (180 mm)//n//n                           6.5 inches (170 mm)//n//nCartridge                  5.56×45mm NATO and others//n//nAction                     Direct impingement or Gas Piston / Via a Rotating bolt//n//nRate of fire               Depends on operator's speed when pulling trigger//n//nMuzzle velocity            975 m/s (3//c200 ft/s)//n//nEffective firing range     400–600 m (avg 547 yd)//n//nFeed system                Various STANAG magazines. 5–100-round capacity//n//nSights                     Adjustable front and rear iron sights,,4,4,12900,20,20,10,10,2,5,5,0,95,105,115,100,120,120,0,15,20,0,120,125,100407,0,300103,"201436,201002,202006,702017,702041",,13,2,"17,18,19","2,10;4,12",0,"1;1,2,3,4,13,16,18","1;1,2,3,4,13,16,18","2;8,19",,57,0,2016-05-20 00:00:00,6,4,0,"10:20,45:200;10:40,45:1000;10:60,45:2000","20,84",team_ar,10601
58,AK-47,AK-47,AK47,"类型            突击步枪
总重            空枪：4.3公斤
全长            固定型：870毫米
                折叠型展开：875毫米
                折叠型折叠：645毫米
枪管长度        415毫米
弹药            7.62×39毫米
枪机种类        长行程导气式活塞、转拴式枪机
发射速率        600发/分钟
枪口初速        710 米/秒
有效射程        300 米
最大射程        400 米
供弹方式        30、40发弹匣，75、100发弹鼓
瞄准具型式      金属机械照门（可调节），378毫米瞄准基线","哈,总算轮到我啦！期待我横扫世间的表现吧！",厕所董事长//c佐藤利奈//c,Type                       Assault rifle //n//nWeight                     Without magazine:3.47 kg (7.7 lb)//n//n                           Magazine//c empty:0.43 kg (0.95 lb) (early issue)//n//n                                           0.33 kg (0.73 lb) (steel)//n//n                                           0.25 kg (0.55 lb) (plastic)//n//n                                           0.17 kg (0.37 lb) (light alloy)//n//nLength                     Fixed wooden stock:880 mm (35 in)//n//n                           875 mm (34.4 in) folding stock extended//n//n                           645 mm (25.4 in) stock folded//n//nBarrel length              Overall length:415 mm (16.3 in)//n//n                           Rifled bore length:369 mm (14.5 in)//n//nCartridge                  7.62×39mm//n//nAction                     Gas-operated//c rotating bolt//n//nRate of fire               Cyclic rate of fire:600 rds/min//n//n                           Practical rate of fire:Semi-auto 40 rds/min//n//n                           Full-auto 100 rds/min//n//nMuzzle velocity            715 m/s (2//c350 ft/s)//n//nEffective firing range     350 m (380 yd)//n//nFeed system                30-round detachable box magazine//n//nSights                     100–800 m adjustable iron sights//n//n                           Sight radius:378 mm (14.9 in),,4,3,12000,20,20,10,10,2,5,5,0,120,125,100,100,90,85,0,15,20,0,110,105,118002,0,300103,"118013,999999",,13,2,12,"4,18",0,"1;1,2,3,4,13,18",2;8,"3;9,10",,58,0,2016-05-20 00:00:00,"1,3,2",3,0,,"22,50,75",nation_Russia,10302
59,AK-74U,AKS-74U,AK74U,"类型            突击步枪
总重            空枪：2.71公斤
全长            735毫米（展开枪托）
                490毫米（缩起枪托）
枪管长度        210毫米
弹药            5.45×39毫米（M74）
枪机种类        长行程导气式活塞，转拴式枪机
发射速率        650—735发／分钟
枪口初速        735 米／秒
有效射程        200 米
供弹方式        20、30、45发弹匣，90发弹鼓
瞄准具型式      机械瞄具",啊，是BOSS吗？AK-74U，我的名字。为了你的事业，好好考虑下我给的服务吧。,音符//c高橋春香//c,Type                       Assault rifle//nWeight                     2.7 kg (6.0 lb)//nLength                     735 mm (28.9 in) stock extended//n                           490 mm (19.3 in) stock folded//nBarrel length              206.5 mm (8.1 in)//nCartridge                  5.45×39mm//nAction                     Gas-operated//c rotating bolt//nRate of fire               650 rounds/min//nMuzzle velocity            735 m/s (2//c411 ft/s) //nEffective firing range     400m//nFeed system                30-round or 45-round RPK-74 detachable box magazine or 60-round casket magazine//nSights                     Adjustable iron sights//c front post and rear notch on a scaled tangent//n                           Flip-up sight and front cylindrical post,,2,5,8280,25,20,15,10,5,5,2,0,110,136,108,100,118,115,0,15,5,0,103,100,110042,0,110043,"200418,118013","110044,118004",13,4,"7,8,9","1,15;3,25",0,"3;9,10",2;6,"1;1,2,3,4,13",,59,0,2018-02-08 00:00:00,212,5,0,,,nation_Russia,10203
60,AS Val,AS Val,ASVAL,"类型            突击步枪
总重            空枪：2.96 公斤
全长            875 毫米（枪托展开）
                615 毫米（枪托折叠）
枪管长度        200 毫米
弹药            9×39 毫米
枪机种类        长行程导气式活塞、滚转式枪机
发射速率        约800 - 900发/分钟
枪口初速        295米/秒
有效射程        300米
最大射程        400米
供弹方式        10发、20发弹匣,30发SR-3 Vikhr专用弹匣
瞄准具型式      前后照准器
               可透过机匣左边的瞄准镜座安装瞄准镜","我、我是……唔……您能听见吗？算了,就这样……",防弹乳牛//c上坂すみれ//c,Type                       Assault Rifle //n//nWeight                     2.5 kg (5.51 lb) empty//n//nLength                     875 mm (34.4 in) stock extended//n//n                           615 mm (24.2 in) stock folded//n//nBarrel length              200 mm (7.9 in)//n//nCartridge                  9x39mm//n//nAction                     Gas-operated//c rotating bolt//n//nRate of fire               900 rounds/min//n//nMuzzle velocity            295 m/s (968 ft/s)//n//nEffective firing range     300 m//n//nMaximum firing range       400 m//n//nFeed system                20-round detachable box magazine//n//n                           (optional 10-round magazine from the VSS or//n//n                           30-round magazine from the SR-3M)//n//nSights                     Front post//c rear sector sight;//n//n                           day or night-time optics,,4,4,12600,20,20,10,10,2,5,5,0,120,90,115,100,120,125,0,15,20,0,110,85,100115,0,300103,802605,,13,2,14,"1,25;2,10",0,"1;1,2,3,4,13","2;8,19","3;9,10",,60,0,2016-05-20 00:00:00,"1,3,2",4,0,"10:20,45:200;10:40,45:1000;10:60,45:2000","9,50,69",nation_Russia,10303
61,StG44,StG44,STG44,"类型            突击步枪
总重            空枪：4.62公斤
全长            940毫米
枪管长度        419毫米
弹药            7.92×33毫米（7.92毫米Kurz弹）
枪机种类        气动式，偏移式闭锁
发射速率        500-600发／分钟
枪口初速        685米／秒
有效射程        300米
供弹方式        30发弹匣
瞄准具型式      金属机械瞄具、可调式表尺可装上ZF-4光学瞄准镜","您好,指挥官,初次见面……啊,握手的话,先不必了。",八才//c//c,Type                       Assault rifle//n//nWeight                     4.6 kg (10 lb) unloaded with magazine//n//n                           5.13 kg (11.3 lb) loaded//n//nLength                     94 cm (37 in)//n//nBarrel length              42 cm (16.5 in)//n//nCartridge                  7.92×33mm Kurz//c(aka. 7.9mm Kurz or Pistolenpatrone 43)//n//nAction                     Gas-operated//c tilting bolt//c full auto or semi-auto//n//nRate of fire               550–600 rounds/min//n//nMuzzle velocity            685 m/s (2//c247 ft/s)//n//nEffective firing range     300 m (automatic) 600 m (semi-automatic)//n//nFeed system                30-round detachable box magazine//n//nSights                     Adjustable sights//c rear: V-notch; front: hooded post,,4,3,10800,20,20,10,10,2,5,5,0,115,115,90,100,110,85,0,15,20,0,120,125,802506,0,300103,"900156,999999","802505,802501",13,2,18,"4,20;3,60",0,"1;1,2,3,4,13","2;8,19","3;9,10",,61,0,2016-05-20 00:00:00,"1,3,2",3,0,"10:15,45:200;10:30,45:800;10:45,45:1600","27,55",nation_German,10303
62,G41,G41,G41,"类型            突击步枪
总重            空枪：4.1公斤
全长            997毫米
枪管长度        450毫米
弹药            5.56×45毫米M193
                5.56×45毫米NATO
枪机种类        后座作用/滚轮延迟反冲式/闭锁式枪机
发射速率        850发／分钟
枪口初速        950米／秒
有效射程        100—400米
供弹方式        20、30发可拆卸式STANAG弹匣
                100发可拆卸式C-Mag弹鼓
瞄准具型式      机械瞄具：可旋转式调节的旋转屈光式鼓状后照门和冠顶状前准星
               专用连接装置和适配器以加装光学瞄准镜",G41。您就是我的主人吗？请带我回家吧，我会好好做的！,NS//c釘宮理恵//c,Type                       Assault rifle//n//nWeight                     4.1 kg (9.04 lb)//n//nLength                     997 mm (39.3 in)//n//nBarrel length              450 mm (17.7 in)//n//nCartridge                  5.56×45mm NATO//n//nAction                     Roller delayed blowback//n//nRate of fire               850 rounds/min//n//nMuzzle velocity            920 m/s (3//c018 ft/s)//n//nEffective firing range     100—400 m sight adjustments//n//nFeed system                STANAG magazines//n//nSights                     Rotary rear diopter drum//c hooded front post,,4,5,14700,20,20,10,10,2,5,5,0,115,110,115,100,115,95,0,15,20,0,120,100,100108,0,300103,,,13,2,"17,19","3,50;4,15",0,"1;1,2,3,4,13",2;8,"3;9,10,20",,62,0,2016-05-20 00:00:00,"1,2,3",5,0,,51,nation_German,10202
63,G3,G3,G3,"类型            自动步枪
总重            空枪：4.41公斤
全长            1026毫米
枪管长度        450毫米
弹药            7.62×51毫米NATO
枪机种类        滚轮延迟反冲式
发射速率        600发/分钟
枪口初速        780-800米/秒
有效射程        500米
供弹方式        5、10、20发弹匣、50发弹鼓、C-Mag弹鼓","您好,指挥官。从今天起,请用G3这个名字……称呼我吧。",PHI//c吉岡香織//c,Type//n//n                       Battle rifle//n//nWeight//n//n                       4.1 kg (9.04 lb) //n//nLength//n//n                       1//c025 mm (40.4 in) (G3A3)//n//nBarrel length//n//n                       450 mm (17.7 in)//n//nCartridge//n//n                       7.62×51mm NATO//n//nAction//n//n                       Roller-delayed blowback//n//nRate of fire//n//n                       500–600 rounds/min//n//nMuzzle velocity//n//n                       800 m/s (2//c625 ft/s)//n//nEffective firing range//n//n                       500 metres (550 yd)//c 100–400 m sight adjustments//n//nFeed system//n//n                       20-round detachable box and 50-round drum magazine//n//nSights//n//n                       Rear: rotary diopter; front: hooded post,,4,2,10200,20,20,10,10,2,5,5,0,100,120,90,100,110,90,0,15,20,0,120,110,102109,0,300103,"900156,999999",,13,2,14,"2,20;3,50",0,"1;1,2,3,4,13,18",2;8,"3;9,10",,63,0,2016-05-20 00:00:00,"1,3",2,0,"10:10,45:200;10:20,45:600;10:30,45:1200","26,69",nation_German,105
64,G36,G36,G36,"类型            突击步枪
总重            空枪：3.63 公斤
全长            枪托折叠：755 毫米
                枪托伸展：1002 毫米
枪管长度        480 毫米
弹药            5.56×45毫米NATO
枪机种类        短行程导气式活塞，转拴式枪机
发射速率        750发／分钟
枪口初速        920米／每秒
有效射程        600米
供弹方式        30发弹匣、C-Mag弹鼓
瞄准具型式      3倍光学瞄准镜、红点瞄准镜",GutenTag，我的长官。感谢您的赏识，G36从今天起，正式为您服务。,薯子Imoko//c小清水亜美//c,Type                       Assault rifle//n//nWeight                     3.63 kg (8.00 lb)//n//nLength                     999 mm (39.3 in) stock extracted//n//n                           758 mm (29.8 in) stock folded//n//nBarrel length              480 mm (18.9 in)//n//nCartridge                  5.56×45mm NATO//n//nAction                     Short-stroke piston//c rotating bolt//n//nRate of fire               750 rounds/min cyclic//n//nMuzzle velocity            920 m/s (3//c018 ft/s)//n//nEffective firing range     800 metres (870 yd)//c 200–600 m sight adjustment//n//nFeed system                30-round detachable box magazine or 100-round C-Mag drum magazine//n//nSights                     Reflex sight with 1× magnification//c telescopic sight with 3× magnification (export version has a 1.5× magnified sight) and back-up fixed notch sight,,4,4,13200,20,20,10,10,2,5,5,0,115,110,110,100,115,105,0,15,20,0,110,100,100107,0,300103,,,13,2,"17,18","1,30;2,10",0,"1;1,2,3,4,13,18",2;8,"3;9,10",,64,0,2016-05-20 00:00:00,"1,2",4,0,"10:20,45:200;10:40,45:1000;10:60,45:2000","3,27,34,44,73",nation_German,10705
65,HK416,HK416,HK416,"类型            突击步枪
总重            11吋枪管：3.12公斤
                14.5吋枪管：3.49公斤
                16.5吋枪管：3.56公斤
                20吋枪管：3.85公斤
全长            11寸枪管、缩起／展开枪托：709／805毫米
                14.5寸枪管、缩起／展开枪托：797／893毫米
                16.5寸枪管、缩起／展开枪托：848／944毫米
                20寸枪管、缩起／展开枪托：934／1,030毫米
枪管长度        279毫米
                368毫米
                419毫米
                505毫米
弹药            5.56×45毫米
枪机种类        短行程导气式活塞、转拴式枪机
发射速率        700—900发／分钟
枪口初速        因不同的枪管长度和使用弹种而定
有效射程        150—250米
供弹方式        30发STANAG弹匣
瞄准具型式      机械瞄具：鼓状照门及柱状准星
               可透过机匣上的Mil-Std-1913战术导轨装上瞄准镜","您就是指挥官吗？HK416……请记住这个名字吧,这个……与众不同的名字。",NIXOO//c野中藍//c,Type                       Assault rifle//n//nWeight                     2.950 kg (6.50 lb)//n//nLength                     690 mm (27.2 in) stock extended //n//n                           560 mm (22.0 in) stock collapsed//n//nBarrel length              228 mm (9.0 in)//n//nWidth                      78 mm (3.1 in)//n//nHeight                     236 mm (9.3 in)//n//nCartridge                  5.56×45mm NATO//n//nAction                     Short-stroke piston//c rotating bolt//n//nRate of fire               700 – 900 rounds/min (cyclic)//n//nMuzzle velocity            Varies according to barrel length://n//n                           788 m/s (10.4 in)//n//n                           882 m/s (14.5 in)//n//n                           890 m/s (16.5 in)//n//n                           917 m/s (19.9 in)//n//nEffective firing range     300 m (11´´Model) Point Targets//n//nMaximum firing range       400m (11´´ Model) Area Targets//n//nFeed system                20//c 30-round detachable STANAG magazine//c //n//n                           100-round detachable Beta C-Mag//n//nSights                     Rear rotary diopter sight and front post//c//n//n                           Picatinny rail,,4,5,14100,20,20,10,10,2,5,5,0,110,115,115,100,115,110,0,15,20,0,115,100,102112,0,300103,"200411,200406,200414,900156,202004,702018,702025,756002",,13,2,18,"1,40",0,"1;1,2,3,4,13,18",2;8,"3;9,10,20",,65,0,2016-05-20 00:00:00,"1,3,2",5,0,"10:25,45:200,51:2;10:50,45:1200,51:3;10:75,45:2400,51:5","9,10,83,86",team_404,10104
66,56-1式,Type 56-1 A,56-1type,"类型            突击步枪
总重            空枪：4.03公斤
全长            874毫米（枪刺折叠）；
                1100毫米（枪刺展开）
枪管长度         415毫米
弹药            7.62 × 39毫米
                M1943式中间型威力枪弹
枪机种类        长行程导气式活塞、转拴式枪机
发射速率        600发/分钟
枪口初速        710~730米/每秒
有效射程        400米
供弹方式        30发弹匣","56-1式冲锋枪,前来报到！我会坚决消灭每一个敌人！",CanceR//c雨宮天//c,Type                       Assault rifle//n//nWeight                     3.70 kg (8.16 lb)//n//nLength                     874 mm (34.4 in) w/ stock extended//c//n//n                           654 mm (25.7 in) w/ stock folded.//n//nBarrel length              414 mm (16.3 in)//n//nCartridge                  7.62×39mm//n//nCartridge                  7.62×39mm//n//nAction                     Gas-operated//c rotating bolt//n//nRate of fire               650 rounds/min //n//nMuzzle velocity            735 m/s (2//c411 ft/s)//n//nEffective firing range     100–800 m sight adjustments.//n//n                           Effective range 300-400 meters//n//nFeed system                20//c 30//c or 40-round detachable box magazine//n//nSights                     Adjustable Iron sights,,4,4,12300,20,20,10,10,2,5,5,0,125,125,105,100,90,90,0,15,20,0,110,110,102115,0,300103,900156,,13,2,18,"4,15;5,10",0,"1;1,2,3,4,13,18",2;8,"3;9,10",,66,0,2016-05-20 00:00:00,"1,3,2",4,0,,"5,53",nation_China,10705
68,L85A1,L85A1,L85A1,"类型            突击步枪
总重            空枪：3.82公斤
全长            785毫米
枪管长度        518毫米
弹药            短行程导气式活塞、转拴式枪机
枪机种类        反冲作用/开放式枪机
发射速率        610—775发／分钟
枪口初速        900 米／秒
有效射程        金属机械瞄具：450米
                SUSAT光学瞄准镜：650米
供弹方式        30发可拆卸式STANAG弹匣
瞄准具型式       机械瞄具
                SUSAT光学瞄准镜
                其他可用的瞄准镜","初次见面,我是L85A1,指挥官,要来一杯红茶吗？",MKiiiiii//c綾宮由希子//c,Type//n//n                       Assault rifle//n//nWeight//n//n                       3.82 kg (8.4 lb) //n//nLength//n//n                       785 mm (30.9 in) //n//nBarrel length//n//n                       518 mm (20.4 in) //n//nCartridge//n//n                       5.56×45mm NATO//n//nAction//n//n                       Gas-operated//c rotating bolt//n//nRate of fire//n//n                       610-775 RPM//n//nMuzzle velocity//n//n                       930 m/s (3//c051 ft/s)//n//nEffective firing range//n//n                       300 m effective range used by one soldier.//n//n                       Effective at 600 m as a section using the LDS //n//n                       (lightweight day sight)//n//nMaximum firing range//n//n                       1000 m //n//nFeed system//n//n                       30-round detachable STANAG magazine//n//n                       30-round detachable polymer Magpul EMAG//n//nSights//n//n                       Telescopic SUSAT//c ACOG and ELCAN LDS scopes//c//n//n                       Aperture iron sights,,4,2,10200,20,20,10,10,2,5,5,0,85,100,115,100,100,100,0,15,20,0,125,120,101701,0,300103,"900156,999999",,13,2,14,"1,20;3,50",0,"1;1,2,3,4,13",2;8,"3;9,10",,68,0,2016-05-20 00:00:00,"1,3",2,0,,"8,17,31,39,47",,10302
69,FAMAS,FAMAS,FAMAS,"类型            突击步枪
总重            FAMAS F1：3.61公斤
                FAMAS G1、G2：3.8公斤
全长            标准型：757毫米
                标准型（加装刺刀）：965毫米
                狙击型：889毫米
                突击型：719毫米
                冲锋枪型：589毫米
枪管长度        标准型：488毫米
                狙击型：620毫米
                突击型：450毫米     
                冲锋枪型：320毫米
弹药            5.56×45毫米
枪机种类        杠杆延迟反冲式
发射速率        FAMAS F1、G1：900—1000发/分钟
                FAMAS G2：1000—1100发/分钟
枪口初速        FAMAS F1、G1：960米/秒
                FAMAS G2：925米/秒
有效射程        FAMAS F1、G1：300米
                FAMAS G2：450米
供弹方式        FAMAS F1、G1：25发直弹匣
                FAMAS G2：30发STANAG弹匣
瞄准具型式      金属机械照门、可加装其他瞄准镜","准备迎接以一敌十的我,指挥官,您做好准备了吗？",KY//c松井恵理子//c,"Type                       Bullpup assault rifle//n//nWeight                     3.61 kg (7.96 lb) (""FAMAS F1"")//n//n                           3.8 kg (8.4 lb) (""FAMAS G2"") //n//nLength                     757 mm (29.8 in)//n//n                           965 mm (38.0 in) with bayonet//n//nBarrel length              488 mm (19.2 in) (""F1/G2"")//n//n                           405 mm (15.9 in) (""G2 Commando"")//n//n                           320 mm (12.6 in) (""G2 SMG"")//n//n                           620 mm (24.4 in) (""G2 Sniper"")//n//nCartridge                  5.56×45mm NATO//n//nAction                     Lever-delayed blowback//n//nRate of fire               900–1000 rounds/min (""F1"")//n//n                           1000–1100 rounds/min (""G2"")//n//nMuzzle velocity            960 m/s (3//c100 ft/s) (""F1"")//n//n                           925 m/s (3//c030 ft/s) (""G2"")//n//nEffective firing range     300 m (""F1"")//n//n                           450 m (""G2"")//n//nMaximum firing range       3200 meters//n//nFeed system                25-round detachable box magazine (""F1"")//n//n                           30-round detachable box magazine (STANAG) (""G2"")//n//nSights                     Rear aperture fitted with tritium night inserts//c//n//n                           front post",,4,4,12600,20,20,10,10,2,5,5,0,110,105,125,100,130,105,0,15,20,0,105,110,102115,0,300103,900156,,13,2,17,"1,25;3,60",0,"1;1,2,3,4,13,18",2;8,"3;9,10",,69,0,2016-05-20 00:00:00,"1,3,2",4,0,,"10,27,56,77",,10403
70,FNC,FNC,FNFNC,"类型            突击步枪
总重            3.80公斤
全长            枪托伸出：997毫米
                枪托折叠：766毫米
枪管长度        450毫米
弹药            5.56×45毫米NATO
枪机种类        长行程导气式活塞，转拴式枪机
发射速率        700发/分钟
有效射程        450米
供弹方式        30发STANAG弹匣
瞄准具型式      金属机械瞄具","初次见面,指挥官大人。我这里有巧克力,要吃吗？",麻将//c八劔すみれ//c,Type                       Assault rifle//n//nWeight                     Rifle: 3.840 kg (8.47 lb)//n//n                           Carbine: 3.7 kg (8.2 lb)//n//nLength                     Rifle: 997 mm (39.3 in) stock extended / //n//n                           766 mm (30.2 in) stock folded//n//n                           Carbine: 911 mm (35.9 in) stock extended / //n//n                           667 mm (26.3 in) stock folded//n//nBarrel length              Rifle: 449 mm (17.7 in) (rifle)//n//n                           Carbine: 363 mm (14.3 in)//n//nWidth                      70 mm (2.8 in) stock extended//n//n                           75 mm (3.0 in) stock folded//n//nHeight                     238 mm (9.4 in)//n//nCartridge                  5.56×45mm NATO//n//nAction                     Gas-operated//c rotating bolt//n//nRate of fire               Approx. 700 rounds/min//n//nMuzzle velocity            M193: 965 m/s (3//c166 ft/s)//n//n                           SS109: 925 m/s (3//c034.8 ft/s)//n//nEffective firing range     250–400 m sight adjustments//n//nMaximum firing range       450 m//n//nFeed system                30-round detachable box magazine (STANAG system)//n//nSights                     Rear flip aperture//c front post//n//n                           513 mm (20.2 in) sight radius (standard rifle),,4,3,12000,20,20,10,10,2,5,5,0,100,115,110,100,115,90,0,15,20,0,115,105,100102,0,300103,"999999,756162",,13,2,19,"3,50;4,12",0,"1;1,2,3,4,13",2;8,"3;9,10",,70,0,2016-05-20 00:00:00,"1,3,2",3,0,,"1,5,49",nation_Belgium,10202
71,加利尔,AR,AR,"类型            突击步枪
总重            5.56×45毫米NATO：3.95公斤
                7.62×51毫米NATO：3.95公斤
全长            5.56×45毫米NATO：枪托折叠：742毫米
                                 枪托伸出：987毫米
                7.62×51毫米NATO：枪托折叠：810毫米
                                 枪托伸出：1,050毫米
枪管长度        5.56×45毫米NATO：460毫米
                7.62×51毫米NATO：535毫米
弹药            5.56×45毫米NATO
                7.62×51毫米NATO
枪机种类        长行程导气式活塞/转拴式枪机
发射速率        630—750发／分钟
枪口初速        5.56×45毫米NATO：980米／秒
                7.62×51毫米NATO：850米／秒
有效射程        300—500 米
供弹方式        5.56×45毫米NATO：35、50发弹匣
               7.62×51毫米NATO：25发弹匣
瞄准具型式      金属机械照门及准星（可折叠及调节）、氚气夜间准星（可折叠）","呀,今后就请多关照啦,我的指挥官大人。
",lyo//c御手洗かりん//c,Type//n//n                       Rifle//n//nWeight//n//n                       AR 5.56mm: 3.95 kg (8.7 lb)//n//n                       AR 7.62mm: 3.95 kg (8.7 lb)//n//nLength//n//n                       AR//c ARM 5.56mm: //n//n                       987 mm (38.9 in) stock extended //n//n                       742 mm (29.2 in) stock folded//n//n                       AR//c ARM 7.62mm: //n//n                       1//c050 mm (41.3 in) stock extended //n//n                       810 mm (31.9 in) stock folded//n//nBarrel length//n//n                       AR//c ARM 5.56mm: 460 mm (18.1 in)//n//n                       AR//c ARM 7.62mm: 535 mm (21.1 in)//n//nCartridge//n//n                       5.56×45mm NATO //n//n                       7.62×51mm NATO //n//nAction//n//n                       Gas-operated//c rotating bolt//n//nRate of fire//n//n                       630–750 rounds/min//n//nMuzzle velocity//n//n                       AR//c ARM 5.56mm: 950 m/s (3//c116.8 ft/s)//n//n                       AR//c ARM 7.62mm: 850 m/s (2//c788.7 ft/s)//n//nEffective firing range//n//n                       300–500 m sight adjustments//n//nFeed system //n//n                       5.56mm: 35//c 50//c 65-round detachable box magazine//n//n                       7.62mm: 25-round box magazine//n//nSights//n//n                       Flip-up rear aperture with protective ears//c //n//n                       Flip-up tritium night sights//chooded front post,,4,2,9600,20,20,10,10,2,5,5,0,95,105,95,100,100,95,0,15,20,0,130,105,100301,0,300103,999999,,13,2,18,"3,50;4,10",0,"1;1,2,3,4,13",2;8,"3;9,10,20",,71,0,2016-05-20 00:00:00,"1,3",2,0,"10:10,45:200;10:20,45:600;10:30,45:1200","5,7,31,39,67",,10202
72,TAR-21,TAR-21,TAR21,"类型            突击步枪
总重            3.27公斤
全长            725毫米
枪管长度        460毫米
弹药            5.56×45毫米NATO
                9毫米鲁格弹
枪机种类        长行程导气式活塞,转拴式枪机
发射速率        750—900发／分钟
枪口初速        910米／秒
有效射程        300—600 米
供弹方式        30发可拆卸式STANAG弹匣
                100发可拆卸式C-Mag弹鼓
瞄准具型式      金属机械觇孔式照门及准星（后备，照门可上翻式调节，准星可折叠）
                机匣顶部的战术导轨上安装瞄准镜或夜视镜
                ITL MARS红点镜及集成式激光及红外线光点系统
                Trijicon制ACOG光学瞄准镜（只有S.T.A.R 21可以使用）
                其他可用的瞄准镜","TAR-21,从今往后,请多多照顾我吧。",木shiyo//c舞原ゆめ//c,Type                       Bullpup assault rifle//n//nWeight                     3.27 kg (7.21 lb)(TAR-21)//n//nLength                     720 mm (28.3 in)(TAR-21//c STAR-21)//n//nBarrel length              460 mm (18.1 in)(TAR-21//c STAR-21)//n//nCartridge                  5.56×45mm NATO//n//nRate of fire               750–900 rounds/min//n//nMuzzle velocity            910 m/s (2//c986 ft/s)//n//nEffective firing range     550 m[clarification needed]//n//nFeed system                Standard 30-round detachable box Magazine//n//n                           Various STANAG magazines//n//nSights                     Meprolight MP 21//c ITL MARS with integrated//n//n                           laser and IR pointer//c Trijicon ACOG (STAR-21)//c //n//n                           EOTech holographic sight//c others available,,4,4,12600,20,20,10,10,2,5,5,0,95,110,120,100,120,110,0,15,20,0,115,100,101703,0,300103,,,13,2,"17,19","4,18",0,"1;1,2,3,4,13",2;8,"3;9,10,20",,72,0,2016-05-20 00:00:00,"1,3,2",4,0,,"37,38,78",,10202
