id,name,skin_name,pic_id,gift_fairy,ai,is_hidden,strengthen_lv
41,工事妖精,2阶默认皮肤,fortress_2,14,1000,0,2
42,工事妖精,3阶默认皮肤,fortress_3,14,1000,0,3
43,指挥妖精,1阶默认皮肤,command_1,15,1000,0,1
44,指挥妖精,2阶默认皮肤,command_2,15,1000,0,2
45,指挥妖精,3阶默认皮肤,command_3,15,1000,0,3
46,搜救妖精,1阶默认皮肤,rescue_1,16,1000,0,1
47,搜救妖精,2阶默认皮肤,rescue_2,16,1000,0,2
48,搜救妖精,3阶默认皮肤,rescue_3,16,1000,0,3
49,照明妖精,1阶默认皮肤,illumine_1,17,1000,0,1
50,照明妖精,2阶默认皮肤,illumine_2,17,1000,0,2
51,照明妖精,3阶默认皮肤,illumine_3,17,1000,0,3
52,黄金妖精,1阶默认皮肤,golden_1,18,1000,0,1
53,黄金妖精,2阶默认皮肤,golden_2,18,1000,0,2
54,黄金妖精,3阶默认皮肤,golden_3,18,1000,0,3
55,八重樱,1阶默认皮肤,Sakura_1,1001,1000,0,1
56,八重樱,2阶默认皮肤,Sakura_2,1001,1000,0,2
57,八重樱,3阶默认皮肤,Sakura_3,1001,1000,0,3
58,耀夜姬,1阶默认皮肤,Kaguya_1,1002,1000,0,1
59,耀夜姬,2阶默认皮肤,Kaguya_2,1002,1000,0,2
60,耀夜姬,3阶默认皮肤,Kaguya_3,1002,1000,0,3
61,柯萝伊,1阶默认皮肤,Chloe_1,1003,1000,0,1
62,柯萝伊,2阶默认皮肤,Chloe_2,1003,1000,0,2
63,柯萝伊,3阶默认皮肤,Chloe_3,1003,1000,0,3
64,炊事妖精,1阶默认皮肤,cooking_1,19,1000,0,1
65,炊事妖精,2阶默认皮肤,cooking_2,19,1000,0,2
66,炊事妖精,3阶默认皮肤,cooking_3,19,1000,0,3
67,希依,1阶默认皮肤,DJMAXSUEE_1,1004,1000,0,1
68,希依,2阶默认皮肤,DJMAXSUEE_2,1004,1000,0,2
69,希依,3阶默认皮肤,DJMAXSUEE_3,1004,1000,0,3
70,世拉&妮娜,1阶默认皮肤,DJMAXSEHRA_1,1005,1000,0,1
71,世拉&妮娜,2阶默认皮肤,DJMAXSEHRA_2,1005,1000,0,2
72,世拉&妮娜,3阶默认皮肤,DJMAXSEHRA_3,1005,1000,0,3
73,普蕾娅&卡米莉娅,1阶默认皮肤,DJMAXPREIYA_1,1006,1000,0,1
74,普蕾娅&卡米莉娅,2阶默认皮肤,DJMAXPREIYA_2,1006,1000,0,2
75,普蕾娅&卡米莉娅,3阶默认皮肤,DJMAXPREIYA_3,1006,1000,0,3
76,花火妖精,1阶默认皮肤,petard_1,20,1000,0,1
77,花火妖精,2阶默认皮肤,petard_2,20,1000,0,2
78,花火妖精,3阶默认皮肤,petard_3,20,1000,0,3
79,年兽妖精,1阶默认皮肤,Nian_1,21,1000,0,1
80,年兽妖精,2阶默认皮肤,Nian_2,21,1000,0,2
81,年兽妖精,3阶默认皮肤,Nian_3,21,1000,0,3
82,安娜·格雷姆,1阶默认皮肤,Anna_1,1007,1000,0,1
83,安娜·格雷姆,2阶默认皮肤,Anna_2,1007,1000,0,2
84,安娜·格雷姆,3阶默认皮肤,Anna_3,1007,1000,0,3
85,海滩妖精,1阶默认皮肤,beach_1,22,1000,0,1
86,海滩妖精,2阶默认皮肤,beach_2,22,1000,0,2
87,海滩妖精,3阶默认皮肤,beach_3,22,1000,0,3
88,连击妖精,1阶默认皮肤,combo_1,23,1000,0,1
89,连击妖精,2阶默认皮肤,combo_2,23,1000,0,2
90,连击妖精,3阶默认皮肤,combo_3,23,1000,0,3
91,立盾妖精,1阶默认皮肤,standshield_1,24,1000,0,1
92,立盾妖精,2阶默认皮肤,standshield_2,24,1000,0,2
93,立盾妖精,3阶默认皮肤,standshield_3,24,1000,0,3
94,双生妖精,1阶默认皮肤,twins_1,25,1000,0,1
95,双生妖精,2阶默认皮肤,twins_2,25,1000,0,2
96,双生妖精,3阶默认皮肤,twins_3,25,1000,0,3
97,原型妖精,1阶默认皮肤,origin_1,26,1000,0,1
98,原型妖精,2阶默认皮肤,origin_2,26,1000,0,2
99,原型妖精,3阶默认皮肤,origin_3,26,1000,0,3
100,祥瑞妖精,1阶默认皮肤,auspicious_1,27,1000,0,1
101,祥瑞妖精,2阶默认皮肤,auspicious_2,27,1000,0,2
102,祥瑞妖精,3阶默认皮肤,auspicious_3,27,1000,0,3
103,沙舞妖精,1阶默认皮肤,sanddance_1,28,1000,0,1
104,沙舞妖精,2阶默认皮肤,sanddance_2,28,1000,0,2
105,沙舞妖精,3阶默认皮肤,sanddance_3,28,1000,0,3
106,应援妖精,1阶默认皮肤,cheeringteam_1,29,1000,0,1
107,应援妖精,2阶默认皮肤,cheeringteam_2,29,1000,0,2
108,应援妖精,3阶默认皮肤,cheeringteam_3,29,1000,0,3
109,浩二,1阶默认皮肤,Koji_1,1008,1000,0,1
110,浩二,2阶默认皮肤,Koji_2,1008,1000,0,2
111,浩二,3阶默认皮肤,Koji_3,1008,1000,0,3
112,魔女妖精,1阶默认皮肤,curse_1,30,1000,0,1
113,魔女妖精,2阶默认皮肤,curse_2,30,1000,0,2
114,魔女妖精,3阶默认皮肤,curse_3,30,1000,0,3
115,照明妖精,1阶默认皮肤,illumine_1,90003,1000,0,1
116,照明妖精,2阶默认皮肤,illumine_2,90003,1000,0,2
117,照明妖精,3阶默认皮肤,illumine_3,90003,1000,0,3
118,空袭妖精,1阶默认皮肤,air_attack_1,90004,1000,0,1
119,空袭妖精,2阶默认皮肤,air_attack_2,90004,1000,0,2
120,空袭妖精,3阶默认皮肤,air_attack_3,90004,1000,0,3
121,陷阱妖精,1阶默认皮肤,trap_1,31,1000,0,1
122,陷阱妖精,2阶默认皮肤,trap_2,31,1000,0,2
123,陷阱妖精,3阶默认皮肤,trap_3,31,1000,0,3
