id,type,arguments,extra_language,is_hidden,is_show_count
335300,1309,"335301,13174",,0,1
335301,2406,1,,0,1
335310,1401,5,,0,1
335311,1101,"13172,13162,13173,13169,13174",,0,1
335400,1101,13175,,0,1
335401,1205,335403:0,,0,1
335410,1206,335403:0,,0,1
335500,1402,5,,0,1
335501,1205,"335501:0,335502:0",,0,1
335510,1207,335503:4,本场战役未对控制台进行操作,0,1
335600,1404,1,,0,1
335610,1207,335603:4,本场战役未对控制台进行操作,0,1
335611,1401,5,,0,1
335700,1101,13257,,0,1
335710,1303,335705:1,,0,1
335800,1209,1:1:14,,0,1
335801,1310,0,,0,1
335900,1303,335901:1,与M4A1接触（特殊战斗），在不击杀M4A1的情况下帮助她恢复心智,0,1
335910,1404,1,,0,1
336000,1306,"336003:1,336004:1,336005:1",,0,1
336001,1303,"336001:1,336012:1,336013:1",,0,1
336200,1209,4:3:6,开启所有防御门I型（回合结束时结算）,0,1
336210,1404,1,,0,1
336300,1303,336301:1,,0,1
336400,2302,0,不发生战斗,0,1
336401,2403,0,不撤退梯队,0,1
336410,1301,6,击杀除装甲列车以外的所有反叛军,0,1
336411,1306,336408:1,,0,1
336412,1101,13523,,0,1
336600,1101,13579,,0,1
336601,1301,6,,0,1
336610,1306,"336601:1,336602:1,336603:1",,0,1
337000,1306,"336801:1,336802:1,336803:1",,0,1
337100,1309,"336914,13655",协助M4A1移动至重型机场（回合结束时结算）,0,1
337101,1404,3,,0,1
350100,1401,1,,0,1
350101,1305,0,,0,1
350200,1405,2,,0,1
350300,1401,3,,0,1
350301,1103,201:3,,0,1
360101,1305,0,,0,1
360111,1401,2,,0,1
360201,1404,2,,0,1
360211,1101,83824,,0,1
360301,1101,83798,,0,1
360302,1101,83800,,0,1
360311,1301,8,,0,1
360401,1301,8,,0,1
360601,1402,3,,0,1
360611,1103,3:3,,0,1
360801,2302,3,最多歼灭3个敌军，随机点会触发特殊事件,0,1
360811,1303,368016,,0,1
360901,1101,84003,占领指定点位（建议等刽子手离开）,0,1
361001,1305,0,,0,1
361011,1306,3610020:1,击败涅托（可选择涅托与铁血争斗后的时机）,0,1
361200,1402,7,坚持6回合,0,1
361201,1303,361211:1,,0,1
361202,1101,90459,,0,1
361203,1301,3,,0,1
361204,1101,90442,,0,1
361300,1301,4,至少击杀4个敌人（红色方）,0,1
361400,1207,361404:2,炸毁要道Ⅱ（回合结束时结算）,0,1
361401,1301,5,,0,1
361402,1305,0,歼灭场上所有敌人（红色方/不包含Boss），回合结束时结算任务达成状态,0,1
361403,1101,90618,,0,1
361404,1306,361402:1,消灭反叛军x1,0,1
361500,1309,"361501,90539",将抵御组件A移动到指挥部旁边的重型机场点上（回合结束时结算）,0,1
361501,1309,"361502,90549",将抵御组件B移动到指挥部旁边的普通机场点上,0,1
361502,1309,"361503,90535",将抵御组件C移动到指挥部旁边的关闭的重型机场点上,0,1
361600,1207,361607:2,炸毁大型水阀Ⅲ（回合结束时结算）,0,1
361601,1207,361605:2,炸毁大型水阀Ⅰ,0,1
361602,1207,361606:2,炸毁大型水阀Ⅱ,0,1
361603,1207,361608:2,炸毁大型水阀Ⅳ,0,1
361604,1101,90572,,0,1
361801,1306,"361807:1,361808:1,361809:1",配合铁血梯队消灭3台负罪者机甲,0,1
361901,1303,361902:1,,0,1
362001,1303,362001:1,,0,1
362101,1303,362101:1,,0,1
362200,1402,4,坚守至第4回合及以上,0,1
362201,1101,91010,,0,1
362210,1401,6,,0,1
362300,1303,362301:1,,0,1
362500,1207,362505:1,将EMP手雷移动到雷达点（回合结束时结算）,0,1
362600,1207,362606:1,将EMP手雷②移动到屏幕左侧雷达点（回合结束时结算）,0,1
362601,1207,362607:1,将EMP手雷①或EMP手雷②移动到屏幕右侧雷达点,0,1
362800,1303,362801:1,,0,1
363101,1401,3,,0,1
363600,1101,90742,,0,1
363601,1402,3,坚持至第3回合,0,1
363700,1402,3,坚持至第3回合,0,1
365001,1101,83898,回撤到列车炮附近点位（注意躲避强敌）,0,1
367001,1402,5,,0,1
367011,1101,84129|84131|84132,,0,1
370100,1402,3,坚守至第3回合及以上,0,1
370101,1103,3:3,,0,1
370200,1101,"70616,70619,70623,70630,70635,70636",占领所有雷达,0,1
370300,1404,3,,0,1
370400,1402,5,坚守至第5回合及以上,0,1
370401,1101,70820,,0,1
370600,1101,71009,,0,1
381600,1101,91675,陪卡诺逛逛书店//n<color=#FFFF00>·占领关闭机场（结束回合时结算达成情况）</color>,0,1
381700,1402,5,坚持到第5回合,0,1
381800,1305,0,,0,1
381900,1207,381901:2,追上卡诺尝试交谈//n<color=#FFFF00>·移动到右下侧的雷达点</color>,0,1
381901,1303,381901:1,,0,1
382000,1101,91780,破解海莉艾塔的逻辑迷宫//n<color=#FFFF00>·占领敌指挥部（结束回合时结算达成情况）</color>,0,1
420201,1406,420211:0,抵达控制室，骇入剧院安保系统,0,1
420301,1407,420316:1,读取6个记忆碎片,0,1
420501,1406,420211:0,抵达控制室，骇入剧院安保系统,0,1
420601,1407,420316:1,读取6个记忆碎片,0,1
420701,1101,72910,,0,1
420702,1101,72918,,0,1
420703,1101,72926,,0,1
449999,1407,6440064:1,丹德莱存活,1,1
490101,1407,9490104:2,清理所有 <杂物堆A> ，并堆放至下方补给点处。,0,1
490102,1101,94625,,0,1
490103,1407,9490104:2,清理所有 <杂物堆A> ，并堆放至下方补给点处。,0,1
490104,1407,9490105:3,清理所有 <杂物堆B> ，并堆放至下方补给点处。,0,1
490105,1401,4,,0,1
490106,1101,94648,,0,1
490107,1101,94642,,0,1
490201,1407,9490201:5,协助索米将CD送到所有人形手中。,0,1
490202,1101,94777,,0,1
490203,1101,94772,,0,1
490301,1101,94789,帮助CAWS摆脱众人的追捕，逃至雷达点处。//n·占领雷达点。,0,1
490302,1101,94811|94812,,0,1
490303,1101,94805|94813,,0,1
490401,1407,9490402:2,搜查樱花的移动路线。//n·踏访初始归属为第三方的两处关闭机场。,0,1
490402,1101,94833,移动到树下休息。,0,1
490403,1101,94845|94846,,0,1
490404,1101,94839|94840,,0,1
1027801,1101,94332,,0,1
1027901,1405,2,,0,1
1027902,1101,94341,,0,1
1028001,1404,1,,0,1
1028002,1101,94352,,0,1
1028101,1404,2,,0,1
1028102,1101,94357,,0,1
1028201,1404,2,,0,1
1028202,1101,94363,,0,1
1028301,1404,2,,0,1
1028302,1101,94371,,0,1
1028401,1404,2,,0,1
1028402,1101,94378,,0,1
1028501,1404,2,,0,1
1028502,1101,94384,,0,1
1028601,1404,2,,0,1
1028602,1101,94392,,0,1
1028701,1405,2,,0,1
1028702,1101,94399,,0,1
1028801,1404,1,,0,1
1028802,1101,94405,,0,1
1028901,1404,2,,0,1
1028902,1101,94412,,0,1
1029001,1404,2,,0,1
1029002,1101,94420,,0,1
1029101,1404,2,,0,1
1029102,1101,94428,,0,1
1029201,1303,321601:1,,0,1
1029202,1101,94434,,0,1
1038101,1102,7,,0,1
1038501,1101,60064,,0,1
1038601,1101,60068,,0,1
1038701,1101,60072,,0,1
1038801,1101,60076,,0,1
1050401,1101,64116,,0,1
1050501,1101,64119,占领左上方的标记点,0,1
1050601,1101,64122,占领右下方的标记点,0,1
1050701,1101,64124,,0,1
1051200,1305,0,【吹笛人】b.全歼所有敌人,0,1
1051210,1407,410302:1,【幽灵姐妹II】靠近接触地图边缘的铁血兵蚁,1,1
1051220,1402,5,【幽灵姐妹III】坚守至第5回合,0,1
1051230,1102,3,【幽灵姐妹IV】占领全部机场,0,1
1051240,1101,71417,【幽灵姐妹V】占领雷达,0,1
1051250,1101,71519,【吹笛人】a.探索电子空间，占领雷达,0,1
1051260,1404,2,【布谷钟】救援2个人质,0,1
1051270,1303,41030701:1,【防空井】a.击杀废弃侦察士,0,1
1051280,1101,71832,【布玩偶】占领目标路径点,0,1
1051290,1101,71908,【防空井】b.探索制药厂,0,1
1051291,1101,71933,【防空井】b.继续探索制药厂,0,1
1051410,1101,72122,【断惑无间II】尽量避开游荡的难民，抵达撤离点,0,1
1051420,1101,72235,【断惑无间III】尽量避开游荡的难民，抵达撤离点,0,1
1051430,1101,72308,【断惑无间IV】尽量避开游荡的难民，抵达撤离点,0,1
1051431,1305,0,【断惑无间IV】全歼所有敌人,0,1
1051500,1305,0,全歼敌人//n<color=#FFFF00>·完成后解锁剧情【帷幕将升 I】【离席之时 II】【离席之时 III】</color>,0,1
1051501,1101,92197,占领左下方的雷达点//n<color=#FFFF00>完成后解锁剧情【帷幕将升 II】【离席之时 IV】【枯草热 I】</color>,0,1
1051502,1101,91885,探索其他站点（结束回合时结算）//n<color=#FFFF00>·Step 1</color>,0,1
1051503,1101,91889,探索其他站点（结束回合时结算）//n<color=#FFFF00>·Step 2</color>,0,1
1051504,1101,91914,占领雷达点（结束回合时结算）//n<color=#FFFF00>·Final Step</color>,0,1
1051600,1101,"91932,91939,91942,91943",【枯草热 II】四处探索，寻找有用信息（结束回合时结算）//n<color=#FFFF00>·踏足4个初始为敌方占领的路径点</color>//n<color=#FFFF>·提示：梯队经过路径点即可，无需梯队待机</color>,0,1
1051601,1101,91984,探索其他区域（结束回合时结算）//n<color=#FF4646>·当前战役无法完成，请先完成第一个任务目标</color>,1,1
1051602,1101,91929,【枯草热 IV】探索其他区域（结束回合时结算）//n<color=#FFFF00>·Step 1</color>//n<color=#FFFF48>·注意，本次战役仅能使用融合势力梯队进行战斗。</color>,0,1
1051603,1101,91958,【枯草热 IV】占领敌方指挥部//n<color=#FFFF00>·Final Step</color>,0,1
1051604,1207,9410201:2,【枯草热 V】在众多破旧控制台中找寻可以访问的终端（结束回合时结算）//n<color=#FFFF00>·Step 1</color>//n<color=#FFFF00>·仅有1处的设备可以访问</color>,0,1
1051605,1101,91974,【枯草热 V】安全撤退（结束回合时结算）//n<color=#FFFF00>·Step 2</color>//n<color=#FFFF00>·往右下方前进</color>,0,1
1051606,1208,9410202:2,【枯草热 V】a.通过刚刚寻找到的控制台终端发送指令，启动备用线路开启防御门（结束回合时结算）//n<color=#FFFF00>·Final Step</color>,0,1
1051607,1303,9410211:1,【枯草热 V】b.击败计量官//n<color=#FFFF00>·Final Step</color>//n<color=#FFFF00>·什么！？你已经把她干了？那直接结束回合多等一会吧……</color>,0,1
1051608,1402,5,【枯草热 V】坚持到第5回合（结束回合时结算）//n<color=#FFFF00>·Step 3</color>,0,1
1051609,1305,0,【枯草热 III】全歼敌人,0,1
1051610,1101,92132,【道化师】游击并搜索白色势力的信息//n<color=#FFFF00>·占领指定普通路径点</color>,0,1
1051611,1101,92154,【花映冢】压制白色势力指挥部//n<color=#FFFF00>·占领敌方指挥部</color>,0,1
1051612,1404,1,【霜狼会】收集M16A1资料//n<color=#FFFF00>·在控制台位置可以连接铁血数据库下载资料</color>,0,1
1051613,1101,92274,【灯华潜】寻找建筑师的下落//n<color=#FFFF00>·在控制台位置可以连接铁血数据库下载资料</color>//n<color=#FFFF00>·需要占领建筑师所在位置的路径点</color>,0,1
1051614,1101,92288,占领指定地点//n<color=#FFFF00>·完成后解锁剧情【枯草热 VI】【幽灵姐妹 I】【花粉症·始】</color>//n<color=#FFFF48>·注意，本次战役仅能使用融合势力梯队进行战斗。</color>,0,1
1051700,1101,91996,【幽灵姐妹 II】寻找求救信号源（结束回合时结算）//n<color=#FFFF00>·Step 1</color>,0,1
1051701,1305,0,【幽灵姐妹 II】全歼敌人//n<color=#FFFF00>·Final Step</color>,0,1
1051702,1101,92022,【幽灵姐妹 III】a.向上方寻找突破口（结束回合时结算）//n<color=#FFFF00>·Step 1</color>,0,1
1051703,1101,92029,【幽灵姐妹 III】b.向下方寻找突破口（结束回合时结算）//n<color=#FFFF00>·Step 1</color>,0,1
1051704,1101,92030,【幽灵姐妹 III】向下方转移（占领雷达点）//n<color=#FFFF00>·Final Step</color>,0,1
1051705,1404,1,【幽灵姐妹 IV】救援G11和安娜//n<color=#FFFF00>·控制台可发送指令开启防御门</color>,0,1
1051706,1303,9410316:1,击败梦想家,0,1
1051707,1303,9410317:1,击败破坏者,0,1
1051708,1101,92244,【吹笛人】寻找控制室,0,1
1051709,1101,92221,【布谷钟】解锁右侧区域的防御门寻找线索//n<color=#FFFF00>·需要占领防御门所在点</color>//n<color=#FFFF00>·持有3张通行证的梯队可以在防御门旁边发送指令开启防御门</color>,0,1
1051710,1101,92337,【防空井】上方似乎传来了一些异响……//n<color=#FFFF00>·探索上方（结束回合时结算）</color>,0,1
1051711,1101,92297,【布玩偶】于G11处对安娜进行心智检查//n<color=#FFFF00>·移动到NPC旁边即可进行连接</color>,0,1
1051712,1306,9410323:1,【布谷钟】击杀暴君,0,1
1051713,1305,0,【防空井】歼灭普通感染者,0,1
1051800,1101,92678,【食蛇行动 II】到达控制台，解锁防御门（占领控制台所在点）//n<color=#FFFF00>·Step 1 | 呼出电子界面进行破解（结束回合时结算）</color>,0,1
1051801,1101,92681,【食蛇行动 II】通过变更雷达点附近线路联通集结点（结束回合时结算）//n<color=#FFFF00>·Step 2 | 占领集结点</color>,0,1
1051802,1101,92680,【食蛇行动 II】移动到基地内部（结束回合时结算）//n<color=#FFFF00>·Final Step | 占领敌指挥部</color>,0,1
1051803,1101,92708,【食蛇行动 III】探索基地内部//n<color=#FFFF00>·Step 1 | 占领指定路径点</color>,0,1
1051804,1101,92718,【食蛇行动 III】继续前进//n<color=#FFFF00>·Final Step | 占领敌方指挥部</color>,0,1
1051805,1101,92791,【食蛇行动 IV】占领指挥部//n<color=#FFFF00>·通过控制台呼出电子界面破解防御门</color>,0,1
1051806,1101,92797,【食蛇行动 V】【断惑无间 I】【三角攻势·始】查看模拟记录1//n<color=#FFFF00>·Step 1 | 占领指定路径点</color>,0,1
1051807,1101,92804,【食蛇行动 V】【断惑无间 I】【三角攻势·始】查看模拟记录2//n<color=#FFFF00>·Step 2 | 占领指定路径点</color>,0,1
1051808,1101,92810,【食蛇行动 V】【断惑无间 I】【三角攻势·始】查看模拟记录3//n<color=#FFFF00>·Step 3 | 占领指定路径点</color>,0,1
1051809,1101,92817,【食蛇行动 V】【断惑无间 I】【三角攻势·始】结束查看//n<color=#FFFF00>·Final Step | 占领指挥部</color>,0,1
1051810,1404,1,【蜘蛛巢】救援VHS,0,1
1051811,1303,411401:1,【纸牌塔】追击衔尾蛇,0,1
1051812,1407,9411871:1,【斗兽棋】搜集更多关于衔尾蛇的资料//n<color=#FFFF00>·意外发现的小房间或许会有线索</color>//n<color=#FFFF00>·携带资料的梯队在指挥部待机即可交付任务（需待机2回合）</color>,1,1
1051813,1101,92819,【煽动者】安全撤离//n<color=#FFFF00>·按先前进入基地的路线原路返回即可</color>,0,1
1052000,1101,92405,初始探索//n<color=#FFFF00>·建议初次进入挑战关时移动到指定点查阅相关提示</color>//n<color=#FFFF00>·占领指定目标点即可获得胜利</color>,0,1
1060800,1101,93022,往右下方向探索。//n<color=#FFFF00>·占领标亮点</color>,0,1
1060801,1101,93028,逃往下方的哈德森难民营。//n<color=#FFFF00>·占领防御门所在点</color>,0,1
1060802,1101,93069,逃离哈德森难民营。//n<color=#FFFF00>·占领右侧指挥部</color>,0,1
1060803,1306,43130001:1,击败<color=#FFB400>AK47小队</color>。,0,1
1060804,1309,"43130001,93025",勾引<color=#FFB400>AK47小队</color>往哈德森难民营方向移动。//n<color=#FFFF00>·防御门前一格位置</color>,0,1
1060805,1306,43130001:1,击败<color=#FFB400>AK47小队</color>。//n·可以通过哈德森难民营内的莱克斯帮消耗<color=#FFB400>AK47小队</color>的战力,0,1
1060810,1101,93049,,1,1
1060900,1101,93115,往右上方向探索。//n<color=#FFFF00>·占领标亮点</color>,0,1
1060901,1309,"43140001,93084",操控<color=#FFB400>M870小队</color>往右侧探索。//n<color=#FFFF00>·占领右侧上方标亮点（梯队撤离则无法完成）</color>,0,1
1060902,1309,"43140002,93088",操控<color=#FFB400>春田小队</color>往右上侧探索。//n<color=#FFFF00>·占领右侧下方标亮点（梯队撤离则无法完成）</color>,0,1
1060903,1207,"43140001:2,43140002:2,43140003:2",搜索我方梯队所在区域内的资源。//n<color=#FFFF00>·拾取3个道具</color>,0,1
1060904,1309,"43140001,93088",<color=#FFB400>M870小队</color>击败<color=#FFB400>春田小队</color>。//n<color=#FFFF00>·2回合后自动达成</color>,0,1
1060905,1207,43140004:2,操控<color=#FFB400>ART556小队</color>往右上侧探索，寻找升级面具所需的工作台。//n<color=#FFFF00>·操作工作台升级面具（梯队撤离则无法完成）</color>,0,1
1060906,1303,43140009:1,,1,1
1060907,1404,1,,1,1
1060908,1101,93315,往右上方向探索。//n<color=#FFFF00>·占领标亮点</color>,0,1
1060909,1309,"43140004,93088",操控<color=#FFB400>春田小队</color>往右上侧探索。//n<color=#FFFF00>·占领右侧下方标亮点（梯队撤离则无法完成）</color>,0,1
1060910,1101,93079,,1,1
1061000,1101,93128,进入房区搜索资源。//n<color=#FFFF00>·我方梯队到达标亮点处时将自动传送至房区内并占领标亮点。</color>,0,1
1061001,1101,93211,深入房区搜索更多区域。//n<color=#FFFF00>·占领房区左上方标亮点</color>,0,1
1061002,1101,93131,搜索完毕后离开房区。//n<color=#FFFF00>·占领房区外标亮的雷达点</color>,0,1
1061100,1101,93229,往右上方向探索。//n<color=#FFFF00>·占领标亮点</color>,0,1
1061101,1309,"43160002,93241",操控<color=#FFB400>Vector小队</color>往右侧突进。//n<color=#FFFF00>·占领右侧上方标亮点</color>,0,1
1061102,1101,93240,我方梯队往右侧突进。//n<color=#FFFF00>·占领右侧下方标亮点</color>,0,1
1061103,1309,"43160002,93240",操控<color=#FFB400>Vector小队</color>往右侧突进。//n<color=#FFFF00>·占领右侧下方标亮点</color>,0,1
1061104,1101,93241,我方梯队往右侧突进。//n<color=#FFFF00>·占领右侧上方标亮点</color>,0,1
1061200,1303,43170001:1,,0,1
1061201,1303,43170002:1,,0,1
1061202,1101,93293,占领敌人<color=#FFB400>獠牙_HK416</color>所在点。//n<color=#FFFF00>·回合结束时结算达成情况。</color>,0,1
1063301,1101,73016,,0,1
1063401,1407,440302:1,接近玛赫莲,1,1
1063402,1404,1,绑架玛赫莲，将她带回机场,0,1
1063501,1309,"440001,73126",引导丹德莱移动至脱出点,0,1
1063601,1407,440511:16,将所有印记翻至G面(每次操作可以将自身周围的4个印记翻面，不会翻转自身所在点上的印记),1,1
1063701,1407,440611:1,搜索东南方疑似酒吧的地方(雷达点),1,1
1063702,1407,440612:1,搜索东北方疑似酒吧的地方(雷达点),1,1
1063703,1407,440613:1,搜索西北方疑似酒吧的地方(雷达点),1,1
1063704,1407,440614:1,未知胜利目标,1,1
1063901,1406,440800:0,读取4个记忆碎片,1,1
1064001,1407,440900:1,探索玛赫莲的虚识图景，进入更深层的位置，读取最后的记忆碎片,1,1
1064101,1101,62561|62562,占领任意一个雷达点,0,1
1064201,1407,6440003:1,寻找并拆除伊阿索之匣,0,1
1064301,1405,4,坚守补给线4回合//n（当心被切断补给线）,0,1
1064401,1407,6440003:1,尽可能多的关闭伊阿索之匣,0,1
1064402,1305,0,,0,1
1064403,1407,6440063:2,保护至少2名狱警存活,0,1
1064501,1309,"6440005,63041",让玛赫莲移动到指定点,0,1
1064502,1101,63070,,0,1
1064601,1407,6440066:3,破解三个控制台,0,1
1064602,1101,63233,,0,1
1064701,1102,1,,0,1
1064801,1303,6440801:1,,0,1
1064802,1407,6440095:1,阻止伊阿索之匣爆炸,0,1
1064803,1402,6,,0,1
1065101,1309,"440001,73148",引导丹德莱移动至脱出点,0,1
1065201,1407,440511:36,将所有印记翻至G面(每次操作可以将自身周围的4个印记翻面，不会翻转自身所在点上的印记),1,1
1065701,1407,6440003:1,分别操作两个控制台,0,1
1065702,1101,62526|62527,从任意橙色光柱位置逃离//n（占领橙色任意光柱位置）,0,1
1065703,1102,3,,1,1
1065801,1407,6440003:1,寻找并拆除伊阿索之匣,0,1
1065901,1405,6,坚守补给线6回合//n（当心被切断补给线）,0,1
1065902,1406,6440052:0,清除隔离墙内敌人//n(此框如果显示<color=#FF0818>·X</color>表示墙内还存在敌人）,1,1
1065903,1303,6441301:1,,1,1
1066001,1407,6440003:1,尽可能多的关闭伊阿索之匣,0,1
1066002,1305,0,,0,1
1066003,1407,6440063:3,保护至少3名狱警存活,0,1
1066101,1309,"6440005,62986",让玛赫莲移动到指定点//n（玛赫莲不能死）,0,1
1066102,1101,63061,,0,1
1066201,1407,6440066:4,破解四个控制台,0,1
1066202,1102,1,,0,1
1066301,1102,1,,0,1
1066401,1303,6441801:1,,0,1
1066402,1407,6440095:3,阻止所有的伊阿索之匣爆炸,0,1
1066403,1402,7,,0,1
1066404,2302,10,,0,1
1066500,1101,93323,,0,1
1066501,1101,93323,,1,1
1066502,1303,44340002:1,,1,1
1066600,1101,93342,,0,1
1066700,1101,93555,在审讯室附近找寻线索。//n·占领指定雷达点,0,1
1066701,1101,93393,在审讯室附近找寻线索。//n·占领指定雷达点,0,1
1066702,1101,93383,,1,1
1066703,1101,93393,,1,1
1066704,1101,93395,,1,1
1066800,1101,93397,逃离公寓。//n·占领左侧雷达点。,0,1
1066801,1101,93422,逃离公寓。//n·占领右侧雷达点。,0,1
1066900,1404,1,救援安洁。//n·可从四周巡逻的敌人身上获取防御门权限。,0,1
1067000,1101,93454,追击涅托。（占领指定路径点）//n·战役开始后在人群中找寻踪迹，下回合涅托将出现。,0,1
1067001,1306,44390003:1,击败涅托。,0,1
1067100,1406,44400005:0,探索房间，找寻线索。//n·从资料库中获取资料。,0,1
1067101,1101,93505,结束回合即可结算战役。,0,1
1067102,1101,93519,结束回合即可结算战役。,0,1
1067200,1309,"44410003,93545",安洁逃离到左侧目标点（机场）位置。//n·安洁死亡或无法移动时判定失败。,0,1
1068500,1407,44540003:1,寻找爆破材料，引爆仓库。//n·搜寻并拾取弃置歌利亚，放置于控制台处，下回合后引爆。,1,1
1076501,1101,63540|63549|63539|63543|63547|63545,占领任意光圈位置的点,0,1
1076801,1309,"6460001,63943",让邪神酱到达指定光柱位置,0,1
1076901,1407,6460009:1,至少吃到1份刨冰（共3份）,0,1
1076902,1101,63984,占领指定点（逃离这片区域）,0,1
1077001,1407,6460010:3,查阅场上的所有帐篷,0,1
1077201,1407,460503:1,探索公园，寻找衔尾蛇//n<color=#FFB400>注：衔尾蛇可能出现在雷达附近</color>,1,1
1077202,1303,460507:1,,0,1
1077203,1407,460505:1,,0,1
1077301,1309,"6460001,63959",让邪神酱到达指定光柱位置,0,1
1077401,1407,6460009:3,至少吃到3份刨冰（共5份）,0,1
1077402,1101,64023,占领指定点（逃离这片区域）,0,1
1077403,1407,6460009:5,,0,1
1077501,1407,6460010:4,查阅场上的所有帐篷,0,1
1077702,1303,461008:1,,0,1
1077801,1402,1,,0,1
1077901,1402,1,,0,1
1078001,1305,0,,0,1
1078002,1101,64139,,0,1
1078101,1102,1,,0,1
1078102,1101,64156,,0,1
1078201,1101,64170,,0,1
1078202,1101,64189,,0,1
1078301,1306,6470401:1,,0,1
1078302,1101,64225,,0,1
1080101,1407,6480014:1,寻找交接的线人（走到线人旁边就行）,0,0
1080191,1407,6480066:1,特工J撤退,0,0
1080201,1101,64415,占领敌军指挥部,0,"1,0"
1080301,1407,6480015:1,找到并且接近奈乐,0,"1,0"
1080391,1407,6480017:1,市民到达药厂（点位上与敌人交战或者被占领就会失败）,0,0
1080392,1407,6480066:1,特工J或SP9撤退,0,0
1080401,1101,64518|64519,占领任意一个标记点,0,"1,0"
1080501,1309,"6480205,64581",让M4A1移动到标记点,0,1
1080591,1407,6480067:1,M4A1与敌方交战,0,0
1080601,1407,6480024:1,启动控制台,0,"0,0"
1080602,1407,6480026:1,调查伊阿索之匣,0,"1,1"
1080691,1407,6480068:1,伊阿索之匣爆炸,0,0
1080701,1404,1,救援人质奈乐,0,1
1080791,1407,6480066:1,J小队撤退,0,0
1080801,1407,6480049:4, 到达每个雷达点上,0,"1,1"
1080802,1303,6480801:1,,1,0
1080901,1306,"6480302:1,6480303:1",击败带有★标识的敌人,0,0
1081001,1309,"6480209,64665",让J小队移动到指定位置,0,1
1081091,1407,6480066:1,J小队撤退,0,0
1081101,1406,6480043:0,炸毁机场跑道 剩余:<color=#FFB400>{0}</color> //n· 回合结束结算,0,"0,0"
