id,sangvis_id,reward_type,single_num_weight
145019,3005,5,
145020,3007,5,
145021,3008,5,
145022,3006,5,
145023,3009,5,
145024,3010,5,
151001,1003,1,
153002,2001,3,
153003,2002,3,
153004,2003,3,
153005,2004,3,
153006,2006,3,
153007,2005,3,
153008,2008,3,
153009,2009,3,
153010,2010,3,
153011,2011,3,
153012,2012,3,
153013,2013,3,
153014,2014,3,
155015,3001,5,
155016,3002,5,
155017,3003,5,
155018,3004,5,
155019,3005,5,
155020,3007,5,
155021,3008,5,
155022,3006,5,
155023,3009,5,
155024,3010,5,
161001,1014,1,
163002,2001,3,
163003,2002,3,
163004,2003,3,
163005,2004,3,
163006,2006,3,
163007,2005,3,
163008,2008,3,
163009,2009,3,
163010,2010,3,
163011,2011,3,
163012,2012,3,
163013,2013,3,
163014,2014,3,
165015,3001,5,
165016,3002,5,
165017,3003,5,
165018,3004,5,
165019,3005,5,
165020,3007,5,
165021,3008,5,
165022,3006,5,
165023,3009,5,
165024,3010,5,
171001,1004,1,
173002,2001,3,
173003,2002,3,
173004,2003,3,
173005,2004,3,
173006,2006,3,
173007,2005,3,
173008,2008,3,
173009,2009,3,
173010,2010,3,
173011,2011,3,
173012,2012,3,
173013,2013,3,
173014,2014,3,
175015,3001,5,
175016,3002,5,
175017,3003,5,
175018,3004,5,
175019,3005,5,
175020,3007,5,
175021,3008,5,
175022,3006,5,
175023,3009,5,
175024,3010,5,
181001,1005,1,
183002,2001,3,
183003,2002,3,
183004,2003,3,
183005,2004,3,
183006,2006,3,
183007,2005,3,
183008,2008,3,
183009,2009,3,
183010,2010,3,
183011,2011,3,
183012,2012,3,
183013,2013,3,
183014,2014,3,
185015,3001,5,
185016,3002,5,
185017,3003,5,
185018,3004,5,
185019,3005,5,
185020,3007,5,
185021,3008,5,
185022,3006,5,
185023,3009,5,
185024,3010,5,
192001,"1007,1008,1009,1010,1011,1012",2,"1007:1000,1008:1000,1009:1000,1010:1000,1011:1000,1012:1000"
193002,2001,3,
193003,2002,3,
193004,2003,3,
193005,2004,3,
193006,2006,3,
193007,2005,3,
193008,2008,3,
193009,2009,3,
193010,2010,3,
193011,2011,3,
193012,2012,3,
193013,2013,3,
193014,2014,3,
195015,3001,5,
195016,3002,5,
195017,3003,5,
195018,3004,5,
195019,3005,5,
195020,3007,5,
195021,3008,5,
195022,3006,5,
195023,3009,5,
195024,3010,5,
201001,1006,1,
203002,2001,3,
203003,2002,3,
203004,2003,3,
203005,2004,3,
203006,2006,3,
203007,2005,3,
203008,2008,3,
203009,2009,3,
203010,2010,3,
203011,2011,3,
203012,2012,3,
203013,2013,3,
203014,2014,3,
205015,3001,5,
205016,3002,5,
205017,3003,5,
205018,3004,5,
205019,3005,5,
205020,3007,5,
205021,3008,5,
205022,3006,5,
205023,3009,5,
205024,3010,5,
211001,1007,1,
213002,2001,3,
213003,2002,3,
213004,2003,3,
213005,2004,3,
213006,2006,3,
213007,2005,3,
213008,2008,3,
213009,2009,3,
213010,2010,3,
213011,2011,3,
213012,2012,3,
213013,2013,3,
213014,2014,3,
215015,3001,5,
215016,3002,5,
215017,3003,5,
215018,3004,5,
215019,3005,5,
215020,3007,5,
215021,3008,5,
215022,3006,5,
215023,3009,5,
215024,3010,5,
221001,1015,1,
223002,2001,3,
223003,2002,3,
223004,2003,3,
223005,2004,3,
223006,2006,3,
223007,2005,3,
223008,2008,3,
223009,2009,3,
223010,2010,3,
223011,2011,3,
223012,2012,3,
223013,2013,3,
223014,2014,3,
225015,3001,5,
225016,3002,5,
225017,3003,5,
225018,3004,5,
225019,3005,5,
225020,3007,5,
225021,3008,5,
225022,3006,5,
225023,3009,5,
225024,3010,5,
231001,1008,1,
233002,2001,3,
233003,2002,3,
233004,2003,3,
233005,2004,3,
233006,2006,3,
233007,2005,3,
233008,2008,3,
233009,2009,3,
233010,2010,3,
233011,2011,3,
233012,2012,3,
233013,2013,3,
233014,2014,3,
235015,3001,5,
235016,3002,5,
235017,3003,5,
235018,3004,5,
235019,3005,5,
235020,3007,5,
235021,3008,5,
235022,3006,5,
235023,3009,5,
235024,3010,5,
241001,1009,1,
243002,2001,3,
243003,2002,3,
243004,2003,3,
243005,2004,3,
243006,2006,3,
243007,2005,3,
243008,2008,3,
243009,2009,3,
243010,2010,3,
243011,2011,3,
243012,2012,3,
243013,2013,3,
243014,2014,3,
245015,3001,5,
245016,3002,5,
245017,3003,5,
245018,3004,5,
245019,3005,5,
245020,3007,5,
245021,3008,5,
245022,3006,5,
245023,3009,5,
245024,3010,5,
251001,1010,1,
253002,2001,3,
253003,2002,3,
253004,2003,3,
253005,2004,3,
253006,2006,3,
253007,2005,3,
253008,2008,3,
253009,2009,3,
253010,2010,3,
253011,2011,3,
253012,2012,3,
253013,2013,3,
253014,2014,3,
255015,3001,5,
255016,3002,5,
255017,3003,5,
255018,3004,5,
255019,3005,5,
255020,3007,5,
255021,3008,5,
255022,3006,5,
255023,3009,5,
255024,3010,5,
261001,1011,1,
263002,2001,3,
263003,2002,3,
263004,2003,3,
263005,2004,3,
263006,2006,3,
263007,2005,3,
263008,2008,3,
263009,2009,3,
263010,2010,3,
263011,2011,3,
263012,2012,3,
263013,2013,3,
263014,2014,3,
265015,3001,5,
265016,3002,5,
265017,3003,5,
265018,3004,5,
265019,3005,5,
265020,3007,5,
265021,3008,5,
265022,3006,5,
265023,3009,5,
265024,3010,5,
271001,1016,1,
273002,2001,3,
273003,2002,3,
273004,2003,3,
273005,2004,3,
273006,2006,3,
273007,2005,3,
273008,2008,3,
273009,2009,3,
273010,2010,3,
273011,2011,3,
273012,2012,3,
273013,2013,3,
273014,2014,3,
273015,2015,3,
275016,3001,5,
275017,3002,5,
275018,3003,5,
275019,3004,5,
275020,3005,5,
275021,3007,5,
275022,3008,5,
275023,3006,5,
275024,3009,5,
275025,3010,5,
281001,1012,1,
283002,2001,3,
283003,2002,3,
283004,2003,3,
283005,2004,3,
283006,2006,3,
283007,2005,3,
283008,2008,3,
283009,2009,3,
283010,2010,3,
283011,2011,3,
283012,2012,3,
283013,2013,3,
283014,2014,3,
283015,2015,3,
285016,3001,5,
285017,3002,5,
285018,3003,5,
285019,3004,5,
285020,3005,5,
285021,3007,5,
285022,3008,5,
285023,3006,5,
285024,3009,5,
285025,3010,5,
291001,1013,1,
293002,2001,3,
293003,2002,3,
293004,2003,3,
293005,2004,3,
293006,2006,3,
293007,2005,3,
293008,2008,3,
293009,2009,3,
293010,2010,3,
293011,2011,3,
293012,2012,3,
293013,2013,3,
293014,2014,3,
293015,2015,3,
295016,3001,5,
295017,3002,5,
295018,3003,5,
295019,3004,5,
295020,3005,5,
295021,3007,5,
295022,3008,5,
295023,3006,5,
295024,3009,5,
295025,3010,5,
301001,1017,1,
303002,2010,3,
303003,2011,3,
303004,2012,3,
303005,2013,3,
303006,2014,3,
303007,2015,3,
303008,2016,3,
305009,3001,5,
305010,3002,5,
305011,3003,5,
305012,3004,5,
305013,3005,5,
305014,3007,5,
305015,3008,5,
305016,3006,5,
305017,3009,5,
305018,3010,5,
311001,1014,1,
313002,2014,3,
313003,2015,3,
313004,2016,3,
313005,2001,3,
313006,2002,3,
313007,2003,3,
313008,2004,3,
315009,3001,5,
315010,3002,5,
315011,3003,5,
315012,3004,5,
315013,3005,5,
315014,3007,5,
315015,3008,5,
315016,3006,5,
315017,3009,5,
315018,3010,5,
321001,1001,1,
323002,2001,3,
323003,2002,3,
323004,2003,3,
323005,2004,3,
323006,2006,3,
323007,2005,3,
323008,2008,3,
325009,3001,5,
325010,3002,5,
325011,3003,5,
325012,3004,5,
325013,3005,5,
325014,3007,5,
325015,3008,5,
325016,3006,5,
325017,3009,5,
325018,3010,5,
331001,1018,1,
333002,2006,3,
333003,2005,3,
333004,2008,3,
333005,2017,3,
333006,2009,3,
333007,2010,3,
333008,2011,3,
335009,3001,5,
335010,3002,5,
335011,3003,5,
335012,3004,5,
335013,3005,5,
335014,3007,5,
335015,3008,5,
335016,3006,5,
335017,3009,5,
335018,3010,5,
341001,1002,1,
343002,2017,3,
343003,2009,3,
343004,2010,3,
343005,2011,3,
343006,2012,3,
343007,2013,3,
343008,2014,3,
345009,3001,5,
345010,3002,5,
345011,3003,5,
345012,3004,5,
345013,3005,5,
345014,3007,5,
345015,3008,5,
345016,3006,5,
345017,3009,5,
345018,3010,5,
351001,1003,1,
353002,2012,3,
353003,2013,3,
353004,2014,3,
353005,2015,3,
353006,2016,3,
353007,2001,3,
353008,2002,3,
355009,3001,5,
355010,3002,5,
355011,3003,5,
355012,3004,5,
355013,3005,5,
355014,3007,5,
355015,3008,5,
355016,3006,5,
355017,3009,5,
355018,3010,5,
361001,1019,1,
363002,2015,3,
363003,2016,3,
363004,2001,3,
363005,2002,3,
363006,2003,3,
363007,2004,3,
363008,2006,3,
365009,3001,5,
365010,3002,5,
365011,3003,5,
365012,3004,5,
365013,3005,5,
365014,3007,5,
365015,3008,5,
365016,3006,5,
365017,3009,5,
365018,3010,5,
371001,1004,1,
373002,2003,3,
373003,2004,3,
373004,2006,3,
373005,2005,3,
373006,2008,3,
373007,2017,3,
373008,2009,3,
375009,3001,5,
375010,3002,5,
375011,3003,5,
375012,3004,5,
375013,3005,5,
375014,3007,5,
375015,3008,5,
375016,3006,5,
375017,3009,5,
375018,3010,5,
382001,"1005,1006,1013,1014,1002,1003",2,"1005:1000,1006:1000,1013:1000,1014:1000,1002:1000,1003:1000"
383002,2005,3,
383003,2008,3,
383004,2017,3,
383005,2009,3,
383006,2010,3,
383007,2011,3,
383008,2012,3,
385009,3001,5,
385010,3002,5,
385011,3003,5,
385012,3004,5,
385013,3005,5,
385014,3007,5,
385015,3008,5,
385016,3006,5,
385017,3009,5,
385018,3010,5,
391001,1015,1,
393002,2010,3,
393003,2011,3,
393004,2012,3,
393005,2013,3,
393006,2014,3,
393007,2015,3,
393008,2016,3,
395009,3001,5,
395010,3002,5,
395011,3003,5,
395012,3004,5,
395013,3005,5,
395014,3007,5,
395015,3008,5,
395016,3006,5,
395017,3009,5,
395018,3010,5,
401001,1020,1,
403002,2013,3,
403003,2014,3,
403004,2015,3,
403005,2016,3,
403006,2001,3,
403007,2002,3,
403008,2018,3,
405009,3001,5,
405010,3002,5,
405011,3003,5,
405012,3004,5,
405013,3005,5,
405014,3007,5,
405015,3008,5,
405016,3006,5,
405017,3009,5,
405018,3010,5,
