id,name,code,description,introduce,type,pow,hit,dodge,armor,critical_harm_rate,grow,proportion,skill_id,quality_exp,quality_need_number,category,develop_duration,retiremp,retireammo,retiremre,retirepart,powerup_mp,powerup_ammo,powerup_mre,powerup_part,armor_piercing,ai,is_additional,avatar_offset,avatar_scale,picture_offset,picture_scale,launch_time,org_id,obtain_ids
19,炊事妖精,cooking,“来来来别客气，就像在自己家里一样！”,拥有给梯队施加随机增益的能力，平日可用于制作料理（美食和毒物全看心情）。,2,35,22,113,106,25,250,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900151,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","-100,-100,0","0.864,0.864,0.864",0,10502,"512,0"
20,花火妖精,petard,“来吧！请在烟花绚烂的天空下，表明你们的心意吧！”,拥有释放烟花的能力，平日可用来庆祝仪式和惊吓他人，不分昼夜。,2,115,82,44,40,0,260,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900155,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","-40,-80,0","0.864,0.864,0.864",0,10502,"502,0"
21,年兽妖精,Nian,“走过南，闯过北，压岁红包必须给！嗷——！”,拥有释放杀伤性爆竹的能力，平日可用于节庆活动、捕捞鱼鲜、论坛交流。,6,110,0,31,125,80,205,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900157,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","-40,-80,0","0.864,0.864,0.864",0,10502,"503,0"
22,海滩妖精,beach,“不会享受假日的人，会被愤怒的独角兽撞翻哦！“,拥有短距离击退的能力，平日可用于清空场地。,6,105,0,50,0,80,300,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900165,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","40,-80,0","0.864,0.864,0.864",0,10502,"504,0"
23,连击妖精,combo,“还不够！不许停下来啊，可恶！”,拥有连续输送增益的能力，平日可用于追捕并惩戒出千牌手，直至他们力竭倒下。,6,220,188,0,0,80,80,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*17,100,"1:0,2:100,3:500,4:1500,5:3000",2,18900,1,4,5,3,3,10,14,8,0,3000,0,"0,24,0","0.58,0.58,0.58","40,-80,0","0.864,0.864,0.864",0,10502,38
24,立盾妖精,standshield,“左侧弹……啊不，护甲太薄了！”,拥有为梯队内带护甲人形张开护盾的能力，平日可用于负重减肥和包快递。,3,0,145,80,220,0,95,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900168,100,"1:0,2:100,3:500,4:1500,5:3000",1,15300,5,4,1,1,14,10,3,3,0,3000,0,"5,10,0","0.58,0.58,0.58","40,-80,0","0.864,0.864,0.864",0,10502,38
25,双生妖精,twins,“我们是命运的共同体，可不允许你偏心！”,拥有召唤共生双子的能力，平日可用于人形扩建的适应训练或二人转表演。,3,110,110,110,105,0,115,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900159,100,"1:0,2:100,3:500,4:1500,5:3000",1,16800,5,4,1,1,14,10,3,3,0,3000,0,"0,-24.5,0","0.5,0.5,0.5","20,-70,0","0.864,0.864,0.864",0,10502,38
26,原型妖精,origin,“我是最初的，也是最后的……一切都会始于我，一切都会终于我。”,拥有增幅其他妖精的能力，平日可帮忙模型拼装和占座。,1,80,22,30,120,0,60,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",901001,1000,"1:0,2:100,3:500,4:1500,5:3000",1,16200,4,5,1,1,10,14,3,3,0,3000,0,"-10,-27,0","0.58,0.58,0.58","-60,-100,0","0.864,0.864,0.864",0,10502,"509,510"
27,祥瑞妖精,auspicious,“福禄寿三星共照，天地人一气同春，新年好，新年好——！”,拥有投放神秘桃子的能力，平日可用于指挥官日常饮食，以及人形特供水果拼盘。,6,110,120,200,0,100,120,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*18,100,"1:0,2:100,3:200,4:350,5:550",2,18600,4,1,5,1,10,3,14,3,0,3000,0,"-10,37,0","0.6,0.6,0.6","0,-60,0","0.864,0.864,0.864",0,10502,"505,0"
28,沙舞妖精,sanddance,“沙与水，生与死，周而复始！”,拥有召唤沙尘暴的能力，平日可用于庭院造景。,6,185,55,138,0,70,115,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*19,100,"1:0,2:100,3:200,4:350,5:550",2,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","40,-80,0","0.864,0.864,0.864",0,10502,"506,0"
29,应援妖精,cheeringteam,“北风吹，战鼓擂，我们指挥官怕过谁！”,拥有利用声势压迫对手的能力，平时可用于增加自卑人形的信心。,2,200,124,40,141,0,140,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",902378,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"-10,-35,0","0.58,0.58,0.58","40,-80,0","0.864,0.864,0.864",0,10502,"507,0"
30,魔女妖精,curse,“尽管巫术是假的，捉弄人的能力却是真的。要小心。“,拥有占卜和诅咒的能力，平日可用于对摸鱼的人形施压。,6,200,80,100,0,80,200,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",756031,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","40,-80,0","0.864,0.864,0.864",0,10502,"508,0"
31,陷阱妖精,trap,“哎呀，你什么时候产生出了没有踏进陷阱的错觉？”,拥有架设陷阱的能力，平日里可用于守卫零食仓库。,6,200,120,0,0,120,80,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*21,100,"1:0,2:100,3:200,4:350,5:550",2,18600,4,1,5,1,10,3,14,3,0,3000,0,"0,-35,0","0.6,0.6,0.6","40,-80,0","0.864,0.864,0.864",0,10502,"513,0"
1001,八重樱,Sakura,“绽放吧，这悲哀的尘世。”,拥有群体伤害的能力，战斗中产生大量火柱，对接触到的敌人造成伤害。,4,220,0,75,65,200,60,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900118,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,3,14,10,3,0,3000,1,"0,30,0","0.6,0.6,0.6","-80,-70,0","0.864,0.864,0.864",0,0,"303,317"
1002,耀夜姬,Kaguya,“淡漠无名，月下起舞。”,拥有地图伤害的能力，在大地图中对范围不大于2的最多3队敌人造成伤害。,6,0,173,75,180,195,60,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*1002,100,"1:0,2:100,3:200,4:350,5:550",2,18600,1,1,1,1,3,10,14,8,0,3000,1,"5,12,0","0.5,0.5,0.5","-70,-90,0","0.864,0.864,0.864",0,0,"314,318"
1003,柯萝伊,Chloe,“Re Mi Re Mi Fa So Mi Mi Re”,拥有召唤幻影的能力，战斗中召唤2个拥有生命值的幻影，且每隔一段时间对全体敌人造成伤害。,3,145,135,199,65,0,60,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900119,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,14,10,3,3,0,3000,1,"5,10,0","0.6,0.6,0.6","-100,-80,0","0.8,0.8,0.8",0,0,"314,318"
1004,希依,DJMAXSUEE,“我需要你，请留在我身边哦！”,拥有指定地点施加增益的能力，平时会帮大家蹲点观察和约会盯梢。,6,0,0,175,170,150,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*1004,100,"1:0,2:100,3:200,4:350,5:550",2,18600,1,1,1,1,3,14,10,3,0,3000,1,"0,30,0","0.6,0.6,0.6","-80,-70,0","0.864,0.864,0.864",0,0,"315,319"
1005,世拉&妮娜,DJMAXSEHRA,“在白色的宇宙下，找到闪闪发光的我们吧！”,拥有提高我方伤害并降低敌方命中的能力，平时会帮大家加油鼓劲和贬损对方（看谁抢先聘用她们）。,2,100,80,125,0,100,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900152,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,3,10,14,8,0,3000,1,"20,20,0","0.7,0.7,0.7","-90,-90,0","0.8,0.8,0.8",0,0,"315,319"
1006,普蕾娅&卡米莉娅,DJMAXPREIYA,“最后的夜晚来临了，你要选择哪一个我呢？”,拥有在特殊点有损地获得不同增益的能力，平时会赠予大家一些不可捉摸的预言和教诲，但免费的往往不 是好东西。,2,145,100,25,100,110,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900153,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,14,10,3,3,0,3000,1,"-20,0,0","0.6,0.6,0.6","-90,-90,0","0.8,0.8,0.8",0,0,"315,319"
1007,安娜·格雷姆,Anna,“……悬念总有存在的理由，对吧？”,拥有调整梯队回避和伤害的能力——也许你看到的是她，也许你看到的只是一粒有趣的尘埃。,2,185,65,180,80,0,80,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900158,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,14,10,3,3,0,3000,1,"0,30,0","0.6,0.6,0.6","0,-70,0","0.864,0.864,0.864",0,0,"316,223"
1008,浩二,Koji,“想要快点长大，成为像姐姐一样独当一面的恶魔。”,拥有召唤风雪、降低敌人射速的能力，平常可用于制造刨冰和室内降温，是夏季省钱的绝佳伴侣。,2,110,50,150,150,0,115,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",756045,100,"1:0,2:100,3:200,4:350,5:550",1,18600,1,1,1,1,14,10,3,3,0,3000,1,"0,30,0","0.6,0.6,0.6","0,-70,0","0.864,0.864,0.864",0,0,"242,244"
90001,敌人妖精,90001,掉落描述,,2,100,100,100,100,100,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",0,100,"1:0,2:100,3:500,4:1500,5:3000",99,17400,4,1,5,1,10,3,14,3,0,3000,0,"0,0,0","1,1,1","0,0,0","1,1,1",0,0,
90002,TheaterPerformance,90002,掉落描述,,2,160,50,80,150,0,115,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",501029,100,"1:0,2:100,3:500,4:1500,5:3000",99,17400,4,1,5,1,10,3,14,3,0,3000,0,"0,0,0","1,1,1","0,0,0","1,1,1",0,0,
90003,照明妖精（引导）,illumine,“被掳走的人……在隧道的……另一边？”,拥有夜间额外视野的能力，平日可用于夜间探险和打暗号。,1,0,200,87,80,201,80,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*60000,100,"1:0,2:100,3:500,4:1500,5:3000",2,18600,4,1,5,1,10,3,14,3,0,3000,0,"-20,-15,0","0.7,0.7,0.7","-80,-120,0","0.864,0.864,0.864",0,0,
90004,空袭妖精（引导）,air_attack,“嘻嘻，除了逃跑，你好像什么都没学到呢。”,拥有空袭打击的能力，平日可用于高空作业。,4,159,79,79,79,0,150,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900109,100,"1:0,2:100,3:500,4:1500,5:3000",1,13200,1,5,4,1,3,14,10,3,0,3000,0,"0,4,0","0.6,0.6,0.6","-80,-80,0","0.864,0.864,0.864",0,0,
