id,target_type,name,target_des,code,rank,rank_type,rank_inorder,hit_rank,hit_rank_type,hit_rank_inorder,difficult_level_limit,difficult_level,recommend_level,target_id,battle_timelimit,hp_is_re,is_time_limit,start_time,end_time,cost_type,cost_item,mp,ammo,mre,part,is_reward,prize_reward
170301,3,末日魔犬,特殊标靶-末日魔犬，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_03,1,0,1,1,0,1,1,1,100,301,300,0,1,2020-08-11 00:00:00,2020-08-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170401,3,叶戈尔,特殊标靶-叶戈尔，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_04,1,0,1,1,0,1,1,1,100,401,300,0,1,2020-08-11 00:00:00,2020-08-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170501,3,失格异构体,特殊标靶-失格异构体，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_05,1,0,1,1,0,1,1,1,100,501,300,0,1,2020-08-11 00:00:00,2020-08-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170601,3,M16A1!,特殊标靶-M16A1！，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_06,1,0,1,1,0,1,1,1,100,601,300,0,1,2020-08-11 00:00:00,2020-08-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170701,3,断后中队,特殊标靶-断后中队，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_07,1,0,1,1,0,1,1,1,100,701,300,0,1,2020-08-11 00:00:00,2020-08-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170801,3,01：乱数雷霆,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_08,1,0,1,1,0,1,1,1,100,801,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
170901,3,02：乱数蝎甲,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_09,1,0,1,1,0,1,1,1,100,901,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171001,3,03：乱数毁灭,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_10,1,0,1,1,0,1,1,1,100,1001,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171101,3,04：乱数切割,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_11,1,0,1,1,0,1,1,1,100,1101,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171201,3,05：乱数磐钢,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_12,1,0,1,1,0,1,1,1,100,1201,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171301,3,06：乱数吞噬,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_13,1,0,1,1,0,1,1,1,100,1301,300,0,1,2020-08-11 00:00:00,2020-09-24 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171401,4,收藏标靶,玩家可以在战斗地图中，将敌对目标收藏为标靶目标，进行反复的练习，方便指挥官们更深刻的理解战斗。,mission_targettrain_collect,0,0,0,0,0,0,1,1,100,0,300,1,0,,,0,,0,0,0,0,0,
171501,3,必中谎言,【靶机专训】通过【梦间剧】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_15,1,0,1,1,0,1,1,1,100,1501,300,0,1,2020-09-13 00:00:00,2020-11-02 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171601,3,01：燃烧狂兽,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_16,1,0,1,1,0,1,1,1,100,1601,300,0,1,2020-08-11 00:00:00,2020-10-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171701,3,02：不倒铁律,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_17,1,0,1,1,0,1,1,1,100,1701,300,0,1,2020-08-11 00:00:00,2020-10-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171801,3,03：蜂鸟旋涡,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_11,1,0,1,1,0,1,1,1,100,1801,300,0,1,2020-08-11 00:00:00,2020-10-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
171901,3,04：庞然战车,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_19,1,0,1,1,0,1,1,1,100,1901,300,0,1,2020-08-11 00:00:00,2020-10-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172001,3,01：歧路信标,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_06,1,0,1,1,0,1,1,1,100,2001,300,0,1,2020-10-26 00:00:00,2020-11-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172101,3,02：暴雨歌者,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_21,1,0,1,1,0,1,1,1,100,2101,300,0,1,2020-10-26 00:00:00,2020-11-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172201,3,03：异构枪弹,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_22,1,0,1,1,0,1,1,1,100,2201,300,0,1,2020-10-26 00:00:00,2020-11-15 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172301,3,异构体,强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_05,1,0,1,1,0,1,1,1,100,2301,300,0,1,2020-10-26 00:00:00,2020-12-20 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172401,3,01：悖论·乱涌,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1724,1,0,1,1,0,1,1,1,100,2401,300,0,1,2021-02-01 00:00:00,2021-03-10 11:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172501,3,02：悖论·潜蝎,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1725,1,0,1,1,0,1,1,1,100,2402,300,0,1,2021-02-01 00:00:00,2021-03-10 11:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172601,3,03：悖论·戾蜂,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1726,1,0,1,1,0,1,1,1,100,2403,300,0,1,2021-02-01 00:00:00,2021-03-10 11:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172701,3,01：裂变·暴君,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1727,1,0,1,1,0,1,1,1,100,2404,300,0,1,2021-03-12 10:00:00,2021-03-13 00:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172801,3,02：裂变·猎手,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1728,1,0,1,1,0,1,1,1,100,2405,300,0,1,2021-03-12 10:00:00,2021-03-13 00:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
172901,3,03：裂变·血疫,【靶机专训】通过【裂变链接】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1729,1,0,1,1,0,1,1,1,100,2406,300,0,1,2021-03-12 10:00:00,2021-03-13 00:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173001,3,爆裂·魔女,是【靶机专训】使用从【小邪神前线】中获取的讯模拟出的强大单位，能够让指挥官安全无忧地派遣人形与其进行训练。开放期间会记录大家的挑战时间和对应的挑战数据，以便于指挥官们互相学习。,mission_targettrain_1730,1,0,1,1,0,1,1,1,100,2407,300,0,1,2021-07-22 10:00:00,2021-08-12 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173101,3,大地·赴罪之人,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1731,1,0,1,1,0,1,1,1,100,2408,300,0,1,2020-01-01 10:00:00,2020-01-02 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173201,3,铁血·厄勒克特拉,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1732,1,0,1,1,0,1,1,1,100,2409,300,0,1,2020-01-01 10:00:00,2020-01-02 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173301,3,铁血·无归者,【靶机专训】通过【偏振光】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1733,1,0,1,1,0,1,1,1,100,2410,300,0,1,2020-01-01 10:00:00,2020-01-02 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173401,3,01焓变·刺霜,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1734,1,0,1,1,0,1,1,1,100,2411,300,0,1,2021-08-26 10:00:00,2021-09-23 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173501,3,02焓变·夜霭,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1735,1,0,1,1,0,1,1,1,100,2412,300,0,1,2021-08-26 10:00:00,2021-09-23 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173601,3,03焓变·冥雾,【靶机专训】通过【熵减焓增】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1736,1,0,1,1,0,1,1,1,100,2413,300,0,1,2021-08-26 10:00:00,2021-09-23 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10000"
173701,3,I 飓风：蜕骨,【靶机专训】通过【静风点】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1737,1,0,1,1,0,1,1,1,100,2414,300,0,1,2022-01-20 10:00:00,2022-02-17 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10001"
173801,3,II 飓风：枯蛱,【靶机专训】通过【静风点】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,mission_targettrain_1738,1,0,1,1,0,1,1,1,100,2415,300,0,1,2022-01-20 10:00:00,2022-02-17 10:00:00,0,"9,5",4000,4000,4000,4000,0,"61:10000,62:10000,63:10002"
