id,name,extra,fit_gun,ai,voice,is_hidden,substitute_voice,dialog,note,explore_tag,gift_position,illustrator_cv,order,class_id
406,97式-牡丹魁,0,130,0,15,0,,过年好，长官！看，老姐又给我红包啦！哎呀，要是她每年只有这时候出来该多好……,,,"47.1,-188.9",,4,5
407,59式-报春花,0,132,40407,15,0,,过年好过年好！哎呀，这么多人找我要红包很头疼啊，长官，补偿我一点吧！,,,,,4,5
408,PTRD-浪漫任务,0,42,0,16,0,,今天是情人节呢。指挥官，收下我的心意吧。不然的话……,,,,,6,6
409,"UMP9-""我来晚了?""",0,101,0,16,0,,指挥官，今天收到的巧克力，是不是有点多呢？……所以，再多一份也不要紧吧，嘿嘿♪,,,,ZAGALA//c能登麻美子//c,6,6
410,"UMP45-""下不为例。""",0,103,0,16,0,,指挥官，这是我做的巧克力。当然了，大家也都给您做了吧，我的是不是还凑合呢？,,,,ZAGALA//c嶺内ともみ//c,6,6
411,维尔德MkⅡ-英国恋人,0,114,0,16,0,,请看这次的巧克力……确认无毒了，所以请收下吧，长官。,,,,,6,6
501,AK-47-战争之王,0,58,0,4,1,,BOSS！如果你想在战场上活下来，就跟我一起留下一个很酷的疤痕吧！,,,,,5,0
502,SV-98-女服务生,0,44,0,4,0,,女仆就是做这样的工作吗？好像也不是很难啊。,,,,,5,0
503,诺爱尔-μ-12,0,1001,0,4,0,BB_Noel_503,神辉召唤！丛云，启动！,,,,,11,53
504,艾尔菲尔特-马格南婚礼,0,1002,0,4,0,,我理想中的丈夫大人在哪里呢？,,,,,11,53
505,艾尔菲尔特-人偶歼灭者,0,1002,0,4,0,,艾尔菲尔特·华伦泰，将毁灭所有不适任的人偶们！,,,,,11,53
506,琪亚娜-琪亚娜的礼装,0,1003,0,4,0,,哼，人家可是来自崩坏世界的公主殿下呢！,,,,,16,53
507,布洛妮娅-布洛妮娅的装甲,0,1005,0,4,0,,特化装甲启动，原力护盾……展开！,,,,,16,53
508,希儿-希儿的祭礼,0,1008,0,4,0,,希、希儿穿上这身衣服，心里觉得空荡荡的。,,,,,16,53
509,克莉尔-口袋城女王二世,0,1009,0,4,0,,哼哼~这就是所谓的喜闻乐见吧？就算是这样的风格我也是十足的万人迷哦~,,,"-61.2,19.5",,23,53
510,菲尔-口袋城女王三世,0,1010,0,4,0,,下一曲了吗？……啊！这是……嘻嘻~这首可是我的拿手好戏呢~,,,"39.3,-57.1",,23,53
521,UMP45-冬之旅,0,103,0,4,0,,这段记忆……要和我一起经历吗？那么出发的时刻，就由你来决定吧。,,,,ZAGALA//c嶺内ともみ//c,33,0
522,SPAS-12-宪兵乐手,0,162,0,4,0,,请准备好您的耳朵，指挥官，我要迈出全新的一步啦！,,,,,36,0
523,GSh-18-行走的手术台,0,221,0,4,0,,指挥官，您……您要当我的第一个病人吗？,,,,,37,0
524,史黛拉·星井-挚友的铠甲,0,1020,0,4,0,,为什么大家还是管我叫“史黛拉阿姨”？……塞伊，我猜不只是服装出了问题……,,,,,40,68
525,多萝西·海兹-珍稀圣诞礼服,0,1019,0,4,0,,呜哇，感谢您！我终于得到了它啦！要和我一起过圣诞嘛？我刚刚想好了圣诞专用的新艺名！,,,"-139.8,52.7",,40,68
526,达娜·赞恩-赤色彗星,0,1022,0,4,0,,需要我用一场漂亮的摔角来帮你解决基地的麻烦事吗？,,,,,40,68
527,赛伊·朝雾-挚友的便装,0,1018,0,4,0,,我终于体会到史黛拉的感受，虽然胸口的体验……可能还不够完整……,,,,,40,68
528,阿尔玛·阿玛斯-中学大冒险,0,1021,0,4,0,,感觉就像回到了我的中学时代，也许我该重新谈一场恋爱了，你觉得呢？,,,,,40,68
529,吉尔·斯汀雷-模特战士,0,1017,0,4,0,,以美丽之名，一切都会好起来的！,,,,,40,68
530,M4A1-少女的气球漫游记,0,55,0,4,0,,我会一直记得家的坐标，但我也不会放弃远航，你愿意和我一起系上气球去冒险吗？,,,,影法师//c戸松遥//c,52,59
531,M4 SOPMODII-被守护的宠爱者,0,56,0,4,0,,这些家伙怎么没完没了地来烦扰我啊？要是有人能帮我驱赶它们就好了……,,,"-137.1,-115.5",影法师//c田村ゆかり//c,52,59
532,ST AR-15-飘向花海的礼帽,0,57,0,4,0,,你问我为什么愿意陪你疯陪你冒险？因为乌鸦长得像写字台。,,,"-117.4,-159.7",影法师//c加藤英美里//c,52,59
533,M16A1-独眼的白兔骑士,0,54,0,4,0,,快些，再快些，已经没有时间了……那么，我就用这最后的时刻回答你最后一个问题，我愿意。,,,"-156.9,-65.1",影法师//c山根希美//c,52,59
534,RO635-稻田里的守护者,0,143,0,4,0,,虽然这是一件十分讨厌的事，但如果能护你周全，我愿意二十四小时待命。,,,"-103.86,-153.6",影法师//c福原綾香//c,52,59
535,UMP45-逐愿的礼花魔法师,0,103,0,4,0,,咚咚咚——您预订的魔法师服务到了，没有这样的预约？那么请您让开，我要踹开您的门了……,,,"-168.1,-125.5",影法师//c嶺内ともみ//c,52,59
536,UMP9-偿愿的礼花魔法师,0,101,0,4,0,,当当当——魔法师的偿愿事务所开张啦！如果你有什么想要实现的心愿的话，请排在45姐的后面！,,,"-37.9,-144.7",影法师//c能登麻美子//c,52,59
537,HK416-千宵草味的锡纸糖,0,65,0,4,0,,簌簌簌——当你吃下这颗糖，你也就和我有了约定，不好好遵守的话我是不会轻易放过你的。,,,"-113.1,-146.1",影法师//c野中藍//c,52,59
538,G11-寻找勇气的雷克斯兔,0,122,0,4,0,,叽叽叽——什么，兔子是没有声带的吗？那下次有任务找我的时候还是直接装睡好了……,,,"-121.8,-80.1",影法师//c福原綾香//c,52,59
539,UMP40-守望心愿的暗影女巫,0,102,0,4,0,,砰砰砰——寄存在我这里的心愿，正在无人知晓的土壤中悄悄发芽……,,,"-109.4,-181",影法师//c上間江望//c,52,59
540,AK-12-极昼微光,0,206,0,4,0,,指挥官，你的体温比平时高了0.2℃，心率也在加快，我看起来很让人害怕吗？……闭上眼？这次不行。,,,,,54,0
541,崔耶拉-暗影行动,0,1025,0,4,0,,只有任性的大人才会选择耍帅独行。我已经准备万全，随时可以和你一起出发。,,,"-89.16,-148.4",,56,53
542,莉可-自由餐厅,0,1024,0,4,0,,今天我是作为女仆来这里的，要听我拉琴的话，得等下次了哦。,,,"-152.9,-104.5",,56,53
543,安洁莉卡-童话起点,0,1027,0,4,0,,总觉得很久之前也这样在出门前精心准备呢……小皮？！你是从哪里跑出来的？,,,"-124.5,-133.1",,56,53
544,海莉艾塔-月神假日,0,1023,0,4,0,,我们要快一点了，今晚的海边可以看到射手座呢。,,,"-121.4,-158.3",,56,53
545,库拉耶丝-晨风庭园,0,1026,0,4,0,,早安，欢迎来到我的庭院。曾经有人把它交给了我，现在它也属于你了。,,,"-126.3,7.8",,56,53
546,特工416-曼岛之盾,0,1029,0,4,0,,新的麻烦又来了吗……真是的，我的城市可装不下那么多乱七八糟的货色。,,,"-169,-72.4",,60,53
547,特工维克托-浴火凛锋,0,1028,0,4,0,,看来这次的工作是去拯救一个大家伙……,,,"-61.4,-46.1",,60,53
548,HK416-獠牙,0,65,0,4,0,,自由与平等并非与生俱来的权力，你能够选择的，只有服从或是死亡。,,,"-134,-74.2",,60,53
549,维克托-地狱火,0,20,0,4,0,,若要净化城市，难免得付出一点点代价……,,,"-180.1,-121.1",RIRE//c早見沙織//c,60,53
550,M4A1-松间曦光,0,55,0,4,0,,大家像这样一起为一件事努力，是我最喜欢的……诶，到我了吗？来、来了,,,,暖森//c戸松遥//c,68,60
551,M4 SOPMODII-深林鸣音,0,56,0,4,0,,哇，这个吹起来不错，敲起来也很好听！这样用指甲在上面叮叮当当……不可以吗？为什么？,,,,暖森//c田村ゆかり//c,68,60
552,ST AR-15-春日幻风,0,57,0,4,0,,这种指法不算复杂，我没问题。随时都可以开始，你们呢？,,,,暖森//c加藤英美里//c,68,60
553,M16A1-墟上烈阳,0,54,0,4,0,,这把乐器还挺轻的嘛。但是吹奏的经验不是下载资料就立刻能做到的……指挥官，你会吹吗？,,,,暖森//c山根希美//c,68,60
554,RO635-水中融月,0,143,0,4,0,,我喜欢这种圆融的音色。刚刚的配合不错，请大家再试一次！,,,,暖森//c福原綾香//c,68,60
555,UMP45-旋转彭罗斯,0,103,0,4,0,,我们始终在上行吗？嘻嘻……那往上走和往下走，也没什么区别吧？,,,,--//c嶺内ともみ//c,73,64
556,UMP9-波莱罗舞雀,0,101,0,4,0,,跳起来吧！这么盛大的演出，可不能偷懒哦！,,,,--//c能登麻美子//c,73,64
557,HK416-敲击波丽露,0,65,0,4,0,,打击乐就打击乐，我要用气势赢过M16A1……G11，你先起来。,,,,--//c野中藍//c,73,64
558,G11-混乱交响曲,0,122,0,4,0,,我真的不会指挥啊！好多啊，我的云图要烧掉了！！我要回去睡觉——,,,,--//c福原綾香//c,73,64
559,UMP40-克莱因间奏,0,102,0,4,0,,永远都不可能装满水的瓶子，就像永远也听不到、但至今也持续着的演奏……,,,,--//c上間江望//c,73,64
560,M200-庄严行进,0,257,0,4,0,,我还是第一次参加这样隆重的典礼……有点紧张。指挥官呢？,,,"-74.7,-105.2",,68,60
561,AUG SMG-十号小夜曲,0,315,0,4,0,,典礼奏乐之后，也让我为前辈独奏一次吧！曲目我已经选好了。,,,,,68,60
562,VHS-谐谑天鹅湖,0,318,0,4,0,,按着乐谱来做就可以了吧，感觉也没什么难度。,,,"-112.3,-15.4",,68,60
563,刘氏步枪-悠思之晨,0,316,0,4,0,,今天我也在负责的队列……还是有点跟不上节奏，希望能做好吧。,,,,,68,60
564,SL8-即兴狂想乐,0,296,0,4,0,,次中音萨克斯！我喜欢这个。凭直觉吹也挺好听的嘛！,,,"-237.8,-104.6",,68,60
565,G36-光辉守望者,0,64,0,4,0,,看啊，那光芒闪耀的地方……那就是我们的目的地吗，长官？,,,"-40.4,-2.3",,68,60
566,QBU-88-晨光欧蕾,0,261,0,4,0,,欢迎光临罗森！早安，指挥官。今天的早餐有三种，已经帮你准备好最实惠又好吃的了！,,,,,66,0
567,邪神酱-墨鸽爵士,0,1030,0,4,0,,不要小看这件斗篷，这可是那位鸽子男爵的东西……一旦穿上了，就会变成超级——大坏蛋！！！,,,"-87.1,36.7",,72,53
568,花园百合铃-恶魔在身边,0,1033,0,4,0,,虽然衣服本身是很可爱，可我总觉得露肤度太高了……小邪神不、不要碰啊，可恶，德国肘子——,,,"-183.9,-138.2",,72,53
569,美杜莎-浓情生巧职人,0,1032,0,4,0,,手作的巧克力，送给最重要的人♪就像巧克力有苦有甜一样，我也要陪着重要的人哭着笑着一直走下去！,,,"-120,-106",,72,53
570,佩可拉-打工吧！天使大人,0,1031,0,4,0,,波——诺艾尔今天是作为人类的偶像站在这里的，而守护人类就是天使的工作！,,,"-148.4,-141.2",,72,53
571,米诺斯-湖畔对饮夜,0,1034,0,4,0,,你看，我们现在正被支笏湖怀抱着泡温泉呢！这样的体验可不是每晚都有喔，一起干杯庆祝吧！,,,"-125,-25.8",,72,53
572,G11-秋眠·随想Ⅺ,0,122,0,4,0,,设计师的灵感大都源于一个遐想，优秀的穿衣者善于解读，而这次的模特则更加卓越——她受到强烈的感染，只想睡觉。,,,,GINGALA//c福原綾香//c,78,0
573,Z-62-午后闲弈,0,116,0,4,0,,原来如此，这里要这么走啊……嗯？指挥官也要来下一盘吗？刚刚通读了攻略书的我可是不会输的哦！,,,,,81,0
574,M4 SOPMODII-回魂修理师Jr,0,56,0,4,0,,喂，你预约的M4 SOPMODII Jr大修理师已经就位了，还在啰嗦什么！修不好怎么办？那当然是通通拆掉啊！,,,,Su//c田村ゆかり//c,84,0
601,托卡列夫-两人的旅程,0,6,40601,16,0,,……两个人之间的事？我不太懂。不过，您会教给我吧？,,,,,7,7
602,PPsh-41-契约时刻,0,21,40602,16,0,,指挥官，和您结下这份契约，是我生命中最满足的时刻，今后请让我将更多的荣耀，带到您的面前吧！,,,,,7,7
603,司登MkⅡ-被回应的心意,0,29,40603,16,0,,诶？我的心意……被回应了吗？明明没什么讨人喜欢的地方，但是这一天突然就到来了。,,,,,7,7
604,李-恩菲尔德-毕生守护,0,50,40604,16,0,,从此刻开始，请让我永远地守护您，这是我毕生的荣耀！,,,,,7,7
605,PK-与您同在,0,85,40605,16,0,,请让我继续与您同在，一起扫清前方的道路。,,,"18,-165",,7,7
606,P7-掌心约定,0,100,40606,16,0,,哎呀，结果您还是落到我的手心呢。,,,,,7,7
607,FAL-最重要的日子,0,106,40607,16,0,,虽然今天是个重要的日子，不过也别太紧张哦。,,,,,7,7
701,ST AR-15-返校季,0,57,0,4,0,,这次我的同桌，会是M4A1，还是……,,,,,8,8
702,M950A-王牌值日生,0,97,0,4,0,,喂……这里的地还没扫干净呢，值日时可不能偷懒啊。,,,,音符//c古賀葵//c,8,8
703,MG4-生存社员,0,125,0,4,0,,想加入我们社团吗？……生存可不只是游戏哦。,,,,,8,8
704,6P62-战斗水手,0,138,0,4,0,,浪已经来了，让我们的射程跨越那片大海吧！,,,,,8,8
801,蝎式-深红的星途,0,27,40801,4,0,,蝎子的玫瑰有没有毒，和我走到现在的指挥官最清楚了吧？,等到下次派对的时候，我一定要成为主角！,,"-4.5,-111.7",,9,9
802,春田-灯火下的女王,0,36,40802,4,0,,今晚宴会上的聚光灯……一定会见证最美好的时刻。,度过了相当愉快的一年呢，希望来年有更多的孩子能够参加正式宴会啊。,,,,9,9
803,莫辛-纳甘-月之海,0,39,0,4,0,,没想到我们已经经历这么多了，之后您的身影，也会一直在我们身边吧。,最后我是怎么回宿舍的？有点记不清了……不过管它呢，好久没喝那么畅快了。,,"-31.4,-190.9",,9,9
804,WA2000-舞会休止符,0,48,40804,4,0,,说好给我当舞伴的，怎么还没来……诶！干、干嘛啦！迟到了就乖乖闭嘴好吗！,用琴盒来携带枪支，本以为是不错的设计却带来了意外的麻烦呢……下回要怎么办才好？,,,,9,9
805,HK416-星之茧,0,65,40805,4,0,,指挥官，让今晚的舞台……变成只属于我们两个人的地方吧。,为什么大家都用畏惧的眼神看着我……昨晚发生什么了吗？,,,,9,9
806,M1918-绸缪夜曲,0,75,0,4,0,,红地毯准备好了吗？可别让人家摔跤了哦？,呼……虽说昨晚是用来放松的派对，感觉也好累呀。再多睡一会儿好了……,,,,9,9
807,SR-3MP-黑兔玛奇朵,0,135,0,4,0,,美食搭配可爱的我，作为庆祝今天的贺礼可是特别大放送哦！,总有一天我会成长到能被批准参加正式宴会的！哼哼，到那时一定会让大家羡慕的吧~,,"35.8,-104.3",,9,9
808,M950A-祭典强音！,0,97,0,4,0,,压轴戏要开始了吗？那就轮到我上喽！,啊哈哈……酒店的仓库好像忘记收拾了。希望没有给工作人员添麻烦……,,,音符//c古賀葵//c,9,9
901,李-恩菲尔德-洋葱枪手,0,50,40901,4,0,MLEMK1_0,诶？我、我怎么会变得……放、放心吧，即便如此我也能战斗哦！……大概……,,,,,10,10
902,MP40-拇指公主,0,25,40902,4,0,MP40_0,指挥官，需要我帮您捶肩吗？……嗯，放心吧！我会很用力的！,,,,,10,10
903,灰熊MkⅤ-变身！泰迪熊！,0,96,40903,4,0,Grizzly_0,唔、唔……人生总是这么痛苦吗？还是只有小时候是这样？,,,,,10,10
904,内格夫-小流浪家,0,112,40904,4,0,NEGEV_0,指挥官啊，今天不给小孩子礼物可是会被逮捕的哦~,,,,,10,10
905,G36-小小招待员,0,64,40905,4,0,G36_0,诶？原来我的枪有这么大吗？……那我也要努力长身体才行了。,,,,,10,10
1101,NTW-20-骄阳任务,0,53,41101,4,0,,海风里吹来的杀气，就交给我来解决吧。,,,"-2.9,-122.4",,12,11
1102,95式-夏鸣蝉,0,129,41102,4,0,,真想快点也让97看看这个泳装呢，嘻嘻~,,,"2.7,-147.4",,12,11
1103,索米-仲夏夜的精灵,0,115,41103,4,0,,好厉害！……大海和天空居然连在一起了！,,,,,12,11
1104,G28-热带风暴,0,146,41104,4,0,,指挥官~让阳光把你和我的影子一起烙印在海面上吧！,,,,,12,11
1105,M37-盛夏巡礼者,0,153,41105,4,0,,不光是指挥官，这次我要吸引所有人的目光哦？好好欣赏吧。,,,,,12,11
1106,M1加兰德-沙滩公主,0,34,41106,4,0,,嘻嘻，夏天的话果然还是穿成这样最舒服了！,,,,,12,11
1107,春田-睡醒的人鱼,0,36,41107,4,0,,指挥官，和我一起找一个海风最舒服的位置吧~,,,,,12,11
1108,WA2000-魔鬼鱼行动,0,48,41108,4,0,,泳、泳装既然都买了，不穿就可惜了……可不是为了特地穿给你看哦！,,,"-14,-100.7",,12,11
1109,FN-57-游轮女王,0,142,41109,4,0,,哼哼~指挥官您真是选了个趣味十足的款式呢，这下满足了吗？,,,,,12,11
1201,PKP-花与水,0,173,41201,4,0,,是你啊？不要妨碍我，我在找祭典上最好的苹果糖。,,,,,13,12
1202,G36C-夏天·烟火·向阳之诗,0,104,41202,4,0,,啊、居然在这里遇见您……要和我一起等待烟火的到来吗？,,,,,13,12
1203,OTs-14-樱吹雪,0,119,41203,4,0,,难得这么热闹，今晚就别聊工作了，好好享受如何？,,,,,13,12
1204,KLIN-三羽乌,0,177,41204,4,0,,嘿嘿~今晚的祭典游戏我要全部拿第一名！,,,,,13,12
1205,MP5-花未眠,0,26,41205,4,0,,指挥官，这次的烟火大会是什么样的呢？好期待啊~,,,,,13,12
1301,M249 SAW-北极狐,0,79,0,4,0,,稍微认真打扮了一下，嗯……这样也就差不多了吧。,,,,,14,13
1302,9A-91-子弹咖啡馆,0,118,0,4,0,,指挥官，我的服务是只属于您一个人的……只属于您。,,,,,14,13
1303,G3-战地糕点师,0,63,0,4,0,,需要点心吗？菜单上没有的我也可以试试。,,,,,14,13
1304,MG3-假日街景,0,88,0,4,0,,哎呀……这个衣服松松垮垮的，真是麻烦呢。,,,,,14,13
1305,TAR-21-酒吧之夜,0,72,0,4,0,,指挥官，可注意别喝太多了……醉了的话就交给我吧。,,,,,14,13
1401,维尔德MkⅡ-暗影之王,0,114,0,18,0,,这种装扮是吓不住我的，已经死亡的东西……只是回归了黑暗而已。,,3001,,,15,14
1402,79式-青丘狐,0,127,0,18,0,,今晚的糖果都准备好了，把大家叫过来吧，不过一次别来太多人哦。,,3001,,,15,14
1403,IWS 2000-第七封印者,0,148,0,18,0,,今晚有什么想玩的吗？我已经准备好了100个鬼故事哦？,,3001,"-66,77",,15,14
1404,P7-魔枪修女,0,100,0,18,0,,不给糖果不捣蛋！嘿嘿，我今晚可是收到了很多糖果呢，为什么？当然是因为可爱啦！,,3001,,,15,14
1405,喷火-最后的爱丽丝,0,168,0,18,0,,请放心吧，今晚舞会的死亡摇滚就交给我了。,,3001,,,15,14
1406,FNC-偷走重要的糖果,0,70,0,18,0,,不给糖就捣蛋！不给糖就捣蛋！不给糖就捣蛋！,,3001,,,15,14
1407,S-SASS-狼行者,0,124,0,18,0,,这是我今晚收到的第一个礼物哦，打开看看吧！……啊！！……果然是陷阱啊……,,3001,,,15,14
1501,汤姆森-恶魔猎人,0,16,0,4,0,,出入高档场所，必须穿着得体，气质相称，这也是行业的规矩。//n,没能听完整场歌剧，有点可惜。下次找个无人打扰的机会再去一趟吧。,,,,17,15
1502,竞争者-歌剧魅影,0,183,41502,4,0,,精美的服装也是舞台表演成功的一环，唔……所以服装也是实力的一部分吗？//n,任务结束后剧院赠送了我一张剧照，如果是正面就更好了……,,"-57.1,-208.7",,17,15
1503,PKP-淑女密令,0,173,0,4,0,,哼，正确的着装只是让我的胜利更加完美而已。//n,长官收到发票的时候脸色不太好……这是为什么？,,,,17,15
1504,MG5-荒野猎人,0,109,0,4,0,,这样穿的话能增强野外战斗的适应性……嗯，能够更好地保护同伴了。//n,在战斗的间隙，即使是一杯速溶咖啡也是人间美味。,,,,17,15
1505,AEK-999-极道车神,0,149,0,4,0,,嘿！展现出了不一样的旋律，这样的我依然很酷哦♪//n,唔……下次骑车的时候，试试新的节奏好了♪,,"-93,-61.6",,17,15
1506,PzB39-爆裂骑手,0,180,41506,4,0,,那个……这身衣服同样也是很贵的，小心别碰坏了啊！//n,指挥官，车钥匙借你一副，别忘记我们说好的练习啊！,,,,17,15
1507,G36-“调酒师”,0,64,0,4,0,,Guten Tag，我的长官。G36在此为您效劳。这样行礼……会更像一名管家吗？//n,这是炸弹的引线……真是危险，不过我一定会保护好大家的。,,,,17,15
1601,RFB-RFB偷走圣诞节,0,172,0,19,0,,圣诞节DLC打折啦！指挥官快买来送给我当礼物吧？,,3002,,,18,16
1602,G11-我最美丽的礼物,0,122,0,19,0,,圣诞快乐……指挥官，晚宴准备好了吗？我待会儿会去吃的。,,3002,,音符//c福原綾香//c,18,16
1603,Zas M21-献上枪声的雪姑娘,0,196,0,19,0,,要怎样才能让我相信有圣诞老人？除非让我打中他……开玩笑的。,,3002,"-40.5,-75.5",,18,16
1604,CZ75-凛冬采集者,0,166,0,19,0,,长官你快看，我把圣诞老人的胡子扯下来了！哈哈哈哈哈……真好玩！,,3002,,,18,16
1605,阿梅利-卖礼物的圣诞树,0,185,0,19,0,,圣诞快乐，指挥官，在袜子里放个纽扣送给圣诞老人吧……,,3002,,,18,16
