id,name,group_id,lv,description,code,material_rate,construction_pt,effect,area_id,material_item,material_number
53401,战地航管中心,534,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,534,47,10
53402,战地航管中心,534,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,534,47,10
53403,战地航管中心,534,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,534,47,10
53600,火力阵地,536,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,536,47,10
53601,火力阵地,536,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,536,47,10
53602,火力阵地,536,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,536,47,10
53603,火力阵地,536,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,536,47,10
54100,前进基地,541,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,541,47,10
54101,前进基地,541,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,541,47,10
54102,前进基地,541,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,541,47,10
54103,前进基地,541,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,541,47,10
54200,战地航管中心,542,0,妖精指令+0,TheaterConstruction0,3,0,44200,542,47,10
54201,战地航管中心,542,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,542,47,10
54202,战地航管中心,542,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,542,47,10
54203,战地航管中心,542,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,542,47,10
54300,火力阵地,543,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,543,47,10
54301,火力阵地,543,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,543,47,10
54302,火力阵地,543,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,543,47,10
54303,火力阵地,543,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,543,47,10
61100,前进基地,611,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,611,47,10
61101,前进基地,611,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,611,47,10
61102,前进基地,611,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,611,47,10
61103,前进基地,611,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,611,47,10
62100,前进基地,621,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,621,47,10
62101,前进基地,621,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,621,47,10
62102,前进基地,621,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,621,47,10
62103,前进基地,621,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,621,47,10
62500,战地航管中心,625,0,妖精指令+0,TheaterConstruction0,3,0,42500,625,47,10
62501,战地航管中心,625,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,625,47,10
62502,战地航管中心,625,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,625,47,10
62503,战地航管中心,625,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,625,47,10
63100,前进基地,631,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,631,47,10
63101,前进基地,631,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,631,47,10
63102,前进基地,631,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,631,47,10
63103,前进基地,631,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,631,47,10
63400,战地航管中心,634,0,妖精指令+0,TheaterConstruction0,3,0,43400,634,47,10
63401,战地航管中心,634,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,634,47,10
63402,战地航管中心,634,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,634,47,10
63403,战地航管中心,634,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,634,47,10
63600,火力阵地,636,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,636,47,10
63601,火力阵地,636,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,636,47,10
63602,火力阵地,636,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,636,47,10
63603,火力阵地,636,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,636,47,10
64100,前进基地,641,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,641,47,10
64101,前进基地,641,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,641,47,10
64102,前进基地,641,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,641,47,10
64103,前进基地,641,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,641,47,10
64200,战地航管中心,642,0,妖精指令+0,TheaterConstruction0,3,0,44200,642,47,10
64201,战地航管中心,642,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,642,47,10
64202,战地航管中心,642,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,642,47,10
64203,战地航管中心,642,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,642,47,10
64300,火力阵地,643,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,643,47,10
64301,火力阵地,643,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,643,47,10
64302,火力阵地,643,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,643,47,10
64303,火力阵地,643,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,643,47,10
71100,前进基地,711,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,711,47,10
71101,前进基地,711,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,711,47,10
71102,前进基地,711,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,711,47,10
71103,前进基地,711,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,711,47,10
72100,前进基地,721,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,721,47,10
72101,前进基地,721,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,721,47,10
72102,前进基地,721,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,721,47,10
72103,前进基地,721,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,721,47,10
72500,战地航管中心,725,0,妖精指令+0,TheaterConstruction0,3,0,42500,725,47,10
72501,战地航管中心,725,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,725,47,10
72502,战地航管中心,725,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,725,47,10
72503,战地航管中心,725,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,725,47,10
73100,前进基地,731,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,731,47,10
73101,前进基地,731,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,731,47,10
73102,前进基地,731,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,731,47,10
73103,前进基地,731,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,731,47,10
73400,战地航管中心,734,0,妖精指令+0,TheaterConstruction0,3,0,43400,734,47,10
73401,战地航管中心,734,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,734,47,10
73402,战地航管中心,734,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,734,47,10
73403,战地航管中心,734,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,734,47,10
73600,火力阵地,736,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,736,47,10
73601,火力阵地,736,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,736,47,10
73602,火力阵地,736,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,736,47,10
73603,火力阵地,736,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,736,47,10
74100,前进基地,741,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,741,47,10
74101,前进基地,741,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,741,47,10
74102,前进基地,741,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,741,47,10
74103,前进基地,741,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,741,47,10
74200,战地航管中心,742,0,妖精指令+0,TheaterConstruction0,3,0,44200,742,47,10
74201,战地航管中心,742,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,742,47,10
74202,战地航管中心,742,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,742,47,10
74203,战地航管中心,742,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,742,47,10
74300,火力阵地,743,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,743,47,10
74301,火力阵地,743,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,743,47,10
74302,火力阵地,743,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,743,47,10
74303,火力阵地,743,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,743,47,10
81100,前进基地,811,0,远征队梯队数量+0,TheaterConstruction0,3,0,41100,811,47,10
81101,前进基地,811,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,41101,811,47,10
81102,前进基地,811,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,41102,811,47,10
81103,前进基地,811,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,41103,811,47,10
82100,前进基地,821,0,远征队梯队数量+0,TheaterConstruction0,3,0,42100,821,47,10
82101,前进基地,821,1,远征队梯队数量+1,TheaterConstruction11,3,2000000,42101,821,47,10
82102,前进基地,821,2,远征队梯队数量+2,TheaterConstruction11,3,5000000,42102,821,47,10
82103,前进基地,821,3,远征队梯队数量+3,TheaterConstruction12,3,10000000,42103,821,47,10
82500,战地航管中心,825,0,妖精指令+0,TheaterConstruction0,3,0,42500,825,47,10
82501,战地航管中心,825,1,妖精指令+5,TheaterConstruction31,3,2000000,42501,825,47,10
82502,战地航管中心,825,2,妖精指令+10,TheaterConstruction31,3,5000000,42502,825,47,10
82503,战地航管中心,825,3,妖精指令+15,TheaterConstruction32,3,10000000,42503,825,47,10
83100,前进基地,831,0,远征队梯队数量+0,TheaterConstruction0,3,0,43100,831,47,10
83101,前进基地,831,1,远征队梯队数量+1,TheaterConstruction11,3,6000000,43101,831,47,10
83102,前进基地,831,2,远征队梯队数量+2,TheaterConstruction11,3,15000000,43102,831,47,10
83103,前进基地,831,3,远征队梯队数量+3,TheaterConstruction12,3,30000000,43103,831,47,10
83400,战地航管中心,834,0,妖精指令+0,TheaterConstruction0,3,0,43400,834,47,10
83401,战地航管中心,834,1,妖精指令+5,TheaterConstruction31,3,6000000,43401,834,47,10
83402,战地航管中心,834,2,妖精指令+10,TheaterConstruction31,3,15000000,43402,834,47,10
83403,战地航管中心,834,3,妖精指令+15,TheaterConstruction32,3,30000000,43403,834,47,10
83600,火力阵地,836,0,重装部队使用次数+0,TheaterConstruction0,3,0,43600,836,47,10
83601,火力阵地,836,1,重装部队使用次数+1,TheaterConstruction21,3,6000000,43601,836,47,10
83602,火力阵地,836,2,重装部队使用次数+2,TheaterConstruction21,3,15000000,43602,836,47,10
83603,火力阵地,836,3,重装部队使用次数+3,TheaterConstruction22,3,30000000,43603,836,47,10
84100,前进基地,841,0,远征队梯队数量+0,TheaterConstruction0,3,0,44100,841,47,10
84101,前进基地,841,1,远征队梯队数量+1,TheaterConstruction11,3,40000000,44101,841,47,10
84102,前进基地,841,2,远征队梯队数量+2,TheaterConstruction11,3,60000000,44102,841,47,10
84103,前进基地,841,3,远征队梯队数量+3,TheaterConstruction12,3,90000000,44103,841,47,10
84200,战地航管中心,842,0,妖精指令+0,TheaterConstruction0,3,0,44200,842,47,10
84201,战地航管中心,842,1,妖精指令+5,TheaterConstruction31,3,30000000,44201,842,47,10
84202,战地航管中心,842,2,妖精指令+10,TheaterConstruction31,3,50000000,44202,842,47,10
84203,战地航管中心,842,3,妖精指令+15,TheaterConstruction32,3,80000000,44203,842,47,10
84300,火力阵地,843,0,重装部队使用次数+0,TheaterConstruction0,3,0,44300,843,47,10
84301,火力阵地,843,1,重装部队使用次数+1,TheaterConstruction21,3,20000000,44301,843,47,10
84302,火力阵地,843,2,重装部队使用次数+2,TheaterConstruction21,3,40000000,44302,843,47,10
84303,火力阵地,843,3,重装部队使用次数+3,TheaterConstruction22,3,70000000,44303,843,47,10
