id,name,description,code,type,duration_type,duration_time,limit_buff,exp_buff,is_resource_buff,vision_buff,cannot_move,battle_skill_config_id,property_type,property_data_pool,special_spot_config_id,conditions_type,conditions_time,birth_effect,effect_process_star,effect_process_end,effect_process_duration,manual_ui_code,ammo_mre_reduce,free_ap_move,extra_ammo_mre,conflict_type,priority,carry_mission_skill,sangvis_chip_id
1503,视野buff,等级3,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1503,0,,
1504,视野buff,等级4,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1504,0,,
1505,视野buff,等级5,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1505,0,,
1506,视野buff,等级6,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1506,0,,
1507,视野buff,等级7,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1507,0,,
1508,视野buff,等级8,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1508,0,,
1509,视野buff,等级9,buff,1,1,2,0,1,0,1,,900114,0,0,0,0,0,0,0,0,0,,,0,,1509,0,,
1510,视野buff,等级10,buff,1,1,2,0,1,0,2,,900114,0,0,0,0,0,0,0,0,0,,,0,,1510,0,,
1700,连击标记,连击标记,combo,1,1,1,0,1,0,0,,900167,0,0,1701,2,1-1,0,0,0,0,,,0,,1700,-1,,
1701,二连击,二连击,combo,1,1,1,0,1,0,0,,900173,0,0,1702,2,0-1,0,0,0,0,,,0,,1701,-1,,
1702,多连击,多连击,combo,1,1,1,0,1,0,0,,900174,0,0,0,0,0,0,0,0,0,,,0,,1702,-1,,
1801,桃子,你在想桃子,buff,1,4,1,0,1,0,0,,115501,0,0,0,0,0,0,0,0,0,,,0,,1801,0,,
1811,桃子,你在想桃子,debuff,2,4,1,0,1,0,0,,115502,0,0,0,0,0,0,0,0,0,,,0,,1811,0,,
1900,沙暴触发,,ExtraAp,1,4,1,0,1,0,0,,900900,0,0,0,0,0,0,0,0,0,,,0,,1900,1,,
2000,沙暴自身,,ExtraAp,1,1,99,0,1,0,0,,900903,0,0,0,0,0,0,0,0,0,,,0,,2000,1,,
2100,定身,定身,Theresa_Back,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,2100,1,,
2300,火箭,火箭,SpeedUp,1,4,1,0,1,0,0,,757059,0,0,0,0,0,0,0,0,0,,,0,,2300,-1,,
10001,携带歌利亚,携带歌利亚,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,10001,-1,10002,
10086,空降debuff,降低各项属性,debuff,2,1,2,0,1,0,0,,900112,0,0,0,0,0,0,0,0,0,,,0,,10086,0,,
10101,携带EMP手雷,携带EMP手雷,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,10101,-1,10102,
20101,单独行动C,,,1,1,99,0,1,0,0,,0,0,0,20102,1,0-1,0,0,0,0,,,0,,20101,1,,
20102,单独行动C,,SpeedUp,1,5,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,20102,1,,
20201,单独行动B,,,1,1,99,0,1,0,0,,0,0,0,20202,1,0-1,0,0,0,0,,,0,,20201,1,,
20202,单独行动B,,SpeedUp,1,5,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,20202,1,,
20301,单独行动A,,,1,1,99,0,1,0,0,,0,0,0,20302,1,0-1,0,0,0,0,,,0,,20301,1,,
20302,单独行动A,,SpeedUp,1,5,3,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,20302,1,,
50000,额外弹药口粮测试,额外携带弹药口粮,ExtraAmmo,1,1,1000,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,"2,2",50000,0,,
50001,行动点测试测试,行动点,ExtraAp,1,"1,5","1,1",0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,50001,0,,
50002,减少消耗测试,减少消耗,AmmoReduce,1,4,1,0,1,1,0,,610011,0,0,0,0,0,0,0,0,0,,"2,1",0,,50002,0,,
50003,夜战视野芯片,等级1,NightView,1,1,1000,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,,,0,,50003,0,,
50004,夜视能力芯片,等级1,nighthitBuff,1,1,1000,0,1,0,0,,910421,0,0,0,0,0,0,0,0,0,,,0,,50004,0,,
50005,炮灰,炮灰,SpeedUp,1,4,1,0,1,0,0,,900641,0,0,0,0,0,0,0,0,0,,,0,,50005,0,,
50006,,,debuff,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1007,0,,,0,,50006,0,,
50007,,,buff,1,4,1,0,1,0,0,,901240,0,0,0,0,0,0,0,0,0,,,0,,50007,1,,
50008,,,debuff,1,1,2,0,1,0,0,,902202,0,0,0,0,0,0,0,0,0,,,0,,50008,1,,
363001,携带炸药,携带炸药,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,363001,1,363001,
363002,携带EMP手雷,携带EMP手雷,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,363002,1,363002,
381402,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381402,0,,
381403,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381403,0,,
381404,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381404,0,,
381405,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381405,0,,
381406,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381406,0,,
381407,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381407,0,,
381408,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381408,0,,
381409,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381409,0,,
381410,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381410,0,,
381411,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381411,0,,
381412,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381412,0,,
381413,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381413,0,,
381414,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381414,0,,
381415,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381415,0,,
381416,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381416,0,,
381417,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381417,0,,
381418,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381418,0,,
381419,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381419,0,,
381420,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381420,0,,
381421,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381421,0,,
381422,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381422,0,,
381423,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381423,0,,
381424,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381424,0,,
381425,,,GunBox,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,381425,0,,
381468,,,SpeedUp,1,1,99,0,1,0,0,,910676,0,0,0,0,0,0,0,0,0,,,0,,381468,0,,
381602,,,SpeedUp,1,1,99,0,1,0,0,,0,0,0,381602,1,0-1,0,0,0,0,,,0,,381602,0,,
381603,,,SpeedUp,1,1,99,0,1,0,0,,0,0,0,381603,1,0-1,0,0,0,0,,,0,,381603,0,,
381903,,,fighting,1,1,3,0,1,0,0,,100502,0,0,0,0,0,0,0,0,0,,,0,,381903,0,,
410301,靠近检测,靠近检测,,1,1,99,0,1,0,0,,0,0,0,410301,1,0-1,0,0,0,0,,,0,,410301,-1,,
410363,持有歌利亚标记,持有歌利亚标记,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,410363,-1,410365,
410364,持有EMP标记,持有EMP标记,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,410364,-1,410366,
410501,花粉感染,花粉感染,debuff,1,1,2,0,1,0,0,,900942,0,0,0,0,0,0,0,0,0,,,0,,410501,1,,
410502,花粉感染,花粉感染,buff,1,1,99,0,1,0,0,,900941,0,0,0,0,0,0,0,0,0,,,0,,410501,2,,
440000,丹德莱标记,,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,440000,1,"440011,440021,440031,440041,440051,440061,440071,440081,440091,440001,440002",
440001,丹德莱BUFF,,buff,1,1,1,0,1,0,0,,902370,0,0,0,0,0,0,0,0,0,,,0,,440001,1,,
440002,丹德莱DEBUFF,,debuff,1,1,1,0,1,0,0,,902373,0,0,0,0,0,0,0,0,0,,,0,,440002,1,,
440003,丹德莱BUFFCD,,,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,1000049,0,0,,,0,,440003,1,,
440004,丹德莱DEBUFFCD,,,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,1000050,0,0,,,0,,440004,1,,
440005,丹德莱DEBUFF干扰,,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,440005,1,,
440006,丹德莱标记(1T,,,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,440006,1,"440011,440021,440031,440041,440051,440061,440071,440081,440091,440001,440002",
440301,夜视buff,,,1,1,99,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,,,0,,440301,1,,
460501,【标记】衔尾蛇,,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,460501,1,,
460502,【标记】刨冰buff,,,1,1,99,0,1,0,0,,755021,0,0,0,0,0,0,0,0,0,,,0,,460502,1,,
480000,【标记】丹德莱,【标记】丹德莱,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,480000,1,480112,
480102,【标记】携带EMP手雷,【标记】携带EMP手雷,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,480102,1,480122,
481400,【标记】携带大量炸药,【标记】携带大量炸药,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,481400,1,,
482000,【标记】运输队定身,【标记】运输队定身,Theresa_Back,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,482000,1,,
482001,【标记】帕斯卡鬼步,【标记】帕斯卡鬼步,,1,1,99,0,1,0,0,,0,0,0,482004,1,0-1,0,0,0,0,,,0,,482001,1,,
482002,【标记】帕斯卡鬼步生效,【标记】帕斯卡鬼步,SpeedUp,1,5,3,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,1,,482002,1,,
482101,【标记】夜视buff,【标记】,,1,1,99,0,1,0,1,,759008,0,0,0,0,0,0,0,0,0,,,0,,482101,1,,
482300,【标记】帕斯卡,【标记】帕斯卡,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,482300,1,482300,
482301,【标记】帕斯卡技能CD,【标记】帕斯卡技能CD,,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,482301,1,,
482430,【标记】布置傀儡cost,【标记】布置傀儡cost,,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,482430,-1,"482431,482432,482433,482434,482435",
482505,【标记】布拉梅德削弱,【标记】布拉梅德削弱,debuff,2,1,99,0,1,0,0,,117801,0,0,0,0,0,1000021,0,0,0,,,0,,482505,1,,
482506,【标记】布拉梅德削弱,【标记】布拉梅德削弱,debuff,2,1,99,0,1,0,0,,117804,0,0,0,0,0,1000022,0,0,0,,,0,,482506,1,,
482507,【标记】布拉梅德削弱,【标记】布拉梅德削弱,debuff,2,1,99,0,1,0,0,,117805,0,0,0,0,0,1000023,0,0,0,,,0,,482507,1,,
483501,【标记】携带歌利亚,【标记】携带歌利亚,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,483501,1,483511,
483600,【标记】指挥官定身,【标记】指挥官定身,Theresa_Back,2,1,99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,483600,1,,
483601,【标记】携带高爆炸药,【标记】携带高爆炸药,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,483601,-1,483611,
483901,【标记】运输队,【标记】运输队,,1,1,99,0,1,0,0,,0,0,0,483911,5,0-3,0,0,0,0,,,1,,483901,1,,
483903,【标记】携带塑胶炸弹,【标记】携带塑胶炸弹,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,483903,-1,,
483911,【标记】运输队定身,【标记】运输队定身,Theresa_Back,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,483911,1,,
483921,【标记】运输队鬼步生效,【标记】运输队鬼步,SpeedUp,1,5,3,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,482002,1,,
500020,可可豆,携带可可豆,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV01#1E90FF,,0,,500020,0,,
500021,咖啡豆,携带咖啡豆,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV10#1E90FF,,0,,500021,0,,
500022,白砂糖,携带白砂糖,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV02#1E90FF,,0,,500022,0,,
500023,怪味粉,携带怪味粉,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV03#1E90FF,,0,,500023,0,,
500024,荧光粉,携带荧光粉,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV04#1E90FF,,0,,500024,0,,
500025,冷却剂,携带冷却剂,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV05#1E90FF,,0,,500025,0,,
500026,食用色素,携带食用色素,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV06#1E90FF,,0,,500026,0,,
500027,特色调料,携带特色调料,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV07#1E90FF,,0,,500027,0,,
500028,标准模具,携带标准模具,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV08#1E90FF,,0,,500028,0,,
500029,个性模具,携带个性模具,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV09#1E90FF,,0,,500029,0,,
500099,【标记】食材数量判定,,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,500099,-1,,
500401,薄荷世家,携带薄荷世家,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV21#1E90FF,,0,,500401,0,,
500402,甜蜜军刀,携带甜蜜军刀,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV22#1E90FF,,0,,500402,0,,
500403,命运之吻,携带命运之吻,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV23#1E90FF,,0,,500403,0,,
500404,巧克力二重奏,携带巧克力二重奏,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV24#1E90FF,,0,,500404,0,,
500405,经典记忆,携带经典记忆,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV25#1E90FF,,0,,500405,0,,
500406,可可新世界,携带可可新世界,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV11#EC4702,,0,,500406,0,"500491,500492,500493,500494,500495",
500407,巧苏鲁,携带巧苏鲁,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,2022WV12#EC4702,,0,,500407,0,500496,
500499,【标记】携带巧克力,,,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,500499,0,,
510201,BOSS,BOSS,,1,1,99,0,1,0,0,,0,0,0,510201,1,0-1,0,0,0,0,,,0,,510201,1,,
510701,携带塑胶炸弹,携带塑胶炸弹,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,510701,1,,
510703,移动限制触发器,,,2,1,99,0,1,0,0,,0,0,0,510713,5,0-3,0,0,0,0,,,0,,510703,-2,,
510704,RO标记,,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,510704,1,510705,
510705,信号增幅,,SpeedUp,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,510705,2,,
510713,限制移动,,Theresa_Back,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,510705,1,,
510904,破解定身,,Theresa_Back,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,510904,1,,
510914,高速破解定身,,Theresa_Back,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,510914,1,,
511012,伤害增幅,,powBuff,1,4,1,0,1,0,0,,759020,0,0,0,0,0,0,0,0,0,,,0,,511012,-1,,
511013,护盾增幅,,shield,1,4,1,0,1,0,0,,759028,0,0,0,0,0,0,0,0,0,,,0,,511013,-1,,
511022,伤害增幅,,powBuff,1,4,1,0,1,0,0,,759020,0,0,0,0,0,0,0,0,0,,,0,,511012,-1,,
511023,护盾增幅,,shield,1,4,1,0,1,0,0,,759021,0,0,0,0,0,0,0,0,0,,,0,,511013,-1,,
910630,【标记】护盾发生器buff,,shield,1,"1,5","2,1",0,1,0,0,,910630,0,0,0,0,0,0,0,0,0,,,0,,910630,0,,
1000000,携带炸药,携带炸药,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,1000000,0,,
1000001,电磁瘫痪,降低各项属性,debuff,2,1,1,0,1,0,0,1,900112,0,0,0,0,0,0,0,0,0,,,0,,1000001,0,,
1000002,掩体作战,减少梯队收到伤害,buff,1,4,1,0,1,0,0,,900106,0,0,0,0,0,0,0,0,0,,,0,,1000002,0,,
1000003,【标记】1回合定身,,Theresa_Back,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,1000003,0,,
1000004,【标记】99回合定身,,Theresa_Back,2,1,99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,1000004,0,,
1000005,【标记】99回合,,SpeedUp,2,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1000005,0,,
1000006,携带EMP手雷,携带EMP手雷,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,1000006,0,,
1000007,可以被EMP球攻击,可以被EMP球攻击,SpeedUp,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1000007,0,,
1000008,【标记】炮击目标标记buff,,Chasing_AntiMissile,1,1,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1000008,0,,
1000009,【标记】浸水debuff_1,-30%闪避/火力,debuff,2,1,1,0,1,0,0,,900491,0,0,0,0,0,0,0,0,0,,,0,,1000009,0,,
1000010,【标记】浸水debuff_2,-10%闪避/火力,debuff,2,1,1,0,1,0,0,,900491,0,0,0,0,0,0,0,0,0,,,0,,1000010,0,,
1000011,【标记】搬运标记,,ExtraAp,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1000011,0,,
4040901,【标记】携带黑雷,,buff,1,1,99,0,1,0,,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,4040901,0,94040901,
6000001,炸敌人标记,,,1,1,99,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,6000001,0,6000213,
6000002,持有EMP标记,持有EMP标记,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,6000002,-1,6000303,
6000003,禁止移动,,debuff,1,1,99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,6000003,-1,,
6410101,【标记】衔尾蛇自闭1,,Wea2,2,1,99,0,,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,,6410101,0,,
6410102,【标记】衔尾蛇自闭2,,Wea2,2,1,99,0,,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,,6410102,0,,
6410103,【标记】衔尾蛇自闭3,,Wea2,2,1,99,0,,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,,6410103,0,,
6410104,炸敌人标记,,,1,1,99,0,,0,,0,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,6410104,0,6411112,
6430001,【标记】全境携带道具buff,,,1,1,99,0,,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,6430001,1,"6430022,6430025,6430026,6430011,6430012,6430013,6430005,6430006,6430007,6430028",
6430002,【标记】A1高闪,闪光弹,debuff,2,1,1,0,,0,,,900913,0,0,0,0,0,0,0,1000026,1000025,,,0,,6430002,1,,
6430003,【标记】困难全境携带道具buff,,,1,1,99,0,,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,6430003,1,"6430022,6430025,6430026,6430011,6430012,6430013,6430015,6430006,6430016,6430029",
6430004,【标记】VECTOR抵抗破片手雷buff,,,1,1,99,0,,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,6430004,1,,
6430005,【标记】夜视buff,,,1,1,99,0,,0,1,,0,0,0,0,0,0,0,0,0,0,,,0,,6430005,1,,
6440001,【标记】炮击定身,定身一回合,debuff,1,1,1,0,,0,0,1,0,0,0,0,0,0,1000044,0,0,0,,,0,,6440001,1,,
6440002,【标记】持有EMP标记,持有EMP标记,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryEMPIcon#1E90FF,,0,,6440051,1,6440051,
6440003,【标记】电磁瘫痪,降低各项属性,debuff,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,6440003,1,,
6440004,【标记】电磁瘫痪,降低各项属性,,2,1,1,0,1,0,0,,900112,0,0,0,0,0,0,0,0,0,,,0,,6440004,1,,
6440005,【标记】抵抗电磁瘫痪属性降低,抵抗电磁瘫痪属性降低,,2,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,6440004,2,,
6440006,【标记】丢孙红雷标记,,,1,1,99,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,,,0,,6440006,1,6449999,
6480001,【标记】电磁瘫痪,降低各项属性,debuff,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,6480001,1,,
6480002,【标记】丢歌莉娅标记,携带歌莉娅,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,6480002,1,6480036,
6480003,【标记】携带塑胶炸弹,携带塑胶炸弹,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,-1,1,6480049,
6480004,【标记】携带塑胶炸弹,携带塑胶炸弹,,1,1,99,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,CarryBoomerIcon#EC4702,,0,,-1,1,,
6510001,电磁炮瘫痪,瘫痪,debuff,1,1,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,,6510001,0,,
6510002,移动buff,行动力提升,ExtraAp,1,"5,1","1,1",0,1,0,,,0,0,0,0,0,0,0,0,0,0,,,1,,6510002,1,,
6510003,移动buff,行动力提升,ExtraAp,1,"5,1","2,1",0,1,0,,,0,0,0,0,0,0,0,0,0,0,,,1,,6510002,2,,
